Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	log10_rate_bg	p_allopatry	p_sympatry	rate_bg
0	-122.899	-119.093	-3.80596	0.0313193	0.968681	0.01	2.77411	1.47065	0.652037	0	0.9764577	-2	0.9686807	0.03131928	0.01
10	-58.9983	-54.3942	-4.60404	0.542225	0.457775	0.0005900681	2.21242	1.56258	0.547723	0	1.415876	-0.3532696	0.457775	0.542225	0.4433333
20	-52.8263	-47.534	-5.29227	0.494728	0.505272	0.009089757	3.458	1.38258	0.542925	0	1.743422	0.2874494	0.5052716	0.4947284	1.938427
30	-52.2185	-47.379	-4.83959	0.230165	0.769835	0.01402818	3.30034	1.4048	0.301941	0	1.529722	0.6765857	0.7698349	0.2301651	4.74882
40	-51.9586	-47.0312	-4.92748	0.635608	0.364392	0.02201925	3.60419	1.61361	0.463325	0	1.5716	1.179278	0.364392	0.635608	15.11046
50	-53.6099	-48.1708	-5.43911	0.381984	0.618016	0.008066534	3.00823	1.51091	0.419022	0	1.812097	0.3785453	0.6180159	0.3819841	2.390811
60	-50.7403	-47.0126	-3.7277	0.184921	0.815079	0.01987414	3.02902	1.61604	0.697868	0	0.9186632	1.156471	0.8150793	0.1849207	14.33743
70	-51.4103	-47.6984	-3.71188	0.13748	0.86252	0.01084483	3.62805	1.79894	0.434706	0	0.9059191	0.4837559	0.8625199	0.1374801	3.046182
80	-51.0266	-46.4861	-4.54044	0.957408	0.0425918	0.02387356	3.34069	1.37949	0.548412	0	1.384591	1.177313	0.04259179	0.9574082	15.04225
90	-51.629	-47.7823	-3.84671	0.649375	0.350625	0.02619223	3.05379	1.58239	0.61988	0	0.4704439	0.9450016	0.3506249	0.6493751	8.810522
100	-51.5408	-46.7338	-4.80703	0.351955	0.648045	0.02007285	3.32544	1.39668	0.51539	0	0.3119703	0.8904025	0.6480452	0.3519548	7.769668
110	-54.3744	-50.496	-3.87843	0.247481	0.752519	0.04071514	2.43513	1.46037	0.412834	0	0.4609568	1.620989	0.7525194	0.2474806	41.78196
120	-50.3089	-46.7288	-3.58005	0.480882	0.519118	0.03126222	2.36894	1.34138	0.423418	0	0.7609591	1.552091	0.5191181	0.4808819	35.65257
130	-52.3506	-47.9212	-4.42935	0.47034	0.52966	0.02976833	2.69798	1.50048	0.466342	0	1.329178	1.266822	0.5296596	0.4703404	18.48511
140	-49.6945	-46.1351	-3.55941	0.48508	0.51492	0.02587932	3.0106	1.4244	0.413334	0	0.6825356	1.370273	0.5149202	0.4850798	23.45701
150	-50.2335	-46.5871	-3.64638	0.796638	0.203362	0.02516129	2.7333	1.37454	0.390685	0	0.846747	1.368805	0.2033625	0.7966375	23.37788
160	-51.8479	-47.6074	-4.24053	0.107006	0.892994	0.01353884	3.45954	1.43703	0.35221	0	1.231976	0.8022103	0.8929941	0.1070059	6.341767
170	-50.0871	-46.5133	-3.57382	0.542599	0.457401	0.01527246	3.65762	1.61665	0.454348	0	0.748397	0.8301881	0.4574013	0.5425987	6.763758
180	-49.7348	-46.1506	-3.58418	0.847537	0.152463	0.02637526	3.41257	1.56629	0.352958	0	0.7683625	1.25086	0.1524631	0.8475369	17.81806
190	-51.1492	-47.5778	-3.5714	0.768152	0.231848	0.03246425	3.43586	1.33343	0.360005	0	0.6358824	1.703707	0.2318481	0.7681519	50.54838
200	-51.3633	-47.1695	-4.19386	0.245245	0.754755	0.02715139	2.75676	1.46268	0.644171	0	1.207159	1.165575	0.7547551	0.2452449	14.64114
210	-49.0052	-45.4324	-3.57287	0.694259	0.305741	0.02397435	3.44131	1.76151	0.670809	0	0.6329672	1.091273	0.3057406	0.6942594	12.33879
220	-49.9057	-46.1464	-3.75932	0.109548	0.890452	0.01754159	3.16459	1.54494	0.61004	0	0.9429309	0.7188195	0.8904516	0.1095484	5.233829
230	-53.2504	-49.2414	-4.00897	0.967189	0.0328111	0.008854711	2.68242	1.76194	0.464636	0	1.104243	0.5420049	0.03281106	0.9671889	3.483413
240	-49.3419	-45.7495	-3.59239	0.662888	0.337112	0.02506504	3.45562	1.60051	0.411741	0	0.6043501	1.214154	0.337112	0.662888	16.37397
250	-49.8327	-46.1492	-3.68346	0.152091	0.847909	0.02003026	3.13411	1.79431	0.410976	0	0.5357179	1.061962	0.8479086	0.1520914	11.53353
260	-50.7348	-47.0411	-3.69367	0.846116	0.153884	0.01686049	2.96893	1.65931	0.300239	0	0.890641	0.915342	0.1538835	0.8461165	8.228904
