Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rate_multiplier[7]	branch_rate_multiplier[8]	branch_rate_multiplier[9]	branch_rate_multiplier[10]	branch_rate_multiplier[11]	branch_rate_multiplier[12]	branch_rate_multiplier[13]	branch_rate_multiplier[14]	branch_rate_multiplier[15]	branch_rate_multiplier[16]	branch_rate_multiplier[17]	branch_rate_multiplier[18]	branch_rate_multiplier[19]	branch_rate_multiplier[20]	branch_rate_multiplier[21]	branch_rate_multiplier[22]	branch_rate_multiplier[23]	branch_rate_multiplier[24]	branch_rate_multiplier[25]	branch_rate_multiplier[26]	branch_rate_multiplier[27]	branch_rate_multiplier[28]	branch_rate_multiplier[29]	branch_rate_multiplier[30]	branch_rate_multiplier[31]	branch_rate_multiplier[32]	branch_rate_multiplier[33]	branch_rate_multiplier[34]	branch_rate_multiplier[35]	branch_rate_multiplier[36]	branch_rate_multiplier[37]	branch_rate_multiplier[38]	branch_rate_multiplier[39]	branch_rate_multiplier[40]	branch_rate_multiplier[41]	branch_rate_multiplier[42]	branch_rate_multiplier[43]	branch_rate_multiplier[44]	branch_rate_multiplier[45]	branch_rate_multiplier[46]	branch_rate_multiplier[47]	branch_rate_multiplier[48]	branch_rate_multiplier[49]	branch_rate_multiplier[50]	branch_rate_multiplier[51]	branch_rate_multiplier[52]	branch_rate_multiplier[53]	branch_rate_multiplier[54]	branch_rate_multiplier[55]	branch_rate_multiplier[56]	branch_rate_multiplier[57]	branch_rate_multiplier[58]	branch_rate_multiplier[59]	branch_rate_multiplier[60]	branch_rate_multiplier[61]	branch_rate_multiplier[62]	branch_rate_multiplier[63]	branch_rate_multiplier[64]	branch_rate_multiplier[65]	branch_rate_multiplier[66]	branch_rate_multiplier[67]	branch_rate_multiplier[68]	branch_rate_multiplier[69]	branch_rate_multiplier[70]	branch_rate_multiplier[71]	branch_rate_multiplier[72]	branch_rate_multiplier[73]	branch_rate_multiplier[74]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	death	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	ingroup_older_island[5]	kappa	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-2983.74	-2730.92	-252.82	19.19501	0.28184	0.00748431	0.282222	0.428453	0.1085847	1.11414	2.08168	0.389937	0.944884	0.1609	0.435484	0.281171	0.637626	0.832976	3.38284	0.414977	1.6458	3.71647	1.64664	2.13693	0.244087	0.522588	0.274404	1.63434	2.0172	0.189708	1.15871	0.508508	0.331355	0.695802	1.38761	0.265343	0.730286	0.466764	3.15436	0.202226	0.265087	2.83316	0.240012	0.713795	0.887822	0.900036	0.234342	0.735208	1.35289	0.197392	2.17202	1.38957	1.44235	1.03704	0.43071	0.110837	6.70709	0.344839	0.585574	0.038124	2.45859	1.01038	4.69733	0.447389	0.146328	0.116911	0.947253	0.426466	0.782902	0.198502	0.173348	0.201455	0.273557	0.229943	0.458229	0.428927	1.12303	0.640622	1.12312	0.499231	0.481758	0.750549	0.160441	0.0111414	0.0208168	0.00389937	0.00944884	0.001609	0.00435484	0.00281171	0.00637626	0.00832976	0.0338284	0.00414977	0.016458	0.0371647	0.0164664	0.0213693	0.00244087	0.00522588	0.00274404	0.0163434	0.020172	0.00189708	0.0115871	0.00508508	0.00331355	0.00695802	0.0138761	0.00265343	0.00730286	0.00466764	0.0315436	0.00202226	0.00265087	0.0283316	0.00240012	0.00713795	0.00887822	0.00900036	0.00234342	0.00735208	0.0135289	0.00197392	0.0217202	0.0138957	0.0144235	0.0103704	0.0043071	0.00110837	0.0670709	0.00344839	0.00585574	0.00038124	0.0245859	0.0101038	0.0469733	0.00447389	0.00146328	0.00116911	0.00947253	0.00426466	0.00782902	0.00198502	0.00173348	0.00201455	0.00273557	0.00229943	0.00458229	0.00428927	0.0112303	0.00640622	0.0112312	0.00499231	0.00481758	0.00750549	0.00160441	0.06843613	5.13613	2.35119	1.49667	0.562652	0	1.878363	3.188254	0	1	1	1	1	0.4347843	0.01	0.01	9.408712	0.726613	0.911788	1.05854	1.30306
100	-2247.65	-2016.88	-230.771	0.5245638	0.215736	0.237671	0.239097	0.307495	0.4394861	0.674549	0.575611	1.63635	0.490082	3.47972	0.429965	1.23255	2.90728	0.18419	0.248257	0.511704	0.519241	0.607272	0.229588	1.96604	0.241753	0.212997	0.793704	0.979615	2.71718	0.417697	0.773714	0.229589	0.14914	0.129611	4.02564	0.468466	0.392173	0.211718	1.909	3.39019	1.14995	0.570057	0.846345	0.147134	0.52938	1.78518	0.974425	0.369999	0.517429	0.838324	1.02895	0.564246	1.80964	0.511178	0.531895	1.86458	0.482903	1.09373	1.7536	0.164182	0.257186	1.04958	0.828408	0.992639	0.335567	1.14573	0.430413	1.08714	1.06013	0.165355	0.344662	0.209364	0.717437	0.439998	0.424583	0.539034	0.135868	0.641449	0.980831	0.950538	3.92114	0.539451	1.11303	0.00241034	0.00205681	0.00584712	0.00175119	0.0124339	0.00153638	0.00440422	0.0103885	0.000658159	0.000887086	0.00182845	0.00185538	0.00216994	0.000820376	0.00702517	0.000863848	0.000761095	0.00283611	0.00350042	0.0097092	0.00149254	0.00276468	0.000820381	0.000532917	0.000463136	0.0143847	0.00167395	0.00140134	0.000756524	0.00682136	0.012114	0.00410908	0.00203696	0.00302421	0.000525749	0.00189161	0.00637893	0.00348188	0.0013221	0.00184891	0.00299555	0.00367671	0.0020162	0.00646632	0.00182657	0.0019006	0.00666264	0.00172554	0.00390819	0.00626606	0.000586666	0.000918995	0.00375041	0.00296012	0.00354696	0.00119907	0.00409399	0.00153798	0.00388462	0.00378812	0.000590856	0.00123157	0.000748112	0.00256359	0.00157223	0.00151715	0.00192611	0.000485493	0.00229206	0.00350477	0.00339652	0.0140113	0.0019276	0.00397716	0.09248442	5.09503	2.35666	1.71907	0.610498	0	1.169313	5.539636	1	1	1	1	1	4.800386	0.03127319	0.003573262	11.42522	0.0380259	0.267649	0.83735	2.85697
200	-2241.9	-2013.11	-228.79	0.5092235	0.215134	0.237008	0.218495	0.329363	0.4005311	3.01904	0.969069	2.70471	2.05349	0.183342	1.00317	0.25407	0.27605	0.351233	0.113412	0.301045	0.269068	0.202317	0.302176	0.112038	0.734715	0.558674	0.575912	0.281979	1.034	0.58681	0.601999	0.0631616	0.542485	0.143899	0.45782	0.737536	1.41784	0.0777108	0.225433	3.11687	0.350409	1.07703	0.374164	0.350039	0.586132	0.895447	0.970401	0.454063	1.12344	2.23771	0.855402	0.479551	2.45246	1.28552	0.561709	0.592419	0.996299	1.13869	1.65095	1.10143	0.87773	0.680408	0.382662	0.610551	2.40793	0.907231	0.120005	0.750198	0.187228	0.75828	0.595898	0.914688	2.77472	0.720038	0.213317	0.196536	0.229263	0.0990456	0.898735	0.691502	0.947819	1.3069	0.0845693	0.0141943	0.00455617	0.0127165	0.00965467	0.000861999	0.00471651	0.00119454	0.00129787	0.00165136	0.000533218	0.00141539	0.00126505	0.000951213	0.00142071	0.000526759	0.00345434	0.00262666	0.00270771	0.00132575	0.00486144	0.00275894	0.00283036	0.00029696	0.00255055	0.000676556	0.00215249	0.0034676	0.00666611	0.000365365	0.00105989	0.0146543	0.00164748	0.00506378	0.00175917	0.00164574	0.00275576	0.00421003	0.00456244	0.00213482	0.00528198	0.0105208	0.00402176	0.00225465	0.0115305	0.00604402	0.00264093	0.00278532	0.0046842	0.00535366	0.00776212	0.00517848	0.00412673	0.003199	0.00179912	0.00287057	0.0113211	0.00426543	0.000564214	0.00352713	0.00088027	0.00356513	0.00280167	0.0043005	0.0130456	0.00338533	0.00100293	0.000924034	0.0010779	0.000465673	0.00422549	0.00325117	0.00445626	0.00614454	0.000397611	0.03163072	5.13987	2.89409	1.53993	0.666217	0	3.439978	9.272127	1	1	1	1	1	3.590734	0.02459405	0.0047016	14.68849	0.0351098	0.257895	0.826865	2.88013
300	-2225.75	-2005.17	-220.577	0.6571765	0.207959	0.264557	0.236159	0.291326	0.705067	2.46942	2.18923	4.90246	0.175439	1.05015	0.25928	1.64422	0.742575	1.2503	0.312109	0.732833	0.320098	0.235551	0.260168	0.327984	0.828472	0.0759894	0.408001	3.44396	0.583214	0.633691	1.19087	0.620986	0.897864	0.665035	12.2031	2.43245	0.899111	0.328746	0.846343	1.03661	0.393722	1.56259	1.19808	0.876403	1.78175	0.704771	0.728901	0.507679	0.844729	0.561924	0.411236	1.04973	0.173313	0.649259	1.16685	1.48192	0.404813	2.81304	2.46314	1.09398	0.598831	0.779423	0.241861	0.269637	1.27631	1.70434	0.120456	0.609813	0.916332	0.631725	0.0171875	0.173159	0.296379	0.317964	0.782623	0.142996	0.400371	0.439334	1.11345	0.937967	1.42601	0.649597	1.35898	0.0140294	0.0124376	0.0278522	0.000996714	0.00596619	0.00147304	0.00934123	0.00421877	0.00710329	0.00177317	0.00416342	0.00181856	0.00133823	0.00147808	0.00186336	0.00470677	0.000431716	0.00231796	0.0195661	0.00331339	0.00360017	0.00676563	0.00352799	0.00510101	0.00377825	0.0693289	0.0138194	0.00510809	0.0018677	0.0048083	0.00588925	0.00223684	0.00887749	0.00680664	0.00497908	0.0101226	0.00400399	0.00414108	0.00288426	0.00479913	0.00319244	0.00233634	0.0059638	0.000984637	0.00368862	0.00662922	0.00841919	0.00229985	0.0159817	0.0139938	0.00621518	0.00340212	0.00442811	0.00137408	0.00153188	0.00725104	0.0096828	0.000684341	0.00346451	0.00520593	0.003589	9.76471e-05	0.000983764	0.00168381	0.00180644	0.00444629	0.000812397	0.00227461	0.00249598	0.00632581	0.00532884	0.00810154	0.00369054	0.00772071	0.07061809	5.05587	2.61864	1.30643	0.564555	0	0.6528094	4.760108	0	1	1	1	1	2.72209	0.06443191	0.00568127	6.375906	0.0650754	0.342604	0.907903	2.68442
400	-2234.92	-2013.83	-221.094	0.3136882	0.210713	0.249407	0.239287	0.300593	0.4912372	2.16756	0.381007	3.24674	0.804635	0.110427	0.624146	0.540353	0.557683	1.88123	0.729966	0.114363	0.638059	0.361204	0.0651802	0.21436	0.182218	0.0675216	0.975796	1.34844	0.439104	0.269105	1.4332	0.227723	0.206092	1.56891	0.403939	0.562267	1.21682	0.986156	1.99576	0.616283	0.511718	0.09889	0.278646	0.0723269	0.390936	0.393997	0.549934	0.82363	1.71185	0.395341	1.51212	0.544759	1.78863	1.63989	0.491355	0.970568	0.25924	1.2522	2.9801	0.406235	0.155465	0.811434	0.504521	0.479851	0.752836	0.136182	0.0626236	0.906549	0.849406	0.070007	0.773852	1.41041	2.48311	0.892515	0.741896	0.0627202	0.167734	1.06549	2.29945	0.803891	0.600428	1.27714	1.94669	0.00973563	0.0017113	0.0145828	0.00361403	0.000495986	0.00280336	0.00242701	0.00250484	0.00844957	0.00327866	0.000513661	0.00286586	0.00162235	0.000292758	0.000962802	0.000818433	0.000303275	0.00438281	0.00605653	0.00197224	0.00120869	0.00643725	0.00102282	0.000925667	0.0070468	0.0018143	0.00252543	0.00546539	0.00442934	0.00896397	0.00276804	0.00229839	0.000444166	0.00125154	0.000324858	0.0017559	0.00176964	0.00247004	0.00369935	0.00768879	0.00177568	0.0067917	0.0024468	0.00803367	0.00736558	0.00220693	0.00435932	0.00116438	0.0056243	0.0133852	0.00182461	0.000698273	0.00364457	0.00226606	0.00215526	0.00338138	0.000611665	0.000281275	0.00407178	0.00381512	0.000314438	0.00347577	0.00633488	0.0111529	0.00400875	0.00333224	0.000281709	0.000753378	0.00478567	0.010328	0.00361069	0.00269683	0.0057363	0.00874358	0.121763	5.12286	2.33786	1.54097	0.631795	0	0.759495	6.523731	1	1	1	1	1	4.448225	0.03397467	0.004491518	6.816856	0.00647119	0.115177	0.61809	3.26026
500	-2217.24	-2004.28	-212.963	1.185191	0.208198	0.257044	0.238732	0.296027	0.5667818	2.6767	1.07287	4.72642	0.1585	0.96678	1.2148	0.8971	0.145627	0.263086	0.308874	1.51406	0.552211	0.187291	0.141503	0.142524	0.271948	0.293481	0.294927	4.09539	0.234198	0.580194	0.865608	0.437181	0.175466	0.465476	1.74545	2.55744	0.67266	1.35123	0.856776	0.323441	1.10407	1.89083	0.632592	0.20514	0.11021	0.72812	0.442616	0.646424	1.81816	0.361047	0.287355	1.03645	0.311931	0.155206	0.285273	1.35507	0.183664	1.38087	1.39816	1.07361	0.321945	1.07988	0.575581	0.486733	0.687735	0.779473	0.101682	0.771345	0.58873	0.550752	0.709078	0.767698	0.480515	1.09708	0.45921	0.0740871	0.552882	0.247676	2.23187	0.749033	0.952048	0.845449	0.499737	0.0106254	0.00425887	0.018762	0.00062918	0.00383772	0.00482227	0.00356112	0.000578081	0.00104435	0.0012261	0.0060102	0.00219206	0.00074347	0.000561708	0.000565761	0.00107952	0.001165	0.00117074	0.016257	0.000929671	0.00230314	0.00343611	0.00173543	0.000696527	0.00184775	0.00692874	0.010152	0.00267019	0.00536383	0.00340106	0.00128393	0.00438271	0.00750583	0.00251113	0.000814322	0.000437488	0.00289034	0.001757	0.00256604	0.00721735	0.00143321	0.00114068	0.00411428	0.00123824	0.000616107	0.00113242	0.00537908	0.000729073	0.00548151	0.00555014	0.00426179	0.00127799	0.00428671	0.00228482	0.00193213	0.00273003	0.00309419	0.000403637	0.00306193	0.00233702	0.00218626	0.00281475	0.00304745	0.00190745	0.00435497	0.00182288	0.000294096	0.00219472	0.000983174	0.00885961	0.00297336	0.00377925	0.00335609	0.00198375	0.1098558	5.07135	2.30182	1.6415	0.67469	0	0.8432117	4.468856	0	1	1	1	1	3.898571	0.02509399	0.003969595	9.943089	0.172359	0.526123	1.02499	2.27652
600	-2211.87	-1994.54	-217.329	0.5533604	0.206646	0.247641	0.237625	0.308088	0.4080469	6.1106	4.22278	9.01353	1.05736	0.563059	0.296051	0.113303	0.306897	0.771999	1.68192	0.345298	0.197578	0.344335	1.13681	0.428607	0.53441	0.111429	0.193873	1.0235	0.109795	0.18231	1.11455	0.692543	0.98614	0.203839	0.84791	0.658646	0.742692	0.355114	0.503305	0.950016	1.07272	0.899268	0.455793	0.467234	1.17367	0.128292	0.644266	0.208057	0.30007	0.555517	0.346381	0.437513	0.882531	0.673647	0.16742	1.15603	0.131542	0.731583	1.55217	1.06303	0.551238	0.68653	1.11141	0.554773	0.122482	0.811846	0.434665	0.566316	0.900975	0.327904	0.405424	0.279535	0.338163	1.41459	0.185921	0.153127	0.440503	0.262804	1.23976	0.602502	0.675184	0.821453	0.214535	0.0232888	0.0160939	0.0343524	0.00402981	0.00214594	0.00112831	0.000431823	0.00116965	0.00294225	0.00641016	0.001316	0.000753009	0.00131233	0.00433263	0.00163351	0.00203675	0.000424681	0.000738889	0.00390077	0.000418452	0.000694822	0.0042478	0.00263943	0.00375838	0.000776874	0.00323156	0.00251024	0.00283055	0.00135341	0.0019182	0.00362071	0.00408838	0.0034273	0.00173712	0.00178073	0.00447309	0.000488948	0.00245543	0.000792949	0.00114363	0.00211719	0.00132013	0.00166745	0.00336351	0.00256741	0.000638073	0.00440589	0.000501333	0.00278822	0.00591564	0.00405141	0.00210088	0.00261651	0.00423581	0.00211435	0.000466805	0.00309411	0.0016566	0.00215835	0.0034338	0.00124971	0.00154516	0.00106537	0.00128881	0.0053913	0.000708585	0.000583597	0.00167885	0.0010016	0.00472499	0.00229626	0.00257327	0.00313073	0.000817637	0.1232739	5.13661	3.29475	1.71308	0.528611	0	0.9888531	6.882534	1	1	1	1	1	3.651799	0.04581375	0.003811207	13.64801	0.0436546	0.285331	0.855522	2.81549
700	-2215.26	-1998.65	-216.613	0.5328118	0.203908	0.244184	0.234477	0.31743	0.8952869	1.16157	1.16015	1.06873	0.615407	0.0847168	0.316576	0.316714	1.15618	0.393284	2.48193	5.10322	0.105084	1.44529	0.493137	0.084263	0.286834	0.266565	0.455698	0.903275	0.0681786	0.112227	0.515328	0.518079	0.864605	0.47842	2.0219	0.478181	1.19719	2.19407	0.622162	0.480894	0.383226	0.519509	0.642785	0.580803	0.687536	0.34843	0.78933	0.132452	0.227123	5.31455	0.0440323	0.254425	2.46479	0.235898	0.269993	2.83812	1.17568	0.590659	0.928122	1.0877	0.457245	0.320353	1.46782	0.804569	0.170295	0.0316121	0.0695472	1.02992	1.70109	0.509772	0.244075	1.50635	0.485	0.214623	0.0135296	0.1942	0.415401	0.532654	1.18546	1.42572	0.234897	0.566519	8.62077	0.00649318	0.00648523	0.00597421	0.00344012	0.000473566	0.00176966	0.00177043	0.00646303	0.00219845	0.013874	0.028527	0.00058742	0.00807916	0.00275663	0.00047103	0.0016034	0.0014901	0.00254735	0.0050493	0.000381118	0.000627346	0.00288068	0.00289606	0.00483314	0.00267436	0.0113024	0.00267303	0.00669231	0.0122648	0.00347788	0.0026882	0.00214223	0.00290405	0.00359317	0.00324669	0.00384332	0.00194772	0.00441235	0.000740404	0.00126962	0.0297083	0.000246141	0.00142224	0.0137782	0.00131867	0.00150926	0.0158651	0.00657202	0.00330178	0.0051882	0.00608021	0.00255599	0.00179077	0.00820512	0.00449754	0.00095195	0.000176711	0.000388768	0.00575723	0.00950909	0.00284962	0.00136438	0.00842048	0.00271115	0.00119974	7.56303e-05	0.00108558	0.00232209	0.00297753	0.0066267	0.00796975	0.00131307	0.00316684	0.0481901	0.1556997	5.12178	2.6992	1.47418	0.519202	0	0.8567544	3.355053	0	1	1	1	1	3.202425	0.05572786	0.005589994	5.842708	0.0396187	0.272797	0.842749	2.84483
800	-2201.13	-2005.87	-195.261	0.539406	0.205417	0.219984	0.278564	0.296035	1.082133	2.15574	0.646055	2.33829	0.199691	0.417232	0.184238	0.262748	0.336394	0.263616	0.849361	0.256103	0.670258	0.452575	0.258601	0.585957	1.69741	1.01826	0.993185	0.835766	0.64744	8.93759	1.23234	0.938681	0.303747	0.0946008	1.16728	0.373195	1.07874	1.84909	1.0723	0.330621	0.174351	0.141435	0.385664	0.423725	0.437396	0.491312	0.262002	1.147	0.526796	1.63448	0.124252	0.416562	0.638474	0.898489	0.349684	0.698439	0.275999	1.59616	8.45653	1.65912	1.06983	0.513983	4.22656	0.328576	0.243246	0.567594	0.256576	1.70448	0.675227	0.0976512	0.372657	0.538679	0.46696	0.0455261	0.234529	0.606196	0.524171	0.971404	1.57949	0.393655	0.356602	0.988388	0.403993	0.0194667	0.005834	0.0211152	0.00180325	0.00376769	0.0016637	0.00237266	0.0030377	0.0023805	0.00766989	0.00231266	0.00605256	0.00408684	0.00233522	0.0052913	0.015328	0.00919506	0.00896865	0.00754712	0.00584651	0.0807081	0.0111283	0.00847646	0.00274289	0.000854263	0.0105408	0.00337002	0.00974127	0.0166976	0.00968308	0.00298557	0.00157442	0.00127719	0.00348262	0.00382632	0.00394977	0.00443664	0.00236593	0.0103577	0.00475706	0.0147597	0.00112202	0.00376164	0.00576554	0.00811352	0.00315771	0.00630704	0.00249233	0.0144136	0.0763641	0.0149821	0.00966077	0.00464137	0.0381667	0.00296711	0.00219656	0.00512548	0.00231693	0.0153917	0.00609743	0.000881809	0.00336517	0.00486437	0.00421673	0.000411109	0.00211784	0.00547407	0.00473336	0.00877196	0.0142631	0.00355478	0.00322019	0.00892533	0.00364814	0.1079023	5.12694	2.2474	1.36092	0.614517	0	1.01567	2.529373	0	1	1	1	1	3.941002	0.07753677	0.009030191	3.368853	0.0409038	0.276865	0.846951	2.83528
900	-2206.75	-1999.38	-207.369	0.4615794	0.201701	0.241737	0.214058	0.342504	0.8640791	4.49262	1.13785	5.62999	1.90019	0.140951	0.46803	0.310832	0.563089	0.224004	1.04468	0.496403	0.559392	0.367996	0.180388	0.350406	0.69366	0.584383	0.169831	1.56697	0.17542	0.906539	0.727183	0.479037	0.103976	0.616718	1.57234	0.609061	3.5961	0.885322	2.10794	0.423354	0.130563	0.17792	0.350532	0.284825	0.430402	0.510703	0.171135	0.728016	0.236737	0.879683	1.23883	1.64314	0.948097	0.695997	0.673609	0.682602	0.85799	0.59643	1.86817	0.756519	0.36278	1.29098	1.60169	0.269854	1.28025	0.203408	1.72492	1.10657	0.313481	0.857053	0.21644	0.739855	0.31145	0.516997	0.173615	0.833598	0.4929	0.0976658	1.45359	0.29919	0.276501	0.966479	1.22232	0.0229507	0.00581273	0.028761	0.00970721	0.000720052	0.00239095	0.0015879	0.00287656	0.00114433	0.00533677	0.00253589	0.00285768	0.00187992	0.00092152	0.00179006	0.00354359	0.00298535	0.000867588	0.00800491	0.00089614	0.00463109	0.00371484	0.00244718	0.000531167	0.00315053	0.00803239	0.00311141	0.0183708	0.0045227	0.0107685	0.00216272	0.000666989	0.000908911	0.00179071	0.00145504	0.00219873	0.00260895	0.000874252	0.0037191	0.00120938	0.0044939	0.0063286	0.00839407	0.00484339	0.00355553	0.00344116	0.0034871	0.00438308	0.00304689	0.00954363	0.00386471	0.00185327	0.00659502	0.00818228	0.00137856	0.00654019	0.00103912	0.00881182	0.00565297	0.00160143	0.00437829	0.00110569	0.00377958	0.00159106	0.0026411	0.00088692	0.00425847	0.002518	0.00049893	0.00742571	0.00152843	0.00141252	0.0049373	0.00624428	0.0753549	5.07571	3.0676	1.7671	0.542307	0	1.484489	4.086657	0	1	1	1	1	4.162573	0.06141997	0.005108542	6.711596	0.0265073	0.226096	0.790166	2.95723
