state,range
0,000000
1,100000
2,010000
3,001000
4,000100
5,000010
6,000001
7,110000
8,101000
9,011000
10,100100
11,010100
12,001100
13,100010
14,010010
15,001010
16,000110
17,100001
18,010001
19,001001
20,000101
21,000011
22,111000
23,110100
24,101100
25,011100
26,110010
27,101010
28,011010
29,100110
30,010110
31,001110
32,110001
33,101001
34,011001
35,100101
36,010101
37,001101
38,100011
39,010011
40,001011
41,000111
42,111100
43,111010
44,110110
45,101110
46,011110
47,111001
48,110101
49,101101
50,011101
51,110011
52,101011
53,011011
54,100111
55,010111
56,001111
57,111110
58,111101
59,111011
60,110111
61,101111
62,011111
63,111111
