Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-118.446	-119.089	0.642982	0.835963	0.164037	0.01	3.54132	1.41388	0.452597	0	1.076612	0.1640372	0.8359628	0.01
10	-55.4615	-49.6348	-5.82663	0.240403	0.759597	0.005767746	3.5656	1.60847	0.663094	0	1.595351	0.7595974	0.2404026	2.337484
20	-52.2551	-45.7837	-6.47138	0.730158	0.269842	0.02278623	3.38134	1.45369	0.699852	0	0.4050188	0.2698417	0.7301583	10.51459
30	-53.9631	-47.0375	-6.92561	0.325287	0.674713	0.02664982	2.81348	1.7828	0.387597	0	0.6974296	0.6747134	0.3252866	28.95881
40	-52.8735	-46.1086	-6.76496	0.0433103	0.95669	0.02723766	2.76019	1.64435	0.674816	0	0.4348211	0.9566897	0.04331032	16.22327
50	-51.8819	-45.6654	-6.21647	0.869307	0.130693	0.02353345	3.23553	1.66925	0.499079	0	0.5591407	0.1306932	0.8693068	13.09188
60	-53.0309	-47.0098	-6.02114	0.100185	0.899815	0.01734879	3.14528	1.69301	0.54265	0	0.7462591	0.8998152	0.1001848	11.56844
70	-52.2249	-45.9257	-6.29918	0.802582	0.197418	0.02293997	3.06207	1.69502	0.379545	0	0.6980711	0.197418	0.802582	15.4775
80	-52.71	-45.9263	-6.78368	0.174328	0.825672	0.02605075	3.37682	1.73142	0.361377	0	0.4702506	0.8256725	0.1743275	18.84676
90	-53.3801	-45.8115	-7.5686	0.784898	0.215102	0.02896073	3.37299	1.33103	0.647761	0	0.3847683	0.2151017	0.7848983	28.11271
100	-52.7403	-47.9382	-4.80209	0.815287	0.184713	0.0112483	2.93569	1.61132	0.462475	0	0.8389285	0.1847133	0.8152867	3.200435
110	-51.9555	-45.9367	-6.01884	0.899677	0.100323	0.02103727	3.15165	1.33345	0.493719	0	0.8734121	0.1003225	0.8996775	10.42979
120	-52.4216	-46.0065	-6.41518	0.701381	0.298619	0.02185996	2.69667	1.75101	0.432352	0	0.5567581	0.298619	0.701381	15.91311
130	-54.2116	-48.5443	-5.66727	0.929397	0.0706035	0.01309709	2.92088	1.71907	0.627428	0	0.7842076	0.07060348	0.9293965	7.94988
140	-54.9149	-49.5198	-5.39508	0.476117	0.523883	0.02156028	3.4594	1.63761	0.445667	0	1.103884	0.5238828	0.4761172	4.001746
150	-52.9145	-47.2156	-5.69891	0.762943	0.237057	0.01229171	3.60626	1.55984	0.420024	0	1.39909	0.2370571	0.7629429	3.092773
160	-52.1214	-46.6444	-5.47705	0.201175	0.798825	0.01345977	3.41521	1.31575	0.504402	0	1.167726	0.798825	0.201175	3.879927
170	-52.9477	-46.1824	-6.76537	0.504135	0.495865	0.02284486	3.1173	1.43491	0.662852	0	1.250705	0.4958653	0.5041347	12.05116
180	-55.2972	-48.169	-7.12819	0.184708	0.815292	0.03529555	2.92527	1.34027	0.69839	0	0.5361262	0.8152923	0.1847077	31.35873
190	-53.7393	-47.1153	-6.62397	0.494573	0.505427	0.02222938	2.26015	1.43617	0.610958	0	0.6361045	0.5054272	0.4945728	21.17193
200	-53.2201	-46.8911	-6.32897	0.54915	0.45085	0.01836908	3.08704	1.7366	0.494781	0	0.4966495	0.4508504	0.5491496	12.91746
210	-55.0607	-47.7884	-7.2723	0.725036	0.274964	0.02943864	2.85903	1.71901	0.581773	0	0.939409	0.274964	0.725036	33.70616
220	-55.35	-48.0139	-7.33607	0.801425	0.198575	0.02316584	2.75705	1.53417	0.583823	0	0.4262929	0.1985749	0.8014251	27.67434
230	-54.7379	-47.0583	-7.67963	0.743242	0.256758	0.03659863	2.23452	1.40147	0.50349	0	0.532395	0.2567577	0.7432423	54.04916
240	-53.0139	-46.5238	-6.49011	0.944809	0.0551907	0.02939202	2.5569	1.68343	0.62047	0	0.6221855	0.05519073	0.9448093	18.37494
