Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
0	-71.5449	-69.3567	-2.18822	1.087218	-2	0.01
10	-56.2404	-54.4715	-1.76887	0.6698605	-0.7988526	0.1589086
20	-56.4377	-53.9314	-2.50639	1.262126	-0.6325822	0.2330332
30	-57.9214	-55.5832	-2.33819	1.172515	-1.06802	0.08550279
40	-56.4504	-53.8517	-2.59862	1.309464	-0.6376795	0.2303141
50	-56.176	-54.0118	-2.16425	1.072896	-0.6845881	0.206734
60	-56.8452	-53.6167	-3.22842	1.615517	-0.8121451	0.1541185
70	-56.3778	-53.6338	-2.74399	1.382269	-0.697446	0.2007031
80	-56.4106	-54.6279	-1.78266	0.6300668	-0.861187	0.1376617
90	-56.1262	-53.8991	-2.2271	1.109987	-0.7538336	0.1762651
100	-58.0623	-56.2147	-1.84755	0.5627061	-1.105538	0.07842636
110	-57.0687	-55.0849	-1.98386	0.4946688	-0.6838379	0.2070914
120	-56.3092	-53.9042	-2.40502	1.208724	-0.6594346	0.2190612
130	-58.2737	-52.9226	-5.35116	2.62107	-0.5965109	0.2532148
140	-57.185	-53.723	-3.46202	1.72539	-0.5633692	0.2732944
150	-59.5722	-57.5979	-1.97428	0.947913	-1.244882	0.05690077
160	-56.0635	-54.1752	-1.88825	0.8786792	-0.7555694	0.175562
170	-60.8146	-56.6618	-4.15286	2.048459	-0.2737305	0.5324386
180	-57.1455	-54.8985	-2.24702	1.121456	-0.5246907	0.2987509
190	-56.1582	-53.8474	-2.31072	1.157357	-0.7268868	0.1875483
200	-57.0114	-55.1087	-1.90272	0.8913372	-0.5539863	0.2792632
210	-56.6065	-53.9336	-2.67295	1.346932	-0.607507	0.246884
220	-58.0879	-52.9173	-5.17055	2.533029	-0.6198855	0.2399465
230	-56.375	-54.059	-2.31596	1.160262	-0.6351373	0.2316662
240	-58.3823	-55.8479	-2.53435	1.276589	-1.098337	0.07973754
250	-56.5629	-54.6142	-1.94863	0.9285758	-0.9256499	0.1186725
260	-56.6406	-54.8661	-1.77452	0.6478833	-0.6578024	0.219886
270	-56.3744	-53.8638	-2.5106	1.264311	-0.650212	0.2237628
280	-56.1991	-54.4309	-1.76822	0.7000224	-0.8018502	0.1578155
