Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-123.188	-121.837	-1.35085	0.631979	0.368021	0.01	2.59888	1.39541	0.528866	0	0.2299959	0.368021	0.631979	0.01
10	-54.0541	-49.9532	-4.10083	0.504433	0.495567	0.006809918	3.14269	1.51979	0.540889	0	0.6866579	0.4955672	0.5044328	1.718615
20	-52.0986	-46.6279	-5.47072	0.350726	0.649274	0.01035349	3.11695	1.69061	0.645044	0	1.283795	0.649274	0.350726	3.097549
30	-53.142	-47.902	-5.23995	0.948511	0.0514887	0.01168293	3.40123	1.43633	0.662603	0	0.8206405	0.05148869	0.9485113	5.041729
40	-51.465	-45.4713	-5.9937	0.603541	0.396459	0.02025666	3.45523	1.51231	0.676342	0	0.6053058	0.3964586	0.6035414	11.04657
50	-51.7746	-45.5939	-6.18071	0.532025	0.467975	0.02179607	2.60695	1.53873	0.593736	0	0.783539	0.4679747	0.5320253	13.29048
60	-52.7829	-46.5093	-6.27357	0.926943	0.0730569	0.02200817	2.30792	1.74005	0.602708	0	1.197171	0.07305691	0.9269431	8.152284
70	-52.5767	-45.6475	-6.92923	0.563613	0.436387	0.0217434	3.41305	1.64468	0.609694	0	0.3411591	0.4363868	0.5636132	10.90019
80	-51.8416	-45.7546	-6.08703	0.0952423	0.904758	0.02066658	2.99013	1.35365	0.626348	0	0.6840072	0.9047577	0.09524233	12.52439
90	-53.515	-46.3751	-7.13987	0.917533	0.0824675	0.02359223	2.43586	1.46596	0.570044	0	1.334554	0.08246746	0.9175325	14.87732
100	-52.4837	-46.1833	-6.30036	0.556795	0.443205	0.02106407	2.93658	1.3	0.538151	0	0.7711725	0.4432048	0.5567952	15.09753
110	-52.6819	-46.5672	-6.11475	0.722467	0.277533	0.02320692	3.53474	1.59853	0.387272	0	0.9868405	0.2775332	0.7224668	9.911604
120	-54.674	-47.2408	-7.43326	0.131993	0.868007	0.03624651	3.32569	1.49349	0.46075	0	0.6461145	0.8680067	0.1319933	47.7661
130	-53.7444	-45.8367	-7.90772	0.73481	0.26519	0.02997227	3.05873	1.31613	0.450867	0	0.3531222	0.2651901	0.7348099	31.86324
140	-54.4203	-48.1191	-6.30118	0.982939	0.0170609	0.02991365	3.19017	1.55717	0.642612	0	0.8489552	0.01706091	0.9829391	14.19112
150	-52.9769	-45.881	-7.09588	0.992023	0.00797707	0.03002491	3.22133	1.45938	0.449478	0	0.5092267	0.007977073	0.9920229	28.69548
160	-52.7546	-46.2144	-6.54026	0.513125	0.486875	0.0254076	3.06853	1.46878	0.304081	0	0.6610277	0.4868751	0.5131249	19.64684
170	-53.9366	-46.4308	-7.50577	0.602096	0.397904	0.03182011	3.36427	1.79832	0.341393	0	0.4859828	0.3979037	0.6020963	40.69956
180	-55.1591	-47.8763	-7.28279	0.138564	0.861436	0.03480504	2.58883	1.59241	0.591946	0	0.9091117	0.8614364	0.1385636	35.41018
190	-52.3335	-46.0777	-6.25578	0.977733	0.0222665	0.01851084	2.77702	1.33098	0.554702	0	1.148089	0.02226655	0.9777335	8.757687
200	-55.2595	-47.049	-8.21055	0.878808	0.121192	0.0174986	3.25506	1.60822	0.51375	0	2.365586	0.1211924	0.8788076	4.931872
210	-53.0334	-46.3587	-6.67467	0.887974	0.112026	0.01617004	2.42623	1.30298	0.687348	0	1.555862	0.1120265	0.8879735	5.931514
220	-52.801	-47.737	-5.06402	0.717778	0.282222	0.01630455	2.40891	1.38819	0.408907	0	0.7453556	0.2822223	0.7177777	4.443975
230	-55.3153	-48.5992	-6.71603	0.894601	0.105399	0.0214064	2.31112	1.39959	0.33926	0	0.7326038	0.1053988	0.8946012	23.30274
240	-52.0524	-46.2562	-5.79624	0.14946	0.85054	0.0182495	3.32912	1.69751	0.388033	0	0.981194	0.8505401	0.1494599	7.267667
250	-52.3657	-46.5873	-5.77839	0.390492	0.609508	0.01851531	2.37221	1.42828	0.33509	0	0.6852481	0.6095083	0.3904917	9.198741
260	-55.7819	-45.9951	-9.78679	0.222256	0.777744	0.03100981	3.42612	1.35966	0.534063	0	0.2238644	0.7777444	0.2222556	40.89418
270	-53.0415	-47.543	-5.49846	0.224524	0.775476	0.02061038	3.01416	1.51477	0.626116	0	1.035106	0.7754761	0.2245239	4.971697
280	-55.6548	-48.0999	-7.55489	0.931214	0.0687865	0.03450741	3.32057	1.60547	0.611156	0	1.028389	0.06878648	0.9312135	39.28225
290	-53.2222	-45.6368	-7.58543	0.717446	0.282554	0.02915303	2.84663	1.65762	0.636348	0	0.3881767	0.2825538	0.7174462	29.17643
300	-53.8547	-46.716	-7.13871	0.319412	0.680588	0.02797609	2.80068	1.66904	0.483844	0	1.034566	0.680588	0.319412	25.65839
310	-53.9353	-46.0371	-7.89811	0.953874	0.0461263	0.03434817	3.11446	1.7633	0.484474	0	0.3813164	0.04612627	0.9538737	38.26988
320	-53.9762	-46.5388	-7.43747	0.46024	0.53976	0.035124	2.51967	1.64173	0.464921	0	0.5402553	0.5397597	0.4602403	43.04606
330	-53.2225	-46.6605	-6.56202	0.248543	0.751457	0.02232258	3.12355	1.68678	0.400706	0	0.8956383	0.7514574	0.2485426	17.50515
340	-54.7445	-48.3679	-6.37659	0.0380735	0.961927	0.01097427	3.00122	1.67315	0.349538	0	1.839526	0.9619265	0.03807346	2.407926
350	-52.2911	-46.6866	-5.60451	0.294705	0.705295	0.01826658	2.22164	1.6997	0.380658	0	0.9606289	0.705295	0.294705	6.177863
360	-53.5059	-48.1989	-5.30696	0.459413	0.540587	0.01700148	2.32082	1.59836	0.330509	0	0.5228195	0.5405871	0.4594129	4.943243
370	-51.5918	-45.7205	-5.87125	0.466968	0.533032	0.01831183	2.79895	1.76636	0.686338	0	0.6494774	0.5330324	0.4669676	10.0295
380	-51.5216	-45.4894	-6.03223	0.873964	0.126036	0.02109368	3.57123	1.77788	0.652879	0	0.6028092	0.1260365	0.8739635	11.45608
390	-52.2554	-45.8115	-6.44395	0.074597	0.925403	0.0236425	3.27154	1.3266	0.591273	0	0.6137763	0.925403	0.07459704	17.44483
400	-53.2021	-47.5937	-5.60837	0.174254	0.825746	0.01216322	2.89873	1.35833	0.55054	0	0.9977343	0.8257462	0.1742538	5.877913
410	-52.0585	-45.4866	-6.57187	0.367545	0.632455	0.02316369	3.06872	1.45959	0.553459	0	0.4864873	0.6324548	0.3675452	16.01864
420	-52.8003	-46.9365	-5.86376	0.680906	0.319094	0.01581888	2.20031	1.45624	0.578001	0	0.5009271	0.3190938	0.6809062	8.201918
430	-51.8339	-46.4257	-5.40821	0.197716	0.802284	0.01480666	2.61486	1.40614	0.649227	0	1.130591	0.8022838	0.1977162	3.870594
440	-55.0834	-46.8884	-8.19505	0.609616	0.390384	0.01694655	3.23468	1.42183	0.436523	0	2.284242	0.390384	0.609616	5.759072
450	-51.7033	-46.0658	-5.63745	0.335264	0.664736	0.01947463	3.19127	1.44715	0.478539	0	0.8750068	0.6647363	0.3352637	7.110114
460	-52.8782	-46.0544	-6.82379	0.580139	0.419861	0.02099989	3.10528	1.61002	0.648365	0	1.33264	0.4198613	0.5801387	10.88693
470	-51.3394	-45.48	-5.85936	0.317449	0.682551	0.01885548	3.20386	1.74274	0.587073	0	0.5527733	0.6825513	0.3174487	9.071821
480	-52.9069	-46.8008	-6.10606	0.455757	0.544243	0.01863479	2.80832	1.71409	0.449613	0	1.342632	0.5442426	0.4557574	5.206639
490	-52.8793	-46.1461	-6.7332	0.29288	0.70712	0.0174517	2.91661	1.58904	0.584598	0	1.614639	0.7071198	0.2928802	5.556008
500	-52.623	-45.9528	-6.67028	0.445081	0.554919	0.02201061	2.35375	1.49201	0.526436	0	0.4785983	0.5549194	0.4450806	17.27119
510	-51.5608	-45.6174	-5.94342	0.763367	0.236633	0.0197412	2.27796	1.77881	0.698193	0	0.6905291	0.2366333	0.7633667	10.84897
520	-53.3559	-46.8454	-6.5105	0.150283	0.849717	0.02796251	2.80883	1.56072	0.637567	0	0.4621374	0.8497173	0.1502827	13.95922
530	-54.9652	-47.4024	-7.5628	0.989478	0.0105221	0.03420355	2.48689	1.57456	0.674487	0	0.5280394	0.01052209	0.9894779	47.68093
540	-53.3602	-46.8812	-6.47905	0.592909	0.407091	0.02805544	3.61087	1.66517	0.433624	0	0.9228775	0.4070912	0.5929088	15.58016
550	-52.8392	-46.1929	-6.64624	0.856447	0.143553	0.02676458	3.37981	1.60922	0.53507	0	0.9731291	0.1435528	0.8564472	17.20256
560	-52.1914	-46.9617	-5.2297	0.803716	0.196284	0.01727688	3.52429	1.56876	0.630389	0	0.5332002	0.1962841	0.8037159	4.671581
570	-53.0324	-46.425	-6.60741	0.78601	0.21399	0.02361426	3.67529	1.44424	0.661599	0	0.9170918	0.2139904	0.7860096	17.84437
580	-52.6516	-47.4504	-5.2012	0.572032	0.427968	0.01631017	2.566	1.33191	0.48598	0	0.5451072	0.4279685	0.5720315	4.638781
590	-55.39	-49.08	-6.31007	0.622282	0.377718	0.02801376	2.62955	1.36096	0.529278	0	0.42618	0.3777179	0.6222821	9.914427
600	-51.8282	-46.0427	-5.78544	0.926389	0.0736108	0.02098888	3.03614	1.45378	0.573069	0	0.6111372	0.07361078	0.9263892	9.01191
610	-52.9907	-46.5267	-6.46398	0.380341	0.619659	0.01615322	3.02522	1.60845	0.619796	0	1.280467	0.6196594	0.3803406	8.41772
620	-52.2253	-45.858	-6.36733	0.964549	0.0354511	0.02580994	2.24681	1.5497	0.59138	0	0.607108	0.03545113	0.9645489	16.07463
630	-52.198	-46.6104	-5.58755	0.226173	0.773827	0.01092654	2.83295	1.56283	0.623159	0	1.315554	0.7738271	0.2261729	3.27125
640	-53.5979	-46.6209	-6.97701	0.516778	0.483222	0.01285128	3.42856	1.7776	0.5956	0	2.072967	0.4832222	0.5167778	2.664854
650	-52.5592	-46.4263	-6.13288	0.791331	0.208669	0.0227063	3.68687	1.72367	0.476585	0	1.075309	0.2086688	0.7913312	8.783374
660	-51.2114	-45.3797	-5.83169	0.316087	0.683913	0.02088685	3.21474	1.77651	0.561673	0	0.7398664	0.6839127	0.3160873	9.597548
670	-54.0755	-45.8405	-8.23498	0.429235	0.570765	0.02492202	3.11699	1.57622	0.483927	0	0.2700774	0.5707647	0.4292353	18.7422
680	-52.8179	-46.5344	-6.28348	0.866626	0.133374	0.01686778	3.40028	1.69386	0.440115	0	1.178911	0.1333743	0.8666257	8.515231
690	-51.9414	-45.6179	-6.32347	0.898151	0.101849	0.02527835	2.86009	1.62471	0.572406	0	0.6565137	0.1018492	0.8981508	15.79926
700	-52.6618	-45.9729	-6.68889	0.71247	0.28753	0.02685301	2.6625	1.74875	0.606324	0	0.7387661	0.2875297	0.7124703	22.62707
710	-51.7468	-45.8174	-5.92942	0.546733	0.453267	0.0182544	3.61239	1.65771	0.689867	0	0.8691374	0.4532668	0.5467332	9.582159
720	-52.2873	-46.6061	-5.68121	0.323906	0.676094	0.0169655	2.68914	1.51095	0.618598	0	0.4294246	0.6760936	0.3239064	5.362977
730	-53.9066	-47.5851	-6.32148	0.762984	0.237016	0.02278145	3.47174	1.30099	0.594291	0	1.30886	0.2370159	0.7629841	6.905336
740	-53.783	-48.859	-4.92408	0.788095	0.211905	0.007475373	3.02296	1.37735	0.584599	0	1.300018	0.2119049	0.7880951	1.737188
750	-53.3759	-48.4017	-4.97425	0.826025	0.173975	0.01102897	3.56627	1.52734	0.624883	0	0.5678568	0.1739746	0.8260254	3.82694
