Iteration	Posterior	Likelihood	Prior	alpha	bf[1]	bf[2]	bf[3]	bf[4]	birth	branch_rate_multiplier[1]	branch_rate_multiplier[2]	branch_rate_multiplier[3]	branch_rate_multiplier[4]	branch_rate_multiplier[5]	branch_rate_multiplier[6]	branch_rate_multiplier[7]	branch_rate_multiplier[8]	branch_rate_multiplier[9]	branch_rate_multiplier[10]	branch_rate_multiplier[11]	branch_rate_multiplier[12]	branch_rate_multiplier[13]	branch_rate_multiplier[14]	branch_rate_multiplier[15]	branch_rate_multiplier[16]	branch_rate_multiplier[17]	branch_rate_multiplier[18]	branch_rate_multiplier[19]	branch_rate_multiplier[20]	branch_rate_multiplier[21]	branch_rate_multiplier[22]	branch_rate_multiplier[23]	branch_rate_multiplier[24]	branch_rate_multiplier[25]	branch_rate_multiplier[26]	branch_rate_multiplier[27]	branch_rate_multiplier[28]	branch_rate_multiplier[29]	branch_rate_multiplier[30]	branch_rate_multiplier[31]	branch_rate_multiplier[32]	branch_rate_multiplier[33]	branch_rate_multiplier[34]	branch_rate_multiplier[35]	branch_rate_multiplier[36]	branch_rate_multiplier[37]	branch_rate_multiplier[38]	branch_rate_multiplier[39]	branch_rate_multiplier[40]	branch_rate_multiplier[41]	branch_rate_multiplier[42]	branch_rate_multiplier[43]	branch_rate_multiplier[44]	branch_rate_multiplier[45]	branch_rate_multiplier[46]	branch_rate_multiplier[47]	branch_rate_multiplier[48]	branch_rate_multiplier[49]	branch_rate_multiplier[50]	branch_rate_multiplier[51]	branch_rate_multiplier[52]	branch_rate_multiplier[53]	branch_rate_multiplier[54]	branch_rate_multiplier[55]	branch_rate_multiplier[56]	branch_rate_multiplier[57]	branch_rate_multiplier[58]	branch_rate_multiplier[59]	branch_rate_multiplier[60]	branch_rate_multiplier[61]	branch_rate_multiplier[62]	branch_rate_multiplier[63]	branch_rate_multiplier[64]	branch_rate_multiplier[65]	branch_rate_multiplier[66]	branch_rate_multiplier[67]	branch_rate_multiplier[68]	branch_rate_multiplier[69]	branch_rate_multiplier[70]	branch_rate_multiplier[71]	branch_rate_multiplier[72]	branch_rate_multiplier[73]	branch_rate_multiplier[74]	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	clado_event_probs[1]	clado_event_probs[2]	death	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	extirpation_rate	ingroup_age	ingroup_older_island[1]	ingroup_older_island[2]	ingroup_older_island[3]	ingroup_older_island[4]	ingroup_older_island[5]	kappa	p_allopatry	p_sympatry	rate_bg	rate_mol	root_age	site_rates[1]	site_rates[2]	site_rates[3]	site_rates[4]
0	-3102.07	-2907.64	-194.424	27.84204	0.131393	0.33788	0.521317	0.00941061	0.2773709	1.1557	0.607537	0.600442	0.724074	2.93003	0.469861	1.02767	0.442383	0.0974739	0.387268	1.67179	1.34964	0.501183	0.477201	0.25226	0.828023	0.183163	0.309857	0.519426	0.217028	0.386073	1.67098	0.91476	1.14292	0.997443	0.471885	1.05706	0.465537	0.325244	1.42876	1.11977	0.401723	0.525707	1.10044	0.600643	0.102029	0.523672	0.30244	1.10748	1.26081	0.390774	0.14361	0.299275	0.187962	1.57626	0.286655	0.428966	0.182437	0.199735	0.421179	0.198158	0.0770264	1.72234	0.121405	0.0975741	0.809771	0.590261	0.0741604	0.942128	0.485875	0.444386	0.990024	0.176491	0.368354	0.495469	1.13868	0.80816	3.24309	0.778202	0.990975	0.243151	0.442772	0.259749	1.13353	0.011557	0.00607537	0.00600442	0.00724074	0.0293003	0.00469861	0.0102767	0.00442383	0.000974739	0.00387268	0.0167179	0.0134964	0.00501183	0.00477201	0.0025226	0.00828023	0.00183163	0.00309857	0.00519426	0.00217028	0.00386073	0.0167098	0.0091476	0.0114292	0.00997443	0.00471885	0.0105706	0.00465537	0.00325244	0.0142876	0.0111977	0.00401723	0.00525707	0.0110044	0.00600643	0.00102029	0.00523672	0.0030244	0.0110748	0.0126081	0.00390774	0.0014361	0.00299275	0.00187962	0.0157626	0.00286655	0.00428966	0.00182437	0.00199735	0.00421179	0.00198158	0.000770264	0.0172234	0.00121405	0.000975741	0.00809771	0.00590261	0.000741604	0.00942128	0.00485875	0.00444386	0.00990024	0.00176491	0.00368354	0.00495469	0.0113868	0.0080816	0.0324309	0.00778202	0.00990975	0.00243151	0.00442772	0.00259749	0.0113353	0.0245028	0.975497	0.15531	0.001	5.10476	2.3286	1.33495	0.669795	0	0.418614	3.188254	0	1	1	1	1	2.467225	0.9754972	0.02450284	0.01	0.01	9.408712	0.770433	0.928647	1.05087	1.25005
100	-2210.64	-2003.75	-206.885	2.668152	0.211022	0.227462	0.216525	0.344992	0.8974075	2.62299	1.55286	4.13608	1.13717	0.309308	0.192259	0.983046	0.313294	0.641131	0.520694	0.65076	0.0512609	0.350412	0.252243	0.478619	0.503381	1.68453	1.05536	1.51202	0.241287	0.696586	0.925488	0.738201	3.01176	0.521097	0.5805	0.606432	0.658735	0.667403	0.54951	0.359499	0.629471	0.287833	0.536092	0.915261	2.31128	0.648809	0.753479	0.427739	0.089417	2.16325	0.942984	0.284458	1.88059	2.18364	0.473507	1.50387	0.556252	1.44396	7.65709	0.647612	0.381514	3.83085	0.43757	0.481727	0.213103	0.327752	0.654099	0.578672	0.248641	0.363593	1.16514	0.185658	0.59815	0.5238	0.584187	0.219491	1.10847	0.702904	5.50149	1.03617	3.06085	1.54114	2.19413	0.0152705	0.00904041	0.0240794	0.00662036	0.00180072	0.00111929	0.00572309	0.00182393	0.00373253	0.00303137	0.00378859	0.00029843	0.00204002	0.00146851	0.00278642	0.00293057	0.00980698	0.00614409	0.00880266	0.00140472	0.00405537	0.00538799	0.00429765	0.0175338	0.00303371	0.00337955	0.00353052	0.00383501	0.00388548	0.00319913	0.00209293	0.00366465	0.0016757	0.00312101	0.00532846	0.0134558	0.00377723	0.0043866	0.00249021	0.000520567	0.012594	0.00548985	0.00165606	0.0109484	0.0127127	0.00275666	0.00875523	0.00323838	0.0084064	0.044578	0.00377026	0.00222109	0.0223024	0.00254744	0.00280451	0.00124064	0.0019081	0.00380802	0.0033689	0.00144754	0.00211676	0.00678318	0.00108086	0.0034823	0.00304945	0.00340101	0.00127783	0.00645325	0.00409216	0.0320285	0.00603237	0.0178196	0.0089722	0.0127738	0.697894	0.302106	0.07657129	0.0006426772	5.09337	3.46471	1.6486	0.590433	0	1.766631	3.97776	0	1	1	1	1	3.620907	0.3021062	0.6978938	0.2184352	0.005821786	4.624984	0.361841	0.711325	1.0803	1.84653
200	-2205.93	-2008.68	-197.248	0.5630947	0.217988	0.250107	0.247722	0.284183	0.7028126	2.74084	0.889011	1.64532	0.189909	0.468992	0.452175	0.33049	0.157454	0.276499	0.301248	2.16545	2.75234	0.776367	0.275833	0.511033	0.477143	0.369964	0.926697	0.376305	1.1997	0.338943	0.723997	0.682581	0.189641	0.697239	0.65458	1.49331	1.57766	0.558188	0.604052	0.346799	0.14173	0.451777	0.216354	0.274733	1.67638	0.619517	2.10579	0.0426839	0.121615	0.868832	0.355542	1.58617	0.43986	0.41657	0.31859	1.67143	0.722199	1.76887	1.66466	1.79558	0.406514	0.594157	0.244304	0.288048	1.92486	1.08735	0.210978	0.865205	0.248532	2.44234	0.929518	0.677638	0.450244	1.40931	1.44878	0.630484	0.591186	0.234464	0.586939	0.45481	0.586976	0.46497	0.516823	0.0159135	0.00516164	0.00955282	0.00110262	0.00272299	0.00262535	0.00191884	0.000914184	0.00160537	0.00174906	0.0125727	0.0159802	0.00450763	0.0016015	0.00296709	0.00277032	0.00214803	0.00538045	0.00218484	0.0069655	0.00196792	0.00420356	0.0039631	0.00110107	0.0040482	0.00380052	0.00867024	0.00915998	0.00324086	0.00350716	0.00201353	0.000822891	0.00262304	0.00125616	0.00159511	0.00973315	0.00359695	0.0122263	0.000247825	0.000706101	0.00504448	0.0020643	0.0092094	0.00255385	0.00241862	0.00184975	0.00970442	0.00419312	0.0102702	0.0096651	0.0104252	0.00236024	0.0034497	0.00141844	0.00167242	0.0111758	0.00631318	0.00122495	0.00502342	0.00144299	0.0141803	0.00539683	0.0039344	0.00261414	0.00818251	0.00841167	0.00366062	0.00343246	0.00136131	0.0034078	0.00264065	0.00340801	0.00269964	0.0030007	0.830888	0.169112	0.2318327	0.0008502919	5.13458	3.11657	1.69807	0.587222	0	1.198441	5.974514	1	1	1	1	1	3.871435	0.1691125	0.8308875	0.3021815	0.00580605	10.32932	0.045597	0.291125	0.861256	2.80202
300	-2193.9	-2004.46	-189.439	0.8547451	0.217566	0.234191	0.248639	0.299605	0.7671828	1.75417	1.09601	1.86456	0.758122	0.225729	0.232082	1.66424	0.88702	2.90133	2.51774	0.328154	0.785847	0.144714	0.41607	0.0955719	0.155669	0.39238	1.41249	1.58196	0.0453312	0.736291	0.425807	0.879183	0.43963	0.123881	0.902407	0.371722	1.0693	0.247393	0.825472	0.0237667	1.1484	0.517332	0.770393	0.460135	0.665747	2.56494	0.627636	0.0856959	0.135476	1.58501	0.39052	0.310004	0.300894	0.158135	0.834676	0.972892	0.106248	1.32641	1.36603	0.457414	0.22125	0.554197	1.73784	0.221422	0.219184	0.204914	0.881569	1.12676	0.283128	1.10685	1.43689	0.45775	1.52982	0.50111	0.695364	0.11627	0.376801	0.213841	1.71864	0.279618	0.26578	0.446391	1.52273	0.012796	0.00799499	0.0136013	0.00553022	0.00164661	0.00169295	0.01214	0.00647048	0.0211641	0.018366	0.00239376	0.00573246	0.00105564	0.00303508	0.000697162	0.00113555	0.00286227	0.0103036	0.0115398	0.000330674	0.00537097	0.0031061	0.00641331	0.00320694	0.000903666	0.00658273	0.00271157	0.00780012	0.00180464	0.00602151	0.00017337	0.00837715	0.00377375	0.00561973	0.00335652	0.00485638	0.0187103	0.00457838	0.00062512	0.000988249	0.0115621	0.0028487	0.00226136	0.00219491	0.00115354	0.00608866	0.00709689	0.000775037	0.00967564	0.00996466	0.00333667	0.00161394	0.00404267	0.0126769	0.00161519	0.00159887	0.00149477	0.00643072	0.00821929	0.00206532	0.00807406	0.0104816	0.00333912	0.0111595	0.00365541	0.00507242	0.000848146	0.00274862	0.00155989	0.0125368	0.00203971	0.00193877	0.00325626	0.0111078	0.774853	0.225147	0.01231389	0.0007976204	5.05591	2.63205	1.7818	0.660713	0	1.866756	3.302365	0	1	1	1	1	3.485216	0.2251466	0.7748534	0.2043476	0.007294632	6.067422	0.107143	0.428275	0.971042	2.49354
400	-2192.23	-2004.29	-187.943	0.3248303	0.21266	0.258659	0.262136	0.266545	0.8379926	2.25198	2.16825	2.35843	1.09419	2.88002	0.609508	3.99145	0.133181	0.676651	0.319548	3.20167	0.530172	0.462879	0.679191	0.234675	0.295494	0.11839	0.42979	0.429765	0.846668	0.422792	0.597147	0.617032	0.304282	0.388868	2.59209	0.807618	0.677774	0.606894	1.09047	0.964412	0.385596	1.05599	0.0633205	0.353081	1.46113	0.96293	0.740042	0.598373	1.73968	0.408696	0.414098	0.644586	0.648927	0.224094	0.761062	1.30823	1.26967	1.60839	1.00666	0.605863	0.741793	0.527184	0.694431	0.519593	0.411443	0.23402	0.546367	0.785531	0.388545	0.848942	0.233065	0.161684	1.58249	0.233198	0.359645	0.0784491	1.25607	0.575482	1.41079	1.01459	1.99421	0.642602	1.16122	0.0222233	0.021397	0.0232738	0.0107978	0.028421	0.00601483	0.0393889	0.00131427	0.00667741	0.0031534	0.0315951	0.00523191	0.00456784	0.00670248	0.00231585	0.00291603	0.00116831	0.00424131	0.00424106	0.00835519	0.00417225	0.00589284	0.00608908	0.00300275	0.00383747	0.0255796	0.00796984	0.0066885	0.00598902	0.0107611	0.00951713	0.00380518	0.0104209	0.000624867	0.00348432	0.014419	0.00950251	0.00730298	0.00590494	0.0171677	0.00403314	0.00408646	0.00636098	0.00640383	0.00221143	0.00751041	0.01291	0.0125295	0.0158721	0.00993403	0.00597885	0.00732026	0.00520242	0.00685287	0.00512751	0.00406026	0.00230938	0.00539173	0.00775188	0.00383429	0.00837764	0.00229996	0.00159555	0.0156165	0.00230127	0.0035491	0.000774162	0.0123953	0.00567905	0.0139221	0.0100123	0.0196795	0.00634141	0.0114593	0.0247149	0.975285	0.00746801	0.00128587	5.11073	3.67797	1.57883	0.668299	0	2.243506	2.636076	0	0	1	1	1	3.006032	0.9752851	0.02471488	0.3759337	0.009868328	3.719339	0.0075242	0.123898	0.635239	3.23334
500	-2198.13	-2008.42	-189.715	0.8365206	0.200832	0.246704	0.26192	0.290544	1.005323	3.18633	0.711015	2.91148	0.399844	0.55706	0.420269	0.36044	1.5382	0.875194	0.251145	0.979497	0.680736	0.789564	0.523147	0.160345	0.290944	2.70927	0.311089	0.733502	0.326258	0.65132	1.37763	0.609688	0.436137	0.480708	4.42368	0.776478	2.33453	0.224428	0.271515	0.145019	0.270339	0.482763	0.407348	0.217228	0.286385	0.206137	0.557694	0.247278	0.180719	3.24034	0.157431	0.0804191	0.497715	0.4971	0.138985	2.54758	0.582024	1.47597	1.99267	0.861268	0.340463	0.413079	0.607987	0.19758	0.233614	0.207184	0.949414	0.988032	0.136118	0.394417	0.865509	0.296451	1.11658	0.375056	0.224083	1.47715	1.22175	0.164914	1.35511	0.940045	1.7221	2.27665	0.805767	0.0199579	0.00445352	0.0182364	0.00250447	0.00348921	0.0026324	0.00225766	0.00963469	0.00548187	0.00157307	0.00613518	0.00426386	0.00494552	0.00327678	0.00100433	0.00182236	0.0169698	0.00194854	0.00459437	0.00204355	0.00407961	0.00862893	0.00381884	0.00273179	0.00301096	0.0277082	0.00486355	0.0146226	0.00140573	0.00170067	0.00090834	0.00169329	0.00302384	0.00255147	0.00136063	0.00179381	0.00129116	0.00349317	0.00154885	0.00113195	0.0202962	0.000986084	0.000503714	0.00311749	0.00311364	0.000870549	0.015957	0.00364557	0.00924487	0.0124813	0.00539464	0.00213252	0.00258736	0.00380819	0.00123756	0.00146326	0.00129772	0.00594675	0.00618864	0.000852589	0.00247048	0.00542121	0.00185685	0.00699379	0.0023492	0.00140357	0.00925227	0.00765257	0.00103296	0.00848787	0.00588807	0.0107865	0.01426	0.00504701	0.545489	0.454511	0.1843292	0.0007309977	5.12192	2.78442	1.684	0.508292	0	1.274315	3.482623	0	1	1	1	1	3.215971	0.4545115	0.5454885	0.2293198	0.006263606	5.128812	0.103303	0.421432	0.966582	2.50868
600	-2233.98	-2014.57	-219.412	0.5630507	0.217463	0.247073	0.246448	0.289016	0.5686158	3.56459	0.913174	2.37153	1.11968	0.269319	0.521299	0.661506	1.16905	4.68477	0.183832	2.02729	0.36257	1.03996	1.36179	0.482671	0.945375	0.222689	0.243007	0.346974	1.9234	0.330537	0.745292	0.328929	0.532455	0.555125	5.56685	0.493624	7.41141	1.38373	0.346615	0.776742	0.413125	0.190587	0.223124	0.608548	0.333851	1.43617	0.358565	0.845658	0.0413914	0.208961	0.34089	0.435062	1.60136	1.38691	0.425486	0.949777	1.07063	1.11427	1.52372	1.04309	0.303867	0.527341	0.167818	0.143544	0.112382	2.74919	0.280394	1.67203	0.332065	0.231402	0.490799	1.58845	3.21234	0.582863	0.465508	0.576286	0.304626	0.911601	2.74238	0.99292	1.92601	0.427761	1.26394	0.0126157	0.00323189	0.00839328	0.00396276	0.00095317	0.00184497	0.00234119	0.0041375	0.0165803	0.000650616	0.00717495	0.0012832	0.0036806	0.00481962	0.00170826	0.00334586	0.000788139	0.000860047	0.00122801	0.00680725	0.00116983	0.00263773	0.00116414	0.00188446	0.00196469	0.0197021	0.00174703	0.0262304	0.00489727	0.00122674	0.00274903	0.00146213	0.000674522	0.000789677	0.00215376	0.00118156	0.00508286	0.00126903	0.00299294	0.000146492	0.000739553	0.00120647	0.00153976	0.00566752	0.00490854	0.00150587	0.00336144	0.00378917	0.00394359	0.00539272	0.00369168	0.00107544	0.00186636	0.00059394	0.000508029	0.000397742	0.00972989	0.000992366	0.00591761	0.00117524	0.000818974	0.00173703	0.00562183	0.0113691	0.00206286	0.00164752	0.00203958	0.00107813	0.00322632	0.0097058	0.00351413	0.0068165	0.00151392	0.00447331	0.21966	0.78034	0.0004698224	0.001099001	5.12306	2.33874	1.7746	0.630712	0	2.977244	5.67475	1	1	1	1	1	3.732823	0.7803405	0.2196595	0.4820931	0.003539186	7.98421	0.0455882	0.291099	0.861231	2.80208
700	-2200.11	-2001.46	-198.648	0.4782328	0.198618	0.260359	0.254173	0.28685	1.156937	1.64244	1.14244	3.57099	0.690784	0.669924	0.215369	1.24977	0.406568	0.643076	0.701096	1.61356	0.160262	0.583248	0.291065	0.241979	0.431091	0.0490489	0.678705	0.691906	0.483375	0.266764	0.838325	0.225106	0.332735	0.416826	2.10766	0.866219	0.935461	0.218973	0.500053	0.218767	0.126343	0.731739	0.783074	0.753089	1.95637	0.258389	0.28744	0.505216	0.845929	0.409433	0.20703	0.233016	2.18513	1.12128	1.11912	2.78247	0.240889	2.08818	1.83177	2.48927	5.1441	0.352603	1.00015	1.43207	3.68733	0.393713	0.334782	0.731592	0.664496	0.993554	0.644946	0.909836	3.08947	0.0419326	0.187585	0.614795	0.141477	2.35878	2.49887	0.54001	1.14459	0.671273	0.578894	0.0141354	0.00983224	0.0307332	0.00594513	0.0057656	0.00185354	0.0107559	0.00349907	0.00553454	0.00603387	0.0138869	0.00137927	0.00501964	0.00250501	0.00208256	0.00371012	0.000422132	0.00584118	0.00595478	0.00416009	0.00229587	0.00721492	0.00193734	0.00286363	0.00358735	0.0181392	0.00745498	0.0080509	0.00188455	0.00430363	0.00188279	0.00108735	0.0062976	0.00673941	0.00648135	0.0168372	0.00222378	0.00247381	0.00434807	0.00728036	0.00352372	0.00178177	0.00200541	0.018806	0.00965015	0.00963155	0.0239469	0.00207318	0.0179716	0.0157648	0.0214235	0.0442719	0.00303463	0.00860765	0.0123249	0.0317344	0.00338843	0.00288125	0.00629634	0.00571888	0.00855087	0.00555063	0.00783037	0.026589	0.000360887	0.00161442	0.00529114	0.0012176	0.0203005	0.0215062	0.00464751	0.00985072	0.00577721	0.00498216	0.174394	0.825606	0.4036087	0.001319633	5.08174	2.80159	1.49065	0.617911	0	0.8855477	2.432415	0	0	1	1	1	3.807132	0.825606	0.174394	0.2730149	0.008606349	5.139361	0.0294277	0.237468	0.80376	2.92934
800	-2223.17	-2012.37	-210.806	0.9681254	0.228664	0.262646	0.232914	0.275776	0.6574078	1.5552	1.85492	2.67028	0.360558	0.308512	0.559697	0.355814	0.71204	1.59933	0.686466	0.729848	0.209274	0.636713	0.584865	0.108019	0.563311	0.271704	0.465731	2.03065	0.242985	0.757897	0.34129	1.30387	1.23493	1.1043	1.77876	0.879142	0.285022	0.297478	0.679869	1.89702	1.17237	2.22109	0.773354	0.056765	1.30547	0.69262	2.53707	0.246615	3.63158	1.11106	0.19906	0.360733	1.6335	0.292404	1.30932	0.471685	1.03506	1.41604	1.17867	0.419034	0.708566	1.27898	0.606309	0.171602	0.50466	0.201811	1.45945	0.723618	0.2836	0.981752	0.627077	0.85408	5.90921	0.232952	0.324985	0.134997	0.514969	0.380258	0.951022	2.04984	0.563837	0.633727	0.445441	0.0074652	0.00890386	0.0128177	0.00173073	0.0014809	0.00268663	0.00170796	0.00341789	0.00767701	0.00329514	0.00350338	0.00100455	0.00305632	0.00280744	0.000518506	0.00270398	0.00130422	0.00223558	0.0097474	0.00116636	0.00363802	0.00163824	0.00625877	0.00592785	0.00530082	0.00853829	0.00422001	0.00136815	0.00142794	0.00326347	0.00910599	0.00562757	0.0106616	0.00371221	0.000272481	0.00626645	0.00332468	0.0121783	0.00118379	0.0174321	0.00533325	0.000955517	0.00173157	0.00784106	0.00140358	0.00628492	0.00226416	0.00496846	0.00679719	0.00565778	0.00201142	0.00340122	0.00613928	0.00291037	0.000823714	0.00242244	0.00096872	0.00700559	0.00347347	0.00136132	0.00471255	0.00301006	0.00409971	0.0283651	0.0011182	0.00155997	0.000648006	0.00247193	0.00182529	0.00456504	0.00983951	0.0027065	0.00304198	0.00213818	0.849108	0.150892	0.1578182	0.001656654	5.11452	3.35183	1.57388	0.505999	0	1.934309	4.209698	0	1	1	1	1	3.282707	0.1508921	0.8491079	0.2528475	0.004800146	11.72695	0.130551	0.466957	0.994511	2.40798
900	-2221.14	-2012.15	-208.989	0.4660469	0.219277	0.251695	0.229514	0.299514	0.6605234	2.05084	1.1523	1.33574	0.123477	0.334168	0.208699	0.220043	1.14947	1.05225	0.977462	4.23778	0.332421	0.0541741	0.169905	0.150576	0.743968	0.483855	0.349839	2.92429	0.267932	0.669766	0.789026	0.364113	0.209759	0.332084	2.73508	0.611112	2.41885	0.608442	1.18112	1.49449	0.786745	3.33945	0.48122	0.558388	0.807799	0.664505	3.1921	2.188	1.26392	0.89928	1.04018	2.10611	1.46176	0.299653	0.534737	2.24916	0.106274	0.427533	1.38741	1.06263	0.600966	0.378551	0.673374	0.296034	0.404117	0.657756	0.486222	0.80991	0.145225	0.115098	0.189199	0.655928	0.436507	0.334201	0.845289	0.978794	0.779455	0.608844	0.872378	0.878871	9.63762	1.69301	0.547888	0.00915665	0.0051448	0.00596383	0.000551304	0.001492	0.000931802	0.000982454	0.00513218	0.0046981	0.00436419	0.0189209	0.0014842	0.000241878	0.000758596	0.000672294	0.00332169	0.00216033	0.00156197	0.0130564	0.00119627	0.00299039	0.00352286	0.0016257	0.000936537	0.0014827	0.0122117	0.00272851	0.0107997	0.00271659	0.00527347	0.00667263	0.00351267	0.0149101	0.00214856	0.0024931	0.00360668	0.0029669	0.0142522	0.00976905	0.00564319	0.00401513	0.0046442	0.00940339	0.0065265	0.0013379	0.0023875	0.0100421	0.000474493	0.00190886	0.00619454	0.00474443	0.00268321	0.00169016	0.00300649	0.00132174	0.00180431	0.00293676	0.0021709	0.00361611	0.000648404	0.000513891	0.000844741	0.0029286	0.00194893	0.00149215	0.00377407	0.00437014	0.00348013	0.00271838	0.00389501	0.003924	0.0430302	0.00755897	0.00244622	0.351866	0.648134	0.04002084	0.001216758	5.12733	3.44722	1.79471	0.583653	0	1.06954	4.603596	0	1	1	1	1	2.886244	0.6481338	0.3518662	0.289159	0.004464822	5.968023	0.0272808	0.229173	0.793899	2.94965
