Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
0	0	-3253.3	-2884.57	-368.728	0.0395358	0.0198637	0.0901076	0.039438	0.776654	0.0344011	0.2406852	0.588981	0.177798	0.224239	0.00898242	527108.2	1069375
1	1	-2648.02	-2310.95	-337.076	0.109263	0.443773	0.0149769	0.115842	0.282363	0.0337814	0.2649213	0.146814	0.403317	0.353355	0.0965127	153337.6	236038.8
2	0	-3040.21	-2689.38	-350.83	0.0401071	0.0201507	0.0914097	0.0400079	0.787877	0.0204473	0.2406852	0.588981	0.177798	0.224239	0.00898242	507225.7	559455.6
3	1	-2295.92	-1936.27	-359.651	0.111209	0.451675	0.0152436	0.117905	0.28739	0.0165773	0.9887874	0.160151	0.439955	0.294614	0.10528	155673.5	338288.6
4	0	-2811.36	-2459.06	-352.306	0.0426243	0.0214154	0.0273352	0.0425189	0.837326	0.0287806	0.8453084	0.550631	0.229651	0.209638	0.0100804	492056.3	458965.1
5	1	-2062.99	-1712.26	-350.728	0.108432	0.440397	0.0132434	0.114961	0.306804	0.0161633	0.9887874	0.199224	0.350454	0.23468	0.215643	159374.3	238420.4
6	0	-2648.38	-2296.69	-351.691	0.0390888	0.0234183	0.0298918	0.0464954	0.829633	0.0314723	0.8453084	0.441365	0.285491	0.260612	0.0125315	488733.9	292815.8
7	1	-2015.17	-1667.64	-347.53	0.122231	0.496441	0.0122662	0.00499521	0.345847	0.0182203	0.9887874	0.199224	0.350454	0.23468	0.215643	133305.3	197814
8	0	-2467.46	-2108.68	-358.777	0.0674498	0.0404095	0.0515799	0.0961636	0.69009	0.0543073	0.9782573	0.403014	0.32378	0.251691	0.021515	506596.7	334454.9
9	1	-2004.94	-1661.16	-343.778	0.123039	0.498541	0.012318	0.00501634	0.34731	0.0137763	0.9887874	0.199224	0.350454	0.23468	0.215643	133305.3	180291
