Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size	root_height
0	-2648.02	-2310.95	-337.076	0.109263	0.443773	0.0149769	0.115842	0.282363	0.0337814	0.2649213	0.146814	0.403317	0.353355	0.0965127	153337.6	236038.8
1	-2295.92	-1936.27	-359.651	0.111209	0.451675	0.0152436	0.117905	0.28739	0.0165773	0.9887874	0.160151	0.439955	0.294614	0.10528	155673.5	338288.6
2	-2062.99	-1712.26	-350.728	0.108432	0.440397	0.0132434	0.114961	0.306804	0.0161633	0.9887874	0.199224	0.350454	0.23468	0.215643	159374.3	238420.4
3	-2015.17	-1667.64	-347.53	0.122231	0.496441	0.0122662	0.00499521	0.345847	0.0182203	0.9887874	0.199224	0.350454	0.23468	0.215643	133305.3	197814
4	-2004.94	-1661.16	-343.778	0.123039	0.498541	0.012318	0.00501634	0.34731	0.0137763	0.9887874	0.199224	0.350454	0.23468	0.215643	133305.3	180291
5	-1981.24	-1628.47	-352.77	0.114204	0.503122	0.0124312	0.00583827	0.350502	0.0139029	0.9887874	0.199224	0.350454	0.23468	0.215643	139971.5	191121.6
6	-1934.99	-1598.01	-336.983	0.114197	0.503093	0.0124305	0.00589624	0.350481	0.0139021	0.9887874	0.179252	0.315322	0.211154	0.294272	139971.5	157642.1
7	-1920.24	-1587.32	-332.915	0.0656535	0.503073	0.0143052	0.00589601	0.350467	0.0606051	0.9887874	0.194643	0.256533	0.229284	0.31954	140024.4	129609.6
8	-1884.32	-1548.97	-335.344	0.0619647	0.474808	0.0166007	0.00556474	0.383862	0.0572	0.9887874	0.341149	0.205958	0.125666	0.327227	187855.8	134791.4
9	-1861.86	-1527.53	-334.332	0.0616563	0.472445	0.016518	0.00553704	0.381951	0.0618925	0.9887874	0.323939	0.246015	0.119326	0.31072	157424.4	179277.2
10	-1837.2	-1505.33	-331.873	0.0531914	0.544752	0.0142502	0.00489943	0.329512	0.0533951	0.9887874	0.323939	0.246015	0.119326	0.31072	201183.8	94138.38
11	-1812.77	-1487.83	-324.941	0.0540886	0.553941	0.0151665	0.00498207	0.317526	0.0542958	0.9887874	0.323939	0.246015	0.119326	0.31072	140184.6	108834.9
12	-1793.45	-1472.89	-320.562	0.0583341	0.551454	0.0150985	0.00495971	0.316101	0.0540521	0.9887874	0.323939	0.246015	0.119326	0.31072	148476.5	109761.4
13	-1791.93	-1472.13	-319.797	0.0475454	0.634411	0.0123061	0.00404243	0.257639	0.0440554	0.9887874	0.294645	0.256675	0.124497	0.324183	127842.5	119544.6
14	-1790.66	-1472.79	-317.877	0.0573064	0.648391	0.0119899	0.00413151	0.24662	0.0315611	0.9887874	0.294645	0.256675	0.124497	0.324183	99459.05	85982.28
15	-1792.37	-1472.83	-319.544	0.0607064	0.686861	0.0127013	0.00437663	0.201921	0.0334337	0.9887874	0.294645	0.256675	0.124497	0.324183	99223.19	97874.76
16	-1775.56	-1447	-328.563	0.0345374	0.821847	0.0072261	0.00248998	0.114878	0.0190213	0.930372	0.322526	0.23708	0.140958	0.299435	114399.9	265973.4
17	-1773.84	-1444.94	-328.897	0.0330403	0.786223	0.00691287	0.00238204	0.153245	0.0181967	0.930372	0.308495	0.27835	0.126747	0.286408	120208	255168.3
18	-1782.11	-1444.83	-337.277	0.0399487	0.742222	0.00835827	0.00218264	0.185287	0.0220015	0.930372	0.308495	0.27835	0.126747	0.286408	165421.4	226590.8
19	-1769.12	-1447.13	-321.992	0.0300881	0.724148	0.00815474	0.00246725	0.213977	0.0211647	0.930372	0.303848	0.28022	0.127598	0.288333	115792.3	128080.1
20	-1770.43	-1437.17	-333.253	0.0302935	0.729092	0.0090271	0.0024841	0.215438	0.0136656	0.930372	0.313459	0.289084	0.131634	0.265824	172784.3	197658.8
21	-1770.92	-1437.02	-333.9	0.0363435	0.771722	0.00720076	0.00198152	0.171851	0.0109008	0.930372	0.301921	0.278443	0.163597	0.256039	163873.7	271985.4
22	-1763.66	-1433.24	-330.426	0.0691875	0.557981	0.0137081	0.00377224	0.327155	0.0281961	0.930372	0.318197	0.239546	0.172416	0.269841	136462.8	151185.2
23	-1766.54	-1428.72	-337.82	0.0669879	0.5593	0.0137405	0.00378115	0.327928	0.0282627	0.8610501	0.330833	0.249059	0.139551	0.280557	136462.8	329953.7
24	-1755.99	-1423.03	-332.959	0.0658832	0.550076	0.0197656	0.0037188	0.32252	0.0380365	0.8610501	0.330833	0.249059	0.139551	0.280557	141677.9	163676.3
25	-1739.9	-1421.51	-318.392	0.0764999	0.540994	0.0194392	0.00579568	0.317194	0.0400769	0.8610501	0.330833	0.249059	0.139551	0.280557	111871	206216.3
26	-1743.73	-1425.29	-318.442	0.0860592	0.42568	0.0152957	0.00456032	0.431783	0.0366216	0.8610501	0.330833	0.249059	0.139551	0.280557	111859.6	144419.9
27	-1750.23	-1429.47	-320.763	0.121377	0.510196	0.0156498	0.00630692	0.32114	0.0253308	0.8610501	0.330833	0.249059	0.139551	0.280557	143319.8	168520.1
28	-1750.42	-1421.73	-328.692	0.12179	0.511932	0.0123007	0.00632838	0.322233	0.0254169	0.1256057	0.331521	0.249576	0.137762	0.281141	140340.7	243346.5
29	-1745.48	-1418.84	-326.634	0.138214	0.364654	0.0176551	0.0071818	0.416087	0.0562076	0.1256057	0.331521	0.249576	0.137762	0.281141	138836.6	212756.4
30	-1740.26	-1415.93	-324.33	0.114509	0.468611	0.0163201	0.00926649	0.344726	0.0465676	0.1256057	0.331521	0.249576	0.137762	0.281141	134168.8	166051.3
31	-1743.94	-1414.41	-329.536	0.0779484	0.483374	0.0168342	0.00955842	0.355586	0.0566986	0.1256057	0.326439	0.26108	0.13565	0.276831	126081.5	229392.5
32	-1740.23	-1410.42	-329.811	0.0768998	0.476872	0.0300596	0.00942985	0.350803	0.0559359	0.1256057	0.323564	0.258782	0.159777	0.257877	127498.8	240389.8
33	-1736.57	-1413.71	-322.865	0.084235	0.426973	0.0329268	0.0103293	0.384264	0.0612713	0.1329141	0.318393	0.254646	0.167151	0.25981	127498.8	123721.4
34	-1736.66	-1410.82	-325.845	0.0720113	0.505438	0.0281487	0.0179473	0.328502	0.0479529	0.1329141	0.318393	0.254646	0.167151	0.25981	138215.8	157979.9
35	-1747.62	-1415.42	-332.197	0.072372	0.50797	0.0232805	0.0180372	0.330147	0.0481931	0.1329141	0.316428	0.253074	0.166119	0.264379	166178	99946.7
36	-1745.35	-1414.01	-331.336	0.0553981	0.437364	0.0178204	0.00963876	0.454602	0.0251769	0.1329141	0.325157	0.260055	0.143115	0.271672	161389.4	88806.59
37	-1750.35	-1410.9	-339.454	0.0553981	0.437364	0.0178204	0.00963876	0.454602	0.0251769	0.1329141	0.332372	0.257275	0.141585	0.268768	184512.9	160092.5
38	-1749.1	-1409.94	-339.156	0.0480516	0.595701	0.0154572	0.00836055	0.310592	0.0218381	0.1329141	0.332372	0.257275	0.141585	0.268768	184468.1	216215.9
39	-1732.38	-1403.51	-328.871	0.0320809	0.654303	0.0124615	0.00762844	0.250399	0.0431273	0.1329141	0.32717	0.253248	0.139369	0.280213	173748.2	146189.2
40	-1727.5	-1402.55	-324.951	0.0320809	0.654303	0.0124615	0.00762844	0.250399	0.0431273	0.1329141	0.32717	0.253248	0.139369	0.280213	169056.2	110530.6
41	-1740.72	-1405.39	-335.338	0.030189	0.64717	0.0241155	0.00754528	0.247669	0.0433111	0.1329141	0.330094	0.255512	0.140615	0.273779	159768.2	229436.1
42	-1743.75	-1408.46	-335.297	0.0296214	0.635002	0.0195784	0.00740341	0.243012	0.0653834	0.1329141	0.330094	0.255512	0.140615	0.273779	156280.3	231122.4
43	-1737.36	-1408.58	-328.789	0.0401552	0.605039	0.0186546	0.00705408	0.274774	0.054323	0.1329141	0.330094	0.255512	0.140615	0.273779	161047.8	235021.5
44	-1734.5	-1407.69	-326.811	0.0310754	0.656725	0.0162351	0.0061392	0.239137	0.0506878	0.1329141	0.330094	0.255512	0.140615	0.273779	154743.7	214608.1
45	-1724.77	-1403.7	-321.068	0.032186	0.660683	0.0104051	0.00767524	0.240578	0.0484718	0.1329141	0.327937	0.260377	0.139696	0.27199	127927.1	193534.6
46	-1710.12	-1400.53	-309.584	0.0170894	0.755714	0.00769024	0.00587442	0.177807	0.0358247	0.1989722	0.327937	0.260377	0.139696	0.27199	82224.67	167206.5
47	-1726.3	-1402.71	-323.59	0.0160007	0.707573	0.00720034	0.00601046	0.229673	0.0335425	0.1989722	0.327937	0.260377	0.139696	0.27199	133442.4	273098.7
48	-1722.92	-1402	-320.927	0.0160007	0.707573	0.00720034	0.00601046	0.229673	0.0335425	0.1989722	0.32827	0.260641	0.138824	0.272266	134636	160099.7
49	-1732.71	-1403.52	-329.192	0.0222348	0.593639	0.0100057	0.00835223	0.319158	0.0466112	0.1989722	0.33352	0.262323	0.141044	0.263112	165675.7	197009.9
50	-1734.48	-1407.81	-326.669	0.0222348	0.593639	0.0100057	0.00835223	0.319158	0.0466112	0.1989722	0.323252	0.265912	0.155824	0.255012	151312	223854.6
51	-1724.95	-1406.88	-318.063	0.0222291	0.593485	0.0100031	0.00835007	0.33789	0.0280431	0.1989722	0.329736	0.251187	0.15895	0.260127	116143.3	143365.6
52	-1730.5	-1407.4	-323.098	0.0234633	0.626437	0.0105585	0.00881369	0.306163	0.024565	0.1989722	0.284932	0.267978	0.169575	0.277515	114946.7	162486.9
53	-1724.38	-1403.95	-320.433	0.0235733	0.629374	0.010608	0.00681261	0.307598	0.0220337	0.1989722	0.308838	0.259019	0.163906	0.268237	114946.7	164443.4
54	-1726.02	-1406.99	-319.029	0.0227141	0.606435	0.00887596	0.00656431	0.33418	0.0212307	0.1989722	0.309283	0.259393	0.164142	0.267182	111226.3	156420.1
55	-1719.03	-1408.37	-310.66	0.0226146	0.603779	0.00883708	0.0109155	0.332716	0.0211377	0.1989722	0.309299	0.259406	0.164099	0.267196	82863.21	126462.7
56	-1722.42	-1405.4	-317.014	0.00710292	0.691109	0.00709559	0.0105716	0.267149	0.0169721	0.1989722	0.312692	0.262251	0.164972	0.260084	82907.25	210520.3
57	-1725.22	-1406.35	-318.867	0.00894357	0.595578	0.00893434	0.024514	0.34066	0.0213703	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
58	-1725.18	-1407.4	-317.781	0.00888447	0.597542	0.00889131	0.0243959	0.339019	0.0212674	0.1989722	0.312692	0.262251	0.164972	0.260084	82807.28	188042.7
59	-1722.67	-1403.24	-319.426	0.00892766	0.80989	0.0109748	0.015568	0.133269	0.0213708	0.1989722	0.317696	0.266448	0.151609	0.264246	85843.58	148509.7
