Iteration	Replicate_ID	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
0	0	-2749.65	-2323.29	-426.359	0.14537	0.0957568	0.112348	0.0803005	0.372907	0.193317	7440.94	20320.3	27715.6	103490	inf	0.8634592	0.0807907	0.162365	0.61657	0.140274	517017	614657	151142	684710	939529	178661	2262346
1	1	-2871.7	-2449.35	-422.346	0.0230628	0.415945	0.122625	0.229784	0.182378	0.0262056	5914.03	11264.6	45451.7	79552.8	inf	0.350589	0.0301173	0.414539	0.177029	0.378314	486206	288734	616469	383729	893673	606583	1442415
2	0	-2577.23	-2150.14	-427.093	0.147538	0.0951799	0.111671	0.0827981	0.37066	0.192152	8027.43	16334.1	26282.9	168471	inf	0.8634592	0.0654745	0.187608	0.499682	0.247235	520610	612656	148253	684710	908216	178661	2175308
3	1	-2688.63	-2261.36	-427.27	0.0277482	0.500448	0.0996095	0.121235	0.219429	0.0315295	11244.4	26640.5	44081.3	88448.6	inf	0.350589	0.031511	0.387445	0.185222	0.395822	485586	279480	606746	396960	915948	701858	349893
4	0	-2476.29	-2034.6	-441.684	0.139508	0.0899997	0.105594	0.046996	0.454589	0.163314	7483.36	34186.5	66258.6	150432	inf	0.8634592	0.0756799	0.187909	0.48878	0.247631	564651	591316	148253	684710	908216	178661	1150351
5	1	-2518.6	-2082.46	-436.143	0.0277511	0.500501	0.0996199	0.121248	0.219452	0.0314282	11082.5	34217.6	53829.8	129661	inf	0.350589	0.0450251	0.398222	0.190374	0.366379	492681	277261	606746	416477	917392	643412	313445.8
6	0	-2390.07	-1958.91	-431.169	0.133147	0.155896	0.117995	0.0525152	0.357954	0.182493	7169.91	31768.5	51113.3	116046	inf	0.8634592	0.0756799	0.187909	0.48878	0.247631	602669	584423	149720	696513	901606	175855	652254.1
7	1	-2446.92	-2023.65	-423.263	0.0447498	0.619102	0.00700452	0.136575	0.153664	0.0389044	11330.9	20927.3	34339.1	84580.1	inf	0.350589	0.0554688	0.490592	0.234532	0.219408	518141	277261	622676	402948	878739	663905	204758.6
8	0	-2234.55	-1803.46	-431.097	0.0205573	0.259328	0.0858756	0.0561708	0.382872	0.195197	15612.6	36763.9	49813.7	116046	inf	0.8634592	0.0934088	0.231929	0.369021	0.305642	630252	578170	149720	696513	939535	177875	652254.1
9	1	-2387.29	-1961.21	-426.082	0.0428142	0.592323	0.00670154	0.140729	0.180211	0.0372216	13301.8	24567.4	55490.9	97100.1	inf	0.6112054	0.0497657	0.44015	0.210418	0.299666	518496	277038	627812	399122	848412	663905	240374.1
