Iteration	Replicate_ID	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
0	0	-2749.65	-2323.29	-426.359	517017	614657	151142	684710	939529	178661
1	1	-2871.7	-2449.35	-422.346	486206	288734	616469	383729	893673	606583
2	0	-2577.23	-2150.14	-427.093	520610	612656	148253	684710	908216	178661
3	1	-2688.63	-2261.36	-427.27	485586	279480	606746	396960	915948	701858
4	0	-2476.29	-2034.6	-441.684	564651	591316	148253	684710	908216	178661
5	1	-2518.6	-2082.46	-436.143	492681	277261	606746	416477	917392	643412
6	0	-2390.07	-1958.91	-431.169	602669	584423	149720	696513	901606	175855
7	1	-2446.92	-2023.65	-423.263	518141	277261	622676	402948	878739	663905
8	0	-2234.55	-1803.46	-431.097	630252	578170	149720	696513	939535	177875
9	1	-2387.29	-1961.21	-426.082	518496	277038	627812	399122	848412	663905
10	0	-2188.1	-1755.79	-432.305	618209	566243	154634	703677	939044	177875
11	1	-2364.14	-1943.14	-420.997	527959	273210	689142	382308	848412	664926
12	0	-2138.19	-1715.12	-423.07	622320	552968	154634	658564	911235	179671
13	1	-2338.69	-1915.55	-423.147	557857	273210	706520	398023	849564	664926
14	0	-2126.84	-1704.3	-422.537	622320	552968	150303	686255	895096	188039
15	1	-2227.33	-1806.64	-420.683	580611	282532	651038	398687	845013	681084
16	0	-2007.46	-1587.47	-419.99	624423	577149	149853	686255	913339	193005
17	1	-2193.01	-1773.75	-419.257	580120	294472	662523	429971	845013	711909
18	0	-1995.43	-1580.03	-415.404	631710	556204	147609	687100	913339	189433
19	1	-2159.66	-1732.05	-427.607	610827	294774	655972	438447	815180	683009
20	0	-2007.83	-1585.65	-422.184	633068	556204	155492	687100	913339	189339
21	1	-2129.3	-1709.15	-420.15	601504	264918	647147	423662	799107	686163
22	0	-1988.6	-1568.76	-419.838	654925	562582	155490	687100	913339	177960
23	1	-2009.36	-1589.84	-419.516	579242	245593	671509	404031	821248	664847
24	0	-1963.25	-1536.03	-427.22	677780	546709	164373	679138	900376	169585
25	1	-1959.2	-1539.84	-419.358	619934	238632	707101	404031	821248	632790
26	0	-1861.13	-1444.2	-416.931	636080	554121	159039	666035	786165	172779
27	1	-1958.85	-1538.63	-420.22	619934	233465	734715	410300	823980	640230
28	0	-1861.73	-1441.39	-420.34	641467	565530	154046	697084	793055	156048
29	1	-1943.59	-1525	-418.589	612524	233465	720752	410300	836501	631106
30	0	-1855.31	-1438.88	-416.43	600046	542219	156542	697084	788509	156109
31	1	-1924.23	-1504.82	-419.413	594138	241301	718650	395060	829685	656382
32	0	-1853.87	-1438.65	-415.216	629477	521849	154085	625774	813704	156096
33	1	-1916.84	-1501.6	-415.238	605064	250742	718650	384317	825457	669102
34	0	-1860.18	-1438.75	-421.426	638727	515751	164649	649576	818264	156614
35	1	-1884.21	-1471.26	-412.953	591937	250817	696468	394064	880957	670924
36	0	-1852.12	-1434.85	-417.268	649343	515979	152913	699391	847327	164232
37	1	-1851.61	-1436.65	-414.961	591937	241897	727333	394064	869035	685232
38	0	-1854.32	-1431.46	-422.859	649343	494714	160113	730778	847327	164232
39	1	-1859.52	-1440.2	-419.321	593306	241897	755253	405013	924655	657149
40	0	-1851.71	-1432.21	-419.503	572432	473500	157314	752727	861254	171936
41	1	-1855.53	-1438.01	-417.524	620230	245410	756208	420316	881630	645170
42	0	-1849.11	-1429.13	-419.979	572432	451675	154569	782529	806887	167536
43	1	-1848.85	-1433	-415.852	539151	259282	756208	406913	877945	637728
44	0	-1845.01	-1427.9	-417.104	591050	450592	155061	791925	792506	175267
45	1	-1850.13	-1431.88	-418.251	565012	249233	747369	392405	833773	648395
46	0	-1840.35	-1422.08	-418.274	566284	470463	154860	791925	800949	183554
47	1	-1843.79	-1427.1	-416.695	549290	237707	720074	422305	828547	648395
48	0	-1839.84	-1421.89	-417.945	540962	501719	154860	748557	767999	175868
49	1	-1848.7	-1428.51	-420.194	546304	239586	750294	417929	838039	635548
50	0	-1840.68	-1421.1	-419.583	592121	490142	150385	719182	694484	178347
51	1	-1853.37	-1430.77	-422.608	559996	232906	748706	446696	825507	597851
52	0	-1840.13	-1422.24	-417.885	584009	511345	158010	683394	670159	178347
53	1	-1844.09	-1422.98	-421.113	559996	231327	760452	440512	806046	566464
54	0	-1833.14	-1420.45	-412.688	590551	544382	150948	654411	601524	170396
55	1	-1847.25	-1424.22	-423.031	541736	231327	783582	435201	806046	567091
56	0	-1823.03	-1411.91	-411.127	590675	533632	150948	697469	641766	178226
57	1	-1830.29	-1411.83	-418.453	541736	224492	750513	432552	826884	556087
58	0	-1823.63	-1412.23	-411.398	570117	548966	147747	633547	688362	181114
59	1	-1828.39	-1410.19	-418.206	536500	239931	761485	451972	819262	556087
60	0	-1823.31	-1410.64	-412.662	563983	592847	159302	587212	711656	190383
61	1	-1830.99	-1411.39	-419.604	525150	248084	761485	445640	819262	503481
62	0	-1823.24	-1406.02	-417.224	539260	622475	163433	587212	681561	195299
63	1	-1830.84	-1412.08	-418.762	535170	258762	834135	429850	840400	503481
64	0	-1823.71	-1410.15	-413.561	539260	623931	151642	568743	635832	195299
65	1	-1828.09	-1410.97	-417.112	527202	244414	893053	429850	834976	503481
66	0	-1824.22	-1412.24	-411.985	560015	603158	144662	592579	597335	186432
67	1	-1827.64	-1412.02	-415.628	493663	234191	887588	433267	834976	525489
68	0	-1821.99	-1411.31	-410.68	604684	614916	132911	620317	595475	182305
69	1	-1828.04	-1412.91	-415.128	470932	235219	909726	430573	808747	528373
70	0	-1821.45	-1410.99	-410.463	618760	593959	133194	620317	588913	182305
71	1	-1834.84	-1415.93	-418.911	452565	226288	839478	449327	772249	532616
72	0	-1808.23	-1397.71	-410.526	587054	602217	132046	559398	596244	197517
73	1	-1832.05	-1415.64	-416.408	455191	245797	808358	429241	772249	540102
74	0	-1814.91	-1401.84	-413.067	573580	578683	138000	614443	596244	190273
75	1	-1832.66	-1416.15	-416.506	454140	258004	780612	429241	772249	522368
76	0	-1808.83	-1394.67	-414.165	642246	598659	140814	658553	596244	181044
77	1	-1832.11	-1415.33	-416.777	445964	254606	790041	386676	787525	548470
78	0	-1809.14	-1395.09	-414.05	630008	641446	140814	640194	577725	182324
79	1	-1836.5	-1416.22	-420.277	445964	254606	782634	367389	785333	548470
80	0	-1807.41	-1395.53	-411.877	630008	673454	145349	615230	579388	184892
81	1	-1824.62	-1412.49	-412.134	434494	249707	782634	360474	785333	540382
82	0	-1813.09	-1399.01	-414.084	619634	655634	151253	604917	553147	192509
83	1	-1826.62	-1414.26	-412.354	484118	244314	722445	350595	724624	540382
84	0	-1810.52	-1397.79	-412.728	612857	655634	139232	629440	538741	200765
85	1	-1826.4	-1413.6	-412.798	499948	248525	701317	350595	709665	552486
86	0	-1804.6	-1394.04	-410.563	576556	686612	135194	629440	538741	199262
87	1	-1823.3	-1410.93	-412.377	505713	249500	701317	341856	749910	556858
88	0	-1808.42	-1398.5	-409.913	590017	714372	136285	643557	493868	206133
89	1	-1820.4	-1406.91	-413.485	459365	232326	693919	350098	721106	540892
90	0	-1822.21	-1410	-412.214	584009	714372	141681	668358	493868	209035
91	1	-1823.07	-1409.23	-413.833	497000	235013	654050	346700	751809	509872
92	0	-1823.03	-1405.87	-417.166	567804	691622	135395	668358	507303	215277
93	1	-1819.46	-1406.37	-413.088	505627	220527	651588	340995	769644	489547
94	0	-1822.5	-1405.36	-417.15	583085	687835	136588	672632	516905	205049
95	1	-1819.46	-1406.12	-413.332	506605	203983	656811	319426	797475	462797
96	0	-1822.75	-1406.54	-416.212	599306	668128	136990	695994	508228	191526
97	1	-1825.8	-1409.4	-416.41	513820	212632	640079	306053	797475	434242
98	0	-1821.09	-1405.28	-415.81	564189	657634	136990	695994	497185	198830
99	1	-1829.42	-1411.51	-417.911	514257	207517	619463	293703	760899	434242
100	0	-1819.21	-1405.63	-413.581	537676	669857	133858	746950	506250	199446
101	1	-1826.51	-1408.09	-418.422	549292	197578	596466	312212	755826	459278
102	0	-1823.47	-1408.71	-414.753	543442	660359	128436	797543	517127	205782
103	1	-1822.31	-1407.54	-414.763	555790	191698	595668	331531	721120	459499
104	0	-1820.25	-1403.79	-416.46	552730	659038	120868	805733	535569	195908
105	1	-1816.46	-1404.45	-412.007	527456	202198	568900	331531	699307	459499
106	0	-1816.77	-1403.47	-413.296	530579	659038	115934	905116	484421	217163
107	1	-1821.11	-1408.71	-412.408	513386	205548	517498	342652	699307	453155
108	0	-1813.89	-1401.55	-412.334	499240	659038	123101	969292	484421	217163
