Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
0	-2871.7	-2449.35	-422.346	486206	288734	616469	383729	893673	606583
1	-2688.63	-2261.36	-427.27	485586	279480	606746	396960	915948	701858
2	-2518.6	-2082.46	-436.143	492681	277261	606746	416477	917392	643412
3	-2446.92	-2023.65	-423.263	518141	277261	622676	402948	878739	663905
4	-2387.29	-1961.21	-426.082	518496	277038	627812	399122	848412	663905
5	-2364.14	-1943.14	-420.997	527959	273210	689142	382308	848412	664926
6	-2338.69	-1915.55	-423.147	557857	273210	706520	398023	849564	664926
7	-2227.33	-1806.64	-420.683	580611	282532	651038	398687	845013	681084
8	-2193.01	-1773.75	-419.257	580120	294472	662523	429971	845013	711909
9	-2159.66	-1732.05	-427.607	610827	294774	655972	438447	815180	683009
10	-2129.3	-1709.15	-420.15	601504	264918	647147	423662	799107	686163
11	-2009.36	-1589.84	-419.516	579242	245593	671509	404031	821248	664847
12	-1959.2	-1539.84	-419.358	619934	238632	707101	404031	821248	632790
13	-1958.85	-1538.63	-420.22	619934	233465	734715	410300	823980	640230
14	-1943.59	-1525	-418.589	612524	233465	720752	410300	836501	631106
15	-1924.23	-1504.82	-419.413	594138	241301	718650	395060	829685	656382
16	-1916.84	-1501.6	-415.238	605064	250742	718650	384317	825457	669102
17	-1884.21	-1471.26	-412.953	591937	250817	696468	394064	880957	670924
18	-1851.61	-1436.65	-414.961	591937	241897	727333	394064	869035	685232
19	-1859.52	-1440.2	-419.321	593306	241897	755253	405013	924655	657149
20	-1855.53	-1438.01	-417.524	620230	245410	756208	420316	881630	645170
21	-1848.85	-1433	-415.852	539151	259282	756208	406913	877945	637728
22	-1850.13	-1431.88	-418.251	565012	249233	747369	392405	833773	648395
23	-1843.79	-1427.1	-416.695	549290	237707	720074	422305	828547	648395
24	-1848.7	-1428.51	-420.194	546304	239586	750294	417929	838039	635548
25	-1853.37	-1430.77	-422.608	559996	232906	748706	446696	825507	597851
26	-1844.09	-1422.98	-421.113	559996	231327	760452	440512	806046	566464
27	-1847.25	-1424.22	-423.031	541736	231327	783582	435201	806046	567091
28	-1830.29	-1411.83	-418.453	541736	224492	750513	432552	826884	556087
29	-1828.39	-1410.19	-418.206	536500	239931	761485	451972	819262	556087
30	-1830.99	-1411.39	-419.604	525150	248084	761485	445640	819262	503481
31	-1830.84	-1412.08	-418.762	535170	258762	834135	429850	840400	503481
32	-1828.09	-1410.97	-417.112	527202	244414	893053	429850	834976	503481
33	-1827.64	-1412.02	-415.628	493663	234191	887588	433267	834976	525489
34	-1828.04	-1412.91	-415.128	470932	235219	909726	430573	808747	528373
35	-1834.84	-1415.93	-418.911	452565	226288	839478	449327	772249	532616
36	-1832.05	-1415.64	-416.408	455191	245797	808358	429241	772249	540102
37	-1832.66	-1416.15	-416.506	454140	258004	780612	429241	772249	522368
38	-1832.11	-1415.33	-416.777	445964	254606	790041	386676	787525	548470
39	-1836.5	-1416.22	-420.277	445964	254606	782634	367389	785333	548470
40	-1824.62	-1412.49	-412.134	434494	249707	782634	360474	785333	540382
41	-1826.62	-1414.26	-412.354	484118	244314	722445	350595	724624	540382
42	-1826.4	-1413.6	-412.798	499948	248525	701317	350595	709665	552486
43	-1823.3	-1410.93	-412.377	505713	249500	701317	341856	749910	556858
44	-1820.4	-1406.91	-413.485	459365	232326	693919	350098	721106	540892
45	-1823.07	-1409.23	-413.833	497000	235013	654050	346700	751809	509872
46	-1819.46	-1406.37	-413.088	505627	220527	651588	340995	769644	489547
47	-1819.46	-1406.12	-413.332	506605	203983	656811	319426	797475	462797
48	-1825.8	-1409.4	-416.41	513820	212632	640079	306053	797475	434242
49	-1829.42	-1411.51	-417.911	514257	207517	619463	293703	760899	434242
50	-1826.51	-1408.09	-418.422	549292	197578	596466	312212	755826	459278
51	-1822.31	-1407.54	-414.763	555790	191698	595668	331531	721120	459499
52	-1816.46	-1404.45	-412.007	527456	202198	568900	331531	699307	459499
53	-1821.11	-1408.71	-412.408	513386	205548	517498	342652	699307	453155
54	-1830.15	-1416.19	-413.964	513386	206124	481151	321598	665463	453048
55	-1827.47	-1412.53	-414.936	498413	206546	434771	317806	716345	440093
56	-1821.45	-1408.69	-412.762	480570	206546	425276	340394	716345	444864
57	-1822.95	-1410.73	-412.22	494197	210118	413488	340394	687982	441721
58	-1822.65	-1411.48	-411.166	458548	214626	414527	350352	679025	467936
59	-1826.28	-1413.22	-413.056	443414	217947	415961	345371	679025	482809
60	-1819.61	-1410.55	-409.062	463511	223309	387889	322226	713070	472613
61	-1824.18	-1409.93	-414.245	446828	238947	377940	313404	721263	472613
62	-1820.19	-1407.23	-412.963	456314	234388	362388	322927	802703	484880
63	-1832.45	-1413.79	-418.663	422481	232620	360149	327647	789029	462721
64	-1827.28	-1411.74	-415.546	424947	230903	370849	323419	756983	449512
65	-1828.79	-1411.64	-417.157	453795	230903	377647	300830	756983	431854
66	-1826.07	-1410.45	-415.618	471877	237144	397941	293030	729203	440386
67	-1826.95	-1411.67	-415.278	447422	218025	418755	293030	729203	440626
68	-1826.24	-1409.43	-416.808	478726	218025	418755	288795	708536	429207
69	-1821.01	-1408.47	-412.532	478726	208549	422834	265329	733510	431556
