Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
0	-2871.7	-2449.35	-422.346	0.0230628	0.415945	0.122625	0.229784	0.182378	0.0262056	5914.03	11264.6	45451.7	79552.8	inf	0.350589	0.0301173	0.414539	0.177029	0.378314	486206	288734	616469	383729	893673	606583	1442415
1	-2688.63	-2261.36	-427.27	0.0277482	0.500448	0.0996095	0.121235	0.219429	0.0315295	11244.4	26640.5	44081.3	88448.6	inf	0.350589	0.031511	0.387445	0.185222	0.395822	485586	279480	606746	396960	915948	701858	349893
2	-2518.6	-2082.46	-436.143	0.0277511	0.500501	0.0996199	0.121248	0.219452	0.0314282	11082.5	34217.6	53829.8	129661	inf	0.350589	0.0450251	0.398222	0.190374	0.366379	492681	277261	606746	416477	917392	643412	313445.8
3	-2446.92	-2023.65	-423.263	0.0447498	0.619102	0.00700452	0.136575	0.153664	0.0389044	11330.9	20927.3	34339.1	84580.1	inf	0.350589	0.0554688	0.490592	0.234532	0.219408	518141	277261	622676	402948	878739	663905	204758.6
4	-2387.29	-1961.21	-426.082	0.0428142	0.592323	0.00670154	0.140729	0.180211	0.0372216	13301.8	24567.4	55490.9	97100.1	inf	0.6112054	0.0497657	0.44015	0.210418	0.299666	518496	277038	627812	399122	848412	663905	240374.1
5	-2364.14	-1943.14	-420.997	0.0393651	0.624986	0.00610592	0.129392	0.165693	0.0344587	11676.7	15945.9	59936.6	92202.8	inf	0.6112054	0.0497657	0.44015	0.210418	0.299666	527959	273210	689142	382308	848412	664926	240374.1
6	-2338.69	-1915.55	-423.147	0.0419075	0.623332	0.00608976	0.129049	0.165254	0.0343675	11173.7	17146.5	49666.2	89214.8	inf	0.6112054	0.0497657	0.44015	0.210418	0.299666	557857	273210	706520	398023	849564	664926	267590.9
7	-2227.33	-1806.64	-420.683	0.0434879	0.646839	0.00562393	0.0940583	0.171486	0.0385048	9409.78	17146.5	34736.9	54995.6	inf	0.8821768	0.066475	0.282897	0.250346	0.400283	580611	282532	651038	398687	845013	681084	244339.3
8	-2193.01	-1773.75	-419.257	0.0341771	0.681123	0.00592202	0.0176593	0.21349	0.0476286	10733.4	15141.1	38370.6	54995.6	inf	0.8821768	0.0675728	0.271054	0.25448	0.406893	580120	294472	662523	429971	845013	711909	228591.5
9	-2159.66	-1732.05	-427.607	0.0202529	0.723168	0.00408234	0.0187494	0.226668	0.00707913	11921.3	20460.5	47848.5	136739	inf	0.8816877	0.0781754	0.313585	0.137503	0.470737	610827	294774	655972	438447	815180	683009	272771.5
