Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
0	0	-2749.65	-2323.29	-426.359	7440.94	20320.3	27715.6	103490	inf
1	1	-2871.7	-2449.35	-422.346	5914.03	11264.6	45451.7	79552.8	inf
2	0	-2577.23	-2150.14	-427.093	8027.43	16334.1	26282.9	168471	inf
3	1	-2688.63	-2261.36	-427.27	11244.4	26640.5	44081.3	88448.6	inf
4	0	-2476.29	-2034.6	-441.684	7483.36	34186.5	66258.6	150432	inf
5	1	-2518.6	-2082.46	-436.143	11082.5	34217.6	53829.8	129661	inf
6	0	-2390.07	-1958.91	-431.169	7169.91	31768.5	51113.3	116046	inf
7	1	-2446.92	-2023.65	-423.263	11330.9	20927.3	34339.1	84580.1	inf
8	0	-2234.55	-1803.46	-431.097	15612.6	36763.9	49813.7	116046	inf
9	1	-2387.29	-1961.21	-426.082	13301.8	24567.4	55490.9	97100.1	inf
10	0	-2188.1	-1755.79	-432.305	18204.3	35879.1	47527	124764	inf
11	1	-2364.14	-1943.14	-420.997	11676.7	15945.9	59936.6	92202.8	inf
12	0	-2138.19	-1715.12	-423.07	10503.4	21770.2	33346	77557.4	inf
13	1	-2338.69	-1915.55	-423.147	11173.7	17146.5	49666.2	89214.8	inf
14	0	-2126.84	-1704.3	-422.537	6212.94	20863.5	32439.6	59643.9	inf
15	1	-2227.33	-1806.64	-420.683	9409.78	17146.5	34736.9	54995.6	inf
16	0	-2007.46	-1587.47	-419.99	4409.39	18155.8	29332.3	59643.9	inf
17	1	-2193.01	-1773.75	-419.257	10733.4	15141.1	38370.6	54995.6	inf
18	0	-1995.43	-1580.03	-415.404	7410.23	13298.7	18089.4	49516.8	inf
19	1	-2159.66	-1732.05	-427.607	11921.3	20460.5	47848.5	136739	inf
20	0	-2007.83	-1585.65	-422.184	12852.5	24211.5	31376.4	83124.9	inf
21	1	-2129.3	-1709.15	-420.15	5604.36	9405.55	34426.9	94408.8	inf
22	0	-1988.6	-1568.76	-419.838	11142	19110.2	27157.1	72061.9	inf
23	1	-2009.36	-1589.84	-419.516	3329.33	8142.58	58253.3	97129.7	inf
24	0	-1963.25	-1536.03	-427.22	12058	28034.8	44443.9	84860.5	inf
25	1	-1959.2	-1539.84	-419.358	3420.06	7885.41	25394.1	85814.9	inf
