Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
0	-2749.65	-2323.29	-426.359	7440.94	20320.3	27715.6	103490	inf
1	-2577.23	-2150.14	-427.093	8027.43	16334.1	26282.9	168471	inf
2	-2476.29	-2034.6	-441.684	7483.36	34186.5	66258.6	150432	inf
3	-2390.07	-1958.91	-431.169	7169.91	31768.5	51113.3	116046	inf
4	-2234.55	-1803.46	-431.097	15612.6	36763.9	49813.7	116046	inf
5	-2188.1	-1755.79	-432.305	18204.3	35879.1	47527	124764	inf
6	-2138.19	-1715.12	-423.07	10503.4	21770.2	33346	77557.4	inf
7	-2126.84	-1704.3	-422.537	6212.94	20863.5	32439.6	59643.9	inf
8	-2007.46	-1587.47	-419.99	4409.39	18155.8	29332.3	59643.9	inf
9	-1995.43	-1580.03	-415.404	7410.23	13298.7	18089.4	49516.8	inf
10	-2007.83	-1585.65	-422.184	12852.5	24211.5	31376.4	83124.9	inf
11	-1988.6	-1568.76	-419.838	11142	19110.2	27157.1	72061.9	inf
12	-1963.25	-1536.03	-427.22	12058	28034.8	44443.9	84860.5	inf
13	-1861.13	-1444.2	-416.931	11110.4	15938.7	24996.7	52971.4	inf
14	-1861.73	-1441.39	-420.34	14301.8	20007.9	30263.1	69461.9	inf
15	-1855.31	-1438.88	-416.43	9616.68	16466	22104.2	50609	inf
16	-1853.87	-1438.65	-415.216	7484.1	16520.7	20931.9	52899.9	inf
17	-1860.18	-1438.75	-421.426	9334.48	15327.4	28405.9	68637.7	inf
18	-1852.12	-1434.85	-417.268	6936.91	15946.7	21900.4	58919.6	inf
19	-1854.32	-1431.46	-422.859	11667.8	24101.2	33121.7	90508.6	inf
20	-1851.71	-1432.21	-419.503	10677.5	23492.7	28904.2	79392.3	inf
21	-1849.11	-1429.13	-419.979	18735.4	23495.4	28113.9	73888.8	inf
22	-1845.01	-1427.9	-417.104	16164.3	21084.8	24307.6	63868.5	inf
23	-1840.35	-1422.08	-418.274	7798.85	19557.4	27625.2	40368.1	inf
24	-1839.84	-1421.89	-417.945	8065.08	17662.5	26902.9	53422	inf
25	-1840.68	-1421.1	-419.583	6913.01	24260.4	31965.9	75142.3	inf
26	-1840.13	-1422.24	-417.885	11071.8	20683.9	27253.5	74183.8	inf
27	-1833.14	-1420.45	-412.688	7559.88	15451.3	19561.5	55132.3	inf
28	-1823.03	-1411.91	-411.127	8567.37	14948	16281.4	37739.7	inf
29	-1823.63	-1412.23	-411.398	3123.35	14047.5	17637.3	37739.7	inf
30	-1823.31	-1410.64	-412.662	6288.22	12202.1	17272.4	34533.1	inf
31	-1823.24	-1406.02	-417.224	3302.21	14457.1	24290.3	53121.6	inf
32	-1823.71	-1410.15	-413.561	3231.32	19277.4	22875.5	60698.8	inf
33	-1824.22	-1412.24	-411.985	5284.87	16981.7	18904.1	54239.6	inf
34	-1821.99	-1411.31	-410.68	2913.29	12430.8	15512.1	47854.7	inf
35	-1821.45	-1410.99	-410.463	3678.61	16111.7	17764.1	41487.2	inf
36	-1808.23	-1397.71	-410.526	5277.88	16111.7	17444.8	61935.1	inf
37	-1814.91	-1401.84	-413.067	4319.16	14052.8	19365.3	53393.9	inf
38	-1808.83	-1394.67	-414.165	5538.34	12994.7	21497.3	48051.1	inf
39	-1809.14	-1395.09	-414.05	5776.18	15501.8	21467.4	40246.2	inf
40	-1807.41	-1395.53	-411.877	10416.7	16947.3	18647.1	28409.6	inf
41	-1813.09	-1399.01	-414.084	7744.52	12994.8	21300.8	30645.8	inf
42	-1810.52	-1397.79	-412.728	7348.1	13770.6	18558	38019.8	inf
43	-1804.6	-1394.04	-410.563	3354.77	9322.62	14947.8	39367.1	inf
44	-1808.42	-1398.5	-409.913	2619.22	7020.52	12210	31017.3	inf
45	-1822.21	-1410	-412.214	1513.55	13758.1	18967.1	35135.6	inf
46	-1823.03	-1405.87	-417.166	4217.82	18019.1	30914.6	62424.7	inf
47	-1822.5	-1405.36	-417.15	7423.85	15419.5	27525.6	50984.1	inf
48	-1822.75	-1406.54	-416.212	5558.13	17528.4	26592.8	60303.3	inf
49	-1821.09	-1405.28	-415.81	4220.24	15747.6	25531.2	54825.2	inf
50	-1819.21	-1405.63	-413.581	5086.86	10056.9	18512.4	30316	inf
