Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-3281.8155267512593127	-3297.6485793864426341	15.833052635183287649	0.5518542124316626607	0.43705	0.0501964	0.0597336	0.0963866	0.0267478	0.00878552	0.0706087	0.245301	0.0114851	0.0400248	0.0218812	0.0724478	0.0227181	0.0199527	0.427401	0.00830561	0.00502258	0.537196	0.00212236	0.41584490683793767785	0.29087	0.303799	0.152834	0.252497	0.0433557	0.284426	0.854618	2.8176	1.1633661453694259524
10	-3286.307617740850219	-3303.6625578174653128	17.354940076614973066	0.91860186685332612111	0.412604	0.0488863	0.0597336	0.0553432	0.0272338	0.00791019	0.0752398	0.229523	0.00401392	0.0365419	0.0238503	0.095409	0.0364629	0.0177029	0.491615	0.00890759	0.000517133	0.476623	0.00463517	0.42989120873727348915	0.282552	0.295112	0.152814	0.269523	0.12044	0.45084	0.985085	2.44364	1.1127515427822194383
20	-3280.7932366665140762	-3298.4161059243524505	17.622869257838601698	1.3042579363781969803	0.433653	0.0665644	0.0760818	0.0965105	0.0138166	0.0136769	0.0613242	0.15238	0.00603901	0.0328021	0.016333	0.131232	0.0117288	0.0173877	0.546335	0.0110066	0.00160389	0.410715	0.0129522	0.54876676779461497357	0.285152	0.312482	0.129005	0.27336	0.193441	0.552364	1.03651	2.21768	1.1121425310904753392
30	-3282.2109350469463607	-3300.9928282568102986	18.781893209863834926	2.2842690494242945398	0.346247	0.0567834	0.0635103	0.0849535	0.0203631	0.0067903	0.0497844	0.139728	0.00411466	0.0606303	0.00733137	0.105239	0.0186496	0.0253079	0.512432	0.00953714	0.00202632	0.446926	0.00377029	0.59229418933435540318	0.290803	0.306044	0.135642	0.267511	0.325	0.682196	1.07571	1.91709	0.96412414548068459119
40	-3287.6295005589627181	-3304.4167337634412434	16.787233204478411608	2.3696869758516379001	0.409024	0.0717306	0.086791	0.0938847	0.0224043	0.00810282	0.0429097	0.193746	0.00396455	0.0424281	0.0225976	0.131007	0.0297194	0.021205	0.466302	0.0122859	0.00123625	0.478899	0.0200718	0.55896763590597464688	0.290021	0.298214	0.140473	0.271292	0.333743	0.689331	1.07698	1.89994	1.1583096585607033369
50	-3286.6490174093532914	-3306.0688134985102806	19.419796089156903918	1.1380069735001108189	0.255078	0.0408891	0.0416795	0.0751021	0.0183374	0.013884	0.0775704	0.192261	0.0312085	0.0378815	0.019707	0.115805	0.00709318	0.0228276	0.465096	0.00411115	0.00935259	0.487923	0.0106895	0.52895683575255647568	0.268848	0.330385	0.140843	0.259924	0.163639	0.514636	1.01957	2.30215	0.92649656612645725495
60	-3283.3026063133197567	-3301.423647263608018	18.121040950288353599	1.921696831929446514	0.402412	0.0685489	0.0646795	0.0664968	0.0151369	0.00698167	0.0457419	0.244784	0.0108988	0.021774	0.00846019	0.0522784	0.0416284	0.0196702	0.560329	0.00475525	0.00274115	0.410049	0.00245573	0.5556280536238827894	0.310063	0.295437	0.123056	0.271444	0.283745	0.64642	1.0679	2.00193	1.049821376546606011
70	-3282.8473146131223075	-3302.4656778063722413	19.618363193249994225	1.9578123879482343117	0.374289	0.0594999	0.0566303	0.0708677	0.0100245	0.00826439	0.0365345	0.166355	0.00508251	0.0361605	0.0185488	0.0482638	0.00787212	0.0188654	0.522229	0.00144061	0.00612591	0.437824	0.0135148	0.59942830823625892211	0.289201	0.279546	0.143428	0.287825	0.288186	0.650451	1.0689	1.99247	0.89839251553673071804
80	-3281.578900817916292	-3298.7063917790510459	17.127490961135080738	2.2975212079194649029	0.457734	0.0628807	0.0671617	0.0740676	0.0216961	0.0104597	0.0597629	0.152365	0.0189483	0.0264011	0.0185488	0.141991	0.0167405	0.013288	0.479509	0.00174017	0.0140694	0.482899	0.00849448	0.59646707750696836836	0.316106	0.298981	0.127039	0.257874	0.326379	0.683331	1.07592	1.91437	1.1287582419397934608
90	-3287.5853427700103566	-3306.7289469409238336	19.143604170913171458	2.3083518851209539058	0.372942	0.0579496	0.0357152	0.0693455	0.0154472	0.00762807	0.0410038	0.175595	0.00365467	0.0529329	0.0262255	0.0507371	0.017308	0.018834	0.500838	0.0182603	0.00468408	0.441866	0.0155179	0.60238627660668264685	0.293535	0.30636	0.125356	0.274749	0.3275	0.684251	1.07609	1.91216	0.92648438920849141009
100	-3281.7761579085763515	-3299.6107769965469743	17.834619087970327911	2.978278264265015185	0.401019	0.0496336	0.0539563	0.0669183	0.0252748	0.00496187	0.0444962	0.209377	0.000290253	0.0378952	0.00470377	0.0849329	0.0284454	0.00993809	0.539451	0.00739517	0.00986919	0.425537	0.00780915	0.59436382125471720617	0.291926	0.31281	0.131599	0.263665	0.387574	0.730318	1.08241	1.7997	1.0119040269598731374
110	-3278.8915239844886855	-3295.536472822169344	16.644948837680498599	1.8850016615715348145	0.526681	0.0746886	0.0685761	0.0880127	0.0142729	0.00907879	0.0427915	0.188929	0.000384235	0.0320159	0.020473	0.111297	0.0218805	0.0102201	0.490757	0.00819096	0.00809945	0.479831	0.00290158	0.59041597275394563926	0.287903	0.305179	0.132756	0.274161	0.27915	0.6422	1.06683	2.01182	1.1990815466139697065
120	-3282.0557541098996808	-3300.9902390784632189	18.934484968563356944	1.465403603434912494	0.327195	0.0517719	0.0444433	0.0823168	0.0190911	0.00584208	0.0527881	0.247606	0.000830142	0.0277491	0.0167592	0.0787614	0.026645	0.0087802	0.588377	0.0117933	0.00608545	0.383347	0.00161611	0.54416437667098449538	0.286152	0.322791	0.131586	0.259472	0.219928	0.582695	1.04832	2.14905	0.98179869551847653852
130	-3285.7811068610781149	-3301.9328621246868352	16.15175526360885172	1.5388620473754395235	0.564807	0.0542078	0.070011	0.108179	0.012122	0.00465757	0.0527881	0.181319	0.00750288	0.0234798	0.0186646	0.143459	0.0180447	0.00727167	0.471502	0.00286315	0.0141832	0.496805	0.00737554	0.5972270558597804202	0.316053	0.277969	0.126487	0.27949	0.231264	0.5949	1.05262	2.12121	1.2592426082279084554
140	-3283.2589984924729833	-3298.646135292402505	15.387136799929546527	1.4085097968196413909	0.626114	0.0626508	0.0542379	0.0961965	0.0257701	0.012384	0.0710243	0.180322	0.0128182	0.0348655	0.0106605	0.120367	0.0292854	0.0104071	0.549804	0.00341073	0.00875746	0.413207	0.0144136	0.55256123745325635976	0.308636	0.296268	0.132627	0.262469	0.210837	0.572584	1.04456	2.17201	1.3366968082553032371
150	-3283.2813989598425906	-3299.8827414943352778	16.601342534492662395	1.1839521920914517494	0.455986	0.076351	0.0515498	0.0966641	0.023514	0.00303018	0.051817	0.16871	0.0173208	0.0528711	0.0218848	0.169795	0.0211309	0.0104189	0.512727	0.0113437	0.0164602	0.439512	0.00953808	0.56068137892253533394	0.297085	0.295586	0.13757	0.269759	0.172133	0.52583	1.02486	2.27718	1.2106250216165341804
