Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-26027.53	-26034.34	6.811502	0.101461	0.119111	0.0716008	0.29139	0.0712149	0.1195	0.0233122	0.0596603	0.0772246	0.132163	0.107856	0.19098	0.0233442	0.162264	0.0141397	0.00456144	0.394645	0.0363998	0.235925	0.280016	0.355112	0.0931945	0.171826	0.0428173	0.00483656	0.21814	0.0789533	0.067752	0.0498725	0.0350749	0.0926537	0.0155077	0.0481148	0.10986	0.0948367	0.0215316	0.106174	0.1333	0.0154227	0.0672058	0.0405628	0.0182972	0.0678695	0.225358	0.032912	0.0956644	0.137695	0.376145	0.132225	0.0488334	0.13848	0.777843	0.0348435	4.465683
10	-16209.23	-16226.43	17.19815	0.119284	0.10932	0.0821265	0.12814	0.143215	0.0572279	0.105734	0.12454	0.133179	0.132163	0.134475	0.134137	0.0546695	0.10124	0.0802608	0.0408085	0.104931	0.110585	0.137595	0.101812	0.153769	0.0891282	0.18784	0.0159159	0.0117275	0.141131	0.0398329	0.0376514	0.0206334	0.0750948	0.0543849	0.0115333	0.00802181	0.0791048	0.0369258	0.0098521	0.0262463	0.102011	0.0121456	0.103849	0.033347	0.0212678	0.0201596	0.230786	0.0672018	0.0533442	0.117943	0.504507	0.0262186	0.26967	0.27019	0.222596	0.237543	3.427018
20	-15136.03	-15153.53	17.50272	0.150759	0.114535	0.119904	0.108545	0.095817	0.0752117	0.147112	0.0924953	0.094298	0.149772	0.133314	0.116367	0.0939113	0.106996	0.127954	0.125274	0.150557	0.110903	0.133537	0.118197	0.127909	0.0758173	0.256347	0.0292691	0.0193321	0.051133	0.0364793	0.0231878	0.0173564	0.0297539	0.0142636	0.0111993	0.0185863	0.0531192	0.0275602	0.0107955	0.00786805	0.0584142	0.025767	0.0679296	0.0321832	0.0244715	0.012358	0.267068	0.213738	0.0470899	0.00193575	0.445356	0.0248116	0.244563	0.245034	0.201871	0.308532	3.396561
30	-14677.42	-14697.57	20.14869	0.14121	0.0958247	0.10498	0.108545	0.129639	0.0752117	0.109014	0.078194	0.0777001	0.19756	0.0945206	0.11684	0.105345	0.087502	0.0939529	0.125497	0.121588	0.0935484	0.127485	0.0759938	0.0818313	0.093265	0.212682	0.0150283	0.014861	0.0318415	0.0243589	0.00788317	0.0353699	0.0329729	0.0104355	0.0438461	0.0425173	0.0234944	0.0246388	0.0179083	0.009422	0.0279888	0.0468417	0.0732358	0.0511091	0.0165896	0.0336916	0.232332	0.28032	0.0596049	0.0263076	0.387431	0.0140051	0.219276	0.219698	0.180998	0.380028	3.131964
40	-14579.18	-14601.08	21.90537	0.14121	0.100997	0.095434	0.112058	0.0974161	0.0778611	0.106192	0.0705651	0.0718822	0.175443	0.0774395	0.0822176	0.102172	0.0885176	0.131219	0.122155	0.119721	0.0926168	0.130665	0.0557387	0.090103	0.0865845	0.156537	0.0107669	0.00955532	0.0412298	0.0306464	0.0360327	0.0120338	0.0448402	0.0124229	0.0411811	0.0129538	0.0195464	0.0796541	0.0371744	0.0231293	0.0200618	0.033899	0.0456576	0.0401953	0.0100925	0.0104761	0.234461	0.279822	0.0594991	0.0254943	0.386743	0.0139803	0.222339	0.222767	0.170775	0.384119	2.956296
50	-14517.35	-14538.54	21.19476	0.113798	0.0997795	0.0836911	0.114744	0.0819776	0.0837559	0.106789	0.076145	0.0896658	0.175443	0.0668736	0.0921879	0.095795	0.0823338	0.112422	0.11863	0.135034	0.099007	0.119476	0.0978368	0.0996805	0.0898908	0.169471	0.0101309	0.019926	0.0331911	0.0303823	0.0503924	0.0237338	0.0497679	0.00275713	0.0257174	0.0198562	0.0189591	0.086286	0.0387439	0.033964	0.0201235	0.033899	0.0414594	0.0334721	0.0357302	0.0144364	0.235364	0.2809	0.0607699	0.0255925	0.386456	0.010918	0.239933	0.217727	0.166912	0.375428	3.027358
60	-14504.03	-14525.34	21.31017	0.108506	0.0959141	0.0926111	0.114744	0.114603	0.0803862	0.1297	0.0796924	0.092331	0.16959	0.063958	0.105176	0.0914805	0.0893567	0.10092	0.123711	0.105807	0.0928684	0.131976	0.0758049	0.0904625	0.0898175	0.133207	0.0109106	0.0168085	0.0374752	0.0336423	0.0388945	0.014069	0.0353629	0.0150251	0.0481253	0.0217111	0.0332781	0.0884322	0.0470793	0.0190378	0.0238145	0.0346459	0.0232979	0.0420429	0.0372102	0.0223292	0.221027	0.284315	0.0615087	0.0262584	0.391154	0.0157369	0.243808	0.221243	0.153457	0.381491	3.015816
70	-14506.76	-14526.94	20.17367	0.121771	0.126353	0.0954232	0.0959506	0.0977397	0.0649963	0.115026	0.0776757	0.107156	0.206572	0.0811183	0.0799528	0.0842642	0.0977376	0.104628	0.14582	0.128513	0.126811	0.130291	0.0684077	0.0979252	0.0974954	0.164455	0.011761	0.0281505	0.0341589	0.0359467	0.0394304	0.0128168	0.0519979	0.0165702	0.0454337	0.0149876	0.0151608	0.0778201	0.0478935	0.0137474	0.022988	0.0235149	0.0208055	0.0275931	0.0494685	0.0231361	0.223408	0.287377	0.0587797	0.0265412	0.395367	0.00852802	0.243654	0.221104	0.153991	0.381251	3.129467
80	-14501.07	-14521.8	20.72809	0.130704	0.0919525	0.105044	0.0969718	0.110909	0.0811707	0.131401	0.0640308	0.0832367	0.178955	0.0841438	0.0700304	0.0977665	0.0876619	0.104628	0.14582	0.126821	0.096223	0.11198	0.0677704	0.0854432	0.0949011	0.15091	0.0180351	0.010299	0.0425974	0.0319133	0.0334403	0.0138712	0.0311686	0.0234789	0.0567244	0.0184857	0.0136166	0.0791978	0.0549731	0.0201741	0.0361458	0.0541026	0.021253	0.041235	0.0517227	0.0231138	0.224154	0.288336	0.0511985	0.0266766	0.396687	0.0129479	0.232825	0.224269	0.156196	0.386709	3.074024
90	-14506.15	-14526.57	20.41762	0.118514	0.092794	0.0887416	0.098577	0.110515	0.0837776	0.134302	0.0824497	0.0913996	0.165876	0.0596918	0.0857839	0.0977665	0.115692	0.146368	0.12875	0.127915	0.122478	0.119923	0.0972336	0.092759	0.0879176	0.143037	0.00945591	0.0149369	0.0359111	0.0265042	0.0439036	0.0172421	0.0341354	0.017628	0.0372128	0.0187494	0.0354296	0.0934668	0.0443192	0.0188315	0.0189658	0.0334927	0.0209658	0.0265985	0.0283512	0.0367106	0.224154	0.288336	0.0511985	0.0266766	0.396687	0.0129479	0.232825	0.224269	0.156196	0.386709	3.105071
