Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-21824.2	-21808.4	-15.7385	1	0.0993234	0.154917	0.0741413	0.00811828	0.0381258	0.205567	0.0605935	0.311063	0.20978	0.0432552	0.0224321	0.070326	0.159673	0.29128	0.161842	0.0843894	0.18634	0.0183142	0.0452572	0.0655242	0.230279	0.199387	0.194252	0.00433314	0.228945	0.141856	0.0718112	0.020466	0.0386185	0.200566	0.0694662	0.118939	0.242909	0.036934	0.0216181	0.0808935	0.11558	0.273372	0.0353721	0.0613822	0.0338967	0.0114132	0.136061	0.517745	0.0842359	0.105711	0.0255928	0.0258119	0.240903	0.2412747	0.362473	0.0664367	0.391654	0.179437	0.136954	0.476752	1	2.38629	4.878613
10	-15320	-15314.6	-5.36419	0.6829917	0.172927	0.202619	0.169113	0.0655687	0.196271	0.093435	0.1161	0.109117	0.161653	0.198672	0.130466	0.128402	0.101509	0.0689528	0.138241	0.142758	0.182555	0.0562214	0.157199	0.116037	0.0937168	0.141686	0.233297	0.00388535	0.075746	0.029225	0.0116587	0.0320653	0.0350912	0.102351	0.020063	0.0387359	0.0342609	0.0165786	0.0208144	0.0536971	0.0602984	0.0830582	0.00687149	0.00517973	0.0147903	0.00117964	0.0191165	0.386718	0.29082	0.0789586	0.0140319	0.228691	0.000780651	0.333879	0.121268	0.295186	0.203523	0.380024	0.0705596	0.355393	0.918399	2.65565	3.841184
20	-14468.2	-14453.1	-15.0908	1.44115	0.240658	0.218161	0.221526	0.19926	0.199592	0.124389	0.336168	0.150747	0.254964	0.204961	0.198774	0.13984	0.133668	0.123064	0.168961	0.160453	0.203595	0.158777	0.224597	0.151127	0.0988667	0.158504	0.235017	0.00104533	0.0530719	0.0307878	0.0358406	0.0253118	0.00840079	0.108294	0.00477589	0.0416699	0.0231673	0.0509589	0.0394282	0.0148458	0.0294073	0.0122123	0.0040936	0.00448106	0.00559103	0.00182315	0.0129718	0.193846	0.268494	0.0720477	0.0122749	0.453086	0.000251754	0.4142358	0.224849	0.275263	0.145513	0.354375	0.216087	0.578458	1.04677	2.15868	4.813849
30	-14044.4	-14032.8	-11.6126	1.525415	0.185517	0.166246	0.128445	0.130333	0.160603	0.103461	0.144977	0.10655	0.279742	0.272019	0.190474	0.119018	0.131033	0.127014	0.168961	0.215261	0.198933	0.203299	0.224597	0.138756	0.0952731	0.145634	0.301313	0.00376902	0.0448988	0.0172334	0.0380749	0.0261054	0.0261395	0.0789593	0.0229952	0.0997796	0.0362664	0.017777	0.0379515	0.0221274	0.01624	0.0133631	0.00554483	0.0133649	0.00452106	0.000340237	0.00311189	0.179721	0.325415	0.0667976	0.00861343	0.417401	0.00205166	0.3950068	0.231256	0.347748	0.139308	0.281688	0.229222	0.592733	1.05188	2.12617	4.466022
40	-13953.1	-13935.8	-17.2505	1.487344	0.193185	0.14994	0.153356	0.149657	0.160603	0.140236	0.140734	0.141587	0.328109	0.246288	0.190474	0.169072	0.109903	0.181314	0.228482	0.190459	0.221747	0.142979	0.226216	0.134437	0.134922	0.159526	0.281839	0.0151301	0.0607781	0.00460983	0.0606753	0.0604312	0.0336415	0.101795	0.0662342	0.125683	0.132837	0.0184391	0.0222645	0.0464619	0.0330523	0.0257274	0.00800862	0.025996	0.00744635	0.000874248	0.00466666	0.142547	0.258107	0.0718215	0.00835165	0.496223	0.0229495	0.3950068	0.232215	0.349189	0.136492	0.282104	0.223361	0.586436	1.04967	2.14053	5.029816
50	-13678.5	-13663.9	-14.6163	1.314653	0.235709	0.135895	0.127803	0.133781	0.193526	0.10381	0.136291	0.141587	0.187622	0.24367	0.206917	0.157166	0.12287	0.145774	0.180516	0.187682	0.244058	0.178592	0.189348	0.145516	0.137292	0.136707	0.270113	0.0250878	0.0519312	0.00630212	0.0221048	0.0318596	0.034508	0.0367599	0.0436993	0.125683	0.115056	0.0239478	0.0746334	0.0296658	0.0263605	0.0607509	0.0104892	0.0343372	0.0280436	0.000357169	0.042574	0.118547	0.248717	0.0597292	0.00694552	0.53203	0.0340313	0.3950068	0.282132	0.342572	0.133906	0.24139	0.195219	0.554487	1.03739	2.2129	4.766396
60	-13470.3	-13455.1	-15.2429	1.330108	0.189303	0.111019	0.117525	0.123196	0.22673	0.106201	0.215748	0.133367	0.143193	0.253849	0.102344	0.101299	0.15227	0.14342	0.169994	0.194624	0.224719	0.164948	0.181449	0.113385	0.162753	0.119757	0.309279	0.0997919	0.0692311	0.0195793	0.0233836	0.0201829	0.0131764	0.0183992	0.05341	0.135854	0.102866	0.0691663	0.0289614	0.0377136	0.0325518	0.0775844	0.0097951	0.0278697	0.059635	0.000348419	0.169181	0.118799	0.261196	0.0598561	0.00854256	0.533161	0.0184453	0.3950068	0.282552	0.343081	0.132618	0.241749	0.197845	0.557597	1.03866	2.20589	4.829055
70	-13422.2	-13406.5	-15.6513	1.355695	0.234147	0.129784	0.135691	0.0938795	0.162787	0.131717	0.172329	0.159463	0.133059	0.253849	0.106369	0.11121	0.135087	0.132141	0.175643	0.201719	0.218109	0.146399	0.181608	0.0917525	0.147148	0.079418	0.292734	0.106619	0.0514762	0.0322131	0.0516426	0.01305	0.0200686	0.0105526	0.0561722	0.113487	0.1288	0.0800703	0.053751	0.0331195	0.0506368	0.081434	0.0178918	0.0418327	0.137618	0.00198483	0.16143	0.0811238	0.332826	0.0561134	0.015265	0.495353	0.0193183	0.3754119	0.316588	0.345232	0.104118	0.234062	0.202145	0.562631	1.04069	2.19453	4.869893
80	-13409	-13392.1	-16.9266	1.646171	0.238232	0.1329	0.11075	0.109727	0.158368	0.111423	0.200825	0.119969	0.133059	0.249655	0.0739534	0.12759	0.146578	0.133875	0.186367	0.20962	0.200877	0.207162	0.213111	0.0939317	0.162675	0.0739923	0.391635	0.122584	0.0353884	0.0335693	0.0498125	0.0221181	0.0411133	0.0330644	0.031681	0.111115	0.098361	0.0905145	0.0522361	0.0314757	0.0381983	0.0522254	0.0377215	0.029999	0.0986404	0.00109058	0.200243	0.077251	0.316937	0.0618707	0.0113653	0.486384	0.0461919	0.3754119	0.316588	0.345232	0.104118	0.234062	0.247045	0.611207	1.05797	2.08378	4.997426
90	-13403.6	-13380.4	-23.1856	1.201512	0.309332	0.190047	0.18795	0.100995	0.191318	0.128227	0.199979	0.108888	0.14967	0.255916	0.131498	0.133684	0.178278	0.152465	0.175003	0.205375	0.296535	0.176673	0.239749	0.073845	0.157214	0.0815959	0.370847	0.158965	0.0469847	0.0201511	0.0565174	0.0306287	0.0594805	0.0483916	0.0420266	0.13513	0.191912	0.0786544	0.0627249	0.0374097	0.0290862	0.0696397	0.04972	0.0460116	0.115994	0.00214463	0.146672	0.0700555	0.321129	0.0626889	0.0130994	0.492816	0.0402113	0.3794296	0.316588	0.345232	0.104118	0.234062	0.175327	0.529944	1.02675	2.26798	5.623329
