Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-23252.4	-23266.3	13.8864	0.00629677	0.0262301	0.0479355	0.00153531	0.141759	0.0619487	0.0985357	0.0735577	0.186083	0.0625162	0.021994	0.199993	0.00714551	0.239019	0.00233893	0.00128118	0.0476171	0.0251925	0.103839	0.0492567	0.139138	0.220919	0.632596	0.0136196	0.0647428	0.0406532	0.0346818	0.0143966	0.0660297	0.0547447	0.0276484	0.0676394	0.043008	0.030337	0.137101	0.164666	0.118412	0.0439861	0.0125359	0.118465	0.00594881	0.167205	0.126248	0.219516	0.0338646	0.128798	0.0354848	0.0656122	0.516725	0.09398708	0.0856422	0.0980458	0.329525	0.486787	3.748798
10	-16061.5	-16075.7	14.2062	0.0141945	0.201412	0.0840683	0.00335271	0.203211	0.152721	0.390745	0.097045	0.387693	0.08783	0.0748548	0.136766	0.0168837	0.121484	0.0075839	0.00744885	0.0637524	0.0640314	0.110065	0.100916	0.107205	0.121195	0.311139	0.100679	0.106174	0.0169756	0.0281008	0.014007	0.0138969	0.0128383	0.0150132	0.0421357	0.139745	0.00679955	0.0456784	0.0709204	0.00833822	0.0748299	0.018907	0.080214	0.0111219	0.013856	0.0310425	0.3318	0.289595	0.133002	0.0048777	0.240488	0.000237633	0.09338863	0.129573	0.240982	0.254092	0.375353	3.71687
20	-14746	-14754.1	8.0616	0.0740426	0.128559	0.125687	0.00607006	0.139081	0.233583	0.189066	0.123714	0.442732	0.233884	0.127069	0.135603	0.0337735	0.149057	0.0133709	0.013416	0.171199	0.117499	0.180499	0.148996	0.140242	0.123601	0.427791	0.0993302	0.0308836	0.0233484	0.0198646	0.0320298	0.0223913	0.00899667	0.0335178	0.0319945	0.122982	0.00403393	0.0541475	0.115898	0.0309984	0.1094	0.028125	0.0213661	0.0210671	0.0115296	0.0295709	0.335931	0.226854	0.0888482	0.0128309	0.335512	2.25637e-05	0.1066294	0.205366	0.290642	0.198596	0.305397	4.330011
30	-14181.1	-14175	-6.04612	0.156897	0.145259	0.243525	0.010543	0.230963	0.283286	0.236871	0.0848554	0.393564	0.318307	0.156985	0.246149	0.103588	0.162209	0.111372	0.05626	0.243759	0.183486	0.234288	0.106061	0.155592	0.144652	0.602889	0.0744384	0.0892648	0.119362	0.0391575	0.101779	0.0312866	0.00722562	0.0285935	0.0167854	0.160568	0.0108364	0.0797722	0.0701983	0.0130938	0.101095	0.0316799	0.0386318	0.0452832	0.0144921	0.0487578	0.256183	0.221635	0.0700835	0.0199381	0.432155	4.83557e-06	0.1778017	0.231886	0.28077	0.19232	0.295024	5.733665
40	-13817.6	-13804.1	-13.5261	0.29966	0.146157	0.175452	0.0716497	0.20146	0.210259	0.197673	0.121066	0.150684	0.301599	0.186826	0.231671	0.173865	0.235565	0.270725	0.104842	0.273141	0.218107	0.234288	0.146662	0.170498	0.123862	0.868821	0.0442027	0.0873834	0.0762211	0.0504405	0.117985	0.043101	0.0141193	0.0358879	0.0233525	0.144328	0.100912	0.0705041	0.0472263	0.0982223	0.123774	0.036624	0.0758054	0.073049	0.0504506	0.0534469	0.186907	0.171929	0.0921385	0.0203092	0.528704	1.22608e-05	0.1788005	0.298506	0.303466	0.158714	0.239313	6.481568
50	-13579.6	-13555.4	-24.2022	0.361796	0.18953	0.27644	0.139291	0.212023	0.191803	0.21613	0.120985	0.195967	0.407541	0.149698	0.155979	0.253363	0.219356	0.225673	0.306633	0.258644	0.253155	0.262168	0.12227	0.202296	0.129939	1.07468	0.0125946	0.0469262	0.0474832	0.056164	0.146535	0.0502187	0.0121815	0.0342507	0.0604381	0.217344	0.0527547	0.259505	0.0502806	0.0944293	0.148872	0.0495414	0.0622188	0.0374403	0.121801	0.0649423	0.0919401	0.256984	0.0632367	0.0168739	0.570914	5.0893e-05	0.1576415	0.298506	0.303466	0.158714	0.239313	7.551286
60	-13525.5	-13497.2	-28.305	0.306519	0.163413	0.216574	0.142328	0.236425	0.135001	0.206628	0.172719	0.191005	0.386291	0.152994	0.144078	0.253363	0.182694	0.252316	0.326594	0.324378	0.277716	0.235807	0.134969	0.202856	0.129753	1.38235	0.0779211	0.0259243	0.0367475	0.0535667	0.241463	0.0244651	0.010449	0.0219848	0.0976924	0.219424	0.0907666	0.195242	0.0673232	0.126159	0.148872	0.0838308	0.0847409	0.0457031	0.118906	0.03801	0.0798084	0.237737	0.0657645	0.0175484	0.593735	0.00540685	0.1137655	0.306419	0.344852	0.119722	0.229006	7.96596
70	-13519.1	-13493.3	-25.8707	0.286915	0.119436	0.217543	0.141597	0.288869	0.141793	0.232332	0.154166	0.191129	0.357872	0.19211	0.109834	0.21028	0.179017	0.224111	0.323349	0.253602	0.29412	0.220691	0.148234	0.19433	0.100751	1.09946	0.108918	0.0515449	0.0614865	0.0809437	0.187931	0.0484498	0.00880496	0.0300394	0.145361	0.180441	0.0463484	0.218132	0.0475169	0.148885	0.260753	0.0700485	0.108502	0.0647168	0.137651	0.0312551	0.0859203	0.277104	0.0708008	0.0172325	0.534257	0.014685	0.1463158	0.308041	0.355646	0.106096	0.230218	7.719267
80	-13510.1	-13483.1	-27.0045	0.36195	0.14803	0.2081	0.129819	0.243459	0.115823	0.20374	0.15532	0.162419	0.319061	0.0945692	0.155668	0.231995	0.218684	0.296127	0.368131	0.289935	0.269296	0.249697	0.157829	0.159824	0.102268	1.17954	0.0646288	0.0542814	0.0394258	0.050626	0.124134	0.0451955	0.0119313	0.0448095	0.117883	0.331925	0.0338231	0.226051	0.0756634	0.135898	0.257584	0.0650521	0.0778627	0.113979	0.101656	0.0413554	0.0811042	0.321234	0.0632237	0.0162666	0.50431	0.0138619	0.1222847	0.308041	0.355646	0.106096	0.230218	7.835052
90	-13518.9	-13493.3	-25.6095	0.244115	0.223079	0.221087	0.132817	0.307038	0.0827369	0.198466	0.138431	0.148562	0.324471	0.146375	0.222144	0.212528	0.269077	0.335055	0.272151	0.294015	0.173664	0.30294	0.105196	0.217955	0.119819	1.21017	0.0724716	0.029182	0.0823202	0.0829195	0.108028	0.0451516	0.0299716	0.0218053	0.0851544	0.215993	0.0506469	0.216414	0.0184873	0.131176	0.215384	0.0351761	0.0927945	0.0685803	0.0843508	0.105919	0.0859428	0.281237	0.0669956	0.0073169	0.534397	0.0241103	0.1396987	0.317398	0.358717	0.107012	0.216873	7.693816
