Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-20681.82	-20686.35	4.527843	0.0401572	0.0178831	0.0861169	0.014079	0.0318247	0.0369177	0.337998	0.107022	0.0677929	0.00070544	0.0197001	0.0587753	0.141695	0.0590658	0.19085	0.0627706	0.0386579	0.22592	0.0324929	0.0161415	0.20685	0.132024	0.00233568	0.00797629	0.120065	0.105474	0.254065	0.0609057	0.0959123	0.61919	0.0592651	0.0104042	0.162898	0.0490605	0.108359	0.0266856	0.0344604	0.00562643	0.167355	0.0510967	0.0243015	0.0259721	0.119275	4.036124
10	-18043.38	-18051.17	7.797551	0.17729	0.0611197	0.137211	0.125185	0.132689	0.15143	0.185439	0.0919721	0.0828111	0.00186702	0.088755	0.129412	0.123966	0.126315	0.261616	0.128882	0.0449557	0.116771	0.0704373	0.0434642	0.12128	0.0992003	0.00673513	0.012684	0.0910015	0.0603939	0.143321	0.037889	0.0610491	0.194008	0.0260408	0.0181752	0.0816974	0.0640793	0.141885	0.0246607	0.0244215	0.0140034	0.0624456	0.0347447	0.0414521	0.0255228	0.0408737	3.709153
20	-16923.93	-16931.38	7.455636	0.204685	0.0819562	0.0694917	0.109636	0.120942	0.0823225	0.132361	0.0919721	0.10247	0.00600184	0.106289	0.129412	0.213814	0.0957899	0.261616	0.159576	0.144104	0.11835	0.126255	0.0758703	0.128467	0.0941925	0.0301132	0.0211776	0.131671	0.0256131	0.0548769	0.031888	0.044849	0.077711	0.0248797	0.140979	0.0433557	0.149084	0.0699761	0.0212186	0.012431	0.0422252	0.0340492	0.0677678	0.031571	0.015708	0.0166254	3.743344
30	-16116.54	-16128.27	11.72376	0.125781	0.112328	0.095107	0.101006	0.10585	0.0739948	0.130057	0.0653597	0.0963935	0.0374223	0.108922	0.106006	0.14757	0.120592	0.160385	0.139431	0.133379	0.11257	0.102685	0.0699067	0.0913169	0.0875193	0.164452	0.0220634	0.0885511	0.0657232	0.0255083	0.0278394	0.0580488	0.079069	0.0109806	0.0582857	0.0414982	0.0635161	0.0359678	0.0248218	0.0112577	0.0316035	0.0134182	0.0400702	0.0510117	0.0566904	0.0225728	3.316532
40	-15857.75	-15870.99	13.23819	0.121374	0.10266	0.0865364	0.0977984	0.123228	0.0638509	0.131884	0.0964586	0.0888235	0.117173	0.073812	0.0923684	0.100571	0.119874	0.11135	0.157428	0.129482	0.109285	0.114762	0.0791665	0.0816756	0.102544	0.161852	0.0183556	0.0285706	0.0441966	0.0311335	0.0274237	0.0532619	0.0656289	0.0363446	0.0404182	0.0297103	0.0385648	0.0266413	0.0219195	0.0129165	0.0396047	0.0452829	0.0441079	0.0427187	0.030052	0.0242799	3.165089
50	-15805.38	-15819.2	13.81852	0.119374	0.0953367	0.0947983	0.0876037	0.117262	0.0572157	0.113348	0.0874555	0.0888235	0.146818	0.0785085	0.0785527	0.107332	0.102379	0.100639	0.114525	0.115586	0.111823	0.125952	0.0823838	0.0958769	0.0904729	0.180517	0.025323	0.0223984	0.0439039	0.0231985	0.0352457	0.0479128	0.0711716	0.0435333	0.0393893	0.0435753	0.0198312	0.0202536	0.0204865	0.00584546	0.0472249	0.0365092	0.0416569	0.0599755	0.0266494	0.0403884	3.107056
60	-15797.72	-15810.39	12.66543	0.111612	0.0966386	0.095391	0.0989197	0.107053	0.0822522	0.134288	0.103226	0.0953284	0.177004	0.0916725	0.0926336	0.1141	0.0895285	0.118844	0.131407	0.11985	0.113996	0.125952	0.079858	0.0951286	0.090027	0.144712	0.0352547	0.0355398	0.0477496	0.0241656	0.0313417	0.0504247	0.0594693	0.0534863	0.0460563	0.0310612	0.0213056	0.035537	0.0225148	0.0128724	0.0350568	0.0402621	0.0222552	0.0485391	0.0276045	0.0324463	3.222365
70	-15803.99	-15816.32	12.33099	0.120172	0.0987785	0.0914452	0.110567	0.109497	0.0765827	0.123407	0.0850866	0.114298	0.168472	0.079671	0.0888172	0.0968158	0.0979999	0.103034	0.140995	0.124771	0.107082	0.157139	0.0697968	0.0852077	0.0794877	0.162436	0.0347838	0.0133033	0.0645447	0.0447121	0.0314597	0.0621406	0.0599993	0.0606453	0.0460563	0.0325616	0.0226866	0.0450777	0.0320169	0.0175605	0.0243619	0.0502637	0.0249242	0.0544442	0.0206897	0.0220167	3.255809
80	-15804.34	-15817.49	13.14388	0.139996	0.093639	0.0958989	0.0862591	0.105967	0.0666228	0.148631	0.0742578	0.080372	0.168472	0.0744775	0.0781377	0.104855	0.0934231	0.116491	0.133229	0.126937	0.0920256	0.137428	0.0692455	0.0906246	0.0739387	0.183205	0.0498584	0.0194387	0.0510468	0.0293123	0.0205521	0.0394776	0.0984723	0.0443194	0.0419144	0.0421179	0.0300303	0.0348823	0.0301783	0.0165724	0.0284852	0.0418828	0.03082	0.0495729	0.0198974	0.0215555	3.17452
90	-15807.21	-15819.79	12.58396	0.133129	0.103403	0.0962413	0.0859244	0.105766	0.113316	0.156347	0.0654492	0.103062	0.175636	0.0654987	0.0781377	0.0862092	0.0898102	0.127417	0.118724	0.124082	0.102531	0.123236	0.064365	0.0995077	0.090838	0.186357	0.0261188	0.027075	0.0604305	0.0390352	0.0251764	0.0446718	0.0649048	0.0610446	0.0491862	0.0385303	0.0261944	0.026197	0.0232385	0.012855	0.0497582	0.0464115	0.0251148	0.0469081	0.0311545	0.0115194	3.230512
