Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
0	-20148.1	-20152.9	4.79873	0.000867492	0.247308	0.0483209	0.0067232	0.121666	0.107554	0.0683617	0.0818772	0.100418	0.0375536	0.0264731	0.111711	0.0652448	0.0645028	0.0677543	0.0761504	0.0122739	0.163976	0.16079	0.00363755	0.027112	0.0086451	0.0738868	0.032247	0.0114022	0.0430623	0.108341	0.0365802	0.182645	0.109613	0.0803467	0.00439232	0.010452	0.0185198	0.318344	0.116999	0.195492	0.0635599	0.36516	0.580441	0.00663271	0.0270585	0.0149417	4.009035
10	-17002.1	-17008.7	6.63008	0.00287202	0.105242	0.0894706	0.0177793	0.1493	0.0683044	0.118389	0.107217	0.275668	0.0931984	0.0718751	0.0820953	0.0878433	0.101298	0.133306	0.125142	0.0419697	0.135556	0.162182	0.0259202	0.0752056	0.0258992	0.182344	0.101964	0.0271478	0.0359897	0.0328223	0.119518	0.164211	0.148839	0.0398699	0.00689462	0.0140412	0.0190908	0.232751	0.0643491	0.115281	0.0658843	0.134177	0.17582	0.00952635	0.0211884	0.0184576	3.8259
20	-15973.6	-15985.8	12.2039	0.0116258	0.116562	0.0781369	0.0874831	0.115538	0.075635	0.0903523	0.0719547	0.103095	0.17486	0.0850986	0.0919993	0.0853637	0.117192	0.139768	0.10808	0.132863	0.131694	0.117302	0.0931918	0.0769934	0.0790976	0.155079	0.0522935	0.0401976	0.0385207	0.0220564	0.126607	0.0847753	0.0854336	0.0521365	0.0070044	0.0392421	0.0251638	0.0709512	0.0572491	0.0400196	0.021984	0.0489738	0.032251	0.0121131	0.0311353	0.0414432	3.268517
30	-15808.2	-15821.8	13.5596	0.0999244	0.108435	0.0977231	0.0879483	0.116035	0.0753345	0.125624	0.078769	0.103095	0.159894	0.0760596	0.0905129	0.0891561	0.0735298	0.115023	0.124551	0.129486	0.124612	0.107927	0.0687205	0.0772096	0.0755392	0.166173	0.0499858	0.0485309	0.0326759	0.0310057	0.0588636	0.0597339	0.0440279	0.0455971	0.0177231	0.0273281	0.0615259	0.0393277	0.040646	0.0257722	0.0191799	0.0223381	0.0267506	0.0343445	0.0399496	0.0363638	3.132952
40	-15805.7	-15818.8	13.1128	0.12635	0.088641	0.103307	0.104109	0.11652	0.0741427	0.103912	0.073406	0.104533	0.191579	0.0577192	0.0985087	0.0710662	0.080577	0.103942	0.142381	0.134857	0.115408	0.116843	0.0746846	0.0963167	0.0827727	0.166173	0.0535055	0.048653	0.02964	0.0326474	0.0769901	0.017817	0.0389339	0.0530697	0.0121713	0.0309706	0.0417241	0.0362296	0.0501668	0.0207892	0.0352374	0.0329457	0.0143327	0.0559751	0.0356092	0.0324738	3.17763
50	-15798.9	-15811.1	12.18	0.12635	0.0993885	0.101481	0.0997779	0.11652	0.0845745	0.132762	0.0578675	0.104219	0.157204	0.0687783	0.0796601	0.0899692	0.0830038	0.111175	0.151875	0.114917	0.117098	0.115468	0.0980858	0.0883666	0.0981544	0.18647	0.0521646	0.0519215	0.0216113	0.0394604	0.0847853	0.030215	0.0397932	0.0471984	0.0205482	0.0282962	0.0533155	0.0399334	0.042563	0.0203862	0.0321885	0.0324779	0.0354985	0.0344944	0.0436545	0.0372409	3.270913
60	-15806.3	-15817.4	11.0476	0.145219	0.0845784	0.0973752	0.100895	0.126778	0.0856324	0.132612	0.0878471	0.0976346	0.176057	0.0935584	0.0899028	0.0866706	0.102649	0.11202	0.138515	0.133368	0.124451	0.152315	0.0619333	0.110792	0.0870363	0.176619	0.046755	0.0484262	0.0240455	0.0288749	0.0915499	0.0272553	0.0262293	0.0395829	0.0243196	0.0283979	0.0546615	0.0426896	0.0583949	0.0300154	0.0474256	0.0386193	0.0308144	0.0263872	0.0468159	0.0184239	3.384146
70	-15801.5	-15814.1	12.601	0.149929	0.0860866	0.101314	0.0979764	0.113973	0.0955335	0.131031	0.0827199	0.0884535	0.189779	0.0698537	0.0948037	0.0966603	0.0852872	0.109909	0.138515	0.136086	0.124451	0.137335	0.0766223	0.0834512	0.0605302	0.159681	0.0644594	0.0380479	0.0211606	0.0270303	0.0725432	0.0212601	0.0322921	0.0496476	0.0159282	0.0355709	0.0672399	0.04094	0.0355046	0.015923	0.0316743	0.0248205	0.0273626	0.02975	0.0353248	0.0323441	3.228806
80	-15799.7	-15812.2	12.524	0.135235	0.100587	0.0884732	0.116898	0.114696	0.0924749	0.136076	0.0808379	0.098099	0.199049	0.0599767	0.0771018	0.0985419	0.0943791	0.104572	0.141854	0.118688	0.122275	0.110416	0.0760486	0.104728	0.0765326	0.159681	0.0728158	0.0441244	0.0206674	0.0294235	0.0715004	0.0319917	0.0295939	0.0592207	0.0133769	0.0212256	0.0520891	0.0413891	0.0346375	0.026056	0.0250991	0.0206104	0.0259693	0.0304343	0.0421629	0.0368949	3.236504
90	-15802	-15814.9	12.8291	0.10676	0.120702	0.0792988	0.115049	0.104873	0.0885664	0.111689	0.0828358	0.0930953	0.179268	0.0755632	0.083451	0.0991042	0.10392	0.114271	0.109527	0.139264	0.109475	0.118391	0.0915697	0.0958173	0.0820481	0.169786	0.047221	0.0402909	0.0271006	0.0336666	0.0734896	0.0273943	0.0387676	0.0660571	0.0149649	0.0253337	0.0363646	0.0293604	0.0470873	0.0208817	0.0301192	0.034034	0.0289211	0.025223	0.0524236	0.0329757	3.206
100	-15806.6	-15818.6	11.9957	0.125522	0.108447	0.105933	0.102838	0.0946913	0.102275	0.122457	0.0784615	0.0954172	0.180956	0.0865157	0.0972998	0.0991042	0.114849	0.103443	0.119035	0.132711	0.127891	0.119182	0.0809764	0.0978449	0.0700001	0.169786	0.0453685	0.0370324	0.0356433	0.022544	0.0944524	0.0258639	0.0225284	0.0649952	0.0203976	0.0209966	0.0375431	0.0359222	0.0541756	0.0141429	0.0271395	0.0496443	0.0249085	0.0443395	0.0397819	0.0362836	3.289339
110	-15797.4	-15810.6	13.1387	0.131705	0.107095	0.0882037	0.102838	0.113692	0.0670727	0.108548	0.0853169	0.0984307	0.166533	0.0703929	0.0663777	0.105312	0.0979147	0.119601	0.117784	0.139321	0.105617	0.139816	0.067918	0.0943503	0.0766704	0.169786	0.0561145	0.0375067	0.0183092	0.0358235	0.0700917	0.0294804	0.0271931	0.0531574	0.0151318	0.0170604	0.0405462	0.0434051	0.0531669	0.0109942	0.0316554	0.0436759	0.0323987	0.0360071	0.0487551	0.0342663	3.175035
120	-15800.3	-15813	12.7258	0.130705	0.0839018	0.0987752	0.101998	0.130631	0.0722647	0.123988	0.0757069	0.0795528	0.161565	0.0918513	0.0760437	0.101814	0.107804	0.119601	0.136436	0.139321	0.121947	0.0971183	0.0733453	0.0897391	0.0719271	0.164323	0.0643499	0.0584898	0.0186996	0.0407915	0.0803966	0.0208926	0.0367825	0.0450343	0.0208541	0.0261325	0.0428566	0.0366956	0.0374404	0.014509	0.0436128	0.0305594	0.0431148	0.038512	0.0369717	0.0292749	3.21633
130	-15801.8	-15814.6	12.8645	0.130705	0.0830663	0.0987752	0.101998	0.100105	0.0876988	0.125515	0.0893831	0.103408	0.167987	0.0769272	0.0756876	0.0998941	0.115971	0.120606	0.136436	0.139321	0.0925694	0.131529	0.0773893	0.0944881	0.0665028	0.162751	0.0604018	0.0428934	0.0211629	0.026223	0.069916	0.0202394	0.0535757	0.0585411	0.0254648	0.0280209	0.0330641	0.035749	0.0462972	0.011682	0.033327	0.0359021	0.0186378	0.0408814	0.0306846	0.0310778	3.202457
140	-15800	-15812.8	12.8288	0.130705	0.0979872	0.0982762	0.130218	0.100901	0.0662374	0.134639	0.0771686	0.0948779	0.181731	0.0840812	0.0857819	0.0966045	0.070752	0.105142	0.113767	0.133347	0.107382	0.113238	0.0756875	0.099486	0.0940482	0.152242	0.0615463	0.0505171	0.0118255	0.0354059	0.0797253	0.022389	0.0311883	0.051328	0.0275072	0.0237093	0.0520303	0.0321827	0.0453186	0.0269971	0.039886	0.0282331	0.0246108	0.0532269	0.0427064	0.0213974	3.206032
150	-15801.2	-15815.6	14.3763	0.13547	0.0858537	0.0781633	0.111528	0.109138	0.0810148	0.126795	0.0815502	0.0873249	0.170063	0.0695023	0.0927869	0.0702149	0.101942	0.100882	0.129177	0.107727	0.107382	0.130247	0.077306	0.0757062	0.0946265	0.152198	0.0385624	0.0339824	0.0183312	0.0286776	0.0774102	0.0210888	0.0293974	0.0442435	0.0169729	0.0281018	0.0516506	0.0305085	0.0367974	0.0236808	0.0441364	0.0312528	0.029367	0.0240312	0.0363133	0.0301718	3.051276
