Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-19119.6	-19124.4	4.83199	0.0722185	0.114181	0.260987	0.247661	0.167087	0.0535851	0.0951409	0.0541205	0.164049	0.0177712	0.0578862	0.0708025	0.0349616	0.273189	0.0928235	0.0150703	0.0675803	0.0634704	0.192468	0.0751064	0.107769	0.0672189	0.0390339	0.176168	0.0637613	0.0428484	0.173276	0.0421729	0.00440402	0.0235028	0.0530401	0.0412028	0.0593644	0.0056156	0.0993735	0.00027173	0.00564548	0.336947	0.0213963	0.000714889	0.271675	0.115366	0.0647823	4.005709
10	-17283.9	-17291.1	7.24125	0.162586	0.105516	0.197396	0.184939	0.241576	0.105511	0.201593	0.145399	0.111619	0.0944918	0.0856269	0.0749066	0.052482	0.135433	0.131437	0.0506364	0.0774924	0.13156	0.14089	0.187923	0.0711388	0.122168	0.0587673	0.0389626	0.037567	0.0178963	0.112131	0.0276127	0.0061531	0.006511	0.0438597	0.0689848	0.0592993	0.0355388	0.0799211	0.000524313	0.0150013	0.147502	0.00762988	0.00105136	0.112813	0.0349719	0.039762	3.764783
20	-16207	-16218.1	11.0041	0.0962392	0.0890585	0.144427	0.0990673	0.17063	0.115119	0.208009	0.0680597	0.0884289	0.144776	0.0947982	0.100969	0.123324	0.123481	0.134883	0.0559566	0.157736	0.123346	0.159683	0.0845088	0.107818	0.0760064	0.15585	0.0175686	0.028709	0.0260225	0.0472588	0.0498813	0.00611827	0.0291129	0.0172285	0.0448952	0.0208172	0.0355388	0.0237277	0.00153228	0.0240302	0.097748	0.023308	0.00138216	0.086646	0.0498934	0.0349019	3.388495
30	-15961.8	-15973.7	11.826	0.12677	0.104539	0.139078	0.124827	0.11061	0.10574	0.15616	0.0800873	0.116071	0.173107	0.0749651	0.0941264	0.0953309	0.0892609	0.0920985	0.099234	0.15526	0.117792	0.118132	0.0654644	0.0821824	0.100404	0.169066	0.0518139	0.0336743	0.0225552	0.0533329	0.0487645	0.0171321	0.0371616	0.0352598	0.051666	0.0333466	0.0322726	0.0385939	0.0122466	0.0328608	0.0470234	0.0246605	0.00138001	0.048431	0.0775086	0.0163145	3.306304
40	-15823.2	-15836.9	13.6228	0.114131	0.102725	0.0887473	0.0917771	0.11061	0.0871112	0.11593	0.0640364	0.0729239	0.216433	0.0951809	0.0740345	0.104963	0.0962745	0.106678	0.125447	0.117774	0.0976293	0.145807	0.0683275	0.0934985	0.095237	0.154818	0.0475903	0.0359016	0.0279404	0.0389661	0.0464334	0.019689	0.0403885	0.0281376	0.0405338	0.0350702	0.0236374	0.0387937	0.0741547	0.0319784	0.0189106	0.0188342	0.00252353	0.0525239	0.0432896	0.0212353	3.126628
50	-15811.7	-15824.1	12.3879	0.110997	0.0852146	0.0899844	0.104035	0.115496	0.112714	0.12959	0.0767533	0.10338	0.174575	0.0754057	0.0797097	0.106791	0.0677808	0.0913909	0.118427	0.139991	0.10747	0.133774	0.0763206	0.118815	0.0894928	0.175264	0.0374093	0.052037	0.0312194	0.0404358	0.0487605	0.0266108	0.0363308	0.0275646	0.0380886	0.0267613	0.0358341	0.0314757	0.08392	0.0415666	0.0246067	0.0566476	0.0043749	0.0414006	0.0303986	0.0513054	3.250119
60	-15806.8	-15820.1	13.304	0.117618	0.108126	0.0911053	0.11269	0.109893	0.0801851	0.112823	0.0753503	0.0714715	0.177169	0.0785371	0.0994759	0.0952189	0.113805	0.0988345	0.10987	0.129031	0.116845	0.118918	0.0768207	0.0876687	0.0676454	0.166648	0.0497417	0.0290979	0.0338412	0.0550541	0.043565	0.026459	0.0492811	0.0384976	0.0456864	0.0175159	0.0324701	0.0342678	0.08392	0.0318154	0.0186726	0.0292178	0.00370572	0.0393708	0.0359283	0.0446529	3.158512
70	-15808	-15820.6	12.5563	0.129734	0.111297	0.08597	0.102611	0.13318	0.0999448	0.111657	0.0679291	0.0977806	0.183894	0.0690803	0.0801747	0.0893546	0.0845478	0.105918	0.114947	0.138881	0.114806	0.130056	0.0553391	0.10515	0.104169	0.138654	0.0491334	0.0320961	0.0281329	0.0490676	0.0436182	0.0355543	0.0352227	0.0275021	0.03793	0.0300105	0.0322316	0.0419055	0.0740253	0.0327185	0.0140249	0.0564173	0.0220581	0.058993	0.0258987	0.0516591	3.233274
80	-15807.2	-15819.2	11.9369	0.129734	0.0878794	0.0954968	0.102611	0.117102	0.0749314	0.126395	0.0727758	0.0996854	0.174184	0.0855426	0.0940764	0.112581	0.0845478	0.106706	0.148931	0.134192	0.114806	0.113237	0.0942432	0.111845	0.0770574	0.180473	0.060759	0.0496749	0.0438588	0.0382868	0.0382804	0.0114748	0.0231695	0.0218305	0.0369284	0.0403165	0.0324975	0.0430703	0.0645661	0.0319857	0.013206	0.0467315	0.0174787	0.0421754	0.0440393	0.055855	3.295216
90	-15798.9	-15811.2	12.3692	0.115854	0.089474	0.0829119	0.0960031	0.123515	0.0907764	0.13371	0.0765267	0.121773	0.181747	0.0848713	0.0928081	0.0883403	0.0904709	0.107274	0.120638	0.142715	0.10718	0.134251	0.0719347	0.0982427	0.0819161	0.16501	0.0495647	0.0361423	0.0401761	0.0462476	0.0597181	0.0166342	0.0259655	0.0296015	0.0423383	0.0224048	0.0310991	0.0458085	0.0860981	0.0393306	0.0126814	0.0330486	0.0110549	0.0418101	0.0371705	0.0471529	3.251992
