Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	0	-7433.41	-7430.67	-2.74148	0.0866238	0.0338885	0.158467	0.141352	0.432437	0.0901427	0.0226107	0.0596932	0.0215969	0.148583	0.00657382	0.0208761	0.0193176	0.0147549	0.0780196	0.218784	0.00106904	0.0472219	0.0557486	0.128656	0.0796057	0.111409	0.0695574	0.139153	0.583826	0.0197385	0.0817377	0.157788	0.105993	0.331544	0.132411	0.0649573	0.067668	0.108288	0.26862	0.197871	0.00236516	0.057983	0.00810565	0.0020618	0.0152523	0.116161	0.254544	4.763056
1	1	-7332.04	-7339.01	6.96822	0.163865	0.0604135	0.00949317	0.0829515	0.140175	0.0945294	0.0444871	0.0373414	0.159791	0.173377	0.175061	0.0967045	0.0791596	0.285622	0.0217098	0.0152754	0.194281	0.0270571	0.00424514	0.337925	0.0237749	0.0180765	0.120906	0.141767	0.211728	0.0710535	0.0409178	0.0379531	0.114278	0.0449916	0.229073	0.00095935	0.00353823	0.113336	0.0309651	0.00275425	0.0717926	0.0171253	0.0201336	0.0244488	0.000986234	0.21966	0.028403	3.792086
2	0	-6381.59	-6394.7	13.112	0.122511	0.0665724	0.132715	0.225338	0.131983	0.199906	0.0440442	0.157634	0.0536018	0.0993846	0.0107813	0.015381	0.043786	0.0862007	0.104701	0.0944977	0.00162202	0.0492289	0.121501	0.102421	0.0669471	0.17701	0.0945761	0.139153	0.0980231	0.0203728	0.0153582	0.0265173	0.0790032	0.0721651	0.0583099	0.0228742	0.0287453	0.0316998	0.143648	0.0556532	0.00446166	0.0210472	0.00851327	0.0108227	0.0243448	0.049597	0.0650551	3.17771
3	1	-6056.66	-6074.01	17.3504	0.165861	0.138243	0.0370694	0.0523097	0.079188	0.0954533	0.0631373	0.0717723	0.128901	0.0939397	0.0628683	0.088841	0.0707823	0.21807	0.0756833	0.028996	0.101915	0.0292546	0.0218696	0.142298	0.0528589	0.0625761	0.184338	0.0409461	0.049788	0.0538608	0.0440117	0.0742299	0.0591501	0.0377754	0.050798	0.00109909	0.00360986	0.0497659	0.0221137	0.0037946	0.0604133	0.0102882	0.00808667	0.0309684	0.00216507	0.0790347	0.00573998	2.753864
4	0	-5910.6	-5927.84	17.243	0.142594	0.0619797	0.110615	0.167988	0.112522	0.197747	0.0540054	0.120269	0.125213	0.0991396	0.0409319	0.0352189	0.0601772	0.0700341	0.103729	0.0743305	0.0223708	0.0519018	0.0693906	0.0444677	0.0415488	0.129238	0.158071	0.0306679	0.0572237	0.0449466	0.00740653	0.0175327	0.0494287	0.0141189	0.0433355	0.0325214	0.00860713	0.0125887	0.0864797	0.0342577	0.00379791	0.0303907	0.0134516	0.0279983	0.0478741	0.0336523	0.074848	2.764611
5	1	-5459.98	-5482.27	22.2902	0.093898	0.0773608	0.0571149	0.0551206	0.0875434	0.0625713	0.0623762	0.0638828	0.126723	0.0821322	0.0356364	0.0676764	0.062981	0.0740664	0.0978196	0.0674531	0.0808241	0.0450697	0.104404	0.0454325	0.0451688	0.0478548	0.137344	0.0246314	0.0131126	0.0353972	0.027103	0.149537	0.0290645	0.062609	0.025147	0.00156674	0.0120848	0.0188685	0.0140816	0.00322768	0.0264436	0.0178077	0.0150707	0.0438348	0.00628061	0.0430326	0.010528	2.259884
6	0	-5674.54	-5694.78	20.2354	0.114346	0.0687068	0.0719561	0.0882475	0.131618	0.215855	0.0700558	0.0815689	0.104587	0.0564538	0.0448746	0.0410737	0.0755049	0.0362803	0.0741491	0.0774817	0.0560957	0.0736647	0.0751923	0.0491792	0.0226697	0.0347011	0.131395	0.0689184	0.0246479	0.0603704	0.0118318	0.0305097	0.030259	0.0662036	0.0164272	0.0216616	0.0173597	0.0332891	0.0567287	0.0183831	0.0056794	0.05104	0.009884	0.0277804	0.0307704	0.0527532	0.0352097	2.465364
7	1	-5431.37	-5453.36	21.9883	0.0920583	0.0499674	0.0874358	0.0596396	0.0814541	0.0640348	0.092497	0.0316599	0.126749	0.0890495	0.0471903	0.0633478	0.0810959	0.0828959	0.0877015	0.0718768	0.0750226	0.0665505	0.0553736	0.0382282	0.016703	0.0442809	0.151881	0.0186922	0.0136292	0.0262992	0.0342198	0.113248	0.0515122	0.104275	0.0127648	0.00334854	0.010831	0.0275572	0.0194268	0.0081355	0.0120398	0.0408118	0.0309496	0.0322297	0.0240972	0.0371359	0.0121819	2.290079
8	0	-5433.88	-5457.11	23.2289	0.0846254	0.0688007	0.0723709	0.0667731	0.0754557	0.0756058	0.0824979	0.0490192	0.0925778	0.0928749	0.0174896	0.0487761	0.0629811	0.0648774	0.0948646	0.0433291	0.0836294	0.0594293	0.0536525	0.0514022	0.038194	0.0270914	0.150689	0.0556632	0.0307457	0.0366953	0.0237397	0.0125825	0.0589318	0.029989	0.00822658	0.0294576	0.0256573	0.0217508	0.0305213	0.0296438	0.0203824	0.0702329	0.00817134	0.024689	0.0526499	0.0251436	0.0141419	2.166023
9	1	-5433.51	-5455.35	21.8372	0.120774	0.06788	0.0777181	0.0494416	0.0878841	0.0617612	0.101207	0.0248766	0.117421	0.0833103	0.0238967	0.0332453	0.0852543	0.0697302	0.115499	0.100716	0.0833043	0.0954971	0.0545673	0.0224091	0.0198001	0.0358374	0.108473	0.0182468	0.0044636	0.0332339	0.0329858	0.0780388	0.0526438	0.123054	0.0176343	0.0124302	0.0191052	0.0396928	0.00663093	0.024253	0.0175262	0.0420913	0.0222283	0.0405185	0.0249535	0.0230466	0.031907	2.305188
10	0	-5402.11	-5422.9	20.7848	0.0917234	0.0454505	0.0706356	0.0588823	0.0755041	0.0569377	0.0871445	0.075907	0.106485	0.0944013	0.0431595	0.0605567	0.0956265	0.045143	0.0890616	0.0766342	0.106903	0.0502867	0.0559718	0.0412113	0.0285946	0.0348383	0.13517	0.0686196	0.0335984	0.0374999	0.0130148	0.00966456	0.0374155	0.0526763	0.0422439	0.0138715	0.0501373	0.0472035	0.0202205	0.0172617	0.0298228	0.0655657	0.0156199	0.0374729	0.0890663	0.0193829	0.0838455	2.410433
11	1	-5420.97	-5443.34	22.3727	0.112608	0.0571554	0.0825143	0.0595046	0.0723162	0.0728949	0.0872625	0.0575724	0.083451	0.0789333	0.0293625	0.0223217	0.0799735	0.0569101	0.0964265	0.06967	0.0815925	0.0589886	0.063786	0.0648672	0.0174923	0.0204969	0.125019	0.0235807	0.0198503	0.0268871	0.0408672	0.084249	0.0407568	0.122437	0.0233072	0.0321332	0.037795	0.0205885	0.00452759	0.0161352	0.00504851	0.0444962	0.0215514	0.0275518	0.0317053	0.0295636	0.0474849	2.251637
12	0	-5399.55	-5420.75	21.2009	0.0899896	0.0896822	0.126114	0.0614788	0.0763377	0.0710684	0.0833015	0.0705906	0.10356	0.104035	0.0423898	0.0414828	0.0987585	0.0588473	0.065049	0.05504	0.0964126	0.0858781	0.0767208	0.0321526	0.0235447	0.0420104	0.138404	0.0415254	0.00944509	0.0313417	0.00808599	0.0242815	0.0262897	0.0344718	0.0357884	0.0201643	0.0315326	0.0481691	0.0361977	0.012469	0.0112799	0.0734161	0.0118218	0.0476527	0.0571367	0.0272642	0.0476315	2.368815
13	1	-5426.07	-5448.34	22.2709	0.082374	0.0729516	0.0649948	0.0495553	0.0784623	0.0588025	0.0701108	0.0531683	0.0820773	0.111032	0.0234561	0.0314597	0.061222	0.0884627	0.0651738	0.0573187	0.113743	0.0677242	0.0832899	0.0307345	0.0307358	0.0302254	0.169682	0.0285582	0.00999169	0.0254633	0.0472927	0.105671	0.0379793	0.0813242	0.0286647	0.0352517	0.0393398	0.0085798	0.0076063	0.0180743	0.0110172	0.026479	0.0141989	0.0411455	0.0488602	0.0326199	0.0369436	2.261819
14	0	-5396.37	-5418.8	22.4302	0.0901796	0.0471235	0.0926772	0.0324641	0.0606238	0.0586558	0.104106	0.05135	0.113897	0.0655537	0.0158145	0.0304083	0.102553	0.0572185	0.0792083	0.0597339	0.116041	0.0593372	0.0874242	0.0497065	0.059041	0.0268162	0.104914	0.0511003	0.0211528	0.0340004	0.007915	0.0165347	0.0491957	0.0373352	0.0377794	0.0117767	0.0182692	0.0263363	0.0129409	0.0445638	0.0310378	0.0537864	0.0173681	0.0376559	0.0828313	0.0238911	0.0655719	2.24589
15	1	-5422.43	-5444.77	22.3425	0.119139	0.0829494	0.0998713	0.0498325	0.0823882	0.0531019	0.0996389	0.0547251	0.110744	0.0920044	0.0189782	0.0236326	0.0781484	0.0658357	0.0795087	0.0556863	0.112482	0.0530857	0.0847691	0.0260104	0.0302287	0.0354878	0.150838	0.0170609	0.0102513	0.0267977	0.0378158	0.0784747	0.0280499	0.0901386	0.0286863	0.0274423	0.0414406	0.00713472	0.00761062	0.0136417	0.013097	0.0154631	0.0170602	0.0396486	0.0328663	0.0175859	0.0453098	2.254662
16	0	-5390.46	-5413.42	22.9519	0.0884857	0.0523401	0.066946	0.0637898	0.0715068	0.0836612	0.0723338	0.0359142	0.100175	0.0747352	0.0184074	0.0402985	0.0716275	0.0674943	0.0722889	0.0743242	0.0967194	0.045433	0.0708169	0.0306202	0.0277626	0.0328009	0.131966	0.0407202	0.010439	0.0475862	0.0162168	0.0196771	0.0707455	0.0405973	0.0307058	0.0192669	0.00445216	0.050156	0.0226048	0.0139999	0.0192679	0.073415	0.0228652	0.0440527	0.0620915	0.015836	0.0785773	2.193721
17	1	-5432.68	-5453.58	20.906	0.0858725	0.0670487	0.0688053	0.0596893	0.125482	0.0750731	0.0811352	0.0377817	0.106025	0.0828154	0.0354248	0.0222488	0.112131	0.078749	0.0988331	0.06896	0.0830789	0.0639042	0.0675041	0.0266922	0.0363309	0.0262407	0.149638	0.0174155	0.00405464	0.0208411	0.035747	0.0903843	0.0831864	0.0907448	0.0141019	0.0354936	0.033927	0.0188326	0.0236639	0.0297955	0.0342257	0.0372068	0.0306053	0.0405046	0.0363881	0.0166251	0.0450998	2.398306
18	0	-5388.84	-5412.37	23.5246	0.0623195	0.0604356	0.0884089	0.0404964	0.0536597	0.0589784	0.0808695	0.0502344	0.0869628	0.0894418	0.0344929	0.0312115	0.0584713	0.0827195	0.0743613	0.0594465	0.0994845	0.0834203	0.0547134	0.0422739	0.0223201	0.0283373	0.151685	0.0518704	0.0151189	0.0340208	0.025844	0.035694	0.0334696	0.0458326	0.0106442	0.0362004	0.00434298	0.0245848	0.0176938	0.0192101	0.0223761	0.0584549	0.0364175	0.0375762	0.0577092	0.0160078	0.0586392	2.136452
19	1	-5426.74	-5449.24	22.5052	0.0862102	0.0681732	0.0708668	0.0500035	0.08983	0.0523272	0.069837	0.0644937	0.10741	0.0849364	0.0323262	0.0284707	0.0925774	0.0739559	0.0527351	0.0692877	0.100791	0.0650797	0.0737878	0.0287792	0.0455789	0.0151497	0.124828	0.0330983	0.0152182	0.0280292	0.0362474	0.0889499	0.0422689	0.0783872	0.0210338	0.0368807	0.0313745	0.039206	0.0217613	0.0115362	0.00494735	0.0205656	0.0177387	0.0315359	0.0360304	0.0505334	0.0456112	2.238389
20	0	-5395.44	-5417.71	22.2665	0.110968	0.0745333	0.0905803	0.0643769	0.0481504	0.0528332	0.0714767	0.0544474	0.132413	0.130888	0.0404713	0.0454431	0.0908024	0.0693612	0.0850116	0.0617225	0.0609363	0.0485318	0.0523586	0.0271034	0.0264356	0.0360836	0.138135	0.084599	0.0155448	0.0322095	0.0266472	0.0144611	0.0559302	0.034178	0.0339298	0.028638	0.00384743	0.0206044	0.00725496	0.0181533	0.0259526	0.074513	0.0286062	0.029022	0.0561904	0.0125716	0.0463385	2.262255
21	1	-5426.41	-5447.47	21.0597	0.107388	0.0431208	0.0913489	0.06689	0.0776494	0.0662	0.0890335	0.0486245	0.0995018	0.0851459	0.030058	0.042997	0.0750585	0.0354947	0.0929138	0.0792082	0.106482	0.0578968	0.0623594	0.0479716	0.0340722	0.041857	0.154483	0.0194304	0.037419	0.0322653	0.0286649	0.0968068	0.05442	0.132592	0.0242121	0.0150211	0.0127631	0.0309244	0.0189052	0.0176771	0.00346262	0.0239366	0.0161156	0.024861	0.0506167	0.0367897	0.0703004	2.38294
22	0	-5395.59	-5416.79	21.2001	0.0963886	0.0805744	0.0864445	0.0370502	0.118921	0.0799523	0.0747741	0.0489871	0.0859043	0.0809773	0.0213196	0.0394469	0.105079	0.0846431	0.111745	0.09491	0.0967438	0.0655182	0.0625713	0.0369927	0.0517297	0.0262753	0.163614	0.037791	0.0263411	0.0159619	0.0180201	0.0321895	0.036409	0.0277854	0.0194735	0.020142	0.00364601	0.0237239	0.00742874	0.0215815	0.0310482	0.0513266	0.035548	0.0568605	0.0717803	0.0189248	0.0623501	2.368895
23	1	-5426.69	-5448.32	21.634	0.124814	0.0589886	0.0740266	0.0442302	0.0706142	0.0528212	0.0777962	0.0699846	0.103021	0.0749053	0.0296187	0.0293584	0.0938503	0.0591815	0.104786	0.0938618	0.0673174	0.0438432	0.040289	0.0384055	0.0486081	0.0319352	0.135104	0.020236	0.0462889	0.0237144	0.0245632	0.106284	0.0496219	0.138	0.0315891	0.043058	0.0265154	0.0191593	0.0178056	0.0300529	0.00492311	0.0224791	0.0161849	0.0382016	0.0282956	0.0361604	0.035016	2.32551
24	0	-5387.49	-5409.03	21.5409	0.085509	0.0630098	0.0788041	0.057449	0.0788851	0.0771172	0.105541	0.0624737	0.101564	0.134909	0.0401293	0.0153193	0.0818888	0.0740578	0.0998267	0.0774038	0.0882304	0.0566109	0.0804542	0.0414074	0.0360512	0.0325319	0.130518	0.0477323	0.0179998	0.0378144	0.0128249	0.0281098	0.0452999	0.0365053	0.0151032	0.0357194	0.0179462	0.0295045	0.0156364	0.0125703	0.0277338	0.0832801	0.018675	0.0424265	0.0518162	0.015564	0.0428667	2.334819
25	1	-5405.1	-5426.66	21.5657	0.135481	0.0548011	0.113527	0.0532502	0.0740622	0.0793581	0.0767541	0.0414758	0.108188	0.0894837	0.0194638	0.0223084	0.09026	0.0625528	0.0657236	0.0858162	0.0759472	0.0404138	0.0808296	0.0320146	0.0297632	0.0218045	0.157691	0.0231355	0.0337235	0.0357479	0.0356518	0.0654512	0.0445924	0.128029	0.0383506	0.039113	0.0184564	0.0193601	0.00975292	0.0166236	0.01	0.0200338	0.0088006	0.0326881	0.0377859	0.0503059	0.0537601	2.332333
