Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-7433.41	-7430.67	-2.74148	0.0866238	0.0338885	0.158467	0.141352	0.432437	0.0901427	0.0226107	0.0596932	0.0215969	0.148583	0.00657382	0.0208761	0.0193176	0.0147549	0.0780196	0.218784	0.00106904	0.0472219	0.0557486	0.128656	0.0796057	0.111409	0.0695574	0.139153	0.583826	0.0197385	0.0817377	0.157788	0.105993	0.331544	0.132411	0.0649573	0.067668	0.108288	0.26862	0.197871	0.00236516	0.057983	0.00810565	0.0020618	0.0152523	0.116161	0.254544	4.763056
10	-6381.59	-6394.7	13.112	0.122511	0.0665724	0.132715	0.225338	0.131983	0.199906	0.0440442	0.157634	0.0536018	0.0993846	0.0107813	0.015381	0.043786	0.0862007	0.104701	0.0944977	0.00162202	0.0492289	0.121501	0.102421	0.0669471	0.17701	0.0945761	0.139153	0.0980231	0.0203728	0.0153582	0.0265173	0.0790032	0.0721651	0.0583099	0.0228742	0.0287453	0.0316998	0.143648	0.0556532	0.00446166	0.0210472	0.00851327	0.0108227	0.0243448	0.049597	0.0650551	3.17771
20	-5910.6	-5927.84	17.243	0.142594	0.0619797	0.110615	0.167988	0.112522	0.197747	0.0540054	0.120269	0.125213	0.0991396	0.0409319	0.0352189	0.0601772	0.0700341	0.103729	0.0743305	0.0223708	0.0519018	0.0693906	0.0444677	0.0415488	0.129238	0.158071	0.0306679	0.0572237	0.0449466	0.00740653	0.0175327	0.0494287	0.0141189	0.0433355	0.0325214	0.00860713	0.0125887	0.0864797	0.0342577	0.00379791	0.0303907	0.0134516	0.0279983	0.0478741	0.0336523	0.074848	2.764611
30	-5674.54	-5694.78	20.2354	0.114346	0.0687068	0.0719561	0.0882475	0.131618	0.215855	0.0700558	0.0815689	0.104587	0.0564538	0.0448746	0.0410737	0.0755049	0.0362803	0.0741491	0.0774817	0.0560957	0.0736647	0.0751923	0.0491792	0.0226697	0.0347011	0.131395	0.0689184	0.0246479	0.0603704	0.0118318	0.0305097	0.030259	0.0662036	0.0164272	0.0216616	0.0173597	0.0332891	0.0567287	0.0183831	0.0056794	0.05104	0.009884	0.0277804	0.0307704	0.0527532	0.0352097	2.465364
40	-5433.88	-5457.11	23.2289	0.0846254	0.0688007	0.0723709	0.0667731	0.0754557	0.0756058	0.0824979	0.0490192	0.0925778	0.0928749	0.0174896	0.0487761	0.0629811	0.0648774	0.0948646	0.0433291	0.0836294	0.0594293	0.0536525	0.0514022	0.038194	0.0270914	0.150689	0.0556632	0.0307457	0.0366953	0.0237397	0.0125825	0.0589318	0.029989	0.00822658	0.0294576	0.0256573	0.0217508	0.0305213	0.0296438	0.0203824	0.0702329	0.00817134	0.024689	0.0526499	0.0251436	0.0141419	2.166023
50	-5402.11	-5422.9	20.7848	0.0917234	0.0454505	0.0706356	0.0588823	0.0755041	0.0569377	0.0871445	0.075907	0.106485	0.0944013	0.0431595	0.0605567	0.0956265	0.045143	0.0890616	0.0766342	0.106903	0.0502867	0.0559718	0.0412113	0.0285946	0.0348383	0.13517	0.0686196	0.0335984	0.0374999	0.0130148	0.00966456	0.0374155	0.0526763	0.0422439	0.0138715	0.0501373	0.0472035	0.0202205	0.0172617	0.0298228	0.0655657	0.0156199	0.0374729	0.0890663	0.0193829	0.0838455	2.410433
60	-5399.55	-5420.75	21.2009	0.0899896	0.0896822	0.126114	0.0614788	0.0763377	0.0710684	0.0833015	0.0705906	0.10356	0.104035	0.0423898	0.0414828	0.0987585	0.0588473	0.065049	0.05504	0.0964126	0.0858781	0.0767208	0.0321526	0.0235447	0.0420104	0.138404	0.0415254	0.00944509	0.0313417	0.00808599	0.0242815	0.0262897	0.0344718	0.0357884	0.0201643	0.0315326	0.0481691	0.0361977	0.012469	0.0112799	0.0734161	0.0118218	0.0476527	0.0571367	0.0272642	0.0476315	2.368815
70	-5396.37	-5418.8	22.4302	0.0901796	0.0471235	0.0926772	0.0324641	0.0606238	0.0586558	0.104106	0.05135	0.113897	0.0655537	0.0158145	0.0304083	0.102553	0.0572185	0.0792083	0.0597339	0.116041	0.0593372	0.0874242	0.0497065	0.059041	0.0268162	0.104914	0.0511003	0.0211528	0.0340004	0.007915	0.0165347	0.0491957	0.0373352	0.0377794	0.0117767	0.0182692	0.0263363	0.0129409	0.0445638	0.0310378	0.0537864	0.0173681	0.0376559	0.0828313	0.0238911	0.0655719	2.24589
80	-5390.46	-5413.42	22.9519	0.0884857	0.0523401	0.066946	0.0637898	0.0715068	0.0836612	0.0723338	0.0359142	0.100175	0.0747352	0.0184074	0.0402985	0.0716275	0.0674943	0.0722889	0.0743242	0.0967194	0.045433	0.0708169	0.0306202	0.0277626	0.0328009	0.131966	0.0407202	0.010439	0.0475862	0.0162168	0.0196771	0.0707455	0.0405973	0.0307058	0.0192669	0.00445216	0.050156	0.0226048	0.0139999	0.0192679	0.073415	0.0228652	0.0440527	0.0620915	0.015836	0.0785773	2.193721
90	-5388.84	-5412.37	23.5246	0.0623195	0.0604356	0.0884089	0.0404964	0.0536597	0.0589784	0.0808695	0.0502344	0.0869628	0.0894418	0.0344929	0.0312115	0.0584713	0.0827195	0.0743613	0.0594465	0.0994845	0.0834203	0.0547134	0.0422739	0.0223201	0.0283373	0.151685	0.0518704	0.0151189	0.0340208	0.025844	0.035694	0.0334696	0.0458326	0.0106442	0.0362004	0.00434298	0.0245848	0.0176938	0.0192101	0.0223761	0.0584549	0.0364175	0.0375762	0.0577092	0.0160078	0.0586392	2.136452
