Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	0	-31167.4	-31177.2	9.83637	0.0622516	0.0459212	0.0145492	0.0325434	0.00921357	0.0732774	0.0565081	0.0157413	0.101332	0.0841131	0.14457	0.0402164	0.248132	0.0302648	0.0466624	0.244262	0.0725674	0.22416	0.12122	0.035488	0.120806	0.0151711	0.0399345	0.0783291	0.0994049	0.0467554	0.115874	0.0919283	0.0410897	0.150303	0.19345	0.154934	0.137569	0.0439828	0.291828	0.0168777	0.138733	0.32591	0.0263067	0.058905	0.0574005	0.0807777	0.0947287	0.204999	0.217034	0.175002	0.1429	0.0937466	0.166319	0.3920357	0.00248924	0.0293802	0.871338	0.0967928	4.123992
1	1	-20193.2	-20207.5	14.2814	0.0923377	0.00267774	0.175857	0.010353	0.178658	0.0677792	0.0212322	0.00228803	0.121385	0.0520678	0.0974208	0.0340236	0.0639124	0.195466	0.00080896	0.150912	0.050133	0.10208	0.0252987	0.295663	0.016011	0.00711289	0.0330059	0.0342251	0.681069	0.0121592	0.0750452	0.291622	0.00644457	0.0614769	0.106775	0.115437	0.0399409	0.0174838	0.0394377	0.0227551	0.0924476	0.0304829	0.0389878	0.0248886	0.0119524	0.0266317	0.175735	0.256579	0.0680795	0.187419	0.0478108	0.264378	0.175734	0.1720872	0.187841	0.160531	0.382336	0.269292	3.701482
2	0	-15885.3	-15891.9	6.56328	0.191958	0.0850275	0.0576451	0.0934367	0.034143	0.0950083	0.148304	0.0623571	0.176498	0.255421	0.149682	0.068595	0.125961	0.0519583	0.14543	0.178329	0.228534	0.144914	0.234163	0.142014	0.139811	0.0443756	0.203037	0.0953759	0.0918111	0.0553515	0.0720884	0.0336641	0.0890211	0.0802039	0.0349533	0.0233145	0.134572	0.0530154	0.157569	0.0273997	0.0747223	0.124766	0.0364231	0.0142299	0.0770179	0.0294067	0.0982333	0.408928	0.228875	0.191193	0.00455761	0.166446	1.55631e-24	0.3076201	0.189693	0.106316	0.139555	0.564435	4.459743
3	1	-15026.8	-15031.3	4.45308	0.241699	0.00999841	0.255921	0.0791355	0.138416	0.0808455	0.30172	0.00408211	0.175779	0.159707	0.115945	0.149962	0.128063	0.156032	0.0150993	0.269498	0.142258	0.15453	0.167832	0.0931313	0.0967514	0.0237011	0.183963	0.0721407	0.178912	0.024918	0.0889911	0.275124	0.0139452	0.127715	0.140164	0.0972088	0.0767838	0.0417752	0.0291734	0.0381311	0.0853383	0.0232663	0.0223248	0.0402846	0.0158206	0.0320548	0.124718	0.183791	0.179672	0.113577	0.0186598	0.43681	0.0674897	0.08665646	0.321818	0.318326	0.136898	0.222957	4.692859
4	0	-13928.2	-13927.1	-1.10283	0.221365	0.24423	0.227472	0.187214	0.0956369	0.132098	0.230049	0.130884	0.13251	0.336943	0.105176	0.162615	0.162314	0.105715	0.231464	0.241717	0.259072	0.178432	0.209925	0.115961	0.12618	0.11132	0.209912	0.0594455	0.0652042	0.0535264	0.0151426	0.0218107	0.122046	0.0345055	0.0646442	0.0297713	0.129253	0.0389756	0.0486952	0.04818	0.0558982	0.128298	0.0348805	0.00806324	0.0534069	0.0281931	0.0369737	0.1406	0.169847	0.0760478	0.013121	0.600383	1.00249e-24	0.2199604	0.240903	0.257019	0.24112	0.260958	5.23512
5	1	-14089.7	-14075.1	-14.6459	0.368609	0.0409004	0.197449	0.180849	0.184632	0.152528	0.271825	0.0180226	0.255534	0.324352	0.254703	0.394689	0.201944	0.1506	0.0535175	0.259902	0.258944	0.260385	0.238957	0.0927472	0.133784	0.0496961	0.512853	0.06642	0.0618799	0.0344066	0.0099535	0.255511	0.0516609	0.128579	0.235707	0.082792	0.273536	0.0714451	0.016134	0.0321637	0.0632828	0.112376	0.0342445	0.0446667	0.0243217	0.0352085	0.107403	0.0836535	0.2085	0.131801	0.0216538	0.506896	0.0474959	0.1230515	0.327967	0.360459	0.118531	0.193043	6.599115
6	0	-13644.3	-13640.4	-3.85977	0.191062	0.178275	0.190464	0.170693	0.164009	0.102758	0.223026	0.143577	0.141743	0.29745	0.0627086	0.140385	0.154074	0.166758	0.173064	0.330178	0.232597	0.200409	0.232576	0.126739	0.144815	0.10425	0.509548	0.0969379	0.0339219	0.0511408	0.0415742	0.0374433	0.0450887	0.023331	0.179286	0.0190684	0.117832	0.0366996	0.0638104	0.0616881	0.0324681	0.137197	0.0294711	0.0201384	0.0488264	0.0259076	0.0346526	0.109374	0.175225	0.095088	0.0172817	0.603032	1.63923e-24	0.151687	0.307244	0.276511	0.199899	0.216346	5.517641
7	1	-13820.8	-13800.6	-20.2276	0.267789	0.16333	0.181223	0.118196	0.207938	0.149958	0.215283	0.0290225	0.272241	0.285051	0.175824	0.413956	0.213539	0.221925	0.129283	0.337565	0.208466	0.260385	0.188656	0.0987274	0.236298	0.102719	1.03838	0.103741	0.0438886	0.128958	0.0309664	0.313448	0.0994025	0.0633327	0.0457306	0.177824	0.193875	0.0380229	0.0284487	0.0272686	0.0403495	0.134863	0.02377	0.0479802	0.0210101	0.0390574	0.0416291	0.0705581	0.23118	0.111168	0.018264	0.542859	0.0259707	0.1027708	0.327967	0.360459	0.118531	0.193043	7.159318
8	0	-13564.4	-13547.5	-16.8922	0.275711	0.195487	0.220377	0.134541	0.254159	0.160384	0.192453	0.146632	0.17049	0.328034	0.0955204	0.188404	0.174963	0.22601	0.194994	0.298149	0.257642	0.226868	0.214502	0.109237	0.209982	0.165123	0.801894	0.0998734	0.112427	0.0689093	0.0495179	0.119672	0.0467262	0.0279911	0.173737	0.0394396	0.081108	0.0229566	0.0514189	0.0418015	0.0416957	0.177587	0.0381312	0.110313	0.0340357	0.210054	0.0308943	0.110732	0.177401	0.0838514	0.0174963	0.61052	1.30414e-23	0.1621083	0.297099	0.308986	0.191432	0.202484	6.819844
9	1	-13556.7	-13538.7	-17.9222	0.255325	0.152066	0.191976	0.120518	0.230898	0.140676	0.245123	0.0745995	0.169553	0.36055	0.176669	0.202471	0.240971	0.201443	0.225814	0.382089	0.273935	0.259277	0.211362	0.133137	0.199071	0.100704	1.07902	0.0450152	0.0740977	0.0669458	0.145568	0.134818	0.0685332	0.0359529	0.0268853	0.143455	0.100507	0.0465046	0.0445548	0.0345596	0.0140073	0.0599677	0.0340637	0.0441348	0.101021	0.0314281	0.0486881	0.0729798	0.237431	0.0980834	0.0172713	0.549381	0.0248533	0.1109493	0.330706	0.355119	0.11952	0.194655	6.92796
