Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20193.2	-20207.5	14.2814	0.0923377	0.00267774	0.175857	0.010353	0.178658	0.0677792	0.0212322	0.00228803	0.121385	0.0520678	0.0974208	0.0340236	0.0639124	0.195466	0.00080896	0.150912	0.050133	0.10208	0.0252987	0.295663	0.016011	0.00711289	0.0330059	0.0342251	0.681069	0.0121592	0.0750452	0.291622	0.00644457	0.0614769	0.106775	0.115437	0.0399409	0.0174838	0.0394377	0.0227551	0.0924476	0.0304829	0.0389878	0.0248886	0.0119524	0.0266317	0.175735	0.256579	0.0680795	0.187419	0.0478108	0.264378	0.175734	0.1720872	0.187841	0.160531	0.382336	0.269292	3.701482
10	-15026.8	-15031.3	4.45308	0.241699	0.00999841	0.255921	0.0791355	0.138416	0.0808455	0.30172	0.00408211	0.175779	0.159707	0.115945	0.149962	0.128063	0.156032	0.0150993	0.269498	0.142258	0.15453	0.167832	0.0931313	0.0967514	0.0237011	0.183963	0.0721407	0.178912	0.024918	0.0889911	0.275124	0.0139452	0.127715	0.140164	0.0972088	0.0767838	0.0417752	0.0291734	0.0381311	0.0853383	0.0232663	0.0223248	0.0402846	0.0158206	0.0320548	0.124718	0.183791	0.179672	0.113577	0.0186598	0.43681	0.0674897	0.08665646	0.321818	0.318326	0.136898	0.222957	4.692859
20	-14089.7	-14075.1	-14.6459	0.368609	0.0409004	0.197449	0.180849	0.184632	0.152528	0.271825	0.0180226	0.255534	0.324352	0.254703	0.394689	0.201944	0.1506	0.0535175	0.259902	0.258944	0.260385	0.238957	0.0927472	0.133784	0.0496961	0.512853	0.06642	0.0618799	0.0344066	0.0099535	0.255511	0.0516609	0.128579	0.235707	0.082792	0.273536	0.0714451	0.016134	0.0321637	0.0632828	0.112376	0.0342445	0.0446667	0.0243217	0.0352085	0.107403	0.0836535	0.2085	0.131801	0.0216538	0.506896	0.0474959	0.1230515	0.327967	0.360459	0.118531	0.193043	6.599115
30	-13820.8	-13800.6	-20.2276	0.267789	0.16333	0.181223	0.118196	0.207938	0.149958	0.215283	0.0290225	0.272241	0.285051	0.175824	0.413956	0.213539	0.221925	0.129283	0.337565	0.208466	0.260385	0.188656	0.0987274	0.236298	0.102719	1.03838	0.103741	0.0438886	0.128958	0.0309664	0.313448	0.0994025	0.0633327	0.0457306	0.177824	0.193875	0.0380229	0.0284487	0.0272686	0.0403495	0.134863	0.02377	0.0479802	0.0210101	0.0390574	0.0416291	0.0705581	0.23118	0.111168	0.018264	0.542859	0.0259707	0.1027708	0.327967	0.360459	0.118531	0.193043	7.159318
40	-13556.7	-13538.7	-17.9222	0.255325	0.152066	0.191976	0.120518	0.230898	0.140676	0.245123	0.0745995	0.169553	0.36055	0.176669	0.202471	0.240971	0.201443	0.225814	0.382089	0.273935	0.259277	0.211362	0.133137	0.199071	0.100704	1.07902	0.0450152	0.0740977	0.0669458	0.145568	0.134818	0.0685332	0.0359529	0.0268853	0.143455	0.100507	0.0465046	0.0445548	0.0345596	0.0140073	0.0599677	0.0340637	0.0441348	0.101021	0.0314281	0.0486881	0.0729798	0.237431	0.0980834	0.0172713	0.549381	0.0248533	0.1109493	0.330706	0.355119	0.11952	0.194655	6.92796
50	-13499.7	-13478.3	-21.3333	0.26771	0.160149	0.21258	0.0842889	0.241418	0.132829	0.218875	0.116596	0.1938	0.352326	0.124117	0.19788	0.202929	0.164986	0.250702	0.318722	0.284489	0.250371	0.226818	0.0982932	0.140364	0.140593	1.19258	0.106105	0.174414	0.0825257	0.209162	0.112329	0.0644143	0.04889	0.0296513	0.113412	0.0612334	0.0455629	0.0396608	0.0406788	0.037296	0.0697503	0.120934	0.0410764	0.206241	0.0574114	0.0327604	0.0653846	0.244107	0.0894486	0.0175503	0.558254	0.0252547	0.132382	0.330706	0.355119	0.11952	0.194655	7.266923
60	-13507.8	-13482.8	-24.9589	0.315146	0.166731	0.185153	0.165701	0.280853	0.171529	0.263108	0.163403	0.167748	0.352326	0.120478	0.177386	0.214097	0.224938	0.228099	0.277646	0.284489	0.246937	0.23626	0.101914	0.195516	0.140041	1.04883	0.09134	0.169324	0.161128	0.234418	0.16473	0.0647215	0.0392684	0.0688474	0.04372	0.0676241	0.0581235	0.0112029	0.067913	0.0347027	0.029804	0.136683	0.0778994	0.221712	0.0937832	0.0643365	0.0656246	0.245004	0.0716447	0.0176147	0.573789	0.0263229	0.1310896	0.325997	0.364301	0.117819	0.191883	7.629614
70	-13502.6	-13476.2	-26.3743	0.257388	0.207219	0.232394	0.139392	0.307992	0.11872	0.266357	0.147835	0.233892	0.357106	0.127536	0.135089	0.179181	0.226575	0.236038	0.361335	0.334226	0.258004	0.198009	0.130549	0.201179	0.136985	1.2338	0.116961	0.206344	0.0747176	0.288696	0.137804	0.0403965	0.0172605	0.05457	0.0532212	0.0783016	0.023541	0.0232584	0.0266077	0.072475	0.0513334	0.140118	0.0777596	0.192606	0.0301227	0.0390488	0.0648177	0.260844	0.0707637	0.00688677	0.566734	0.0299544	0.1232038	0.327035	0.365461	0.115009	0.192494	7.771944
80	-13504.4	-13478.7	-25.7606	0.309218	0.161073	0.192233	0.089991	0.227571	0.203655	0.218802	0.149307	0.163765	0.383284	0.17245	0.14054	0.271939	0.23019	0.233355	0.35579	0.300316	0.258004	0.26575	0.104964	0.201455	0.0935329	1.0251	0.144358	0.209899	0.067903	0.220027	0.220786	0.0574444	0.0561985	0.0830262	0.0445415	0.0931702	0.0356309	0.0287403	0.00514559	0.0826896	0.0301691	0.150605	0.0723001	0.205041	0.0759449	0.0746717	0.0664446	0.267391	0.0725399	0.00211398	0.561101	0.0304093	0.1232038	0.327035	0.365461	0.115009	0.192494	7.710575
90	-13504.7	-13479.2	-25.4746	0.261259	0.131943	0.182389	0.113379	0.305937	0.189803	0.19474	0.12934	0.195694	0.323161	0.125833	0.131434	0.268366	0.215983	0.277989	0.299528	0.340137	0.322049	0.232064	0.108677	0.20795	0.10201	1.29664	0.0983837	0.238392	0.0619586	0.220027	0.154836	0.0541466	0.0610852	0.0456096	0.0209327	0.0426833	0.0596364	0.0228406	0.0147355	0.0762338	0.0265103	0.163182	0.0564638	0.177618	0.0615323	0.0683319	0.0613622	0.282078	0.0958096	0.00446532	0.532445	0.02384	0.1285092	0.327035	0.365461	0.115009	0.192494	7.681445
100	-13504	-13481.6	-22.3265	0.326368	0.207477	0.177084	0.155619	0.257651	0.094184	0.226959	0.118819	0.213161	0.284748	0.104989	0.156975	0.182388	0.198558	0.228873	0.356709	0.341266	0.265492	0.251921	0.154852	0.206598	0.126749	0.914817	0.0934972	0.241184	0.055343	0.208245	0.138787	0.050287	0.022024	0.0434921	0.0622506	0.0621084	0.0209079	0.0404835	0.0236357	0.1577	0.0166865	0.125724	0.0753025	0.239812	0.0744603	0.0631663	0.0622625	0.272518	0.0972152	0.0069119	0.540257	0.0208355	0.1213176	0.326913	0.369306	0.111358	0.192423	7.367356
110	-13502.8	-13479.2	-23.6114	0.300182	0.193807	0.232968	0.151779	0.233919	0.137654	0.217336	0.161452	0.154831	0.356288	0.138885	0.12768	0.258365	0.200527	0.230071	0.407215	0.380625	0.280513	0.231149	0.125919	0.143615	0.114521	0.946736	0.0753939	0.2199	0.0803724	0.180906	0.165541	0.0300844	0.0264898	0.0588879	0.0397888	0.0912099	0.0285281	0.00827802	0.058894	0.179506	0.0231684	0.134972	0.0752296	0.195646	0.0444898	0.051393	0.0615589	0.269439	0.0929982	0.00828756	0.534152	0.0335647	0.1325286	0.326913	0.369306	0.111358	0.192423	7.494716
120	-13499	-13475.7	-23.3091	0.330868	0.146104	0.182946	0.115358	0.253325	0.172457	0.208193	0.131178	0.153158	0.386786	0.126476	0.131211	0.24398	0.219416	0.224327	0.374252	0.276611	0.234741	0.20925	0.152595	0.1898	0.131534	0.978348	0.0844717	0.207299	0.096586	0.249989	0.164081	0.0479089	0.0400922	0.0483774	0.0998267	0.133399	0.0441637	0.0442167	0.0232446	0.134154	0.038981	0.11315	0.0455412	0.151855	0.0524881	0.0732151	0.0572945	0.250773	0.094905	0.00583635	0.556326	0.0348648	0.1179091	0.324551	0.366637	0.118615	0.190198	7.465957
130	-13497.7	-13473.2	-24.4649	0.286335	0.193579	0.212786	0.166148	0.208234	0.147221	0.235238	0.154596	0.198448	0.290444	0.165183	0.167296	0.197031	0.193283	0.235358	0.348159	0.287604	0.2439	0.242366	0.137554	0.16087	0.124976	1.04156	0.0849779	0.270024	0.0856915	0.221714	0.199836	0.0680635	0.0343672	0.0790484	0.0814549	0.108431	0.0512673	0.0521974	0.0169509	0.128649	0.0272452	0.138338	0.0422062	0.158649	0.0333999	0.0608546	0.0574921	0.251639	0.0952325	0.00240597	0.558246	0.0349851	0.1179091	0.324551	0.366637	0.118615	0.190198	7.581535
140	-13504.3	-13483.7	-20.6442	0.330283	0.17547	0.2554	0.154702	0.207879	0.171426	0.223092	0.161523	0.148339	0.23202	0.116769	0.14102	0.215881	0.232521	0.203624	0.36622	0.271803	0.225431	0.281504	0.0908609	0.141736	0.096482	0.955754	0.104215	0.164591	0.0790654	0.241541	0.136244	0.0674947	0.0181804	0.0825562	0.0750073	0.0817527	0.0593546	0.0685835	0.0641415	0.0989281	0.0110818	0.120548	0.0556047	0.170533	0.0359401	0.0640263	0.0564682	0.247157	0.109266	0.0160909	0.548303	0.0227153	0.1212592	0.324213	0.366256	0.115626	0.193906	7.199131
150	-13502.7	-13475.2	-27.4783	0.341691	0.182245	0.230087	0.161138	0.293166	0.105463	0.178543	0.117697	0.133276	0.362633	0.117286	0.196164	0.235501	0.229453	0.266886	0.37782	0.311462	0.22601	0.247434	0.148264	0.2297	0.119246	1.04512	0.107853	0.247044	0.105588	0.276802	0.189533	0.0790994	0.0199652	0.019259	0.0799614	0.0841111	0.0818491	0.0469783	0.026913	0.0957063	0.0117076	0.173517	0.0621693	0.178984	0.080904	0.0561878	0.0647116	0.251095	0.0945351	0.0163473	0.55704	0.016271	0.1424938	0.316314	0.357333	0.112809	0.213544	7.880417
160	-13496.3	-13471.2	-25.1588	0.407502	0.156023	0.200603	0.140072	0.283487	0.121925	0.210301	0.148596	0.231036	0.358538	0.121803	0.159291	0.211001	0.191346	0.286411	0.408874	0.372659	0.250153	0.267187	0.106725	0.180341	0.146855	0.974622	0.0903398	0.226148	0.0857445	0.17538	0.133486	0.0600447	0.0143855	0.0764219	0.0695337	0.0885884	0.0557736	0.0370762	0.0400178	0.075012	0.0183451	0.108123	0.0590008	0.220261	0.0444266	0.0355802	0.0600715	0.248915	0.0937144	0.0102107	0.552203	0.0348848	0.1367537	0.316314	0.357333	0.112809	0.213544	7.64904
