Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-11654.3	-11320.5	-333.779	29.50878	1	0.2916726	-0.1902047	0.432002	0.066236	0.0181337	0.078947	0.178656	0.226025	40.7331	0.1910876	0	46.78501	0.122762	0.136954	0.476752	1	2.38629	0.0735392	0.0728864	0.780405	0.0731689	0.0008829052	216.4305
1	1	-5020.61	-4790.18	-230.423	6.488354	1	0.07917501	0.08707886	0.217371	0.238913	0.00188084	0.000715925	0.393773	0.147347	10.60001	0.01038273	0	46.80383	0.1548797	0.136954	0.476752	1	2.38629	0.0875886	0.328456	0.407964	0.175991	0.0974616	0.1065315
2	0	-6898.56	-6580.24	-318.321	25.84439	0.97619	0.2743744	-0.114767	0.392406	0.0708534	0.0193978	0.0844505	0.191111	0.241782	38.22232	0.1155929	0	46.5487	0.1253933	0.132179	0.469476	0.99594	2.4024	0.189377	0.35411	0.117217	0.339296	0.0008259034	139.9594
3	1	-4606.39	-4383.21	-223.186	8.864926	0.9779426	0.05169835	0.07610913	0.217371	0.238913	0.00188084	0.000715925	0.393773	0.147347	10.60001	0.01591959	0	46.29411	0.1602863	0.132532	0.47002	0.996247	2.4012	0.0927445	0.347791	0.373114	0.186351	0.09202873	0.172985
4	0	-6327.42	-6019.7	-307.713	16.18821	0.9358574	0.2093015	-0.09207818	0.354045	0.0826631	0.0203574	0.088628	0.200565	0.253742	38.22232	0.09295781	0	46.76303	0.1549733	0.123985	0.456585	0.988502	2.43093	0.189377	0.35411	0.117217	0.339296	0.0008796299	105.6783
5	1	-4116.95	-3897.84	-219.111	6.279115	0.8627783	0.04931196	0.1017746	0.189218	0.247601	0.00194924	0.000433864	0.408092	0.152705	10.57373	0.01591959	0	45.82778	0.1908538	0.10883	0.431233	0.972939	2.487	0.205887	0.288621	0.192099	0.313392	0.1176942	0.1352623
6	0	-5982.12	-5686.23	-295.884	17.61651	0.875101	0.1952683	-0.05192695	0.359076	0.0838378	0.00643646	0.0898875	0.203415	0.257348	33.61868	0.05294305	0	46.65622	0.1549733	0.111411	0.435701	0.975774	2.47712	0.211319	0.279275	0.130798	0.378607	0.001016097	52.1043
7	1	-3982.4	-3759.64	-222.754	5.845639	0.8209607	0.03966008	0.1287006	0.170155	0.323114	0.00175286	0.000677603	0.366979	0.137321	10.57373	0.01713813	2	45.39977	0.1908538	0.100011	0.415438	0.962598	2.52195	0.239068	0.2836	0.169392	0.30794	0.1458388	0.1175142
8	0	-5430.61	-5141.92	-288.684	14.77299	0.875101	0.1283126	-0.04448889	0.360966	0.0842791	0.0039354	0.0876322	0.204485	0.258702	26.81033	0.04569674	0	46.54596	0.1549733	0.111411	0.435701	0.975774	2.47712	0.233786	0.364662	0.103105	0.298447	0.001207854	37.833
9	1	-3922.7	-3706.36	-216.341	7.586555	0.7990724	0.0343447	0.1316715	0.170155	0.323114	0.00175286	0.000677603	0.366979	0.137321	10.57373	0.01766618	1	44.91798	0.2287534	0.0953613	0.40676	0.956698	2.54118	0.23977	0.284432	0.169889	0.305909	0.1493377	0.1182969
