Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5020.61	-4790.18	-230.423	6.488354	1	0.07917501	0.08707886	0.217371	0.238913	0.00188084	0.000715925	0.393773	0.147347	10.60001	0.01038273	0	46.80383	0.1548797	0.136954	0.476752	1	2.38629	0.0875886	0.328456	0.407964	0.175991	0.0974616	0.1065315
1	-4606.39	-4383.21	-223.186	8.864926	0.9779426	0.05169835	0.07610913	0.217371	0.238913	0.00188084	0.000715925	0.393773	0.147347	10.60001	0.01591959	0	46.29411	0.1602863	0.132532	0.47002	0.996247	2.4012	0.0927445	0.347791	0.373114	0.186351	0.09202873	0.172985
2	-4116.95	-3897.84	-219.111	6.279115	0.8627783	0.04931196	0.1017746	0.189218	0.247601	0.00194924	0.000433864	0.408092	0.152705	10.57373	0.01591959	0	45.82778	0.1908538	0.10883	0.431233	0.972939	2.487	0.205887	0.288621	0.192099	0.313392	0.1176942	0.1352623
3	-3982.4	-3759.64	-222.754	5.845639	0.8209607	0.03966008	0.1287006	0.170155	0.323114	0.00175286	0.000677603	0.366979	0.137321	10.57373	0.01713813	2	45.39977	0.1908538	0.100011	0.415438	0.962598	2.52195	0.239068	0.2836	0.169392	0.30794	0.1458388	0.1175142
4	-3922.7	-3706.36	-216.341	7.586555	0.7990724	0.0343447	0.1316715	0.170155	0.323114	0.00175286	0.000677603	0.366979	0.137321	10.57373	0.01766618	1	44.91798	0.2287534	0.0953613	0.40676	0.956698	2.54118	0.23977	0.284432	0.169889	0.305909	0.1493377	0.1182969
5	-3875.81	-3658.42	-217.39	5.800413	0.7939748	0.0310808	0.1580991	0.177939	0.337894	0.00183305	0.0007086	0.383767	0.0978582	10.57373	0.02148923	1	45.22132	0.2287534	0.094276	0.404697	0.955271	2.54576	0.23977	0.284432	0.169889	0.305909	0.1795884	0.1196583
6	-3808.7	-3590.48	-218.216	6.854005	0.6763704	0.0281703	0.1470404	0.145527	0.458499	0.00149915	0.000579526	0.313862	0.0800331	10.54267	0.0231212	1	45.40528	0.2164094	0.0691498	0.352164	0.915787	2.6629	0.248333	0.294591	0.14024	0.316835	0.1701616	0.1358779
7	-3662.39	-3455.5	-206.887	6.854005	0.6591547	0.01512478	0.1363722	0.0802357	0.501896	0.00164105	0.000634379	0.34357	0.0720233	10.57373	0.03378946	2	45.64737	0.2402833	0.0654944	0.343603	0.908738	2.68216	0.254742	0.29208	0.139045	0.314134	0.1701616	0.1985727
8	-3653.45	-3452.95	-200.505	6.854005	0.6314448	0.01418844	0.1332949	0.0802347	0.50189	0.00164103	0.000646033	0.343566	0.0720224	10.57373	0.03702228	2	45.09258	0.2412149	0.0596515	0.329306	0.896551	2.71449	0.257372	0.28477	0.140481	0.317377	0.1703172	0.2173726
9	-3646.14	-3449.91	-196.233	6.854005	0.6222952	0.01466078	0.08438848	0.0801486	0.501351	0.00271297	0.00064534	0.343197	0.0719451	10.57373	0.05906978	2	45.00963	0.243424	0.0577366	0.32444	0.892281	2.72554	0.230185	0.320351	0.157657	0.291808	0.1434583	0.4117559
10	-3630.39	-3435.68	-194.712	5.592346	0.6107529	0.01515006	0.0691172	0.0561558	0.513412	0.00464162	0.000660865	0.351453	0.0736759	10.57373	0.07406833	2	44.28722	0.243424	0.0553332	0.318197	0.886707	2.73976	0.231142	0.307678	0.15142	0.30976	0.1431855	0.5172892
