Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6728.504	-6442.142	-286.362	5.81332	1	1.479872	0.252777	0.308351	0.211914	0.356157	0.248113	0.95716	0.427699	0.342914	0.22127	0.348401	0.306944	0.349569	0.534086	0.281181	0.330959	0.326146	0.511383	0.286167	0.268586	0.325126	0.75682	0.19647	0.437884	0.164935	0.159338	0.214236	0.238142	0.259991	0.472495	0.524921	0.233629	0.398894	0.398172	0.288942	0.185944	0.492678	0.564707	0.0978665	0.2823204	0.0137822	-0.1529816	0.142187	0.313246	0.152789	0.238869	0.0305288	0.122381	5.911254	0.1645903	-1.264713	0	38.9024	0.02374284	0.136954	0.476752	1	2.38629	0.222196	0.585172	1.04922	2.14341	0.110575	0.426745	0.28497	0.177709	0.01160864	14.17825
1	1	-7740.565	-7523.035	-217.5304	5.81332	1	0.937571	0.0815239	0.0613076	0.091752	0.234117	0.110126	0.127543	0.13233	0.0555303	0.721116	0.101722	0.145316	0.125741	0.044127	0.0494878	0.0687756	0.0935508	0.0517914	0.286466	0.299604	0.180791	0.178195	0.17331	0.102135	0.160264	0.111031	0.184896	0.0663248	0.148658	0.0957518	0.144883	0.130588	0.178811	0.0677558	0.244317	0.129003	0.181554	0.0883736	0.247562	0.1249123	0.04274101	0.01181747	0.0375524	0.1118	0.0545196	0.0846473	0.0182747	0.693206	5.911254	0.0127968	-2.080143	0	42.34085	0.06021113	0.136954	0.476752	1	2.38629	0.124335	0.457148	0.988833	2.42968	0.607196	0.00459093	0.0455668	0.342647	0.02461427	0.5198937
2	0	-5012.819	-4731.904	-280.9142	5.626847	0.7048388	1.494904	0.176956	0.246783	0.130461	0.19077	0.16327	1.1375	0.302367	0.21459	0.147143	0.275234	0.16116	0.219645	0.414654	0.132447	0.202708	0.241042	0.511432	0.425793	0.471022	0.175884	0.401773	0.107842	0.399821	0.171949	0.101801	0.0961792	0.195917	0.378808	0.752846	0.449729	0.564406	0.465848	0.255811	0.399063	0.292672	0.306231	0.475433	0.069511	0.311927	0.04755902	-0.1043441	0.0198757	0.810125	0.0313985	0.0824842	0.0261096	0.0300067	5.911254	0.122251	-1.164986	0	39.14348	0.02374284	0.0752221	0.365804	0.926648	2.63233	0.224534	0.587706	1.05012	2.13764	0.278702	0.275895	0.163813	0.28159	0.01790682	6.827061
3	1	-5063.108	-4855.292	-207.8157	5.094034	0.7087759	1.797701	0.126187	0.0695811	0.0888018	0.145236	0.106572	0.0889403	0.0619469	0.0418095	0.381004	0.0666228	0.0849744	0.0890846	0.0545438	0.05157	0.11621	0.0936463	0.0407251	0.214534	0.140242	0.160087	0.0592441	0.117706	0.0779236	0.0448885	0.0880184	0.117458	0.0431975	0.140046	0.121825	0.139599	0.207752	0.161597	0.0733927	0.337831	0.098092	0.160025	0.0912278	0.153884	0.1225788	0.05158759	0.02001552	0.0243934	0.129534	0.0157349	0.138248	0.0277688	0.664321	5.911254	0.01285476	-2.099001	1	42.32757	0.06021113	0.0760637	0.367642	0.928078	2.62822	0.267869	0.63162	1.06399	2.03652	0.219145	0.321417	0.129657	0.329781	0.03287028	0.3910754
4	0	-4454.646	-4181.482	-273.1643	5.626847	0.4947498	2.679883	0.130044	0.389906	0.179748	0.280655	0.144059	0.708471	0.22857	0.21459	0.189015	0.122903	0.11825	0.130038	0.862228	0.152402	0.102651	0.295433	0.72647	0.822507	0.743509	0.21054	0.405762	0.118484	0.308234	0.133722	0.108381	0.0668942	0.202667	0.162812	0.467368	0.510693	0.400283	0.484957	0.349267	0.196027	0.211422	0.315809	0.323816	0.0894909	0.2453523	0.05185299	-0.1043441	0.00314481	0.93998	0.00224902	0.0171472	0.0307449	0.00673384	5.911254	0.122251	-1.40506	0	39.0033	0.02895994	0.0324188	0.248475	0.81641	2.9027	0.362874	0.712108	1.0804	1.84461	0.318547	0.273674	0.10699	0.300789	0.01790682	6.827061
5	1	-4596.797	-4392.988	-203.8088	5.094034	0.6156586	1.388242	0.143465	0.0564941	0.13544	0.202308	0.118178	0.132196	0.0398284	0.021769	0.171736	0.0509417	0.0460796	0.0502622	0.0511491	0.112889	0.0959774	0.0752552	0.0519342	0.181137	0.0786937	0.10349	0.037975	0.0973527	0.0491013	0.0154442	0.0398633	0.0520922	0.0709086	0.0862482	0.16142	0.120985	0.23203	0.100596	0.0884904	0.272839	0.110417	0.118563	0.0501081	0.112465	0.07010748	0.04334908	0.01666564	0.0271585	0.211901	0.00478217	0.182754	0.11888	0.454524	5.911254	0.01620464	-2.657726	1	42.3684	0.06021113	0.0563529	0.320865	0.889102	2.73368	0.20753	0.568832	1.04312	2.18051	0.270623	0.331437	0.100959	0.296981	0.03287028	0.4929876
6	0	-4262.953	-3993.681	-269.2724	5.626847	0.3153798	4.565697	0.195155	0.247802	0.156647	0.244903	0.272071	1.15236	0.174723	0.169015	0.0889198	0.117062	0.0991531	0.0588401	0.491844	0.177851	0.128589	0.298948	0.336601	0.322893	0.636217	0.25119	0.37302	0.0412961	0.293845	0.105183	0.0851593	0.0601723	0.231747	0.193834	0.208114	0.382914	0.40992	0.453593	0.380907	0.163027	0.204569	0.284958	0.245627	0.157832	0.1993483	0.05316701	-0.1043441	0.00322358	0.859893	0.000855738	0.0168394	0.116706	0.00248225	5.911254	0.122251	-1.612702	0	39.0033	0.02895994	0.00662555	0.1165	0.62075	3.25612	0.482974	0.792749	1.08396	1.64031	0.322264	0.28123	0.125266	0.27124	0.01790682	6.827061
7	1	-4215.377	-4032.285	-183.092	4.393167	0.3828366	1.779439	0.0771052	0.0716258	0.121368	0.209289	0.0680535	0.088549	0.0509396	0.0159221	0.124657	0.0430998	0.0365134	0.0371424	0.0704118	0.176353	0.118314	0.11364	0.0759835	0.122505	0.0753949	0.0711035	0.0274787	0.0492445	0.0359766	0.0221462	0.0275325	0.0677589	0.0650888	0.234311	0.13632	0.178237	0.245411	0.125981	0.0836232	0.167404	0.0884209	0.177913	0.0471072	0.0526882	0.07119294	0.04139895	0.009911414	0.014854	0.535168	0.00373646	0.0513972	0.189779	0.205065	5.911254	0.02295886	-2.642362	1	42.05209	0.08829614	0.0143182	0.168823	0.712019	3.10484	0.265445	0.629304	1.06335	2.0419	0.284717	0.307955	0.105763	0.301565	0.03287028	0.6984688
8	0	-4192.83	-3926.564	-266.2653	5.626847	0.2166124	4.03224	0.201995	0.366466	0.201136	0.255249	0.354451	0.645967	0.0930221	0.142158	0.0787428	0.0745799	0.0579337	0.0555292	0.296851	0.200062	0.0984268	0.176755	0.266053	0.464612	0.491653	0.168863	0.148148	0.0613004	0.353748	0.147164	0.0708519	0.0546272	0.245535	0.117317	0.31901	0.435797	0.400294	0.292391	0.318414	0.312702	0.166566	0.183797	0.359675	0.173451	0.2163717	0.05183832	-0.1043441	0.00332138	0.755683	0.00153661	0.0171388	0.217976	0.00434384	5.911254	0.122251	-1.530758	0	39.0033	0.02895994	0.000901943	0.0438751	0.42561	3.52961	0.456125	0.776317	1.08439	1.68316	0.314857	0.299977	0.121165	0.264002	0.01790682	6.827061
9	1	-4050.543	-3904.508	-146.0347	5.790368	0.3210954	1.990077	0.122651	0.09057	0.0755491	0.160933	0.0606177	0.055735	0.0521493	0.00630973	0.0946778	0.0347352	0.0256721	0.0415916	0.046927	0.138305	0.0514514	0.1142	0.0560395	0.169094	0.0489794	0.0866428	0.014599	0.0629072	0.0304217	0.0330641	0.0191489	0.0436574	0.0439496	0.211978	0.0589439	0.20642	0.227854	0.198408	0.090994	0.266481	0.0933906	0.145737	0.124848	0.0575095	0.07010866	0.05880932	-0.007992655	0.00477865	0.607517	0.0033215	0.059459	0.215435	0.109489	6.109487	0.109976	-2.657709	0	42.03266	0.1494615	0.00716174	0.120974	0.629587	3.24228	0.292087	0.653954	1.06974	1.98422	0.306846	0.31257	0.106684	0.2739	0.1019833	1.078372
