Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5054.773	-4919.534	-135.2395	6.051397	1	0.2661879	0.136829	0.0231779	0.0586056	0.0680559	0.0601752	0.0355541	0.0585229	0.0313257	0.0407954	0.0274222	0.0587208	0.0489547	0.24337	0.178453	0.147782	0.0588865	0.0853947	0.0540693	0.0894027	0.0188984	0.0885026	0.0747049	0.0844622	0.170704	0.0645678	0.0694062	0.0539407	0.0451104	0.0475917	0.116992	0.0461245	0.024349	0.0928241	0.0660512	0.0279678	0.0740787	0.110257	0.0539951	0.05708719	0.1105995	-0.1611927	0.0333043	0.0436848	0.0342793	0.0408101	0.674927	0.172995	7.335837	0.1800444	-2.863176	0	45.36282	0.3064474	0.136954	0.476752	1	2.38629	0.00295357	0.0786047	0.534404	3.38404	0.453702	0.266694	0.0420089	0.237595	0.01885174	9.550548
10	-4175.223	-4063.775	-111.448	7.106231	0.6874771	1.538692	0.0863896	0.0313232	0.0285519	0.0396851	0.0639474	0.0499627	0.0328115	0.0456607	0.0557722	0.0210759	0.039231	0.0198286	0.0968085	0.0919085	0.0998883	0.0483341	0.0398075	0.0452019	0.0942608	0.0342949	0.0481565	0.037361	0.0578628	0.156232	0.0538884	0.0522029	0.0361523	0.05553	0.0389745	0.138488	0.0230123	0.0327974	0.0755345	0.0534288	0.0394754	0.0635226	0.0942395	0.0538824	0.06390684	0.03980804	-0.08761199	0.0262681	0.0996352	0.0244603	0.0301805	0.715031	0.104425	7.335837	0.1220815	-2.750329	1	44.32939	0.3367475	0.0715156	0.357561	0.920138	2.65079	0.231238	0.594873	1.05262	2.12127	0.267621	0.320839	0.162824	0.248716	0.03446949	3.541726
20	-4000.651	-3895.641	-105.0102	7.106231	0.5319468	1.643959	0.111094	0.0341356	0.0473448	0.0545634	0.0718422	0.0283029	0.0393088	0.0251044	0.0462253	0.0211377	0.019072	0.0134312	0.0362826	0.0755341	0.0408734	0.0425015	0.0482747	0.0478122	0.102544	0.0440397	0.0232603	0.0238569	0.0418644	0.0825543	0.029131	0.0369663	0.0159931	0.0669617	0.0393168	0.0941116	0.0311675	0.0152805	0.0676378	0.0626401	0.0466073	0.0747721	0.11229	0.0268657	0.04168485	0.04318234	-0.08761199	0.0181114	0.257415	0.0138378	0.0231347	0.563837	0.123664	7.335837	0.1220815	-3.177617	1	44.32939	0.3367475	0.0394509	0.272261	0.84219	2.8461	0.246729	0.610887	1.05787	2.08452	0.300112	0.289765	0.143814	0.26631	0.03446949	3.541726
30	-3911.081	-3814.201	-96.88079	7.106231	0.3531067	1.667356	0.126625	0.049821	0.0594347	0.0531324	0.0617579	0.0290872	0.0379892	0.0275981	0.0461881	0.0209324	0.0192083	0.0115208	0.0373142	0.0411153	0.0362568	0.0324515	0.0529321	0.039833	0.0970357	0.0369767	0.0186318	0.0143753	0.0243053	0.0556881	0.0217657	0.0517625	0.0131882	0.0759528	0.0493276	0.0656153	0.0536613	0.017324	0.0661598	0.0323007	0.0431677	0.0437879	0.0944044	0.0317469	0.03510694	0.03721593	-0.04248794	0.0173343	0.446025	0.00687425	0.0210136	0.481909	0.0268432	7.715579	0.09679635	-3.349356	1	45.73025	0.3367475	0.0105707	0.145969	0.67511	3.16835	0.250057	0.614233	1.05891	2.0768	0.288913	0.315239	0.137305	0.258543	0.05430841	1.782345
40	-3904.952	-3807.492	-97.46018	6.48342	0.3451024	1.498824	0.135984	0.0456388	0.0460497	0.0447732	0.0477679	0.0309893	0.0259202	0.0165224	0.0573306	0.0260264	0.014983	0.0103074	0.0416578	0.0334511	0.0378305	0.0371139	0.0176706	0.0566538	0.0776952	0.0577144	0.0122684	0.00819434	0.0264841	0.0394542	0.0142937	0.0351008	0.0107763	0.0937258	0.0543223	0.099545	0.0245815	0.0204206	0.0816665	0.0566288	0.047198	0.0756889	0.098059	0.0365685	0.03970775	0.04520011	-0.156529	0.0200222	0.482526	0.00512583	0.00906031	0.457768	0.0254984	7.763151	0.2412891	-3.226209	2	44.23551	0.6214929	0.00965519	0.139743	0.664327	3.18628	0.225141	0.588361	1.05035	2.13615	0.286924	0.287756	0.129076	0.296244	0.08476012	2.846729
50	-3887.175	-3793.273	-93.90184	6.48342	0.2459338	2.333367	0.0663567	0.0371945	0.0285765	0.0297486	0.0559535	0.0299497	0.0359152	0.0277244	0.0631283	0.0235371	0.0124148	0.0131829	0.0376316	0.0365102	0.0380612	0.0365358	0.0284218	0.0568327	0.0720025	0.0453254	0.00767968	0.00684606	0.0213272	0.0533408	0.0199737	0.020337	0.0129141	0.0858976	0.0628479	0.105773	0.0176116	0.0475044	0.158322	0.0190764	0.0412643	0.044837	0.0481721	0.0316862	0.03192676	0.03599438	-0.156529	0.023901	0.464022	0.0025181	0.0153572	0.475959	0.0182427	7.763151	0.2412891	-3.444311	2	44.23551	0.6214929	0.00192764	0.0637695	0.492832	3.44147	0.330067	0.686349	1.07646	1.90712	0.301056	0.294153	0.142419	0.262371	0.08476012	2.846729
60	-3886.778	-3796.365	-90.41295	6.48342	0.2508321	1.884067	0.0542915	0.0389951	0.0433507	0.0254368	0.0580156	0.0647845	0.0668125	0.0356305	0.0559973	0.0237952	0.00629866	0.0121271	0.0314978	0.0171887	0.0407396	0.0497442	0.0266279	0.0495105	0.0388953	0.0661812	0.0109922	0.0288422	0.0342061	0.06695	0.0334833	0.0263918	0.0128516	0.0460004	0.0841998	0.137686	0.0323421	0.0455065	0.131207	0.0244894	0.0446656	0.0340309	0.0714618	0.0502692	0.0364758	0.03653447	-0.1299405	0.0179259	0.498216	0.00133328	0.00804067	0.455029	0.0194548	7.763151	0.2136847	-3.311106	2	44.06334	0.6214929	0.00215076	0.0672915	0.503237	3.42732	0.279032	0.642091	1.0668	2.01208	0.308928	0.290292	0.133121	0.267659	0.08374415	2.551637
70	-3875.185	-3788.358	-86.82691	6.48342	0.2459867	1.421865	0.060235	0.0508964	0.0713374	0.038486	0.0362171	0.0686965	0.0814666	0.0384049	0.0750267	0.0149696	0.00757434	0.0127704	0.0515107	0.02645	0.0454656	0.0472036	0.027155	0.033042	0.0175681	0.0657914	0.0180581	0.0345562	0.0378851	0.0445638	0.0348281	0.0321033	0.0161502	0.028345	0.0760916	0.120928	0.0327053	0.0510842	0.0769906	0.0259659	0.0440776	0.0164634	0.066864	0.0249573	0.03924747	0.05183165	-0.1299405	0.0111989	0.53372	0.00214848	0.00929755	0.431919	0.0117157	7.763151	0.2136847	-3.237868	2	44.06334	0.6214929	0.00192996	0.0638073	0.492945	3.44132	0.212996	0.575012	1.04548	2.16651	0.283539	0.316661	0.128708	0.271092	0.08374415	2.551637
80	-3865.96	-3784.279	-81.68054	6.48342	0.2086796	2.266403	0.0371674	0.0366453	0.0360303	0.0277636	0.0356922	0.0790728	0.0405114	0.0264661	0.0764881	0.0160777	0.00847559	0.0180988	0.0365221	0.0288194	0.0379595	0.063894	0.0394962	0.0439303	0.0288794	0.0526038	0.014114	0.0410791	0.0279064	0.0278954	0.032841	0.0296931	0.0186596	0.0301886	0.0889083	0.11762	0.0208	0.0333295	0.0567121	0.0402566	0.0396924	0.0260192	0.138709	0.0310808	0.03597372	0.05754895	-0.1445908	0.0162375	0.424164	0.00160237	0.0153157	0.526521	0.0161591	7.487748	0.2136847	-3.324967	2	44.06334	0.6214929	0.000707889	0.038928	0.405928	3.55444	0.323128	0.680649	1.07542	1.9208	0.298347	0.295663	0.138404	0.267585	0.06909392	3.09267
90	-3871.173	-3785.335	-85.83854	6.48342	0.174814	0.9235866	0.0504288	0.0479389	0.0629173	0.0331524	0.0291253	0.0758578	0.0391159	0.0447742	0.0999939	0.0190705	0.0114698	0.0200734	0.0367926	0.03425	0.0409684	0.0535905	0.0234869	0.0265786	0.0729163	0.0482409	0.00826899	0.0493453	0.0298337	0.0196433	0.0316507	0.0294444	0.0233379	0.0395184	0.149547	0.150636	0.0270371	0.0454317	0.0513662	0.0372736	0.0266592	0.0121078	0.10145	0.0644259	0.03303036	0.04969378	-0.09059325	0.0151594	0.520975	0.00232819	0.0124409	0.438609	0.0104872	7.884862	0.173447	-3.410328	2	43.89606	0.6214929	0.000196368	0.0206246	0.314828	3.66435	0.121466	0.452514	0.986087	2.43993	0.308488	0.300675	0.143375	0.247462	0.08285379	2.093411
