Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5447.35	-5482.96	35.6104	0.1621283	1	0.0322731	0.035704	0.0194092	0.00377201	0.00488077	0.00321059	0.0188474	0.0129809	0.0162373	0.000927014	0.00327016	0.0156243	0.00611593	0.0216348	0.0140964	-0.2227726	0.0859431	0.0795957	0.255088	0.0339339	0.412516	0.132923	0.234427	0.136954	0.476752	1	2.38629	0.0514532	0.211519	0.0928986	0.64413	0.01165436	20.11496
10	-3826.01	-3845.69	19.6795	0.9918296	0.8160524	0.0612489	0.0505602	0.0125187	0.00762929	0.00747938	0.00571239	0.0350427	0.0175932	0.0282504	0.00273638	0.00477792	0.0242942	0.00998653	0.0607307	0.009375041	-0.1066696	0.0598314	0.0862351	0.177976	0.0208574	0.602735	0.0523645	0.1618121	0.0989697	0.413517	0.961305	2.52621	0.258025	0.220492	0.241568	0.279915	0.05514248	2.934436
20	-3601.41	-3621.1	19.6891	0.9995188	0.7068957	0.081472	0.100736	0.0271305	0.0142923	0.0101654	0.0075056	0.041843	0.0311187	0.0304054	0.00739702	0.00695682	0.0382212	0.00879428	0.0858806	0.02092083	0.002685425	0.0193998	0.132612	0.164246	0.00716355	0.650048	0.0265312	0.1141488	0.0756618	0.366766	0.927397	2.63018	0.291021	0.246347	0.241295	0.221337	0.1168342	0.9770151
30	-3435.38	-3445.71	10.3336	0.9997142	0.7041528	0.115987	0.154977	0.0304844	0.029462	0.010713	0.0153097	0.0433571	0.0606104	0.0615085	0.0135058	0.0197259	0.0605472	0.00660664	0.135276	0.02576009	-0.1934747	0.0460722	0.248543	0.0565466	0.00674805	0.609232	0.0328579	0.2327726	0.0750755	0.365483	0.926398	2.63304	0.312807	0.266882	0.166378	0.253933	0.03929787	5.923287
40	-3355.35	-3364.83	9.47331	0.9846989	0.6144144	0.129134	0.195724	0.0416027	0.075637	0.0147274	0.0216071	0.0722131	0.0838486	0.0837454	0.0223394	0.0163126	0.101563	0.00647625	0.216366	0.04411725	0.02822179	0.0277581	0.442542	0.0243928	0.0193758	0.473459	0.0124723	0.04030696	0.056094	0.32019	0.888498	2.73522	0.275615	0.309151	0.138505	0.276729	0.06852875	0.5881759
50	-3319.89	-3325.26	5.3732	0.9975521	0.4503239	0.150338	0.251463	0.0553436	0.0788114	0.0225482	0.0305538	0.0934257	0.0827568	0.0991769	0.0429704	0.0639141	0.120202	0.0125821	0.224889	0.05934211	-0.2225043	0.0331173	0.493992	0.018355	0.014524	0.43706	0.0029514	0.2488856	0.024593	0.218255	0.780464	2.97669	0.288066	0.300377	0.134066	0.277492	0.02638133	9.434156
60	-3301.18	-3306.49	5.30575	0.8936343	0.3342842	0.171156	0.277779	0.0493415	0.0887591	0.0385002	0.0346304	0.0935953	0.132337	0.145363	0.063395	0.0781062	0.13318	0.0105414	0.252295	0.09153442	-0.1308617	0.024285	0.518249	0.00951317	0.00409191	0.436592	0.00726847	0.1601812	0.00848394	0.131296	0.649132	3.21109	0.269563	0.282424	0.149506	0.298507	0.02931941	5.463314
70	-3305.22	-3304.44	-0.785081	0.9488317	0.3090168	0.185687	0.352499	0.043488	0.0988039	0.0528997	0.0278738	0.0941279	0.131655	0.115621	0.0766951	0.0608412	0.16811	0.0147617	0.448024	0.1274403	-0.4346012	0.0208787	0.515861	0.0098205	0.00817683	0.433678	0.0115852	0.4733948	0.0060552	0.111525	0.610639	3.27178	0.278772	0.32233	0.134873	0.264025	0.03879361	12.20291
80	-3304.49	-3302.03	-2.45939	0.6882554	0.2626431	0.192511	0.30616	0.0911938	0.081355	0.0510393	0.0165418	0.119645	0.138252	0.202009	0.133255	0.0474026	0.230456	0.00917674	0.412905	0.1196964	-0.286076	0.0176016	0.487471	0.00678859	0.00765714	0.472663	0.00781828	0.4281044	0.0027541	0.0759605	0.527401	3.39388	0.304314	0.276768	0.137038	0.28188	0.1420284	3.014217
90	-3305.04	-3303.69	-1.35205	0.7027551	0.2547091	0.262873	0.382824	0.0648009	0.106584	0.0576753	0.014352	0.0932317	0.115637	0.0994503	0.0844153	0.0584418	0.261164	0.00777479	0.453643	0.1323267	-0.299394	0.0224878	0.542107	0.00602976	0.0169562	0.408066	0.00435414	0.3708444	0.00233853	0.0701112	0.511312	3.41624	0.309724	0.295222	0.122216	0.272837	0.07145041	5.190235
