Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-4250.988	-4238.591	-12.39716	0.3514519	1	0.1101305	0.214535	0.178053	0.180859	0.112164	0.0759577	0.382803	0.0701648	0.0833865	0.136954	0.476752	1	2.38629	0.267579	0.11464	0.0796869	0.538095	0.2979215	0.2798942
1	1	-5055.192	-5045.248	-9.944094	0.7639374	1	0.04263085	-0.1130229	0.106553	0.0198817	0.0599882	0.00870489	0.173512	0.63136	0.1263057	0.136954	0.476752	1	2.38629	0.617412	0.0544345	0.2139	0.114254	0.0132828	9.508966
2	0	-3360.462	-3347.697	-12.76461	0.3423902	0.690894	0.1708196	0.07808382	0.0290433	0.532069	0.00864387	0.0310403	0.384526	0.0146775	0.1251467	0.0722444	0.359202	0.921447	2.64711	0.258241	0.289515	0.14847	0.303774	0.2032305	0.6157869
3	1	-3534.634	-3524.098	-10.53515	0.7613731	0.8160701	0.1102814	-0.07645776	0.0587383	0.145467	0.0718187	0.0261223	0.501244	0.19661	0.1049221	0.0989734	0.413524	0.96131	2.52619	0.284628	0.264496	0.18221	0.268666	0.02846432	3.686091
4	0	-3349.381	-3336.188	-13.19322	0.3542301	0.5746301	0.1883603	0.1493477	0.0244151	0.454809	0.0151485	0.00597807	0.4894	0.010249	0.1050505	0.0479213	0.297872	0.867803	2.7864	0.322579	0.266672	0.13801	0.27274	0.2543981	0.4129373
5	1	-3385.155	-3374.825	-10.33006	0.6384289	0.665996	0.1300477	-0.04632172	0.0128907	0.339184	0.0216857	0.015773	0.542171	0.0682957	0.07200022	0.0669451	0.347034	0.911585	2.67444	0.291741	0.294508	0.153321	0.260431	0.02567849	2.803911
6	0	-3335.141	-3322.1	-13.04062	0.3707628	0.4504785	0.1689242	0.2127115	0.0231951	0.436399	0.0119941	0.00614076	0.516003	0.00626863	0.07356502	0.0246189	0.218363	0.7806	2.97642	0.273893	0.298445	0.142249	0.285413	0.2862765	0.2569719
7	1	-3351.974	-3341.028	-10.94604	0.4119303	0.5332747	0.1786263	-0.04243497	0.0174279	0.385572	0.014149	0.0148614	0.537536	0.0304537	0.0824911	0.0397086	0.273084	0.843047	2.84416	0.290025	0.270691	0.176025	0.263259	0.04005613	2.059388
8	0	-3333.084	-3319.101	-13.98269	0.3807045	0.4263239	0.1870672	0.1493831	0.0259429	0.47213	0.0155176	0.0077064	0.474019	0.00468448	0.1452481	0.020688	0.201132	0.758264	3.01992	0.285956	0.308321	0.144574	0.261149	0.2946312	0.4929828
9	1	-3333.203	-3322.656	-10.54694	0.4058943	0.4071986	0.1734385	-0.06160423	0.0227975	0.427065	0.0142345	0.00801957	0.49823	0.0296532	0.0725706	0.0177665	0.187113	0.738954	3.05617	0.287128	0.305469	0.149596	0.257807	0.01096637	6.61756
10	0	-3328.388	-3312.762	-15.62604	0.3807045	0.353841	0.1970244	-0.1134271	0.0196381	0.555176	0.0108845	0.00686418	0.40599	0.00144725	0.3570401	0.0106568	0.146539	0.67608	3.16672	0.283976	0.302866	0.121941	0.291217	0.2436131	1.465603
11	1	-3326.836	-3315.591	-11.24533	0.35801	0.30909	0.232008	-0.04536746	0.0203511	0.425844	0.00423623	0.0134	0.512562	0.0236071	0.07211168	0.0060616	0.111583	0.610757	3.2716	0.301464	0.289159	0.151693	0.257685	0.02674423	2.696346
12	0	-3323.62	-3305.076	-18.54414	0.3256353	0.2592918	0.2422659	-0.2153925	0.021526	0.521949	0.0108107	0.00684785	0.436127	0.00273971	0.5508039	0.00257339	0.0734776	0.520675	3.40327	0.283102	0.288787	0.140956	0.287155	0.3354114	1.642174
