Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4250.988	-4238.591	-12.39716	0.3514519	1	0.1101305	0.214535	0.178053	0.180859	0.112164	0.0759577	0.382803	0.0701648	0.0833865	0.136954	0.476752	1	2.38629	0.267579	0.11464	0.0796869	0.538095	0.2979215	0.2798942
10	-3360.462	-3347.697	-12.76461	0.3423902	0.690894	0.1708196	0.07808382	0.0290433	0.532069	0.00864387	0.0310403	0.384526	0.0146775	0.1251467	0.0722444	0.359202	0.921447	2.64711	0.258241	0.289515	0.14847	0.303774	0.2032305	0.6157869
20	-3349.381	-3336.188	-13.19322	0.3542301	0.5746301	0.1883603	0.1493477	0.0244151	0.454809	0.0151485	0.00597807	0.4894	0.010249	0.1050505	0.0479213	0.297872	0.867803	2.7864	0.322579	0.266672	0.13801	0.27274	0.2543981	0.4129373
30	-3335.141	-3322.1	-13.04062	0.3707628	0.4504785	0.1689242	0.2127115	0.0231951	0.436399	0.0119941	0.00614076	0.516003	0.00626863	0.07356502	0.0246189	0.218363	0.7806	2.97642	0.273893	0.298445	0.142249	0.285413	0.2862765	0.2569719
40	-3333.084	-3319.101	-13.98269	0.3807045	0.4263239	0.1870672	0.1493831	0.0259429	0.47213	0.0155176	0.0077064	0.474019	0.00468448	0.1452481	0.020688	0.201132	0.758264	3.01992	0.285956	0.308321	0.144574	0.261149	0.2946312	0.4929828
50	-3328.388	-3312.762	-15.62604	0.3807045	0.353841	0.1970244	-0.1134271	0.0196381	0.555176	0.0108845	0.00686418	0.40599	0.00144725	0.3570401	0.0106568	0.146539	0.67608	3.16672	0.283976	0.302866	0.121941	0.291217	0.2436131	1.465603
60	-3323.62	-3305.076	-18.54414	0.3256353	0.2592918	0.2422659	-0.2153925	0.021526	0.521949	0.0108107	0.00684785	0.436127	0.00273971	0.5508039	0.00257339	0.0734776	0.520675	3.40327	0.283102	0.288787	0.140956	0.287155	0.3354114	1.642174
70	-3322.88	-3306.97	-15.90961	0.3014386	0.2427624	0.2390767	0.1461594	0.0204987	0.533801	0.00678633	0.0101984	0.426443	0.00227254	0.2249843	0.00179143	0.0615151	0.485972	3.45072	0.2737	0.306202	0.134622	0.285475	0.3711436	0.6061919
80	-3322.719	-3307.225	-15.49316	0.2861542	0.1982935	0.2774091	-0.03441246	0.0240383	0.599644	0.00693494	0.00575783	0.358822	0.00480279	0.2812951	0.000500554	0.0327969	0.37919	3.58751	0.280773	0.305171	0.135028	0.279028	0.2468826	1.139388
90	-3322.944	-3307.103	-15.84081	0.2609244	0.2193984	0.2458951	-0.3419076	0.0280314	0.486585	0.00239917	0.00228176	0.479183	0.00151998	0.4712398	0.00097796	0.0456621	0.43237	3.52099	0.294828	0.301529	0.127003	0.27664	0.1293322	3.643639
