Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-4952.515	-4947.332	-5.182878	3.3512	1	0.0731265	0.0536134	0.0925549	0.0714019	0.0257052	0.0518425	0.0822195	0.120188	0.0675099	0.19323	0.0611536	0.066713	0.0496941	0.237559	0.0732901	-0.02173286	0.348011	0.0897927	0.0863827	0.109301	0.170545	0.195968	20.21897	0.02909937	-2.61333	0.136954	0.476752	1	2.38629	0.282237	0.222015	0.264446	0.231303	0.007366511	3.950224
1	1	-6390.299	-6380.114	-10.18513	37.24561	1	0.0342837	0.0717858	0.0551371	0.122792	0.0589176	0.0621786	0.103502	0.061001	0.0871639	0.0197262	0.107773	0.0536536	0.0592238	0.0699418	0.08242928	0.01059334	0.0800229	0.560241	0.0246171	0.0135539	0.201455	0.12011	45.80744	0.03812606	-2.495815	0.136954	0.476752	1	2.38629	0.116848	0.107579	0.218677	0.556896	0.0487194	0.7825642
2	0	-3439.36	-3446.016	6.655523	3.00583	0.7543839	0.035676	0.0433342	0.0419161	0.0583482	0.0516602	0.0638087	0.0477215	0.093638	0.0364287	0.153503	0.0379655	0.0296888	0.043852	0.14888	0.0736024	-0.05354113	0.043993	0.237641	0.0309388	0.0308771	0.6092	0.04735	4.09291	0.05901983	-2.609078	0.0858224	0.388099	0.943467	2.58261	0.29149	0.27846	0.150308	0.279743	0.0054787	10.7726
3	1	-3634.97	-3640.388	5.418181	4.532748	0.7060907	0.0269622	0.0399062	0.0230629	0.090135	0.0372343	0.0446839	0.0587252	0.0264544	0.0468352	0.0141576	0.0640848	0.0327632	0.0565546	0.0374971	0.04271957	0.06056155	0.0142222	0.733526	0.00603675	0.00538492	0.171836	0.0689948	21.00593	0.05169671	-3.153098	0.0754897	0.36639	0.927105	2.63102	0.3461	0.279854	0.168284	0.205762	0.1122583	0.4605159
4	0	-3347.538	-3355.688	8.150099	2.941882	0.6206393	0.0258299	0.0198468	0.0409711	0.0684358	0.0394366	0.0483972	0.052195	0.0715049	0.0167642	0.148229	0.0236812	0.0263925	0.0827847	0.101219	0.05220485	-0.09990443	0.0238495	0.406865	0.0157703	0.0159552	0.479471	0.0580889	3.528932	0.1070442	-2.95258	0.0573909	0.323552	0.891494	2.72756	0.290244	0.287507	0.148396	0.273852	0.007139788	14.99263
5	1	-3367.416	-3376.696	9.279965	4.532748	0.4895525	0.0176382	0.0466594	0.0287136	0.0561596	0.0555016	0.0321159	0.0323133	0.0216181	0.0308518	0.0104145	0.050853	0.0233831	0.0376928	0.0195344	0.04423473	0.01104546	0.0133251	0.52117	0.0114333	0.00990313	0.396949	0.0472195	11.4461	0.03349371	-3.118245	0.0314681	0.245041	0.812515	2.91098	0.282092	0.302444	0.130545	0.284918	0.04453918	0.7520057
6	0	-3316.846	-3324.857	8.010811	2.839953	0.5103187	0.0267387	0.0165754	0.0520085	0.0629032	0.0709403	0.0413111	0.0722325	0.051344	0.0156388	0.0948707	0.0123755	0.0306115	0.0850515	0.0785664	0.04712566	-0.1285384	0.0236783	0.469003	0.0129388	0.00660104	0.464703	0.0230763	3.461189	0.1485311	-3.054938	0.0353159	0.258599	0.827634	2.87845	0.290411	0.283484	0.146475	0.279631	0.01999274	7.429255
7	1	-3307.45	-3322.251	14.80117	3.726373	0.3158128	0.0197461	0.0417148	0.0237298	0.0625773	0.034938	0.0164264	0.0560061	0.0274683	0.0196452	0.0119046	0.0233283	0.021635	0.0369923	0.0267451	0.03381346	0.03549513	0.0241629	0.530681	0.00590586	0.00984015	0.409399	0.0200108	8.38484	0.01277222	-3.386896	0.00666539	0.116839	0.621427	3.25507	0.287059	0.316526	0.12507	0.271345	0.04826735	0.2646141
8	0	-3300.835	-3311.017	10.18228	2.934191	0.3349389	0.0227379	0.0254028	0.0297523	0.046138	0.0624561	0.0461569	0.0776782	0.0560847	0.0180357	0.0896796	0.0285226	0.0545838	0.0787417	0.0843953	0.04626952	-0.1494582	0.0180218	0.464993	0.00877024	0.00559926	0.488478	0.0141381	3.477231	0.1706487	-3.073272	0.00855263	0.131808	0.650072	3.20957	0.278053	0.292306	0.149298	0.280343	0.02119049	8.05308
9	1	-3299.969	-3311.089	11.11974	3.624723	0.2509939	0.0280061	0.0284971	0.0272034	0.0903836	0.0352148	0.0131298	0.0725065	0.0365319	0.0257736	0.00808241	0.0328973	0.0251026	0.0286951	0.0270897	0.03348549	0.118102	0.0202416	0.475348	0.00393671	0.0045567	0.480067	0.0158502	9.184523	0.006417017	-3.396643	0.0021584	0.0674087	0.503577	3.42686	0.293841	0.311639	0.129974	0.264545	0.124519	0.05153443
10	0	-3304.759	-3309.13	4.370684	2.880132	0.3481295	0.0203059	0.0237838	0.0241434	0.0610255	0.0990897	0.0621217	0.105167	0.0691583	0.0127931	0.128094	0.0229235	0.0746521	0.116435	0.0508146	0.04596495	-0.0736749	0.0145009	0.532956	0.00780332	0.0101978	0.425996	0.00854598	3.319446	0.1132865	-3.079876	0.0099966	0.1421	0.668449	3.17945	0.280884	0.289539	0.138073	0.291504	0.03961159	2.859933
