Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	3.48236	0	3.48236	4.824863	2.634332	0.150842	0.0533721	0.0922122	0.0976869	0.0217903	0.038659	0.0420121	0.00372503	0.182488	0.0643514	0.216254	0.0189746	0.31015	0.12452	0.1357906	-0.05938506	0.100973	0.403024	0.330774	0.0104316	0.11807	0.0367274	6.225859	0.075554	0.358833	0.709036	1.08	1.85213	0.343471	0.0602199	0.353344	0.242965	0.01616894	4.672786
10	-16.9751	0	-16.9751	10.5838	2.893866	0.191791	0.239314	0.143452	0.129351	0.0289223	0.19635	0.0826837	0.00992944	0.46018	0.141379	0.431229	0.0488777	0.828488	0.320546	0.1849419	-0.1001264	0.180018	0.320363	0.188453	0.0158609	0.194913	0.100392	36.20918	0.1088255	0.380881	0.725477	1.08194	1.8117	0.487172	0.0269643	0.266156	0.219708	0.008699134	12.50992
20	-6.0236	0	-6.0236	12.77062	2.120471	0.256672	0.176432	0.0622538	0.0274465	0.0342082	0.160296	0.0260418	0.00436819	0.378109	0.0565258	0.199426	0.024975	0.335207	0.145623	0.1815887	-0.1033702	0.405101	0.162549	0.224739	0.0168363	0.169584	0.0211901	37.06799	0.1266262	0.307243	0.667242	1.07273	1.95278	0.140847	0.0302618	0.187231	0.64166	0.02325608	5.444865
30	-7.56328	0	-7.56328	23.55573	2.233907	0.213144	0.0703352	0.0558261	0.0338701	0.0542422	0.173621	0.050038	0.00508295	0.238962	0.054102	0.133808	0.0493687	0.392758	0.121679	0.1845667	-0.0513886	0.320952	0.232467	0.163769	0.00899312	0.1365	0.137319	23.59139	0.11196	0.319684	0.677785	1.07487	1.92766	0.292095	0.140807	0.287863	0.279236	0.06057137	1.848398
40	-14.0397	0	-14.0397	18.29341	2.349996	0.646489	0.165007	0.125802	0.0847557	0.033688	0.173555	0.122322	0.0120277	0.327881	0.0581397	0.172809	0.0294341	0.147108	0.294779	0.2108594	0.0781746	0.20123	0.151169	0.0327174	0.00436011	0.377689	0.232835	45.19682	0.07934707	0.331757	0.687724	1.07671	1.90381	0.720225	0.142052	0.0819447	0.0557781	0.1575217	0.5037216
50	-11.4685	0	-11.4685	25.47376	2.109551	0.427982	0.102068	0.0756109	0.0743617	0.0398798	0.164997	0.130813	0.0149413	0.298688	0.0649714	0.15586	0.0617524	0.234739	0.254637	0.1505034	-0.00880228	0.218287	0.106718	0.0283769	0.00539026	0.412714	0.228514	25.92743	0.101396	0.30601	0.666179	1.0725	1.95531	0.227121	0.424623	0.0342943	0.313962	0.09259374	1.095063
60	-4.82854	0	-4.82854	4.308031	1.767667	0.325695	0.150682	0.100664	0.123492	0.0828208	0.324159	0.136588	0.0142596	0.302079	0.0600338	0.199454	0.184811	0.259335	0.26549	0.1841625	-0.05273559	0.378227	0.203508	0.0220388	0.00280749	0.0643299	0.329089	8.552186	0.1384193	0.263871	0.627791	1.06292	2.04542	0.374132	0.35622	0.0275252	0.242123	0.08568366	1.615468
70	-3.13994	0	-3.13994	4.340233	1.486198	0.0995715	0.202179	0.10803	0.115797	0.0692542	0.325063	0.088627	0.00989558	0.17352	0.0491984	0.072794	0.244104	0.391733	0.210494	0.1216018	0.01776525	0.291053	0.127326	0.0529582	0.010898	0.141164	0.376601	9.875015	0.05824934	0.223182	0.586243	1.0496	2.14097	0.141546	0.520367	0.0700286	0.268058	0.07601459	0.7662916
80	-8.51719	0	-8.51719	3.040477	1.389029	0.12463	0.28266	0.287368	0.192306	0.0813561	0.403244	0.15222	0.0515861	0.175054	0.439358	0.207012	0.384405	0.515292	0.353294	0.2252093	-0.02423579	0.0487437	0.359142	0.0851631	0.0350915	0.222431	0.249429	6.291508	0.06187132	0.20766	0.568979	1.04318	2.18018	0.188048	0.273518	0.403698	0.134736	0.03763553	1.64396
90	-4.0158	0	-4.0158	2.50061	1.483997	0.0948359	0.176063	0.249093	0.201377	0.0321758	0.338327	0.129463	0.0498797	0.177398	0.199458	0.217283	0.390823	0.926164	0.292748	0.2850151	0.02367909	0.117017	0.207699	0.0584092	0.0692394	0.413111	0.134524	2.64833	0.03462529	0.22284	0.585871	1.04947	2.14182	0.494535	0.276271	0.109193	0.12	0.05830438	0.5938712
100	-14.5505	0	-14.5505	2.724745	1.50528	0.177821	0.925009	0.21	0.306941	0.0404873	0.380971	0.156801	0.0503784	0.181225	0.314671	0.245572	0.481241	1.51713	0.331015	0.3456982	0.02924303	0.350626	0.438208	0.0321413	0.00801995	0.0514446	0.119561	6.060675	0.02101223	0.226137	0.589433	1.05073	2.1337	0.0126452	0.0260583	0.950598	0.0106988	0.05025525	0.4181101
110	-36.7783	0	-36.7783	12.53012	1.332577	0.575718	1.86878	0.527934	0.6749	0.112696	0.818101	0.499914	0.160678	0.554295	2.0216	0.542634	1.104	2.28473	0.909708	0.6889349	0.06595909	0.230179	0.350908	0.0137938	0.0452072	0.189733	0.170178	15.53166	0.01299809	0.198263	0.558089	1.03886	2.20478	0.0876831	0.218239	0.634154	0.0599243	0.07895719	0.1646221
120	-34.219	0	-34.219	12.06138	1.088647	0.398227	0.810895	0.308751	0.526167	0.0921428	0.514001	0.314912	0.0778865	0.353311	1.45823	0.187887	1.12119	1.9033	0.692146	0.6746255	0.05715769	0.461951	0.189059	0.0283796	0.0517533	0.0897317	0.179125	25.38338	0.05251666	0.154294	0.501866	1.01326	2.33057	0.0739125	0.550896	0.253653	0.121539	0.1096744	0.4788418
