Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4952.515	-4947.332	-5.182878	3.3512	1	0.0731265	0.0536134	0.0925549	0.0714019	0.0257052	0.0518425	0.0822195	0.120188	0.0675099	0.19323	0.0611536	0.066713	0.0496941	0.237559	0.0732901	-0.02173286	0.348011	0.0897927	0.0863827	0.109301	0.170545	0.195968	20.21897	0.02909937	-2.61333	0.136954	0.476752	1	2.38629	0.282237	0.222015	0.264446	0.231303	0.007366511	3.950224
10	-3439.36	-3446.016	6.655523	3.00583	0.7543839	0.035676	0.0433342	0.0419161	0.0583482	0.0516602	0.0638087	0.0477215	0.093638	0.0364287	0.153503	0.0379655	0.0296888	0.043852	0.14888	0.0736024	-0.05354113	0.043993	0.237641	0.0309388	0.0308771	0.6092	0.04735	4.09291	0.05901983	-2.609078	0.0858224	0.388099	0.943467	2.58261	0.29149	0.27846	0.150308	0.279743	0.0054787	10.7726
20	-3347.538	-3355.688	8.150099	2.941882	0.6206393	0.0258299	0.0198468	0.0409711	0.0684358	0.0394366	0.0483972	0.052195	0.0715049	0.0167642	0.148229	0.0236812	0.0263925	0.0827847	0.101219	0.05220485	-0.09990443	0.0238495	0.406865	0.0157703	0.0159552	0.479471	0.0580889	3.528932	0.1070442	-2.95258	0.0573909	0.323552	0.891494	2.72756	0.290244	0.287507	0.148396	0.273852	0.007139788	14.99263
30	-3316.846	-3324.857	8.010811	2.839953	0.5103187	0.0267387	0.0165754	0.0520085	0.0629032	0.0709403	0.0413111	0.0722325	0.051344	0.0156388	0.0948707	0.0123755	0.0306115	0.0850515	0.0785664	0.04712566	-0.1285384	0.0236783	0.469003	0.0129388	0.00660104	0.464703	0.0230763	3.461189	0.1485311	-3.054938	0.0353159	0.258599	0.827634	2.87845	0.290411	0.283484	0.146475	0.279631	0.01999274	7.429255
40	-3300.835	-3311.017	10.18228	2.934191	0.3349389	0.0227379	0.0254028	0.0297523	0.046138	0.0624561	0.0461569	0.0776782	0.0560847	0.0180357	0.0896796	0.0285226	0.0545838	0.0787417	0.0843953	0.04626952	-0.1494582	0.0180218	0.464993	0.00877024	0.00559926	0.488478	0.0141381	3.477231	0.1706487	-3.073272	0.00855263	0.131808	0.650072	3.20957	0.278053	0.292306	0.149298	0.280343	0.02119049	8.05308
50	-3304.759	-3309.13	4.370684	2.880132	0.3481295	0.0203059	0.0237838	0.0241434	0.0610255	0.0990897	0.0621217	0.105167	0.0691583	0.0127931	0.128094	0.0229235	0.0746521	0.116435	0.0508146	0.04596495	-0.0736749	0.0145009	0.532956	0.00780332	0.0101978	0.425996	0.00854598	3.319446	0.1132865	-3.079876	0.0099966	0.1421	0.668449	3.17945	0.280884	0.289539	0.138073	0.291504	0.03961159	2.859933
60	-3296.044	-3304.836	8.79157	2.705805	0.222578	0.0255251	0.0190835	0.0335775	0.0617931	0.0795108	0.0490925	0.0681732	0.0703442	0.0202825	0.108383	0.0242299	0.0701725	0.0857463	0.0789142	0.04764161	0.01193804	0.0127872	0.493988	0.0173195	0.0186877	0.451023	0.00619401	3.598522	0.04810723	-3.044049	0.00106991	0.0477312	0.439987	3.51121	0.298974	0.306915	0.142017	0.252094	0.06004527	0.8011826
70	-3301.342	-3306.875	5.533894	2.61641	0.1997342	0.0276857	0.0139298	0.0319953	0.0697519	0.0922042	0.0367339	0.111955	0.0510087	0.0157999	0.162151	0.0200606	0.0879212	0.0774547	0.0344115	0.04542223	-0.02488355	0.00571408	0.566886	0.0160593	0.0146397	0.385734	0.0109674	3.89047	0.04361365	-3.091754	0.00052634	0.0336223	0.382964	3.58289	0.280756	0.328178	0.115989	0.275077	0.0187301	2.328533
80	-3297.458	-3303.236	5.778693	2.664624	0.1906533	0.0300151	0.0119916	0.0363154	0.065929	0.102371	0.0350522	0.0691947	0.0528241	0.0169708	0.130583	0.0364498	0.043827	0.083059	0.0329711	0.05343428	-0.1060352	0.004849	0.475309	0.0167902	0.00770652	0.48846	0.00688535	5.287993	0.1228289	-2.929303	0.000378643	0.0285634	0.358827	3.61223	0.278178	0.309498	0.128086	0.284238	0.01679375	7.313965
90	-3297.158	-3304.168	7.010336	2.663729	0.1579148	0.0277702	0.0107854	0.0375234	0.0338872	0.0793635	0.0433611	0.0430724	0.0601354	0.0200226	0.120545	0.0426174	0.0374651	0.103647	0.0435435	0.03994329	-0.07781329	0.00801306	0.506874	0.0183853	0.0153689	0.442123	0.00923579	6.933841	0.1025957	-3.220295	8.42518e-05	0.0135446	0.265549	3.72082	0.284821	0.293648	0.144608	0.276923	0.02478242	4.139859
100	-3298.689	-3301.416	2.726334	2.681569	0.1382362	0.0266944	0.0108243	0.0384458	0.0318367	0.0529006	0.0412726	0.0423715	0.039242	0.0127135	0.163052	0.121096	0.0219715	0.0547935	0.0477227	0.02970541	-0.0521363	0.00635897	0.526795	0.00706663	0.0104999	0.439954	0.00932467	9.591506	0.0734125	-3.516426	2.42172e-05	0.00728117	0.206126	3.78657	0.295749	0.290816	0.154582	0.258853	0.0212762	3.450452
110	-3286.224	-3297.516	11.29152	2.681569	0.1583762	0.0199851	0.0184365	0.0300417	0.0317411	0.0248443	0.04224	0.0469188	0.0690735	0.0163282	0.0654642	0.0534719	0.0152703	0.0675087	0.0422366	0.03400769	0.05508575	0.0138753	0.519757	0.00732429	0.00847635	0.447644	0.00292355	7.33374	0.06094209	-3.381168	8.64284e-05	0.0137175	0.266921	3.71928	0.284577	0.305656	0.137339	0.272428	0.1160278	0.5252368
120	-3291.78	-3301.703	9.923096	2.67281	0.1853844	0.0289392	0.0256793	0.0323457	0.0239811	0.0301501	0.0604147	0.0635168	0.0530594	0.0194551	0.0506428	0.0396203	0.0144308	0.0530428	0.085869	0.04870725	0.08178925	0.0115672	0.56828	0.006554	0.00754363	0.40504	0.00101478	5.641251	0.04956069	-3.021927	0.000308173	0.025792	0.344451	3.62945	0.268551	0.30745	0.148414	0.275584	0.1313499	0.3773179
130	-3289.643	-3298.387	8.744328	2.741348	0.2195014	0.0341813	0.0204393	0.0453224	0.0124717	0.0295102	0.0623095	0.0533944	0.0514386	0.0285197	0.0590116	0.0342867	0.0174789	0.0730327	0.152879	0.04162844	0.02199496	0.0170521	0.490584	0.0037006	0.0158041	0.472307	0.000551507	5.061759	0.05386022	-3.178972	0.000980851	0.0457287	0.432618	3.52067	0.294328	0.283976	0.141293	0.280403	0.07585518	0.7100401
140	-3293.511	-3305.226	11.71501	2.890422	0.1891101	0.0304842	0.0220801	0.0525507	0.0170747	0.0269976	0.051183	0.0546926	0.0460017	0.0189132	0.0500486	0.0159154	0.0224485	0.0490511	0.142654	0.03943165	0.01733009	0.0132081	0.508835	0.0115754	0.022398	0.443368	0.00061546	4.838174	0.03019366	-3.233186	0.000356905	0.0277388	0.354644	3.61726	0.293345	0.315383	0.119189	0.272083	0.04752375	0.6353383
150	-3287.522	-3299.264	11.74216	2.870255	0.1849064	0.0229106	0.0280028	0.0375362	0.0251104	0.0304109	0.051638	0.0627637	0.0626011	0.0177266	0.0467887	0.0194075	0.0309381	0.0740779	0.0560148	0.04319604	0.1034753	0.0142006	0.611456	0.00886947	0.0161765	0.34645	0.00284686	5.252695	0.05941142	-3.142006	0.000302293	0.0255469	0.343133	3.63102	0.297098	0.288407	0.135988	0.278506	0.1628867	0.3647407
160	-3284.687	-3298.139	13.4514	2.770481	0.1734267	0.0248638	0.0278492	0.0365895	0.024573	0.0274247	0.0456818	0.0967721	0.0744182	0.014982	0.018886	0.0139185	0.042921	0.0622444	0.0437786	0.03332444	0.05895666	0.0143095	0.476002	0.0108046	0.0158011	0.479519	0.00356434	4.328803	0.02157323	-3.401464	0.000184335	0.0199871	0.310867	3.66896	0.289902	0.308113	0.135892	0.266093	0.08052988	0.2678909
