Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-5591.24	-5566.13	-25.1098	0.632453	1	0.983471	0.489215	0.463962	1.13273	1.41252	1.93074	1.60914	4.05954	0.403114	1.15372	2.00047	1.16087	1.07211	2.40671	0.08417582	0.003991307	0.0919887	0.115609	0.223028	0.0550915	0.509432	0.00485029	0.003137188	0.136954	0.476752	1	2.38629	0.22611	0.119656	0.132773	0.521461	0.007128496	0.4400912
1	1	-5480.56	-5449.36	-31.1994	0.4836208	1	0.49289	1.71102	2.7832	1.28269	0.554183	1.09998	1.33965	1.30745	1.4086	1.90863	1.60583	4.90893	1.09617	1.86973	0.2026771	-0.278295	0.0742826	0.0416763	0.175635	0.0834155	0.621567	0.00342342	0.357421	0.136954	0.476752	1	2.38629	0.0249693	0.266189	0.128474	0.580368	0.07912599	4.517112
2	0	-3710.05	-3687.7	-22.3465	0.08526518	0.728337	0.495514	0.869025	0.445759	0.670894	1.09633	1.45871	1.13949	2.58107	0.216189	1.05621	2.19566	1.33553	0.797034	1.05438	0.1229277	0.009309853	0.0392799	0.302835	0.186903	0.0414889	0.426917	0.002576	0.001676939	0.0802484	0.376599	0.934933	2.60822	0.277097	0.281836	0.169301	0.271767	0.01098679	0.1526323
3	1	-4164.77	-4136.03	-28.7462	0.173647	0.5902796	0.223224	0.726808	5.71026	0.613656	0.530568	1.02056	0.895672	0.885721	1.01513	1.14109	1.03101	2.77228	0.585999	1.33959	0.2368562	-0.1002829	0.0741983	0.041629	0.175436	0.0776153	0.629441	0.00168011	0.1188042	0.0511096	0.306826	0.876278	2.76579	0.050756	0.429684	0.175856	0.343704	0.01852131	6.414461
4	0	-3486.03	-3458.66	-27.3692	0.08900843	0.5003455	0.250381	0.778752	0.409556	0.85948	1.00397	1.06049	1.13977	1.45066	0.203553	1.40556	2.06307	0.864961	1.42618	0.353859	0.2571407	0.02420947	0.0361398	0.303381	0.162149	0.0231953	0.471955	0.0031798	0.003485903	0.0334518	0.252141	0.82052	2.89389	0.271518	0.298986	0.163162	0.266335	0.02769537	0.1258659
5	1	-3686.43	-3647.55	-38.879	0.173647	0.5313436	0.195621	0.468167	6.07271	1.10551	0.432842	1.27687	0.597971	0.650248	0.891114	0.6306	1.12493	2.02983	0.174405	0.864752	0.2564099	-0.6353542	0.0657403	0.0684878	0.0939733	0.0221762	0.74836	0.00126271	0.6579043	0.039334	0.271886	0.8418	2.84698	0.135999	0.29228	0.227317	0.344404	0.02255014	29.17518
6	0	-3354.37	-3324.71	-29.6588	0.08670366	0.3316352	0.149636	1.11667	0.593818	0.639823	1.69533	0.908376	0.911687	1.31242	0.423896	1.63978	2.26946	0.877231	2.12979	0.199777	0.2342327	-0.002606211	0.013448	0.371165	0.0529548	0.00744757	0.55325	0.00173542	0.01112398	0.00820896	0.129224	0.645298	3.21727	0.287117	0.281115	0.176694	0.255074	0.008517772	1.305973
7	1	-3548.21	-3510.42	-37.7892	0.173647	0.4281636	0.166629	0.264853	6.88157	1.16424	0.77389	2.21052	0.56734	0.647203	0.836039	0.53002	0.759557	1.16965	0.149193	0.792011	0.1992692	-0.1902804	0.0619484	0.0758753	0.0885528	0.0228042	0.749107	0.00171244	0.2694619	0.0209783	0.202463	0.760043	3.01652	0.252689	0.32303	0.185884	0.238397	0.07918146	3.403093
8	0	-3336.74	-3311.08	-25.6634	0.08864118	0.2240187	0.121878	0.780746	0.375775	0.581763	1.36157	1.04898	0.702537	1.39993	0.443439	1.82269	1.48156	2.08262	0.569785	0.210594	0.06362981	0.0009902976	0.00835558	0.474959	0.0447007	0.00934262	0.461031	0.00161123	0.006165158	0.00111344	0.0486788	0.443405	3.5068	0.278049	0.306876	0.158761	0.256315	0.007155456	0.8616024
9	1	-3459.21	-3422.36	-36.8563	0.1220738	0.2680702	0.278678	0.124651	4.7408	0.710414	0.902415	3.23634	0.602973	0.947663	0.864378	0.472505	0.444426	0.746417	0.123094	1.16493	0.1142544	-0.2227639	0.0714338	0.102937	0.0393921	0.0173701	0.767291	0.00157606	0.2700427	0.00306298	0.0800158	0.538076	3.37884	0.300024	0.266657	0.196417	0.236902	0.04727882	5.711707
10	0	-3334.27	-3311.54	-22.7355	0.0856002	0.2926952	0.167788	1.1899	0.239531	0.664877	1.2737	0.790241	0.892294	0.984986	0.894561	1.44047	1.64745	1.3037	0.86055	0.215431	0.05527132	-0.003885059	0.010383	0.485075	0.0372638	0.0132909	0.451603	0.00238413	0.006515698	0.0047215	0.0988258	0.583329	3.31312	0.293773	0.276189	0.148813	0.281225	0.00263064	2.476849
11	1	-3407.78	-3373.78	-34.0012	0.1220738	0.237621	0.351927	0.238608	3.41209	0.692619	0.763683	2.43539	0.443324	0.57618	0.9442	0.447272	0.499463	0.755579	0.112986	2.55357	0.1091126	-0.3108538	0.0285484	0.136904	0.0360126	0.0171231	0.779187	0.00222485	0.3565592	0.00158416	0.0579073	0.474643	3.46587	0.276146	0.283038	0.178307	0.262509	0.04570533	7.80126
12	0	-3337.65	-3314.98	-22.6749	0.09222402	0.2693756	0.14585	1.10386	0.402463	0.672155	0.976648	0.942993	0.641913	0.908338	0.911908	0.872675	1.46726	1.41481	1.29873	0.172012	0.07138389	-0.0009695824	0.00814823	0.35934	0.0285268	0.0115569	0.5911	0.00132849	0.003796051	0.00314029	0.080997	0.540605	3.37526	0.27127	0.325236	0.138391	0.265103	0.002826468	1.343037
13	1	-3342.44	-3312.61	-29.8313	0.1220738	0.2736356	0.279397	0.279403	3.31316	0.590318	1.05982	1.5979	0.415919	0.794549	1.02591	0.690194	0.43481	0.634162	0.110518	1.11969	0.06808004	-0.1836976	0.0273899	0.325081	0.0158213	0.0179195	0.61199	0.00179774	0.2865716	0.0034008	0.0842139	0.548753	3.36363	0.29508	0.298545	0.141065	0.26531	0.1028739	2.785658
14	0	-3335.24	-3310.12	-25.119	0.09607064	0.2381808	0.128275	0.916855	0.428567	0.5954	1.2169	0.928247	0.665951	1.04071	0.912837	1.98421	1.76069	1.15251	1.37336	0.267286	0.1431781	-0.01035894	0.012026	0.479409	0.0290682	0.0154185	0.462789	0.00128977	0.01416371	0.00160593	0.0582972	0.475889	3.46421	0.286201	0.340478	0.127839	0.245483	0.003804769	3.72262
15	1	-3343.77	-3313.69	-30.0756	0.124995	0.2563041	0.336647	0.237068	1.93055	0.524331	0.928052	1.82884	0.487806	0.950497	0.912705	0.732227	0.489306	0.8311	0.0743354	1.77984	0.06127034	0.00213177	0.0296098	0.351428	0.0198876	0.0149761	0.581824	0.00227432	0.1450161	0.00241867	0.0712789	0.514593	3.41171	0.296636	0.310906	0.147508	0.24495	0.1471479	0.9855127
16	0	-3322.88	-3304.95	-17.9297	0.09328689	0.2003387	0.301112	0.678255	0.4764	0.747654	0.865876	0.754465	0.862493	0.944772	0.550148	1.85755	1.07087	1.4816	1.09221	0.331463	0.06869185	-0.01603761	0.0108954	0.541502	0.0126916	0.014264	0.419281	0.00136643	0.02429954	0.000537436	0.0339711	0.384541	3.58095	0.299467	0.305536	0.152615	0.242382	0.008261927	2.941147
17	1	-3328.59	-3306.66	-21.9268	0.1282181	0.2275284	0.450721	0.242311	1.24982	0.710955	1.09754	0.584958	0.631541	0.956714	0.714253	0.96471	0.317989	0.872716	0.179831	1.50414	0.05116883	-0.08750544	0.0166095	0.365011	0.0146607	0.0119235	0.587385	0.00441077	0.1507976	0.00122444	0.0510123	0.451643	3.49612	0.25823	0.325454	0.151883	0.264433	0.06329219	2.382563
18	0	-3321.02	-3301	-20.0247	0.09511698	0.2482185	0.257187	0.632755	0.632726	0.493454	1.40874	1.01736	0.738484	0.635434	0.6521	2.25129	1.22727	1.68149	1.1591	0.248106	0.03199885	-0.02067835	0.0107467	0.49622	0.0146033	0.0149861	0.462102	0.00134123	0.03046271	0.00202977	0.0654064	0.497714	3.43485	0.296802	0.29877	0.137618	0.266809	0.009784356	3.11341
19	1	-3327.24	-3304.37	-22.8723	0.1282181	0.2149528	0.475356	0.250522	1.00548	0.549753	0.969117	1.11741	0.597615	0.944943	0.757825	1.00715	0.316407	1.30494	0.201056	1.33547	0.05847027	0.07296637	0.0178385	0.403749	0.0134596	0.0156272	0.545452	0.00387365	0.1384055	0.000858642	0.0428225	0.421546	3.53477	0.294714	0.305228	0.141733	0.258324	0.2113718	0.6547962
20	0	-3323.4	-3304.1	-19.2905	0.09624241	0.2159885	0.244476	0.58091	0.678663	0.84722	1.232	0.84103	1.00491	0.517051	0.416473	2.18822	1.36286	1.66762	1.11157	0.367918	0.02360932	0.01767738	0.00956472	0.464596	0.00842489	0.0378802	0.478231	0.00130307	0.01636193	0.000885494	0.0434783	0.424086	3.53155	0.297959	0.298954	0.135237	0.267849	0.03403931	0.4806775
21	1	-3326.85	-3302.34	-24.5115	0.1282181	0.1917467	0.498154	0.271225	0.935125	0.709703	1.24111	0.843554	0.840212	1.19272	0.421838	0.893473	0.385739	0.970819	0.161589	2.82123	0.07502453	-0.0790818	0.0137254	0.467317	0.017344	0.0150857	0.482788	0.00373943	0.1495946	0.000394613	0.0291539	0.361776	3.60868	0.28781	0.304208	0.135417	0.272565	0.07051275	2.121525
22	0	-3325.97	-3307.24	-18.7285	0.1176984	0.1828479	0.257047	0.809949	0.799498	0.53183	1.11454	0.84967	0.99981	1.45234	0.557982	2.55837	1.24648	0.886452	0.832141	0.42911	0.0211841	0.09092994	0.00927155	0.470228	0.00948939	0.0338281	0.475469	0.001714	0.01834745	0.000277906	0.0245032	0.337436	3.63778	0.296138	0.281517	0.147926	0.274418	0.1092774	0.1678979
23	1	-3322.64	-3298.04	-24.5989	0.1282181	0.1583844	0.760559	0.363135	1.0366	0.511932	1.29868	0.582283	0.974342	1.16584	0.510275	0.769767	0.369782	0.786323	0.191227	2.5578	0.1022198	-0.2468893	0.00934342	0.511311	0.00623908	0.0117122	0.459188	0.00220573	0.3044986	8.64676e-05	0.0137206	0.266945	3.71925	0.272393	0.306814	0.128163	0.292631	0.05760922	5.285587
24	0	-3317.41	-3297.77	-19.6375	0.0895519	0.1809884	0.226731	0.972748	0.870431	0.435392	1.1461	1.00822	0.898288	0.777055	0.49631	1.70191	1.57274	0.725168	0.991764	0.254504	0.009429106	0.1191533	0.0120735	0.60163	0.0055565	0.0199835	0.359515	0.00124158	0.03554419	0.000257147	0.0235777	0.332255	3.64391	0.30349	0.30016	0.124378	0.271972	0.1546975	0.2297658
25	1	-3321.81	-3300.6	-21.2173	0.1282181	0.1719619	0.498003	0.491848	1.07295	0.679229	1.44877	0.512718	0.798464	1.30845	0.517415	0.680985	0.464812	0.997661	0.221703	1.80711	0.04125748	-0.05110715	0.00783304	0.444918	0.00542716	0.0127761	0.527801	0.00124497	0.2211528	0.000172237	0.0193246	0.306666	3.67384	0.305626	0.284511	0.140502	0.269361	0.1700457	1.30055
26	0	-3315.99	-3295.52	-20.4676	0.1043439	0.1753334	0.230722	0.899735	0.64185	0.386363	1.53134	1.60678	0.685304	0.872513	0.555107	2.2113	1.62402	0.899937	0.848748	0.364177	0.009501954	-0.01150876	0.0134972	0.530086	0.00992632	0.00947502	0.435511	0.00150403	0.08209491	0.000201021	0.0208657	0.316307	3.66263	0.282473	0.291512	0.128922	0.297092	0.07058616	1.163046
27	1	-3321.71	-3301.52	-20.1859	0.1170369	0.1812595	0.461093	0.514249	0.993599	0.890512	2.29297	0.547172	0.789499	1.70814	0.552473	1.36403	0.376667	0.961252	0.285574	0.979803	0.04324989	0.02654494	0.00632831	0.44237	0.00539609	0.0196575	0.524778	0.00146929	0.08178554	0.000260101	0.0237116	0.333012	3.64302	0.311472	0.300916	0.120092	0.26752	0.1083305	0.7549633
28	0	-3317.59	-3299.25	-18.3415	0.112544	0.1937583	0.228584	0.668408	0.705919	0.454984	1.39693	1.32764	0.880276	0.641882	0.547349	1.40773	1.05243	1.25437	0.861666	0.393924	0.008284199	0.03099352	0.0123712	0.532294	0.012702	0.00750339	0.433955	0.00117447	0.08956538	0.000425256	0.030254	0.367172	3.60215	0.283826	0.31518	0.147549	0.253445	0.1205589	0.742918
29	1	-3317.85	-3297.94	-19.9108	0.1350828	0.1734128	0.537807	0.61351	0.757564	0.436689	1.72873	0.353772	0.624386	1.42549	0.48059	1.20413	0.41181	0.651696	0.268925	0.673046	0.05173172	0.07087732	0.0103062	0.485138	0.00347861	0.0114106	0.487683	0.00198323	0.07625455	0.000184217	0.0199808	0.310827	3.66901	0.309163	0.282392	0.132537	0.275908	0.1471319	0.5182735
30	0	-3319.46	-3301.13	-18.3273	0.112544	0.1994151	0.351948	0.707035	0.877622	0.593636	1.40799	1.09406	1.15143	0.72752	0.394323	1.34025	1.57429	1.03071	0.504046	0.432461	0.0103905	-0.01220114	0.0129591	0.606832	0.00846686	0.00699155	0.363721	0.00102929	0.1469489	0.000520549	0.0334387	0.38213	3.58391	0.283996	0.310099	0.133005	0.272899	0.1347477	1.090548
31	1	-3326.04	-3301.43	-24.6097	0.1592951	0.1833281	0.434493	0.589252	0.662889	0.341089	1.65722	0.220847	0.667097	1.20198	0.421466	1.99626	0.548625	0.539631	0.189173	0.920298	0.06340976	0.04478958	0.0135412	0.527227	0.00391469	0.0101031	0.439963	0.00525067	0.1068071	0.000283461	0.0247449	0.338768	3.6362	0.275306	0.333769	0.121156	0.269769	0.1515967	0.7045478
32	0	-3319.03	-3297.99	-21.0389	0.1092913	0.2135768	0.19772	0.853814	0.832853	0.662946	1.1435	1.29949	0.783919	0.90346	0.482066	1.21876	1.73042	1.55613	0.518279	0.266952	0.0164664	-0.04698176	0.0104083	0.546534	0.010795	0.00395321	0.426987	0.00132237	0.1519124	0.000823843	0.0419567	0.418155	3.53906	0.312023	0.297459	0.131543	0.258975	0.1049306	1.447741
33	1	-3328.24	-3306.14	-22.0912	0.1625259	0.1501273	0.711477	0.346999	0.515403	0.305697	1.60162	0.251919	0.544476	0.878564	0.371448	1.70978	0.523642	0.497313	0.429422	1.3534	0.04539648	0.1047942	0.0109004	0.490903	0.00322299	0.00687043	0.483439	0.00466445	0.06565398	5.34951e-05	0.0108047	0.24221	3.74693	0.268471	0.333598	0.149994	0.247936	0.1704482	0.3851844
34	0	-3317.38	-3295.07	-22.3187	0.1092913	0.158322	0.301655	0.893964	1.13855	0.535285	1.03282	2.31825	0.525835	0.715295	0.325376	0.709559	1.68247	1.21251	0.360042	0.287865	0.009880866	0.1167271	0.0129293	0.559376	0.0106907	0.00476751	0.410871	0.00136568	0.1228565	8.61706e-05	0.0136972	0.26676	3.71946	0.301439	0.303813	0.143927	0.250821	0.2395836	0.5127919
35	1	-3328.26	-3304.34	-23.9202	0.1625259	0.1526525	0.719862	0.310244	0.655155	0.346262	0.942922	0.136852	0.727031	0.817527	0.584305	1.38823	0.533572	1.67382	0.356284	1.08834	0.04183311	-0.1615027	0.0182805	0.433635	0.00586524	0.00296153	0.533411	0.00584742	0.2533284	6.23001e-05	0.011656	0.249812	3.73847	0.276341	0.3015	0.135562	0.286597	0.09182567	2.758797
36	0	-3327.84	-3304.94	-22.8944	0.1092913	0.2038946	0.499017	1.15949	1.14712	0.450977	1.02462	1.80736	0.597279	0.829343	0.237124	0.995146	1.5991	2.31481	0.578955	0.594637	0.01865632	-0.03587166	0.0137968	0.488644	0.0069885	0.00699794	0.482694	0.000879045	0.2558724	0.000606082	0.0360521	0.393746	3.5696	0.297577	0.296398	0.121009	0.285016	0.2200007	1.163052
37	1	-3324.81	-3300.02	-24.7919	0.1625259	0.1422447	0.567982	0.290009	0.385944	0.38552	0.889696	0.179013	0.564723	0.74919	0.678195	1.08371	0.407202	1.11429	0.367337	2.04823	0.03777092	-0.001947303	0.0144427	0.490476	0.0029097	0.00596009	0.480569	0.00564269	0.2334956	3.21066e-05	0.0083794	0.218327	3.77326	0.285599	0.307765	0.13993	0.266705	0.2315483	1.00841
38	0	-3323.02	-3300	-23.0252	0.1092913	0.1718704	0.478736	1.17648	0.948582	0.545555	1.16264	2.09872	0.808083	0.994934	0.364567	1.34673	2.21847	2.25977	0.618089	0.396698	0.04423645	0.05772265	0.0150278	0.443353	0.00334557	0.0111344	0.525758	0.00138055	0.1419658	0.000171502	0.0192836	0.306404	3.67414	0.279059	0.303108	0.161944	0.255888	0.1996884	0.7109364
39	1	-3328.71	-3307.74	-20.9751	0.1625259	0.1274273	0.538519	0.449057	0.317069	0.523466	1.17494	0.264822	0.471227	0.472133	0.621093	1.07482	0.651	0.839616	0.474596	2.18378	0.03405057	-9.892333e-05	0.0136374	0.533725	0.00423734	0.00552854	0.434308	0.00856355	0.1600778	1.03612e-05	0.00476884	0.173256	3.82196	0.285105	0.320743	0.12791	0.266243	0.1599789	1.000618
40	0	-3317.08	-3296.1	-20.9786	0.1092913	0.1537076	0.603301	0.762982	1.18433	0.466961	1.15747	2.54365	0.756777	0.85592	0.476464	1.84268	2.12075	1.64431	0.849095	0.697519	0.03766803	0.1257786	0.0106876	0.491295	0.00443965	0.0100458	0.482007	0.0015256	0.04479499	6.62972e-05	0.0120223	0.252979	3.73493	0.284701	0.318314	0.128122	0.268862	0.1705736	0.2626139
41	1	-3333.79	-3310.46	-23.3283	0.1656052	0.1239925	0.740078	0.386281	0.407004	0.514137	1.15492	0.195612	0.550633	0.357529	0.631037	1.51068	0.40164	1.43816	0.382979	1.26616	0.03907523	-0.1365022	0.0120425	0.473771	0.00179732	0.00647991	0.49939	0.00651924	0.2676208	7.66933e-06	0.00410446	0.162883	3.833	0.273694	0.321349	0.144509	0.260447	0.1311186	2.041059
42	0	-3317.87	-3299.16	-18.7043	0.1420126	0.1468351	0.462596	0.847367	1.59706	0.483423	1.25108	0.851149	0.470922	0.891509	0.487239	0.692389	2.12391	0.754509	0.458147	0.813021	0.03176417	-0.05400153	0.00825299	0.453477	0.00659388	0.0100689	0.520605	0.00100196	0.1760083	4.35125e-05	0.00974896	0.23226	3.75795	0.315962	0.305029	0.13139	0.24762	0.1220067	1.442611
43	1	-3324.67	-3303.21	-21.4629	0.1656052	0.1790345	0.45404	0.489996	0.769405	0.459687	1.48888	0.203993	0.491093	0.533186	0.851397	0.614034	0.447329	1.8536	0.324253	1.4372	0.04592363	0.003581503	0.00935728	0.419799	0.00134587	0.00796348	0.540902	0.0206329	0.091515	0.00023659	0.0226229	0.326777	3.65036	0.300787	0.314988	0.134378	0.249848	0.0950965	0.9623382
