Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_cytb[5]	rates_cytb[6]	rates_cytb[7]	rates_cytb[8]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4613.13	-4639.41	26.2802	0.8750556	1	0.0100361	0.0696415	0.0490448	0.0213404	0.039489	0.0140383	0.0260233	0.0823101	0.0217991	0.0241449	0.0298459	0.0204061	0.0559685	0.0405781	0.02859976	0.01233138	0.126939	0.17024	0.100876	0.105552	0.380444	0.115948	0.08370254	0.0652803	0.208627	0.376074	0.577429	0.830101	1.1699	1.69315	3.07944	0.0962615	0.65956	0.0858703	0.158308	0.09603392	0.8715935
10	-3524.41	-3543.61	19.1951	0.7943673	0.7062461	0.0143004	0.060827	0.0578818	0.0338655	0.0684035	0.0278002	0.0339861	0.126908	0.0265025	0.0779747	0.0479238	0.020184	0.139163	0.0602794	0.05057154	0.02734301	0.0361898	0.171791	0.0480035	0.040666	0.611925	0.091424	0.05036574	0.0274572	0.123589	0.267902	0.465023	0.734218	1.1201	1.74711	3.51459	0.337872	0.25851	0.16517	0.238448	0.07770875	0.6481347
20	-3365.44	-3381.35	15.9145	0.7924379	0.5822515	0.0419207	0.0793728	0.0549052	0.0434903	0.0544173	0.0761365	0.0614397	0.207489	0.0512609	0.0896143	0.0507338	0.0325265	0.184877	0.0503131	0.05407698	0.1378742	0.0188433	0.358316	0.024053	0.0134853	0.556021	0.0292808	0.02251013	0.0147253	0.0842132	0.208719	0.395804	0.667819	1.07615	1.76496	3.7876	0.290209	0.266425	0.169141	0.274225	0.1603843	0.1403512
30	-3319.42	-3330.82	11.3963	0.7327174	0.5201677	0.0939868	0.0715214	0.0827895	0.112498	0.099131	0.0739902	0.0284473	0.183403	0.0681648	0.148292	0.0999073	0.0285927	0.244934	0.0607383	0.07904542	0.1480435	0.0267478	0.403237	0.00894887	0.00486976	0.530336	0.0258602	0.01376855	0.00964749	0.0647203	0.175751	0.354005	0.6247	1.04411	1.76965	3.95742	0.29671	0.283926	0.136446	0.282918	0.1618121	0.08508974
40	-3306.83	-3318.06	11.2324	0.7230995	0.3455291	0.164329	0.078336	0.0907631	0.161631	0.0819837	0.0657458	0.0252597	0.209664	0.05016	0.0871279	0.130412	0.0510699	0.209605	0.0647472	0.08668926	0.06284379	0.0275908	0.461987	0.00990163	0.0023176	0.472705	0.0254982	0.0283814	0.00129896	0.018107	0.075909	0.204241	0.446107	0.883715	1.73696	4.63366	0.265494	0.299251	0.148872	0.286383	0.0912252	0.3111137
50	-3299.22	-3303.59	4.374	0.6807936	0.2467025	0.161939	0.0983489	0.0963138	0.16619	0.0524521	0.103285	0.0391355	0.341407	0.0749056	0.109847	0.124406	0.0434785	0.393676	0.224446	0.1062435	0.08296469	0.0208578	0.479745	0.00283242	0.00225418	0.479109	0.0152018	0.05388442	0.00011802	0.00380522	0.0266613	0.101977	0.288692	0.700268	1.63071	5.24777	0.289362	0.281463	0.135364	0.293811	0.1368491	0.3937506
60	-3298.3	-3301.61	3.31097	0.8002387	0.2471129	0.253136	0.0864669	0.0675927	0.148859	0.0668875	0.0995623	0.0239153	0.446002	0.0769026	0.10015	0.0848339	0.0373297	0.415582	0.115544	0.09608983	0.03836638	0.0195586	0.500691	0.00310962	0.00603834	0.449266	0.0213362	0.03317557	0.000119677	0.00384017	0.0268267	0.102399	0.289447	0.701268	1.63144	5.24466	0.289492	0.309304	0.132481	0.268724	0.07154195	0.4637219
70	-3295.68	-3300.91	5.23375	0.8103083	0.2734405	0.237549	0.0993715	0.0768622	0.246554	0.085945	0.110934	0.03495	0.390231	0.0885867	0.111535	0.113452	0.0759903	0.316068	0.150769	0.123639	-0.03515359	0.0243579	0.436875	0.00169068	0.00341698	0.527993	0.00566697	0.07176061	0.00026814	0.00650904	0.0383001	0.129832	0.336145	0.760623	1.67216	5.05616	0.278188	0.327162	0.13346	0.26119	0.03660702	1.960297
80	-3300.84	-3303.91	3.07105	0.8557596	0.2322322	0.295829	0.0830311	0.0624878	0.241141	0.0546689	0.122978	0.0381985	0.39365	0.0790531	0.127801	0.15995	0.0399474	0.270376	0.15121	0.1038211	-0.007955016	0.0310722	0.406209	0.00377513	0.00487692	0.552887	0.00118056	0.06778175	6.99397e-05	0.00269901	0.0211223	0.0872641	0.26159	0.663388	1.60239	5.36147	0.272243	0.30914	0.147035	0.271582	0.05982673	1.132968
90	-3298.19	-3303.29	5.10494	0.8104755	0.2313499	0.179576	0.107901	0.102078	0.190581	0.0634203	0.122849	0.0578584	0.362139	0.0567357	0.0999932	0.0975859	0.0539123	0.407061	0.128076	0.0943948	0.1281904	0.0192962	0.387569	0.00716172	0.0129549	0.569437	0.00358158	0.01826017	6.75999e-05	0.00263931	0.0208038	0.0863803	0.259907	0.661035	1.60051	5.36866	0.30086	0.28322	0.141454	0.274467	0.1464505	0.1246849
