Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6572.149	-6629.038	56.88911	0.4953764	1	0.00712644	0.00374364	0.00408302	0.000195804	0.000725298	0.000142403	0.0046727	0.00356127	0.00641414	9.61814e-05	0.00290314	0.00169201	0.002354	0.00913226	0.004034412	0.02739366	0.215064	0.0375189	0.0616217	0.470388	0.00748128	0.207926	0.01720424	0.136954	0.476752	1	2.38629	0.248918	0.284732	0.0396785	0.426671	0.04459789	0.3857634
1	1	-5243.527	-5251.415	7.887928	0.06488063	1	0.193336	0.0581883	0.0378626	0.170022	0.156175	0.00692732	0.108935	0.000814923	0.178533	0.117367	0.125227	0.144021	0.00356376	0.105708	0.06654701	0.02362384	0.340201	0.0094419	0.236523	0.20206	0.176408	0.0353657	0.002181675	0.136954	0.476752	1	2.38629	0.140395	0.376164	0.064563	0.418878	0.02580551	0.08454297
2	0	-4099.174	-4033.636	-65.53823	0.8803891	0.752878	0.141015	0.125229	0.0530426	0.0130302	0.0248603	0.00280763	0.113161	0.0133056	0.0825081	1.16906e-05	0.0398596	0.087545	0.0605847	0.00286557	0.005937887	0.004233065	0.105005	0.142243	0.0391586	0.48851	0.0809153	0.144168	0.0538683	0.0855003	0.387447	0.942991	2.58406	0.272073	0.266008	0.0874686	0.37445	0.05810136	0.9271434
3	1	-3765.776	-3769.054	3.277155	0.9311448	0.7141217	0.249995	0.230782	0.06433	0.234298	0.068256	0.01555	0.108237	0.00108889	0.283128	0.116914	0.307751	0.0298743	0.0654228	0.235846	0.108519	0.006649154	0.14531	0.0189076	0.0650509	0.10575	0.635892	0.0290891	0.004590048	0.0772069	0.370118	0.929991	2.62268	0.267168	0.252749	0.191331	0.288752	0.0112392	0.4083963
4	0	-3548.725	-3530.021	-18.70378	0.9093381	0.5715354	0.159589	0.174136	0.057932	0.021552	0.0584746	0.0095438	0.110186	0.0311746	0.0903034	0.091928	0.0343802	0.0560568	0.0377655	0.00565069	0.01360837	-0.01703054	0.117484	0.477939	0.0210524	0.0672817	0.230142	0.0861004	0.08625039	0.0472954	0.296075	0.866072	2.79056	0.250043	0.286501	0.134025	0.329432	0.06921985	1.246035
5	1	-3568.776	-3572.197	3.42084	0.8698529	0.5417462	0.224589	0.243277	0.171285	0.125297	0.0980869	0.0408014	0.118863	0.0013116	0.309175	0.161969	0.0544057	0.0764132	0.149009	0.19347	0.1012224	0.005775131	0.132212	0.0532885	0.0397293	0.0140624	0.741279	0.019429	0.005114955	0.0413621	0.278298	0.848418	2.83192	0.281254	0.250522	0.212465	0.255759	0.01089009	0.4696891
6	0	-3388.547	-3378.547	-9.999361	0.8720129	0.3900239	0.188582	0.287728	0.0531354	0.059812	0.0819282	0.0301457	0.14659	0.0488006	0.0804095	0.0472371	0.00801849	0.0441238	0.0419743	0.0136934	0.02111013	-0.05916515	0.0438407	0.327746	0.00838241	0.0300334	0.55349	0.036507	0.1284107	0.0153019	0.174265	0.720256	3.09018	0.280771	0.264698	0.161869	0.292662	0.06924554	1.854425
7	1	-3372.161	-3370.663	-1.498842	0.7142091	0.4550113	0.21332	0.125647	0.224912	0.303915	0.180765	0.0704	0.190916	0.00185257	0.282072	0.177424	0.14597	0.034092	0.150163	0.508778	0.130604	0.03299208	0.0708578	0.295889	0.0289387	0.00340011	0.594885	0.00602951	0.01837936	0.0253841	0.221535	0.784557	2.96852	0.257989	0.283866	0.175507	0.282638	0.05137144	0.3577739
8	0	-3317.313	-3322.453	5.139677	0.8615551	0.2983063	0.150218	0.310645	0.0488836	0.0897856	0.0643933	0.0820008	0.118257	0.03669	0.11721	0.0717074	0.033906	0.0626514	0.0995278	0.0178712	0.046158	-0.008927696	0.0301737	0.452528	0.0158105	0.0197839	0.460001	0.0217033	0.05797738	0.00515892	0.103178	0.592947	3.29872	0.302871	0.280672	0.149078	0.267378	0.04904968	1.182013
9	1	-3329.93	-3330.873	0.9427213	0.6432406	0.3298043	0.397321	0.200508	0.159233	0.14173	0.186527	0.0433373	0.134758	0.00291531	0.376587	0.123698	0.120956	0.047019	0.147503	0.0760436	0.1075576	0.07471404	0.0401317	0.483903	0.0143668	0.00502254	0.451103	0.00547333	0.01937618	0.00802165	0.127792	0.642622	3.22156	0.294756	0.286582	0.129149	0.289513	0.09409022	0.2059319
