Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5243.527	-5251.415	7.887928	0.06488063	1	0.193336	0.0581883	0.0378626	0.170022	0.156175	0.00692732	0.108935	0.000814923	0.178533	0.117367	0.125227	0.144021	0.00356376	0.105708	0.06654701	0.02362384	0.340201	0.0094419	0.236523	0.20206	0.176408	0.0353657	0.002181675	0.136954	0.476752	1	2.38629	0.140395	0.376164	0.064563	0.418878	0.02580551	0.08454297
10	-3765.776	-3769.054	3.277155	0.9311448	0.7141217	0.249995	0.230782	0.06433	0.234298	0.068256	0.01555	0.108237	0.00108889	0.283128	0.116914	0.307751	0.0298743	0.0654228	0.235846	0.108519	0.006649154	0.14531	0.0189076	0.0650509	0.10575	0.635892	0.0290891	0.004590048	0.0772069	0.370118	0.929991	2.62268	0.267168	0.252749	0.191331	0.288752	0.0112392	0.4083963
20	-3568.776	-3572.197	3.42084	0.8698529	0.5417462	0.224589	0.243277	0.171285	0.125297	0.0980869	0.0408014	0.118863	0.0013116	0.309175	0.161969	0.0544057	0.0764132	0.149009	0.19347	0.1012224	0.005775131	0.132212	0.0532885	0.0397293	0.0140624	0.741279	0.019429	0.005114955	0.0413621	0.278298	0.848418	2.83192	0.281254	0.250522	0.212465	0.255759	0.01089009	0.4696891
30	-3372.161	-3370.663	-1.498842	0.7142091	0.4550113	0.21332	0.125647	0.224912	0.303915	0.180765	0.0704	0.190916	0.00185257	0.282072	0.177424	0.14597	0.034092	0.150163	0.508778	0.130604	0.03299208	0.0708578	0.295889	0.0289387	0.00340011	0.594885	0.00602951	0.01837936	0.0253841	0.221535	0.784557	2.96852	0.257989	0.283866	0.175507	0.282638	0.05137144	0.3577739
40	-3329.93	-3330.873	0.9427213	0.6432406	0.3298043	0.397321	0.200508	0.159233	0.14173	0.186527	0.0433373	0.134758	0.00291531	0.376587	0.123698	0.120956	0.047019	0.147503	0.0760436	0.1075576	0.07471404	0.0401317	0.483903	0.0143668	0.00502254	0.451103	0.00547333	0.01937618	0.00802165	0.127792	0.642622	3.22156	0.294756	0.286582	0.129149	0.289513	0.09409022	0.2059319
50	-3313.63	-3311.123	-2.506641	0.7898784	0.2525513	0.66528	0.383797	0.177709	0.221983	0.260043	0.132437	0.139042	0.00236659	0.255942	0.156535	0.0464028	0.00678813	0.232701	0.0532686	0.1314387	0.04052734	0.0266507	0.525051	0.00286682	0.00839657	0.432571	0.00446339	0.0199645	0.0022328	0.0685385	0.506835	3.42239	0.305954	0.289332	0.135122	0.269592	0.06049183	0.3300363
60	-3314.116	-3308.645	-5.471097	0.6962582	0.2235391	0.559084	0.304329	0.0877209	0.304306	0.184392	0.0591782	0.17029	0.00299609	0.399887	0.102985	0.496753	0.0255411	0.190964	0.0445139	0.1306418	0.2023236	0.0228985	0.559643	0.00272034	0.00606546	0.407666	0.00100687	0.007938296	0.00109882	0.0483627	0.442269	3.50827	0.299768	0.299836	0.13474	0.265656	0.2102619	0.03775433
70	-3312.487	-3310.924	-1.562816	0.6914897	0.175996	0.63793	0.22297	0.145482	0.221696	0.113301	0.0600166	0.126341	0.00306007	0.376746	0.143692	0.12608	0.218729	0.222451	0.0523956	0.1672698	0.07137957	0.0134147	0.561654	0.00472189	0.00496817	0.414516	0.000725153	0.01033923	0.000207075	0.0211753	0.31819	3.66043	0.281041	0.286763	0.152944	0.279252	0.0817188	0.126522
80	-3308.023	-3303.774	-4.248841	0.6213099	0.1816575	0.501688	0.310446	0.261824	0.23633	0.340111	0.270573	0.154756	0.00350836	0.521958	0.224703	0.0458922	0.04332	0.303457	0.0422696	0.2093543	0.0264817	0.00860955	0.539333	0.00448837	0.0105034	0.43653	0.000535594	0.009603454	0.00026448	0.0239088	0.334123	3.6417	0.298359	0.305703	0.129115	0.266823	0.03608515	0.2661331
90	-3312.848	-3309.137	-3.711157	0.6008143	0.1758377	0.666581	0.324715	0.253643	0.455318	0.148841	0.0866519	0.19072	0.00289551	0.34611	0.382035	0.0413065	0.0440731	0.183032	0.00566842	0.1759496	0.02503545	0.0124033	0.486393	0.00798703	0.0111665	0.481492	0.000557822	0.0114384	0.000205617	0.0211012	0.317741	3.66095	0.261469	0.316035	0.130281	0.292214	0.03647385	0.3136054
100	-3324.652	-3313.995	-10.65716	0.7742752	0.1726114	0.817903	0.241044	0.572437	0.268139	0.353837	0.20048	0.110528	0.00191142	0.170939	0.924402	0.0826593	0.0972029	0.817902	0.00263587	0.2197753	0.02429027	0.0109048	0.540406	0.0130041	0.0157356	0.413932	0.00601754	0.01036103	0.000177526	0.019617	0.308531	3.67167	0.260631	0.310565	0.144898	0.283905	0.03465129	0.2990084
110	-3319.929	-3310.287	-9.641941	0.5692653	0.1871884	0.66194	0.186188	0.454733	0.181528	0.379481	0.217714	0.175973	0.00403236	0.530572	0.365535	0.0503389	0.311634	0.29668	0.568969	0.3239135	0.04052971	0.00530479	0.457986	0.00988377	0.00349969	0.510846	0.0124798	0.01262644	0.00033112	0.0267268	0.349403	3.62354	0.297328	0.31423	0.137163	0.251279	0.05315615	0.2375349
