Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5591.24	-5566.13	-25.1098	0.632453	1	0.983471	0.489215	0.463962	1.13273	1.41252	1.93074	1.60914	4.05954	0.403114	1.15372	2.00047	1.16087	1.07211	2.40671	0.08417582	0.003991307	0.0919887	0.115609	0.223028	0.0550915	0.509432	0.00485029	0.003137188	0.136954	0.476752	1	2.38629	0.22611	0.119656	0.132773	0.521461	0.007128496	0.4400912
10	-3710.05	-3687.7	-22.3465	0.08526518	0.728337	0.495514	0.869025	0.445759	0.670894	1.09633	1.45871	1.13949	2.58107	0.216189	1.05621	2.19566	1.33553	0.797034	1.05438	0.1229277	0.009309853	0.0392799	0.302835	0.186903	0.0414889	0.426917	0.002576	0.001676939	0.0802484	0.376599	0.934933	2.60822	0.277097	0.281836	0.169301	0.271767	0.01098679	0.1526323
20	-3486.03	-3458.66	-27.3692	0.08900843	0.5003455	0.250381	0.778752	0.409556	0.85948	1.00397	1.06049	1.13977	1.45066	0.203553	1.40556	2.06307	0.864961	1.42618	0.353859	0.2571407	0.02420947	0.0361398	0.303381	0.162149	0.0231953	0.471955	0.0031798	0.003485903	0.0334518	0.252141	0.82052	2.89389	0.271518	0.298986	0.163162	0.266335	0.02769537	0.1258659
30	-3354.37	-3324.71	-29.6588	0.08670366	0.3316352	0.149636	1.11667	0.593818	0.639823	1.69533	0.908376	0.911687	1.31242	0.423896	1.63978	2.26946	0.877231	2.12979	0.199777	0.2342327	-0.002606211	0.013448	0.371165	0.0529548	0.00744757	0.55325	0.00173542	0.01112398	0.00820896	0.129224	0.645298	3.21727	0.287117	0.281115	0.176694	0.255074	0.008517772	1.305973
40	-3336.74	-3311.08	-25.6634	0.08864118	0.2240187	0.121878	0.780746	0.375775	0.581763	1.36157	1.04898	0.702537	1.39993	0.443439	1.82269	1.48156	2.08262	0.569785	0.210594	0.06362981	0.0009902976	0.00835558	0.474959	0.0447007	0.00934262	0.461031	0.00161123	0.006165158	0.00111344	0.0486788	0.443405	3.5068	0.278049	0.306876	0.158761	0.256315	0.007155456	0.8616024
50	-3334.27	-3311.54	-22.7355	0.0856002	0.2926952	0.167788	1.1899	0.239531	0.664877	1.2737	0.790241	0.892294	0.984986	0.894561	1.44047	1.64745	1.3037	0.86055	0.215431	0.05527132	-0.003885059	0.010383	0.485075	0.0372638	0.0132909	0.451603	0.00238413	0.006515698	0.0047215	0.0988258	0.583329	3.31312	0.293773	0.276189	0.148813	0.281225	0.00263064	2.476849
60	-3337.65	-3314.98	-22.6749	0.09222402	0.2693756	0.14585	1.10386	0.402463	0.672155	0.976648	0.942993	0.641913	0.908338	0.911908	0.872675	1.46726	1.41481	1.29873	0.172012	0.07138389	-0.0009695824	0.00814823	0.35934	0.0285268	0.0115569	0.5911	0.00132849	0.003796051	0.00314029	0.080997	0.540605	3.37526	0.27127	0.325236	0.138391	0.265103	0.002826468	1.343037
70	-3335.24	-3310.12	-25.119	0.09607064	0.2381808	0.128275	0.916855	0.428567	0.5954	1.2169	0.928247	0.665951	1.04071	0.912837	1.98421	1.76069	1.15251	1.37336	0.267286	0.1431781	-0.01035894	0.012026	0.479409	0.0290682	0.0154185	0.462789	0.00128977	0.01416371	0.00160593	0.0582972	0.475889	3.46421	0.286201	0.340478	0.127839	0.245483	0.003804769	3.72262
80	-3322.88	-3304.95	-17.9297	0.09328689	0.2003387	0.301112	0.678255	0.4764	0.747654	0.865876	0.754465	0.862493	0.944772	0.550148	1.85755	1.07087	1.4816	1.09221	0.331463	0.06869185	-0.01603761	0.0108954	0.541502	0.0126916	0.014264	0.419281	0.00136643	0.02429954	0.000537436	0.0339711	0.384541	3.58095	0.299467	0.305536	0.152615	0.242382	0.008261927	2.941147
90	-3321.02	-3301	-20.0247	0.09511698	0.2482185	0.257187	0.632755	0.632726	0.493454	1.40874	1.01736	0.738484	0.635434	0.6521	2.25129	1.22727	1.68149	1.1591	0.248106	0.03199885	-0.02067835	0.0107467	0.49622	0.0146033	0.0149861	0.462102	0.00134123	0.03046271	0.00202977	0.0654064	0.497714	3.43485	0.296802	0.29877	0.137618	0.266809	0.009784356	3.11341
