Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]
0	-21163.38	-21071.09	-92.2909	73.4678	78.0334	11.0909	51.9928	10.6895	21.1748	98.0626
10	-5826.711	-5734.42	-92.2909	68.2079	78.0334	13.6261	34.2084	10.6895	15.7489	93.7102
20	-5651.304	-5559.013	-92.2909	93.1466	78.0334	13.6261	28.9676	10.6895	15.7489	83.0051
30	-5507.206	-5414.915	-92.2909	93.1466	78.0334	13.6261	28.9676	13.9597	15.7489	83.0051
40	-5392.085	-5299.794	-92.2909	93.1466	66.6012	13.6261	21.0337	13.9597	15.1903	83.0051
50	-5365.056	-5272.765	-92.2909	93.1466	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
60	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
70	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
80	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
90	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
100	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051
110	-5298.868	-5206.577	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
120	-5296.29	-5203.999	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
130	-5291.469	-5199.178	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
140	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
150	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
160	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
170	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
180	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
190	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
200	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
210	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
220	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
230	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
240	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
250	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
260	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
270	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051
280	-5305.779	-5200.458	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	82.9362
290	-5305.779	-5200.458	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	82.9362
300	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
310	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
320	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
330	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
340	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
350	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
360	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
370	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
380	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362
390	-4987.512	-4882.192	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
400	-4958.643	-4853.323	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
410	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
420	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
430	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
440	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
450	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
460	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
470	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
480	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
490	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
500	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
510	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362
