Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]
0	-21163.38	-21071.09	-92.2909	28.917	39.3534	19.7974	11.1992	23.4318	21.8478
10	-5826.711	-5734.42	-92.2909	28.5725	40.6714	15.0627	11.5361	26.8548	45.9551
20	-5651.304	-5559.013	-92.2909	28.5725	40.6714	15.0627	11.5361	26.8548	45.9551
30	-5507.206	-5414.915	-92.2909	28.5725	43.8065	15.0627	11.5361	26.8548	45.9551
40	-5392.085	-5299.794	-92.2909	28.6026	44.9512	15.0627	11.5361	26.8548	45.9551
50	-5365.056	-5272.765	-92.2909	28.6026	44.9512	15.0627	11.5361	26.8548	45.8331
60	-5299.982	-5207.691	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
70	-5299.982	-5207.691	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
80	-5299.982	-5207.691	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
90	-5299.982	-5207.691	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
100	-5299.982	-5207.691	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
110	-5298.868	-5206.577	-92.2909	28.6026	44.9512	15.0832	11.5361	26.8548	56.793
120	-5296.29	-5203.999	-92.2909	28.6026	45.1884	15.0832	11.5361	26.8548	56.793
130	-5291.469	-5199.178	-92.2909	28.6026	45.1884	15.0832	11.5361	26.8548	56.2689
140	-5291.197	-5198.906	-92.2909	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689
150	-5291.197	-5198.906	-92.2909	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689
160	-5291.197	-5198.906	-92.2909	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689
170	-5291.197	-5198.906	-92.2909	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689
180	-5291.197	-5198.906	-92.2909	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689
190	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
200	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
210	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
220	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
230	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
240	-5291.889	-5199.598	-92.2909	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689
250	-5291.504	-5199.213	-92.2909	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689
260	-5291.504	-5199.213	-92.2909	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689
270	-5291.504	-5199.213	-92.2909	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689
280	-5305.779	-5200.458	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
290	-5305.779	-5200.458	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
300	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
310	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
320	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
330	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
340	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
350	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
360	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
370	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
380	-5036.828	-4931.507	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
390	-4987.512	-4882.192	-105.3204	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796
400	-4958.643	-4853.323	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	56.2689	63.9796
410	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
420	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
430	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
440	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
450	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
460	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
470	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
480	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
490	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
500	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
510	-4950.401	-4845.081	-105.3204	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796
