Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	n_events	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]
0	-21163.38	-21071.09	-92.2909	73.4678	78.0334	11.0909	51.9928	10.6895	21.1748	98.0626	28.917	39.3534	19.7974	11.1992	23.4318	21.8478	6	84.8549	36.2823	4.31449	10.9318	34.2283	75.9006	68.6702
10	-5826.711	-5734.42	-92.2909	68.2079	78.0334	13.6261	34.2084	10.6895	15.7489	93.7102	28.5725	40.6714	15.0627	11.5361	26.8548	45.9551	6	68.1097	15.3995	4.31449	15.0746	34.2283	61.0846	86.6284
20	-5651.304	-5559.013	-92.2909	93.1466	78.0334	13.6261	28.9676	10.6895	15.7489	83.0051	28.5725	40.6714	15.0627	11.5361	26.8548	45.9551	6	68.1097	15.3995	4.31449	15.0746	34.2283	61.0846	86.6284
30	-5507.206	-5414.915	-92.2909	93.1466	78.0334	13.6261	28.9676	13.9597	15.7489	83.0051	28.5725	43.8065	15.0627	11.5361	26.8548	45.9551	6	68.8472	15.3995	4.31449	15.0746	34.2283	67.2545	86.6284
40	-5392.085	-5299.794	-92.2909	93.1466	66.6012	13.6261	21.0337	13.9597	15.1903	83.0051	28.6026	44.9512	15.0627	11.5361	26.8548	45.9551	6	74.5727	13.6644	4.31449	15.0746	34.2283	67.2545	86.6284
50	-5365.056	-5272.765	-92.2909	93.1466	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0627	11.5361	26.8548	45.8331	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
60	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
70	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
80	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
90	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
100	-5299.982	-5207.691	-92.2909	71.0166	66.6012	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
110	-5298.868	-5206.577	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	44.9512	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
120	-5296.29	-5203.999	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.1884	15.0832	11.5361	26.8548	56.793	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
130	-5291.469	-5199.178	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.1884	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
140	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
150	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
160	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
170	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
180	-5291.197	-5198.906	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	45.2364	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
190	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
200	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
210	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
220	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
230	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
240	-5291.889	-5199.598	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	43.1669	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
250	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
260	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
270	-5291.504	-5199.213	-92.2909	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	28.6026	42.9549	15.0832	11.5361	26.8548	56.2689	6	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284
280	-5305.779	-5200.458	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	81.4454
290	-5305.779	-5200.458	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	83.0051	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	81.4454
300	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
310	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
320	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
330	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
340	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
350	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
360	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
370	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
380	-5036.828	-4931.507	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	65.6424	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
390	-4987.512	-4882.192	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.6226	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
400	-4958.643	-4853.323	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	56.2689	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
410	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
420	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
430	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
440	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
450	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
460	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
470	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
480	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
490	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
500	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
510	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
520	-4950.401	-4845.081	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.8582	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
530	-4951.767	-4846.447	-105.3204	71.0166	58.4601	13.6261	13.8862	13.9597	15.1903	61.8537	82.9362	28.6026	42.9549	15.0832	11.0502	26.8548	55.7265	63.9796	7	74.5727	13.6644	4.31449	15.0746	34.2283	75.6142	86.6284	75.1059
