Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
0	0	-2009.822	-2091.428	81.60597	0.367879	0.368208	0.368782	0.368356	0.368173	0.370426	0.369689	0.369445	0.369479	0.370098
1	1	-2000.836	-2094.072	93.23534	0.367879	0.367776	0.367773	0.367661	0.367705	0.367806	0.367703	0.367671	0.367668	0.367722
2	0	-1549.08	-1578.973	29.89218	0.367879	0.363426	0.364575	0.541823	0.455744	0.460226	0.423874	0.453904	0.441081	0.439048
3	1	-1566.175	-1599.435	33.25975	0.781395	0.781044	0.779748	0.789164	0.789087	0.789618	0.796298	0.79602	0.775359	0.775279
4	0	-1542.723	-1579.492	36.7687	0.394119	0.400121	0.3787	0.378776	0.410531	0.413969	0.411993	0.403578	0.402056	0.408127
5	1	-1606.405	-1602.403	-4.001951	0.781395	0.747133	0.752301	0.823001	0.86279	0.869142	0.871425	0.871063	0.876581	0.858566
6	0	-1539.668	-1578.237	38.56894	0.394119	0.394295	0.420245	0.414285	0.410106	0.410282	0.410239	0.407144	0.412355	0.412089
7	1	-1598.696	-1600.125	1.428996	0.781395	0.786852	0.935932	0.924772	0.906443	0.923811	0.895801	0.813284	0.814261	0.813075
8	0	-1558.997	-1578.446	19.44962	0.394119	0.40984	0.392486	0.398859	0.415393	0.424195	0.427178	0.365243	0.440595	0.435821
9	1	-1584.337	-1597.891	13.55457	0.781395	0.769587	0.932585	0.930231	0.933508	0.942626	0.876006	0.8776	0.904416	0.904826
10	0	-1550.382	-1580.078	29.69603	0.394119	0.375046	0.375095	0.386625	0.384747	0.383962	0.394489	0.394681	0.393587	0.399441
11	1	-1600.579	-1598.837	-1.741507	0.781395	0.759192	1.00034	0.998219	0.963244	0.877619	0.882036	0.797628	0.788555	0.609047
12	0	-1557.859	-1578.765	20.90623	0.394119	0.392199	0.384178	0.408795	0.406754	0.417129	0.410344	0.402575	0.367861	0.364197
13	1	-1611.709	-1601.012	-10.69687	0.781395	0.703433	0.623506	0.858626	0.851053	0.833517	0.847989	0.758235	0.73572	0.591937
