Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
0	-2009.822	-2091.428	81.60597	0.367879	0.368208	0.368782	0.368356	0.368173	0.370426	0.369689	0.369445	0.369479	0.370098
10	-1549.08	-1578.973	29.89218	0.367879	0.363426	0.364575	0.541823	0.455744	0.460226	0.423874	0.453904	0.441081	0.439048
20	-1542.723	-1579.492	36.7687	0.394119	0.400121	0.3787	0.378776	0.410531	0.413969	0.411993	0.403578	0.402056	0.408127
30	-1539.668	-1578.237	38.56894	0.394119	0.394295	0.420245	0.414285	0.410106	0.410282	0.410239	0.407144	0.412355	0.412089
40	-1558.997	-1578.446	19.44962	0.394119	0.40984	0.392486	0.398859	0.415393	0.424195	0.427178	0.365243	0.440595	0.435821
50	-1550.382	-1580.078	29.69603	0.394119	0.375046	0.375095	0.386625	0.384747	0.383962	0.394489	0.394681	0.393587	0.399441
60	-1557.859	-1578.765	20.90623	0.394119	0.392199	0.384178	0.408795	0.406754	0.417129	0.410344	0.402575	0.367861	0.364197
70	-1516.574	-1579.841	63.26665	0.394119	0.394567	0.3948	0.394715	0.394623	0.389862	0.38974	0.390268	0.39278	0.392787
80	-1531.443	-1579.899	48.45585	0.394119	0.394098	0.394043	0.387288	0.388318	0.388079	0.388042	0.388884	0.387699	0.379362
90	-1506.862	-1579.995	73.1332	0.394119	0.389394	0.389493	0.389357	0.390089	0.390677	0.38966	0.392478	0.391221	0.392216
100	-1530.712	-1577.493	46.78115	0.394119	0.39431	0.400357	0.426002	0.472966	0.449141	0.447424	0.446555	0.457267	0.328786
110	-1526.412	-1578.158	51.74575	0.394119	0.402157	0.406859	0.406838	0.431815	0.427466	0.428877	0.435178	0.421389	0.412156
120	-1533.308	-1578.61	45.30221	0.394119	0.393405	0.393068	0.390968	0.412111	0.414166	0.414587	0.419601	0.419033	0.418822
130	-1592.833	-1578.971	-13.86191	0.368436	0.411873	0.366995	0.436626	0.451571	0.449594	0.447702	0.444679	0.48463	0.528139
140	-1589.824	-1579.882	-9.942274	0.368436	0.368408	0.4026	0.402678	0.393972	0.410885	0.371763	0.358964	0.443031	0.42798
150	-1543.729	-1578.938	35.20937	0.368436	0.398454	0.399334	0.398017	0.3985	0.398825	0.398451	0.398846	0.392336	0.392842
160	-1567.721	-1580.865	13.1439	0.368436	0.378754	0.379663	0.381102	0.384512	0.380145	0.348992	0.348828	0.356687	0.350894
170	-1566.903	-1578.858	11.95438	0.368436	0.368567	0.369386	0.36928	0.394633	0.388098	0.406457	0.461371	0.461873	0.313432
180	-1566.586	-1581.319	14.7333	0.368436	0.355547	0.363377	0.366047	0.36031	0.357189	0.360628	0.373438	0.37334	0.367446
190	-1600.568	-1578.618	-21.9507	0.368436	0.386531	0.395623	0.423008	0.467306	0.311435	0.351994	0.350905	0.343388	0.427798
200	-1583.246	-1579.285	-3.961133	0.368436	0.368225	0.368967	0.352872	0.352959	0.354514	0.360372	0.340622	0.33338	0.350806
210	-1581.164	-1577.035	-4.128269	0.368436	0.384697	0.394309	0.399095	0.395425	0.419886	0.412229	0.406475	0.405397	0.400056
220	-1579.18	-1574.186	-4.99421	0.321137	0.316807	0.318544	0.318008	0.31926	0.246712	0.253241	0.238908	0.236609	0.243451
230	-1562.292	-1574.076	11.78407	0.321137	0.330767	0.324679	0.318059	0.317412	0.318896	0.324858	0.363555	0.379276	0.378754
240	-1555.054	-1573.854	18.79955	0.321137	0.331596	0.342788	0.379514	0.380372	0.38379	0.38757	0.388305	0.332935	0.359276
250	-1559.233	-1573.233	13.9996	0.321137	0.33599	0.332743	0.33169	0.374396	0.375908	0.387014	0.353962	0.339778	0.340361
260	-1573.884	-1573.004	-0.880687	0.321137	0.321043	0.308365	0.301805	0.282412	0.273507	0.273768	0.27084	0.271005	0.261366
270	-1543.009	-1574.478	31.469	0.340407	0.338752	0.337964	0.345557	0.376383	0.421516	0.425182	0.426906	0.404354	0.412283
280	-1543.648	-1574.58	30.93229	0.340407	0.340773	0.339793	0.339469	0.339526	0.343357	0.344949	0.330669	0.331841	0.336424
290	-1537.131	-1573.803	36.67208	0.340407	0.338024	0.335807	0.337658	0.338092	0.339891	0.339735	0.340113	0.340041	0.340114
300	-1544.142	-1575.478	31.33643	0.340407	0.343781	0.339629	0.339651	0.340681	0.345311	0.345426	0.345002	0.344704	0.344645
310	-1544.804	-1574.391	29.58633	0.340407	0.33996	0.340063	0.345181	0.345149	0.345915	0.34559	0.33313	0.332938	0.332972
320	-1560.094	-1577.61	17.51675	0.340407	0.339585	0.33721	0.327794	0.327857	0.250235	0.249451	0.248971	0.248678	0.248274
330	-1534.658	-1575.188	40.52961	0.322303	0.322296	0.323157	0.322371	0.32384	0.323032	0.323126	0.31999	0.321744	0.320373
340	-1579.954	-1573.663	-6.290415	0.260882	0.262832	0.264832	0.247697	0.250966	0.246541	0.249461	0.225309	0.217775	0.521013
350	-1563.189	-1570.856	7.666714	0.260882	0.268029	0.269358	0.267198	0.279968	0.280741	0.279254	0.278707	0.278777	0.28998
360	-1573.288	-1570.344	-2.943766	0.260882	0.271293	0.277426	0.298098	0.306553	0.307696	0.318724	0.308049	0.306369	0.308775
370	-1552.727	-1571.166	18.43972	0.260882	0.261316	0.26383	0.287012	0.346896	0.345942	0.344986	0.34641	0.403625	0.424093
380	-1551.77	-1572.515	20.74506	0.290579	0.289551	0.289619	0.299265	0.305046	0.304322	0.302487	0.376458	0.304394	0.299199
390	-1546.939	-1571.867	24.92764	0.290579	0.290772	0.290772	0.29072	0.291124	0.292503	0.29285	0.291439	0.293988	0.292607
