Iteration	Posterior	Likelihood	Prior	delta_log_extinction[1]	delta_log_extinction[2]	delta_log_extinction[3]	delta_log_extinction[4]	delta_log_extinction[5]	delta_log_extinction[6]	delta_log_extinction[7]	delta_log_extinction[8]	delta_log_extinction[9]	delta_log_speciation[1]	delta_log_speciation[2]	delta_log_speciation[3]	delta_log_speciation[4]	delta_log_speciation[5]	delta_log_speciation[6]	delta_log_speciation[7]	delta_log_speciation[8]	delta_log_speciation[9]	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction_global_scale	log_extinction_at_present	log_speciation_at_present	sigma_extinction[1]	sigma_extinction[2]	sigma_extinction[3]	sigma_extinction[4]	sigma_extinction[5]	sigma_extinction[6]	sigma_extinction[7]	sigma_extinction[8]	sigma_extinction[9]	sigma_speciation[1]	sigma_speciation[2]	sigma_speciation[3]	sigma_speciation[4]	sigma_speciation[5]	sigma_speciation[6]	sigma_speciation[7]	sigma_speciation[8]	sigma_speciation[9]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation_global_scale
0	-2000.836	-2094.072	93.23534	-0.000282487	-7.18261e-06	-0.000303948	0.000118014	0.000276974	-0.000281327	-8.60533e-05	-9.34557e-06	0.000147207	0.000743602	0.00636063	-0.00114511	-0.000290044	6.48312e-05	0.000720881	-0.00593178	-0.000168387	0.00240355	0.367879	0.367776	0.367773	0.367661	0.367705	0.367806	0.367703	0.367671	0.367668	0.367722	0.1024237	-1	0	0.055157	0.0384369	0.0500534	0.0361428	0.0734709	0.0942206	0.0266446	0.00783748	0.0619934	0.0311847	0.0871121	0.0736026	0.00500733	0.0170906	0.0643744	0.0822746	0.0192971	0.0223419	1	1.00074	1.00713	1.00598	1.00569	1.00575	1.00648	1.00052	1.00035	1.00276	1.736242
10	-1566.175	-1599.435	33.25975	-0.000448357	-0.00166109	0.0120031	-9.6922e-05	0.000672247	0.00842467	-0.000349649	-0.0262978	-0.000103659	0.292039	-0.000756591	-0.0403842	-0.00366911	-0.00129164	0.00111986	0.0207348	-0.00600081	0.00448911	0.781395	0.781044	0.779748	0.789164	0.789087	0.789618	0.796298	0.79602	0.775359	0.775279	0.09300117	-0.246675	-0.4059827	0.415899	0.947681	3.50515	0.347331	0.334538	2.28742	1.03562	9.40845	0.0540582	19.3177	0.0470355	1.5576	0.37746	0.259418	0.0781684	3.75119	0.785863	0.475041	0.666322	0.892308	0.891633	0.856343	0.853206	0.852105	0.85306	0.870932	0.865722	0.869617	0.5103301
20	-1606.405	-1602.403	-4.001951	-0.0448373	0.00689337	0.0898216	0.0472133	0.00733527	0.00262356	-0.000416171	0.0063156	-0.0207661	0.281081	0.012561	-0.0134223	0.00212493	-0.00908736	-0.125046	-0.0411732	-0.00183574	-0.00203425	0.781395	0.747133	0.752301	0.823001	0.86279	0.869142	0.871425	0.871063	0.876581	0.858566	0.4401458	-0.246675	-0.4059827	1.13968	3.14659	18.9702	1.59696	0.313804	0.123382	0.0826784	0.666819	1.51261	15.3175	0.301289	1.25306	0.165606	1.66221	16.4159	2.32477	0.540885	3.673	0.666322	0.882583	0.893739	0.881824	0.883699	0.875705	0.772772	0.7416	0.74024	0.738736	0.4995973
30	-1598.696	-1600.125	1.428996	0.00695949	0.173503	-0.0119957	-0.0200191	0.0189792	-0.0307887	-0.0966381	0.00119994	-0.00145734	0.398455	-0.000854031	-0.013095	-0.164677	0.0323163	-0.0727489	0.00600005	0.0200292	0.0122202	0.781395	0.786852	0.935932	0.924772	0.906443	0.923811	0.895801	0.813284	0.814261	0.813075	0.3434365	-0.246675	-0.4059827	0.441277	11.1672	1.05867	0.801647	1.5295	1.86805	8.99009	0.238077	0.197861	3.1205	0.109402	0.570924	4.8622	0.212242	0.819128	0.559754	0.536557	0.285756	0.666322	0.992501	0.991654	0.978752	0.830146	0.857411	0.79725	0.802048	0.818275	0.828336	1.570995
40	-1584.337	-1597.891	13.55457	-0.0152266	0.192107	-0.00252749	0.00351707	0.00972023	-0.073297	0.00181791	0.0300988	0.000453046	0.313599	0.0140839	0.0145929	0.00742323	-0.00531855	0.00296826	0.0296957	0.00164144	0.00239597	0.781395	0.769587	0.932585	0.930231	0.933508	0.942626	0.876006	0.8776	0.904416	0.904826	0.6930956	-0.246675	-0.4059827	0.859219	2.92915	1.19793	0.12084	0.708197	3.49571	0.0911104	0.608681	0.172238	30.8256	0.687277	1.05849	0.689233	0.621464	0.994863	1.9314	0.950452	0.344605	0.666322	0.911755	0.924687	0.93828	0.945271	0.940256	0.943052	0.971476	0.973072	0.975406	0.36594
50	-1600.579	-1598.837	-1.741507	-0.0288254	0.275839	-0.0021206	-0.0356663	-0.0930946	0.00502121	-0.100592	-0.01144	-0.258306	0.408297	-0.0266004	0.00470707	-0.0315573	-0.111238	-0.0026688	0.00361149	-0.00737435	-0.00836504	0.781395	0.759192	1.00034	0.998219	0.963244	0.877619	0.882036	0.797628	0.788555	0.609047	1.736656	-0.246675	-0.4059827	0.497724	2.82481	0.545326	0.645499	0.878486	0.159753	1.03153	0.230936	2.39675	20.6651	1.48671	0.101806	2.7907	5.60358	0.0853526	0.418328	0.542744	0.162807	0.666322	1.00232	0.976007	0.980612	0.95015	0.850123	0.847858	0.850925	0.844673	0.837637	0.7167189
60	-1611.709	-1601.012	-10.69687	-0.105108	-0.120613	0.319974	-0.00885894	-0.0208203	0.0172141	-0.111874	-0.0301441	-0.21745	0.192501	0.000383843	-0.00191625	-0.000165946	-0.0292751	-0.0100505	-0.000714226	0.000554045	0.0281422	0.781395	0.703433	0.623506	0.858626	0.851053	0.833517	0.847989	0.758235	0.73572	0.591937	1.876979	-0.246675	-0.4059827	1.68022	1.13149	1.93417	0.7244	0.515868	1.27933	2.34694	0.610329	1.10221	432.373	0.687787	0.877842	0.332481	9.59936	3.5918	0.363533	1.46261	8.6576	0.666322	0.807767	0.808077	0.80653	0.806396	0.783131	0.7753	0.774746	0.775176	0.797301	0.04376909
70	-1589.042	-1602.297	13.25468	-0.00721717	-1.03088e-05	0.00164231	0.0105193	0.0446385	0.0211561	0.00302494	0.00124864	8.92422e-05	0.298708	-0.00503317	0.00536092	0.0349765	-0.0343451	-0.0212478	-0.00285485	-0.000307123	-0.139353	0.781395	0.775775	0.775767	0.777043	0.78526	0.821107	0.838663	0.841204	0.842255	0.84233	0.1198285	-0.246675	-0.4059827	2.85637	1.34504	0.282394	5.10595	5.80997	3.84901	1.45987	0.865548	0.330267	7.78631	0.189379	0.349105	2.55479	1.61161	0.912098	0.266706	0.059962	6.66661	0.666322	0.898279	0.893769	0.898573	0.930558	0.899141	0.880237	0.877728	0.877458	0.763319	0.6153908
80	-1588.517	-1597.814	9.297208	0.0293225	0.00677226	0.0242754	0.0257547	0.110084	-0.0373742	-0.0839077	-0.046719	-0.0167447	0.305771	0.00230047	0.000326702	-0.023545	-9.04751e-05	0.00343051	-0.0043708	0.0101899	-0.00191463	0.781395	0.804646	0.810114	0.830021	0.851675	0.950786	0.915907	0.842191	0.80375	0.790403	1.443148	-0.246675	-0.4059827	0.479031	0.690384	2.59664	1.12571	1.6363	0.438081	0.48333	2.76866	0.27111	24.5717	0.692336	0.0144959	2.09889	0.0757461	0.38881	1.66324	1.60488	0.306191	0.666322	0.904646	0.90673	0.907026	0.885919	0.885839	0.888883	0.885007	0.894071	0.892361	0.2738472
90	-1582.955	-1597.891	14.93576	-0.000659507	0.0165656	0.0342826	-0.0120796	0.00467793	-0.119523	0.0362441	-0.0113054	0.00465768	0.30047	-0.00998963	-0.0909315	-0.00510701	-0.015119	0.00455942	-0.0436342	-0.000425706	0.00100441	0.781395	0.780879	0.793923	0.821613	0.811748	0.815554	0.723676	0.750386	0.741951	0.745414	0.6515467	-0.246675	-0.4059827	0.13487	0.893883	2.31734	0.953559	0.71125	3.1211	0.976662	2.26038	0.307071	4.73818	1.29753	1.57026	0.0967373	0.290279	0.100488	0.696705	0.34509	0.0251527	0.666322	0.899863	0.890919	0.81348	0.809337	0.797192	0.800835	0.766643	0.766317	0.767087	0.9593226
100	-1568.461	-1599.325	30.86392	-9.314e-05	-0.000298989	0.000865707	0.000847584	-0.00213155	0.00376202	0.000178725	-0.00196173	0.00318289	0.277401	0.00750723	-0.026159	-0.036054	0.00341823	0.00192618	-0.0229711	0.029792	0.0446597	0.781395	0.781322	0.781088	0.781765	0.782428	0.780762	0.783704	0.783845	0.782308	0.784802	0.04656781	-0.246675	-0.4059827	0.213956	0.323413	3.51462	0.447735	0.765862	8.89819	0.283311	0.69539	1.04765	5.38797	1.05555	0.861511	1.53078	1.0736	0.0446775	0.554884	1.08654	1.09119	0.666322	0.879342	0.885968	0.863093	0.832529	0.83538	0.83699	0.817983	0.842719	0.881207	0.5469916
