Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
0	0	-2009.822	-2091.428	81.60597	1	1.00024	1.0006	1.00123	1.00121	1.00001	0.99954	1.00031	1.00025	1.00032
1	1	-2000.836	-2094.072	93.23534	1	1.00074	1.00713	1.00598	1.00569	1.00575	1.00648	1.00052	1.00035	1.00276
2	0	-1549.08	-1578.973	29.89218	0.469018	0.462325	0.462327	0.461191	0.460618	0.460439	0.487263	0.483539	0.510334	0.510284
3	1	-1566.175	-1599.435	33.25975	0.666322	0.892308	0.891633	0.856343	0.853206	0.852105	0.85306	0.870932	0.865722	0.869617
4	0	-1542.723	-1579.492	36.7687	0.469018	0.471946	0.471947	0.474994	0.474195	0.470333	0.47138	0.480119	0.480171	0.479853
5	1	-1606.405	-1602.403	-4.001951	0.666322	0.882583	0.893739	0.881824	0.883699	0.875705	0.772772	0.7416	0.74024	0.738736
6	0	-1539.668	-1578.237	38.56894	0.469018	0.47064	0.470816	0.472881	0.457779	0.457921	0.457894	0.472532	0.472589	0.472155
7	1	-1598.696	-1600.125	1.428996	0.666322	0.992501	0.991654	0.978752	0.830146	0.857411	0.79725	0.802048	0.818275	0.828336
8	0	-1558.997	-1578.446	19.44962	0.469018	0.468711	0.469093	0.469367	0.467651	0.46937	0.469611	0.469394	0.469249	0.469264
9	1	-1584.337	-1597.891	13.55457	0.666322	0.911755	0.924687	0.93828	0.945271	0.940256	0.943052	0.971476	0.973072	0.975406
10	0	-1550.382	-1580.078	29.69603	0.469018	0.46804	0.465549	0.465835	0.464366	0.461571	0.464827	0.468451	0.468761	0.468549
11	1	-1600.579	-1598.837	-1.741507	0.666322	1.00232	0.976007	0.980612	0.95015	0.850123	0.847858	0.850925	0.844673	0.837637
12	0	-1557.859	-1578.765	20.90623	0.469018	0.470575	0.469746	0.469076	0.465353	0.4654	0.466576	0.466046	0.46798	0.467999
13	1	-1611.709	-1601.012	-10.69687	0.666322	0.807767	0.808077	0.80653	0.806396	0.783131	0.7753	0.774746	0.775176	0.797301
14	0	-1516.574	-1579.841	63.26665	0.469018	0.469277	0.469024	0.469223	0.46931	0.469208	0.468565	0.470746	0.47075	0.472589
15	1	-1589.042	-1602.297	13.25468	0.666322	0.898279	0.893769	0.898573	0.930558	0.899141	0.880237	0.877728	0.877458	0.763319
16	0	-1531.443	-1579.899	48.45585	0.469018	0.469902	0.467827	0.467925	0.466714	0.469277	0.469128	0.468956	0.449499	0.443102
17	1	-1588.517	-1597.814	9.297208	0.666322	0.904646	0.90673	0.907026	0.885919	0.885839	0.888883	0.885007	0.894071	0.892361
18	0	-1506.862	-1579.995	73.1332	0.469018	0.468918	0.468862	0.4687	0.468837	0.468903	0.468956	0.468829	0.467733	0.467642
19	1	-1582.955	-1597.891	14.93576	0.666322	0.899863	0.890919	0.81348	0.809337	0.797192	0.800835	0.766643	0.766317	0.767087
20	0	-1530.712	-1577.493	46.78115	0.469018	0.469073	0.469102	0.469186	0.469437	0.468515	0.46852	0.468507	0.468526	0.468408
21	1	-1568.461	-1599.325	30.86392	0.666322	0.879342	0.885968	0.863093	0.832529	0.83538	0.83699	0.817983	0.842719	0.881207
22	0	-1526.412	-1578.158	51.74575	0.469018	0.469575	0.469502	0.469668	0.46974	0.470141	0.470142	0.470142	0.470308	0.470897
23	1	-1584.334	-1597.888	13.55407	0.666322	0.988723	0.791012	0.781907	0.757349	0.746552	0.897718	0.89951	0.911884	1.07113
24	0	-1533.308	-1578.61	45.30221	0.469018	0.469018	0.469011	0.469083	0.394108	0.394113	0.394146	0.393737	0.393723	0.393791
25	1	-1588.347	-1598.643	10.29607	0.666322	0.997138	0.782138	0.763052	0.758701	0.748118	0.953608	0.903358	0.92361	0.81407
26	0	-1592.833	-1578.971	-13.86191	0.469018	0.453615	0.4484	0.449686	0.449267	0.45545	0.456111	0.4607	0.460426	0.459732
27	1	-1606.859	-1600.185	-6.674065	0.666322	0.927341	0.772972	0.767406	0.764633	0.738707	0.720596	0.714802	0.623436	0.846314
28	0	-1589.824	-1579.882	-9.942274	0.469018	0.444932	0.425414	0.412085	0.405799	0.405873	0.395641	0.370195	0.371853	0.375314
29	1	-1596.912	-1601.323	4.4107	0.666322	0.896516	0.787319	0.811927	0.80979	0.859736	0.83042	0.763678	0.58254	0.518682
30	0	-1543.729	-1578.938	35.20937	0.469018	0.469081	0.454686	0.450941	0.449558	0.450629	0.460687	0.461036	0.45907	0.454097
31	1	-1602.676	-1598.297	-4.378258	0.666322	0.929183	0.875215	0.69206	0.700653	0.701653	0.80389	0.884615	0.908367	0.644524
32	0	-1567.721	-1580.865	13.1439	0.469018	0.468715	0.457104	0.395373	0.395615	0.404202	0.40564	0.256881	0.25712	0.257217
33	1	-1612.249	-1596.45	-15.79854	0.666322	0.911929	0.801354	0.790478	0.790348	0.754583	0.760987	1.0432	0.857314	0.923828
34	0	-1566.903	-1578.858	11.95438	0.469018	0.469011	0.437717	0.43771	0.44237	0.432975	0.442456	0.443427	0.443411	0.446132
35	1	-1575.457	-1596.894	21.43685	0.666322	1.00321	0.798732	0.821235	0.821462	0.807507	0.818598	0.852466	0.849766	0.847309
36	0	-1566.586	-1581.319	14.7333	0.469018	0.475496	0.475148	0.454042	0.453332	0.416366	0.416692	0.419884	0.419661	0.432793
37	1	-1597.993	-1598.717	0.7240086	0.666322	0.883908	0.919214	0.769193	0.711658	0.711558	1.04389	0.955854	0.975544	0.954856
38	0	-1600.568	-1578.618	-21.9507	0.469018	0.477871	0.445423	0.487648	0.48415	0.401607	0.393765	0.38286	0.340759	0.3488
39	1	-1602.609	-1600.153	-2.455756	0.666322	0.930013	0.943751	0.807216	0.789258	0.780163	0.783859	0.812849	0.809376	0.813855
40	0	-1583.246	-1579.285	-3.961133	0.469018	0.473907	0.458724	0.45711	0.296461	0.292458	0.341122	0.338985	0.347488	0.378139
