Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
0	-2000.836	-2094.072	93.23534	1	1.00074	1.00713	1.00598	1.00569	1.00575	1.00648	1.00052	1.00035	1.00276
10	-1566.175	-1599.435	33.25975	0.666322	0.892308	0.891633	0.856343	0.853206	0.852105	0.85306	0.870932	0.865722	0.869617
20	-1606.405	-1602.403	-4.001951	0.666322	0.882583	0.893739	0.881824	0.883699	0.875705	0.772772	0.7416	0.74024	0.738736
30	-1598.696	-1600.125	1.428996	0.666322	0.992501	0.991654	0.978752	0.830146	0.857411	0.79725	0.802048	0.818275	0.828336
40	-1584.337	-1597.891	13.55457	0.666322	0.911755	0.924687	0.93828	0.945271	0.940256	0.943052	0.971476	0.973072	0.975406
50	-1600.579	-1598.837	-1.741507	0.666322	1.00232	0.976007	0.980612	0.95015	0.850123	0.847858	0.850925	0.844673	0.837637
60	-1611.709	-1601.012	-10.69687	0.666322	0.807767	0.808077	0.80653	0.806396	0.783131	0.7753	0.774746	0.775176	0.797301
70	-1589.042	-1602.297	13.25468	0.666322	0.898279	0.893769	0.898573	0.930558	0.899141	0.880237	0.877728	0.877458	0.763319
80	-1588.517	-1597.814	9.297208	0.666322	0.904646	0.90673	0.907026	0.885919	0.885839	0.888883	0.885007	0.894071	0.892361
90	-1582.955	-1597.891	14.93576	0.666322	0.899863	0.890919	0.81348	0.809337	0.797192	0.800835	0.766643	0.766317	0.767087
100	-1568.461	-1599.325	30.86392	0.666322	0.879342	0.885968	0.863093	0.832529	0.83538	0.83699	0.817983	0.842719	0.881207
110	-1584.334	-1597.888	13.55407	0.666322	0.988723	0.791012	0.781907	0.757349	0.746552	0.897718	0.89951	0.911884	1.07113
120	-1588.347	-1598.643	10.29607	0.666322	0.997138	0.782138	0.763052	0.758701	0.748118	0.953608	0.903358	0.92361	0.81407
130	-1606.859	-1600.185	-6.674065	0.666322	0.927341	0.772972	0.767406	0.764633	0.738707	0.720596	0.714802	0.623436	0.846314
140	-1596.912	-1601.323	4.4107	0.666322	0.896516	0.787319	0.811927	0.80979	0.859736	0.83042	0.763678	0.58254	0.518682
150	-1602.676	-1598.297	-4.378258	0.666322	0.929183	0.875215	0.69206	0.700653	0.701653	0.80389	0.884615	0.908367	0.644524
160	-1612.249	-1596.45	-15.79854	0.666322	0.911929	0.801354	0.790478	0.790348	0.754583	0.760987	1.0432	0.857314	0.923828
170	-1575.457	-1596.894	21.43685	0.666322	1.00321	0.798732	0.821235	0.821462	0.807507	0.818598	0.852466	0.849766	0.847309
180	-1597.993	-1598.717	0.7240086	0.666322	0.883908	0.919214	0.769193	0.711658	0.711558	1.04389	0.955854	0.975544	0.954856
190	-1602.609	-1600.153	-2.455756	0.666322	0.930013	0.943751	0.807216	0.789258	0.780163	0.783859	0.812849	0.809376	0.813855
200	-1597.217	-1599.66	2.442778	0.666322	0.879874	0.8797	0.884579	0.597726	0.819792	0.825642	0.82045	0.812092	0.753143
210	-1577.485	-1597.92	20.4343	0.666322	0.912044	0.909168	0.909459	0.735732	0.841453	0.831118	0.849362	0.846691	0.835943
220	-1581.882	-1598.109	16.22739	0.666322	0.913033	0.912168	0.906498	0.798981	0.699787	0.738075	0.839891	0.868951	0.884817
230	-1609.34	-1598.39	-10.94972	0.666322	0.923009	0.903218	0.833933	0.794941	0.731703	0.78287	1.02151	0.99451	1.32767
240	-1593.044	-1598.871	5.827091	0.666322	0.900686	0.869462	0.899135	0.856111	0.86095	0.809711	0.780356	0.783209	0.783224
