state	power	likelihood
2510	0.418212	-1588.61
2520	0.418212	-1589.45
2530	0.418212	-1589.66
2540	0.418212	-1588.77
2550	0.418212	-1588.97
2560	0.418212	-1588.67
2570	0.418212	-1588.62
2580	0.418212	-1588.97
2590	0.418212	-1589.15
2600	0.418212	-1591.72
2610	0.418212	-1596.76
2620	0.418212	-1589.55
2630	0.418212	-1589.63
2640	0.418212	-1589.16
2650	0.418212	-1589.68
2660	0.418212	-1588.95
2670	0.418212	-1588.76
2680	0.418212	-1591.25
2690	0.418212	-1590.68
2700	0.418212	-1590.46
2710	0.418212	-1588.67
2720	0.418212	-1588.61
2730	0.418212	-1590.54
2740	0.418212	-1589.93
2750	0.418212	-1588.92
2760	0.418212	-1588.68
2770	0.418212	-1589.83
2780	0.418212	-1588.61
2790	0.418212	-1588.62
2800	0.418212	-1592.3
2810	0.418212	-1591.99
2820	0.418212	-1591.73
2830	0.418212	-1592
2840	0.418212	-1588.69
2850	0.418212	-1589.06
2860	0.418212	-1589.99
2870	0.418212	-1591.21
2880	0.418212	-1590
2890	0.418212	-1588.74
2900	0.418212	-1588.71
2910	0.418212	-1591.17
2920	0.418212	-1588.7
2930	0.418212	-1588.81
2940	0.418212	-1588.78
2950	0.418212	-1588.9
2960	0.418212	-1588.97
2970	0.418212	-1589.75
2980	0.418212	-1589.19
2990	0.418212	-1591.27
3000	0.418212	-1589.4
3010	0.418212	-1589.4
3020	0.418212	-1588.65
3030	0.418212	-1588.62
3040	0.418212	-1588.87
3050	0.418212	-1590.1
3060	0.418212	-1588.64
3070	0.418212	-1588.84
3080	0.418212	-1589.66
3090	0.418212	-1592.43
3100	0.418212	-1589.75
3110	0.418212	-1588.61
3120	0.418212	-1588.64
3130	0.418212	-1593.7
3140	0.418212	-1588.73
3150	0.418212	-1589.35
3160	0.418212	-1588.61
3170	0.418212	-1588.92
3180	0.418212	-1599.23
3190	0.418212	-1588.71
3200	0.418212	-1589.46
3210	0.418212	-1589.87
3220	0.418212	-1588.78
3230	0.418212	-1588.87
3240	0.418212	-1589.36
3250	0.418212	-1589.88
3260	0.418212	-1589.01
3270	0.418212	-1590.33
3280	0.418212	-1588.83
3290	0.418212	-1589.77
3300	0.418212	-1590.89
3310	0.418212	-1588.83
3320	0.418212	-1590.08
