Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
0	-1603.69	-1607.79	4.09856	0.1201142	0.04398175	0.07613247	0.04398175
10	-1570.5	-1572.74	2.24448	0.2777657	0.1756139	0.1021518	0.1756139
20	-1570.81	-1572.69	1.8815	0.3489972	0.2815426	0.06745464	0.2815426
30	-1569.76	-1572.16	2.40158	0.2760762	0.1971208	0.07895539	0.1971208
40	-1570.85	-1572.89	2.04349	0.3222619	0.264348	0.05791395	0.264348
50	-1569.9	-1571.97	2.06794	0.315753	0.2331997	0.08255336	0.2331997
60	-1570.65	-1572.78	2.13979	0.310075	0.2505275	0.05954751	0.2505275
70	-1570.73	-1573.31	2.5728	0.2459707	0.1482741	0.0976966	0.1482741
80	-1570.01	-1572.28	2.26847	0.2954642	0.2275908	0.0678734	0.2275908
90	-1573.12	-1575.5	2.38533	0.2458953	0.1220677	0.1238276	0.1220677
100	-1570.65	-1572.88	2.23149	0.2981673	0.237873	0.06029438	0.237873
110	-1570.13	-1572.56	2.43618	0.2626037	0.1680728	0.09453094	0.1680728
120	-1570.53	-1572.44	1.90684	0.3401493	0.2610157	0.07913365	0.2610157
130	-1570.28	-1572.85	2.56657	0.2544758	0.1699431	0.08453267	0.1699431
140	-1569.61	-1571.87	2.26209	0.290479	0.2070253	0.08345375	0.2070253
150	-1571.3	-1573.86	2.56727	0.2413563	0.1359187	0.1054376	0.1359187
160	-1570.45	-1572.56	2.11709	0.2953003	0.1962739	0.0990264	0.1962739
170	-1570.48	-1572.97	2.49026	0.2678162	0.1978887	0.06992758	0.1978887
180	-1571.47	-1573.26	1.78482	0.3632362	0.300197	0.06303915	0.300197
190	-1571.24	-1573.04	1.80665	0.3482326	0.2620668	0.08616577	0.2620668
200	-1570.73	-1573.03	2.2989	0.2896334	0.2287814	0.06085201	0.2287814
210	-1570.19	-1572.31	2.11906	0.3151549	0.2500851	0.0650698	0.2500851
220	-1573.36	-1574.96	1.5987	0.363561	0.2652088	0.0983522	0.2652088
230	-1570.94	-1573.55	2.61047	0.2417086	0.1433409	0.09836771	0.1433409
240	-1569.92	-1572.29	2.36679	0.2826067	0.2106251	0.07198165	0.2106251
250	-1571.06	-1573.76	2.70014	0.2408357	0.1580072	0.08282849	0.1580072
260	-1570.04	-1572.54	2.49255	0.2655649	0.1870414	0.0785235	0.1870414
270	-1571.53	-1574.1	2.56889	0.2395732	0.1317254	0.1078479	0.1317254
280	-1571.45	-1573.21	1.75854	0.3640382	0.2883582	0.07568004	0.2883582
290	-1569.69	-1571.96	2.27568	0.293251	0.2184871	0.07476391	0.2184871
300	-1572.19	-1575.03	2.84434	0.2224549	0.1310382	0.0914167	0.1310382
310	-1569.84	-1572.23	2.38375	0.2798727	0.2052615	0.07461125	0.2052615
320	-1570.19	-1572.18	1.99737	0.3311905	0.2588862	0.07230425	0.2588862
330	-1569.75	-1571.98	2.22607	0.3003338	0.2278902	0.07244364	0.2278902
340	-1569.65	-1571.95	2.30724	0.2835441	0.1978571	0.08568701	0.1978571
350	-1570.27	-1572.3	2.03394	0.3124431	0.2207485	0.09169465	0.2207485
360	-1570.68	-1572.91	2.23234	0.2773655	0.1732087	0.1041569	0.1732087
370	-1570.13	-1572.61	2.4805	0.2593831	0.1671988	0.09218434	0.1671988
380	-1571.36	-1573.69	2.32912	0.2612137	0.15022	0.1109937	0.15022
390	-1570.95	-1573.59	2.63716	0.2502047	0.1753936	0.07481106	0.1753936
400	-1571.96	-1574.67	2.71282	0.2276381	0.1225908	0.1050474	0.1225908
410	-1569.72	-1572.11	2.39231	0.2760656	0.1948165	0.08124911	0.1948165
420	-1570.42	-1573.01	2.58625	0.2542892	0.1741641	0.08012504	0.1741641
430	-1569.7	-1571.96	2.26062	0.2874495	0.1993801	0.08806942	0.1993801
440	-1569.66	-1572.01	2.35309	0.2792884	0.1954982	0.08379019	0.1954982
450	-1571.35	-1573.36	2.00889	0.3011809	0.1950958	0.1060851	0.1950958
460	-1570.95	-1573.39	2.43888	0.2540761	0.1484011	0.105675	0.1484011
470	-1569.94	-1572.4	2.45134	0.2646198	0.1755085	0.08911133	0.1755085
480	-1570.01	-1572.5	2.48758	0.2614206	0.1736609	0.08775967	0.1736609
490	-1570.43	-1572.46	2.02573	0.3108922	0.216475	0.09441718	0.216475
500	-1570.2	-1572.18	1.98308	0.3321854	0.2575351	0.0746503	0.2575351
510	-1570.12	-1572.28	2.16329	0.3092341	0.2435218	0.06571234	0.2435218
520	-1570.05	-1572.11	2.05691	0.3234498	0.2529129	0.07053689	0.2529129
530	-1569.8	-1572.12	2.32642	0.287394	0.214346	0.07304797	0.214346
540	-1572.38	-1574.02	1.6442	0.3845304	0.3143219	0.07020848	0.3143219
550	-1573.86	-1575.35	1.48789	0.3796876	0.3355384	0.04414915	0.3355384
560	-1570.78	-1572.64	1.86701	0.3496058	0.2767946	0.07281129	0.2767946
570	-1572.46	-1575.03	2.57114	0.2548008	0.1954832	0.0593176	0.1954832
580	-1570.07	-1572.09	2.01529	0.3273158	0.2518485	0.07546729	0.2518485
590	-1570.76	-1573.42	2.65628	0.2434265	0.1561386	0.08728792	0.1561386
600	-1569.74	-1572.11	2.36375	0.2817253	0.2053823	0.07634295	0.2053823
610	-1571.19	-1573.53	2.3397	0.2614241	0.1520463	0.1093778	0.1520463
620	-1569.67	-1572.01	2.34849	0.282492	0.2035901	0.0789019	0.2035901
630	-1572.25	-1573.93	1.68025	0.3781786	0.3184752	0.05970337	0.3184752
640	-1571.07	-1573.68	2.6075	0.2405959	0.1400285	0.1005673	0.1400285
650	-1569.89	-1572.33	2.43461	0.2729794	0.1960759	0.07690348	0.1960759
660	-1570.55	-1572.5	1.94587	0.325823	0.2361832	0.08963987	0.2361832
670	-1573.36	-1575.48	2.12027	0.2886735	0.2434867	0.04518681	0.2434867
680	-1570.23	-1572.78	2.54249	0.2547742	0.1659929	0.08878121	0.1659929
690	-1569.65	-1571.9	2.24466	0.2909059	0.204939	0.08596688	0.204939
700	-1569.9	-1572.2	2.29805	0.2790222	0.1856955	0.0933267	0.1856955
710	-1571.17	-1573.01	1.84227	0.3543795	0.2917798	0.06259968	0.2917798
