Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-2918.44	-2937.8	19.3597	0.326103	0.32586	0.320679	0.310965	0.262902	0.295998	0.32494	0.333164	0.31485	0.327927	0.341197	-1.12054	-1.12129	-1.13731	-1.16808	-1.33598	-1.2174	-1.12412	-1.09912	-1.15566	-1.11497	-1.07529	-6.16584	-6.24044	-6.26004	-6.32917	-6.34232	-6.40283	-6.45031	-6.53371	-6.57122	-6.54101	-6.47656	0.00209996	0.001949	0.00191117	0.00178351	0.00176022	0.00165686	0.00158002	0.0014536	0.00140009	0.00144303	0.00153909
10	-1559.62	-1579.33	19.7116	0.000118033	0.000115251	0.000119697	0.000116123	0.000127604	0.000132177	0.000119829	0.000117268	0.000118258	0.000125082	0.000119824	-9.04455	-9.06839	-9.03055	-9.06086	-8.96658	-8.93137	-9.02945	-9.05105	-9.04264	-8.98654	-9.02949	-1.72994	-1.77872	-1.98217	-1.97463	-1.91267	-1.99059	-2.00474	-2.06871	-2.07756	-2.10224	-2.09182	0.177295	0.168854	0.13777	0.138813	0.147686	0.136614	0.134695	0.126349	0.125235	0.122182	0.123462
20	-1567.46	-1578.76	11.2952	0.000516861	0.000518453	0.000562109	0.000573199	0.00053884	0.000578681	0.000617899	0.000699329	0.000618419	0.000602916	0.000560289	-7.56774	-7.56466	-7.48381	-7.46428	-7.52609	-7.45476	-7.38919	-7.26539	-7.38834	-7.41373	-7.48706	-1.81736	-1.94516	-1.94076	-2.0697	-2.24869	-2.20812	-2.25709	-2.28376	-2.24993	-2.35896	-2.43445	0.162454	0.142964	0.143595	0.126224	0.105537	0.109907	0.104655	0.1019	0.105407	0.0945181	0.0876459
30	-1557.09	-1577.4	20.3146	0.000375168	0.000362186	0.000371416	0.000393057	0.000383034	0.000393441	0.000399328	0.000388066	0.000409426	0.000420732	0.000423754	-7.88814	-7.92335	-7.89819	-7.84156	-7.86739	-7.84058	-7.82573	-7.85433	-7.80076	-7.77352	-7.76636	-1.71563	-1.83762	-1.95707	-1.94154	-1.94059	-2.03069	-2.16474	-2.24683	-2.24859	-2.26014	-2.16349	0.17985	0.159196	0.141272	0.143484	0.143619	0.131245	0.11478	0.105734	0.105548	0.104336	0.114924
40	-1556.67	-1574.03	17.3606	0.00572933	0.0055183	0.00539046	0.00573594	0.00583698	0.0060327	0.00576229	0.00592788	0.00571906	0.00588091	0.00556279	-5.16216	-5.19969	-5.22313	-5.161	-5.14354	-5.11056	-5.15642	-5.12809	-5.16395	-5.13604	-5.19166	-1.66484	-1.82264	-1.95152	-1.97747	-2.09841	-2.11674	-2.15333	-2.31739	-2.30656	-2.27642	-2.31576	0.189222	0.161598	0.142058	0.138419	0.122652	0.120424	0.116097	0.0985301	0.0996034	0.102651	0.0986907
50	-1544.2	-1570.67	26.4684	0.141065	0.144729	0.155283	0.150458	0.143318	0.144717	0.143312	0.156508	0.166088	0.179668	0.188332	-1.95854	-1.93289	-1.86251	-1.89407	-1.94269	-1.93297	-1.94273	-1.85465	-1.79524	-1.71664	-1.66955	-1.41864	-1.45177	-1.53553	-1.56101	-1.55674	-1.53945	-1.54614	-1.52084	-1.52449	-1.55691	-1.5838	0.242044	0.234154	0.215342	0.209923	0.210823	0.214499	0.213068	0.218529	0.217731	0.210786	0.205193
60	-1544.16	-1567.6	23.4347	0.176649	0.179744	0.201191	0.213862	0.207786	0.198769	0.192279	0.204118	0.209302	0.217677	0.204338	-1.73359	-1.71622	-1.6035	-1.54242	-1.57125	-1.61561	-1.64881	-1.58906	-1.56398	-1.52474	-1.58798	-1.18901	-1.23249	-1.33391	-1.42074	-1.44252	-1.45772	-1.45947	-1.39094	-1.40965	-1.47866	-1.50553	0.304522	0.291566	0.263446	0.241535	0.236332	0.232766	0.23236	0.248842	0.244229	0.227943	0.221901
70	-1544.43	-1567.07	22.6322	0.146254	0.145872	0.161557	0.175978	0.175248	0.182849	0.178422	0.176557	0.163751	0.154949	0.160822	-1.92241	-1.92503	-1.82289	-1.7374	-1.74156	-1.69909	-1.7236	-1.73411	-1.80941	-1.86466	-1.82745	-1.28508	-1.36927	-1.47172	-1.49607	-1.53448	-1.53656	-1.4699	-1.56585	-1.50974	-1.50519	-1.50783	0.276628	0.254293	0.229529	0.224009	0.215568	0.21512	0.229949	0.208911	0.220967	0.221976	0.221389
80	-1549.37	-1569.11	19.7427	0.202628	0.201011	0.245387	0.249311	0.247645	0.252417	0.244492	0.241027	0.226085	0.214189	0.203964	-1.59638	-1.6044	-1.40492	-1.38905	-1.39576	-1.37667	-1.40857	-1.42285	-1.48684	-1.5409	-1.58981	-1.17459	-1.14388	-1.17953	-1.23538	-1.1912	-1.15494	-1.20675	-1.08656	-1.18403	-1.19888	-1.2135	0.308947	0.318581	0.307422	0.290725	0.303857	0.315076	0.299168	0.337374	0.306044	0.301532	0.297157
90	-1545.81	-1570.13	24.3189	0.18159	0.200292	0.195587	0.205855	0.194866	0.192409	0.183369	0.183503	0.178304	0.195098	0.197836	-1.706	-1.60798	-1.63175	-1.58058	-1.63544	-1.64813	-1.69625	-1.69552	-1.72426	-1.63425	-1.62032	-1.29157	-1.30932	-1.36314	-1.39742	-1.4089	-1.29845	-1.38705	-1.37368	-1.42803	-1.42691	-1.41561	0.274839	0.270004	0.255856	0.247235	0.244411	0.272955	0.249812	0.253174	0.239782	0.240049	0.242778
100	-1551.88	-1573.41	21.5352	0.125057	0.145214	0.144788	0.147702	0.137101	0.140114	0.135304	0.136409	0.141787	0.142528	0.138558	-2.07899	-1.92955	-1.93248	-1.91256	-1.98703	-1.9653	-2.00023	-1.9921	-1.95343	-1.94822	-1.97646	-1.4976	-1.54693	-1.60541	-1.51301	-1.51865	-1.493	-1.52344	-1.65934	-1.66934	-1.62033	-1.54894	0.223666	0.212901	0.200807	0.220246	0.219006	0.224698	0.217961	0.190264	0.188371	0.197834	0.212474
110	-1551.84	-1567.99	16.1472	0.153998	0.17987	0.177889	0.20024	0.16994	0.167988	0.168223	0.16603	0.16435	0.157351	0.175567	-1.87082	-1.71552	-1.72659	-1.60824	-1.77231	-1.78386	-1.78246	-1.79559	-1.80576	-1.84928	-1.73974	-1.35737	-1.2868	-1.36173	-1.4104	-1.44473	-1.51873	-1.55703	-1.57458	-1.575	-1.54386	-1.64279	0.257338	0.276153	0.256217	0.244046	0.235809	0.218989	0.210761	0.207095	0.207008	0.213555	0.193439
120	-1546.96	-1568.32	21.3636	0.202814	0.199634	0.206134	0.221404	0.233318	0.212475	0.196748	0.190649	0.189006	0.176562	0.158393	-1.59547	-1.61127	-1.57923	-1.50777	-1.45535	-1.54893	-1.62583	-1.65732	-1.66598	-1.73408	-1.84268	-1.20858	-1.18888	-1.25157	-1.28588	-1.35781	-1.38975	-1.38615	-1.49112	-1.43073	-1.51975	-1.51359	0.298621	0.304562	0.286057	0.276406	0.257223	0.249137	0.250036	0.225121	0.239133	0.218767	0.220119
130	-1544.92	-1569.63	24.7079	0.144523	0.139655	0.145888	0.159319	0.164162	0.167233	0.161175	0.143822	0.13426	0.131123	0.136442	-1.93432	-1.96858	-1.92492	-1.83685	-1.8069	-1.78837	-1.82526	-1.93918	-2.00798	-2.03162	-1.99185	-1.38453	-1.41178	-1.42474	-1.39119	-1.4788	-1.51695	-1.53615	-1.56368	-1.53308	-1.59084	-1.53896	0.250442	0.243708	0.240571	0.24878	0.227912	0.21938	0.215208	0.209364	0.21587	0.203755	0.214603
140	-1543.05	-1568.65	25.5985	0.183483	0.195566	0.204688	0.19802	0.22189	0.232529	0.233589	0.229361	0.213362	0.20782	0.220311	-1.69563	-1.63186	-1.58627	-1.61939	-1.50558	-1.45874	-1.45419	-1.47246	-1.54476	-1.57108	-1.51271	-1.26782	-1.27715	-1.32711	-1.32665	-1.3549	-1.30021	-1.26386	-1.27992	-1.33684	-1.35166	-1.40568	0.281443	0.278832	0.265244	0.265365	0.257974	0.272474	0.282562	0.27806	0.262674	0.25881	0.245199
150	-1549.25	-1571.01	21.7648	0.188227	0.183141	0.178161	0.204253	0.194548	0.225524	0.22395	0.227867	0.218598	0.217502	0.210864	-1.67011	-1.6975	-1.72507	-1.5884	-1.63708	-1.48933	-1.49633	-1.47899	-1.52052	-1.52555	-1.55654	-1.2171	-1.25634	-1.2483	-1.22119	-1.23441	-1.2009	-1.26101	-1.19987	-1.23732	-1.12382	-1.13547	0.296089	0.284695	0.286991	0.29488	0.291006	0.300922	0.283366	0.301233	0.290162	0.325037	0.321272
160	-1548.97	-1569.4	20.4318	0.237816	0.253623	0.245347	0.252934	0.262071	0.293868	0.288987	0.288594	0.287829	0.277691	0.31779	-1.43626	-1.37191	-1.40508	-1.37463	-1.33914	-1.22463	-1.24137	-1.24273	-1.24539	-1.28125	-1.14636	-1.10774	-1.03742	-1.038	-1.08943	-1.13305	-1.21777	-1.21703	-1.09822	-1.11874	-1.06796	-1.15717	0.330304	0.354367	0.354164	0.336409	0.322048	0.29589	0.29611	0.333464	0.326692	0.34371	0.314374
170	-1548.23	-1570.97	22.7365	0.160604	0.180639	0.191815	0.18421	0.204471	0.210528	0.234359	0.251165	0.265351	0.275277	0.265695	-1.82881	-1.71126	-1.65122	-1.69168	-1.58733	-1.55814	-1.4509	-1.38165	-1.3267	-1.28998	-1.32541	-1.36359	-1.42932	-1.43626	-1.39766	-1.4666	-1.44393	-1.45627	-1.44099	-1.44219	-1.47671	-1.44979	0.255742	0.239471	0.237815	0.247176	0.230709	0.235999	0.233103	0.236694	0.236409	0.228388	0.23462
180	-1551.89	-1572.95	21.0688	0.106103	0.105003	0.111711	0.115601	0.137281	0.150853	0.134272	0.141888	0.14822	0.151765	0.159374	-2.24335	-2.25376	-2.19184	-2.15761	-1.98573	-1.89145	-2.00789	-1.95272	-1.90906	-1.88542	-1.8365	-1.52429	-1.53436	-1.54341	-1.57665	-1.56435	-1.47812	-1.47751	-1.45081	-1.4981	-1.52641	-1.52146	0.217775	0.215593	0.213651	0.206667	0.209223	0.228067	0.228205	0.234381	0.223555	0.217314	0.218393
190	-1548.4	-1571.58	23.1811	0.197261	0.195675	0.210634	0.216918	0.214272	0.218343	0.225493	0.259968	0.255285	0.248933	0.270411	-1.62323	-1.6313	-1.55763	-1.52824	-1.54051	-1.52169	-1.48947	-1.3472	-1.36538	-1.39057	-1.30781	-1.13141	-1.21422	-1.28565	-1.24255	-1.19352	-1.1056	-1.14247	-1.1596	-1.18035	-1.18804	-1.15589	0.322579	0.296943	0.27647	0.288646	0.303152	0.331013	0.319029	0.313611	0.30717	0.304819	0.314778
200	-1546.49	-1568.85	22.3554	0.176274	0.182817	0.175559	0.189817	0.195114	0.211826	0.2033	0.205863	0.197895	0.207182	0.18556	-1.73572	-1.69927	-1.73978	-1.6617	-1.63417	-1.55199	-1.59307	-1.58055	-1.62002	-1.57416	-1.68438	-1.25359	-1.29288	-1.35525	-1.36082	-1.36744	-1.35959	-1.33072	-1.33479	-1.22894	-1.33454	-1.25858	0.285479	0.27448	0.257882	0.25645	0.254758	0.256767	0.264288	0.263215	0.292604	0.26328	0.284058
210	-1546.78	-1567.04	20.2556	0.170293	0.167018	0.180097	0.182039	0.180639	0.202711	0.213022	0.195327	0.199776	0.19967	0.182628	-1.77023	-1.78965	-1.71426	-1.70354	-1.71125	-1.59597	-1.54636	-1.63308	-1.61056	-1.61109	-1.7003	-1.2476	-1.2554	-1.35401	-1.37572	-1.52053	-1.55327	-1.54851	-1.48509	-1.48485	-1.40916	-1.46594	0.287193	0.284961	0.258203	0.252657	0.218595	0.211555	0.212565	0.226483	0.226537	0.244349	0.230862
220	-1550.51	-1577.93	27.4219	0.0518885	0.052415	0.0554941	0.0561609	0.0580751	0.0553732	0.0571967	0.0608359	0.058489	0.0577944	0.0525535	-2.95866	-2.94856	-2.89148	-2.87953	-2.84602	-2.89366	-2.86126	-2.79957	-2.83892	-2.85086	-2.94592	-1.71231	-1.71924	-1.74192	-1.75641	-1.83282	-1.85533	-1.8251	-1.80177	-1.81391	-1.78636	-1.74326	0.180448	0.179202	0.175183	0.172664	0.159962	0.156402	0.161202	0.165006	0.163016	0.167569	0.174949
