Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	extinction[12]	extinction[13]	extinction[14]	extinction[15]	extinction[16]	extinction[17]	extinction[18]	extinction[19]	extinction[20]	extinction[21]	extinction[22]	extinction[23]	extinction[24]	extinction[25]	extinction[26]	extinction[27]	extinction[28]	extinction[29]	extinction[30]	extinction[31]	extinction[32]	extinction[33]	extinction[34]	extinction[35]	extinction[36]	extinction[37]	extinction[38]	extinction[39]	extinction[40]	extinction[41]	extinction[42]	extinction[43]	extinction[44]	extinction[45]	extinction[46]	extinction[47]	extinction[48]	extinction[49]	extinction[50]	extinction[51]
0	-1877.87	-2101.02	223.154	0.367879	0.373713	0.355365	0.362444	0.393236	0.385837	0.380622	0.382514	0.405147	0.396976	0.364327	0.361589	0.361447	0.35128	0.3519	0.3568	0.367401	0.354841	0.351869	0.346485	0.343928	0.349923	0.332735	0.332068	0.332747	0.331569	0.334008	0.339671	0.352706	0.347734	0.349747	0.347797	0.350413	0.352133	0.362351	0.369117	0.385157	0.387307	0.385323	0.37777	0.398757	0.393019	0.403563	0.386264	0.372654	0.383469	0.370177	0.369729	0.3802	0.352397	0.334008
10	-1346.13	-1588.86	242.73	0.637059	0.630387	0.626333	0.624564	0.633688	0.640239	0.632987	0.637307	0.640551	0.649152	0.643447	0.620368	0.620249	0.622371	0.618082	0.616363	0.623611	0.61644	0.61221	0.610954	0.605459	0.600822	0.599581	0.595225	0.595816	0.59479	0.58745	0.595424	0.589753	0.60294	0.610414	0.620154	0.618287	0.615459	0.61705	0.626608	0.63969	0.641423	0.639312	0.651415	0.650565	0.646001	0.643416	0.639834	0.629518	0.641516	0.632011	0.627113	0.629497	0.617392	0.630252
20	-1330	-1578.81	248.808	0.596787	0.597564	0.586381	0.585216	0.587415	0.58803	0.595132	0.593617	0.595707	0.59996	0.586868	0.58245	0.582371	0.583772	0.580788	0.578775	0.582777	0.579855	0.576031	0.576223	0.57459	0.569489	0.565017	0.565756	0.56615	0.566605	0.569188	0.565888	0.562094	0.5709	0.575865	0.582309	0.58035	0.579207	0.583383	0.590624	0.595144	0.588376	0.591775	0.60279	0.604823	0.599264	0.58842	0.586957	0.592632	0.596337	0.590113	0.592043	0.588461	0.582363	0.582344
30	-1400.8	-1583.55	182.753	0.632437	0.635583	0.591378	0.591796	0.598142	0.597748	0.625771	0.619712	0.628078	0.645362	0.626054	0.576393	0.576097	0.572918	0.570142	0.55886	0.577627	0.570198	0.566436	0.553233	0.553898	0.528965	0.513287	0.515853	0.511821	0.527576	0.516801	0.514836	0.510079	0.532863	0.552904	0.575862	0.568502	0.564242	0.579923	0.608741	0.604625	0.611305	0.612407	0.616808	0.647771	0.638741	0.634861	0.593597	0.615798	0.607929	0.605869	0.613464	0.599425	0.613135	0.629851
40	-1316.28	-1576.79	260.513	0.56347	0.564049	0.556313	0.555935	0.55659	0.557456	0.56237	0.558017	0.562767	0.56109	0.553934	0.553584	0.55353	0.552944	0.552429	0.550318	0.550598	0.55244	0.55174	0.550834	0.546999	0.544553	0.541423	0.539978	0.541127	0.544278	0.543587	0.541844	0.540773	0.54342	0.548675	0.54906	0.552125	0.55133	0.559929	0.559406	0.558679	0.559856	0.559504	0.56268	0.566105	0.564585	0.561015	0.556712	0.560642	0.559263	0.558899	0.560234	0.5582	0.560177	0.563071
50	-1342.91	-1576.64	233.731	0.53493	0.534825	0.525639	0.519643	0.520861	0.524085	0.531666	0.533585	0.532412	0.529122	0.520765	0.515287	0.515186	0.511065	0.513153	0.508277	0.509778	0.513172	0.507198	0.506955	0.503178	0.498715	0.497352	0.491141	0.500788	0.495731	0.496959	0.493797	0.495022	0.496811	0.506245	0.506952	0.51259	0.513524	0.52709	0.525207	0.524754	0.527394	0.526294	0.537231	0.53848	0.531117	0.529124	0.534466	0.528425	0.526874	0.525165	0.527661	0.52386	0.527553	0.530681
60	-1383.82	-1577.75	193.927	0.450443	0.435516	0.435341	0.438789	0.427673	0.43284	0.44511	0.448241	0.446325	0.440974	0.427519	0.41881	0.418651	0.412156	0.41544	0.407792	0.41014	0.41547	0.402566	0.405731	0.392651	0.392994	0.38096	0.381462	0.39618	0.403684	0.390305	0.385486	0.387349	0.390078	0.391481	0.405726	0.414554	0.416026	0.440403	0.440032	0.433916	0.438175	0.436398	0.437124	0.446264	0.444215	0.440976	0.445024	0.439843	0.437335	0.434577	0.438607	0.435206	0.438432	0.443505
70	-1287.31	-1576.03	288.718	0.380672	0.376786	0.376708	0.376081	0.373265	0.375588	0.381052	0.377098	0.381589	0.379218	0.375577	0.375803	0.370179	0.367222	0.367804	0.364197	0.363775	0.366925	0.361778	0.363841	0.358658	0.357336	0.351612	0.359113	0.358939	0.357196	0.356043	0.353765	0.354647	0.357796	0.359414	0.363243	0.366731	0.374911	0.378015	0.378799	0.37607	0.377804	0.37718	0.377106	0.381562	0.380656	0.377719	0.375774	0.378715	0.377598	0.374906	0.374233	0.370135	0.367438	0.367509
80	-1258.38	-1572.53	314.151	0.248803	0.248459	0.249457	0.247455	0.245326	0.247247	0.24995	0.246463	0.245791	0.247851	0.245468	0.245616	0.244047	0.24106	0.242819	0.23802	0.237744	0.234543	0.236437	0.237787	0.234394	0.233529	0.229783	0.231126	0.234578	0.233438	0.232683	0.231192	0.231769	0.233831	0.234889	0.237395	0.239678	0.245032	0.247064	0.245342	0.245791	0.246995	0.246517	0.246469	0.249386	0.245093	0.24687	0.245597	0.245282	0.247263	0.245029	0.244589	0.242391	0.2374	0.237179
90	-1218.15	-1571.74	353.59	0.271056	0.271003	0.271156	0.270849	0.27052	0.270817	0.271156	0.270696	0.270592	0.271006	0.270542	0.270565	0.270321	0.269854	0.27013	0.269372	0.268839	0.268816	0.26912	0.268947	0.268792	0.268652	0.268042	0.268262	0.268821	0.268637	0.268515	0.268609	0.268366	0.268485	0.268871	0.269273	0.269636	0.270474	0.270789	0.270523	0.270592	0.270448	0.270695	0.270697	0.271181	0.271604	0.270759	0.270562	0.270513	0.270819	0.270361	0.270319	0.270101	0.269274	0.269238
