Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]	speciation[12]	speciation[13]	speciation[14]	speciation[15]	speciation[16]	speciation[17]	speciation[18]	speciation[19]	speciation[20]	speciation[21]	speciation[22]	speciation[23]	speciation[24]	speciation[25]	speciation[26]	speciation[27]	speciation[28]	speciation[29]	speciation[30]	speciation[31]	speciation[32]	speciation[33]	speciation[34]	speciation[35]	speciation[36]	speciation[37]	speciation[38]	speciation[39]	speciation[40]	speciation[41]	speciation[42]	speciation[43]	speciation[44]	speciation[45]	speciation[46]	speciation[47]	speciation[48]	speciation[49]	speciation[50]	speciation[51]
0	-1877.87	-2101.02	223.154	1	1.0184	1.01611	1.01456	0.961487	1.02415	1.02123	1.02096	1.02523	1.01471	1.026	1.04144	1.03307	1.02064	1.01575	0.981201	1.00114	1.01106	1.00103	1.04196	1.05482	1.05174	1.04256	1.02935	1.04342	1.0502	1.05336	1.04142	1.03089	1.00659	0.99845	1.01008	0.982859	0.978828	0.980754	0.975435	0.937703	0.947728	0.944718	0.93904	0.946407	0.963054	0.959777	0.962595	0.959754	0.968272	0.950363	0.950009	0.941636	0.932896	0.91562
10	-1346.13	-1588.86	242.73	0.583702	0.67768	0.676904	0.693876	0.69202	0.687647	0.692612	0.686811	0.656318	0.656963	0.690221	0.711168	0.685473	0.668321	0.681486	0.667137	0.675651	0.689202	0.705159	0.731092	0.742143	0.739082	0.697488	0.713846	0.690133	0.71218	0.746793	0.737685	0.717278	0.683241	0.651102	0.651886	0.648636	0.624068	0.615031	0.588107	0.617946	0.597599	0.603352	0.605442	0.594066	0.578655	0.606197	0.605754	0.622318	0.62269	0.588321	0.598252	0.599499	0.602439	0.585549
20	-1330	-1578.81	248.808	0.504446	0.552354	0.598159	0.641465	0.651123	0.683373	0.67506	0.692187	0.686673	0.672166	0.682338	0.669451	0.678734	0.653768	0.634408	0.65236	0.633043	0.693037	0.691518	0.68036	0.762667	0.73169	0.733881	0.685612	0.696278	0.743072	0.712763	0.670582	0.678188	0.651583	0.635606	0.634268	0.631138	0.601505	0.567672	0.549964	0.549622	0.56494	0.577228	0.547826	0.546495	0.591106	0.576134	0.601831	0.570205	0.580297	0.567637	0.550439	0.581384	0.601568	0.613792
30	-1400.8	-1583.55	182.753	0.504312	0.546828	0.578267	0.62192	0.624919	0.620597	0.655551	0.6583	0.612275	0.604838	0.650321	0.638678	0.669164	0.645989	0.664976	0.62593	0.674202	0.670793	0.681662	0.715215	0.725925	0.709407	0.703979	0.702755	0.699129	0.733909	0.65875	0.65271	0.646954	0.604295	0.568797	0.550717	0.563948	0.553214	0.572738	0.562768	0.546738	0.534014	0.52875	0.54122	0.553319	0.60852	0.633839	0.633123	0.61387	0.578392	0.529143	0.549653	0.592599	0.592032	0.565596
40	-1316.28	-1576.79	260.513	0.456355	0.497966	0.59047	0.585234	0.619385	0.628426	0.588251	0.592304	0.59338	0.59283	0.626835	0.63151	0.633852	0.619112	0.629321	0.586811	0.578488	0.653093	0.701091	0.702996	0.786036	0.754781	0.66299	0.677845	0.61897	0.635146	0.622214	0.629191	0.581457	0.587081	0.576442	0.549958	0.540886	0.515629	0.533265	0.546276	0.534441	0.538271	0.560265	0.571514	0.551809	0.574958	0.580778	0.610627	0.593222	0.592925	0.577318	0.560359	0.554638	0.590309	0.604514
50	-1342.91	-1576.64	233.731	0.42043	0.496659	0.542098	0.583615	0.626957	0.585101	0.543144	0.54736	0.548481	0.550643	0.534471	0.518264	0.560123	0.565849	0.556224	0.559562	0.568732	0.598573	0.706518	0.727288	0.716416	0.686435	0.636156	0.646837	0.62706	0.588041	0.589485	0.588181	0.562529	0.541928	0.501807	0.528685	0.525203	0.509271	0.485259	0.482289	0.510205	0.520397	0.514128	0.550368	0.537102	0.547455	0.583714	0.56647	0.551074	0.548007	0.545042	0.564499	0.533576	0.545285	0.548702
60	-1383.82	-1577.75	193.927	0.431249	0.459953	0.503291	0.534154	0.522901	0.506845	0.480961	0.444481	0.459141	0.427443	0.436346	0.461858	0.465525	0.459498	0.471631	0.436932	0.463485	0.494017	0.550604	0.651039	0.631424	0.592881	0.600689	0.56196	0.524405	0.517804	0.488455	0.49739	0.460213	0.438875	0.426614	0.412452	0.420066	0.414146	0.394194	0.378365	0.404503	0.422317	0.449728	0.469238	0.468116	0.470484	0.482378	0.494331	0.488151	0.471123	0.51293	0.51286	0.471698	0.436709	0.435802
70	-1287.31	-1576.03	288.718	0.419948	0.436348	0.438687	0.437538	0.446782	0.446196	0.437332	0.445025	0.436874	0.429522	0.421334	0.422999	0.434877	0.420567	0.422911	0.418006	0.425347	0.43919	0.460566	0.463596	0.466966	0.471122	0.476174	0.474852	0.457819	0.449865	0.445536	0.442991	0.432315	0.422267	0.409442	0.412349	0.405736	0.401073	0.405264	0.409008	0.412228	0.416097	0.421722	0.43287	0.432823	0.43036	0.428783	0.430424	0.434527	0.449715	0.454558	0.454831	0.43614	0.420222	0.422208
80	-1258.38	-1572.53	314.151	0.311229	0.313359	0.313426	0.312951	0.316752	0.316512	0.312866	0.316032	0.312677	0.309628	0.306207	0.30764	0.310215	0.311773	0.309711	0.309796	0.309966	0.319925	0.322358	0.326225	0.324937	0.329654	0.329426	0.328094	0.323745	0.318012	0.316242	0.315197	0.310789	0.303629	0.301187	0.298886	0.303479	0.299178	0.299408	0.301002	0.302368	0.304461	0.308756	0.306694	0.309554	0.310161	0.313766	0.310003	0.311706	0.319195	0.318553	0.320034	0.312374	0.305739	0.309816
90	-1218.15	-1571.74	353.59	0.343416	0.341091	0.335182	0.340057	0.350941	0.357048	0.37079	0.377044	0.351646	0.350189	0.327274	0.329857	0.324058	0.351719	0.339555	0.331265	0.344308	0.352439	0.372486	0.382902	0.379413	0.395642	0.391647	0.373222	0.361695	0.360974	0.352232	0.353628	0.339802	0.325072	0.330538	0.324539	0.308329	0.308776	0.313217	0.323638	0.321224	0.316952	0.328221	0.331952	0.332223	0.340695	0.353027	0.357544	0.361473	0.364087	0.358922	0.366304	0.346344	0.328873	0.344081
