Iteration	Posterior	Likelihood	Prior	num_events
0	-1941.791	-1935.433	-6.357935	1
1	-1623.037	-1613.622	-9.415365	1
2	-1584.998	-1571.564	-13.43498	2
3	-1578.894	-1566.502	-12.39241	3
4	-1582.646	-1568.083	-14.56337	3
5	-1579.761	-1566.018	-13.74278	2
6	-1580.173	-1566.843	-13.33031	2
7	-1579.126	-1565.443	-13.68251	2
8	-1579.722	-1566.124	-13.59831	2
9	-1581.103	-1568.704	-12.39874	2
10	-1582.245	-1569.529	-12.71687	2
11	-1582.135	-1569.535	-12.59969	2
12	-1579.771	-1567.021	-12.7501	2
13	-1581.894	-1569.049	-12.84565	2
14	-1584.811	-1570.166	-14.64555	3
15	-1575.75	-1572.529	-3.220846	0
16	-1575.75	-1572.529	-3.220846	0
17	-1575.75	-1572.529	-3.220846	0
18	-1575.75	-1572.529	-3.220846	0
19	-1575.75	-1572.529	-3.220846	0
20	-1575.75	-1572.529	-3.220846	0
21	-1575.75	-1572.529	-3.220846	0
22	-1575.75	-1572.529	-3.220846	0
23	-1575.75	-1572.529	-3.220846	0
24	-1575.75	-1572.529	-3.220846	0
25	-1575.75	-1572.529	-3.220846	0
26	-1575.312	-1572.46	-2.85277	0
27	-1574.51	-1571.792	-2.718047	0
28	-1574.27	-1568.521	-5.749431	1
29	-1568.845	-1566.864	-1.980885	2
30	-1571.314	-1566.605	-4.709154	1
31	-1573.314	-1569.383	-3.931772	1
32	-1568.408	-1563.95	-4.457436	1
33	-1571.085	-1567.369	-3.716373	1
34	-1570.307	-1565.609	-4.697505	1
35	-1569.612	-1564.984	-4.627572	1
36	-1572.895	-1567.322	-5.573055	1
37	-1575.251	-1568.667	-6.58341	1
38	-1573.181	-1566.33	-6.851689	1
39	-1574.107	-1568.372	-5.735341	1
40	-1571.207	-1566.167	-5.039602	1
41	-1570.309	-1565.28	-5.028972	1
42	-1567.669	-1565.021	-2.648957	3
43	-1570.34	-1565.572	-4.767965	1
44	-1571.923	-1568.564	-3.358987	2
45	-1570.637	-1566.358	-4.27952	2
46	-1573.852	-1568.171	-5.680903	1
47	-1571.933	-1566.92	-5.012324	2
48	-1569.807	-1566.717	-3.089927	1
49	-1570.778	-1566.774	-4.004176	1
50	-1571.126	-1566.02	-5.106401	1
51	-1571.002	-1566.396	-4.606519	1
52	-1573.149	-1568.082	-5.066746	1
53	-1570.365	-1566.274	-4.091025	1
54	-1571.768	-1566.713	-5.055625	1
55	-1569.531	-1564.564	-4.966795	1
56	-1571.559	-1565.631	-5.928426	2
57	-1570.874	-1566.284	-4.589599	1
58	-1571.537	-1566.031	-5.505303	1
59	-1570.699	-1565.224	-5.475022	1
60	-1570.387	-1565.624	-4.763353	2
61	-1571.954	-1567.175	-4.779077	1
62	-1570.436	-1565.162	-5.273887	1
63	-1570.945	-1565.321	-5.624291	1
64	-1569.45	-1564.615	-4.835631	1
65	-1572.008	-1567.336	-4.671998	1
66	-1572.961	-1566.202	-6.759131	2
67	-1569.469	-1565.635	-3.834001	1
68	-1570.49	-1566.492	-3.998848	1
69	-1568.146	-1566.738	-1.407619	1
70	-1574.299	-1569.744	-4.554461	2
71	-1571.458	-1571.281	-0.1766576	1
72	-1572.595	-1569.484	-3.110535	2
73	-1569.196	-1566.055	-3.141301	1
74	-1569.318	-1565.039	-4.279604	1
75	-1569.062	-1565.797	-3.264654	1
76	-1569.676	-1565.743	-3.93275	1
77	-1569.104	-1565.539	-3.565181	1
78	-1568.853	-1564.797	-4.056012	1
79	-1569.263	-1564.648	-4.61565	1
80	-1570.992	-1567.258	-3.734191	1
81	-1568.766	-1565.221	-3.544979	1
82	-1575.245	-1570.165	-5.080079	2
83	-1571.267	-1566.424	-4.842202	1
84	-1570.452	-1565.606	-4.846153	1
85	-1569.381	-1565.449	-3.932503	1
86	-1570.385	-1566.129	-4.256182	1
87	-1570.252	-1566.033	-4.218518	1
88	-1571.864	-1568.41	-3.454769	1
89	-1569.285	-1565.579	-3.706308	1
90	-1570.09	-1565.795	-4.295343	1
91	-1568.764	-1568.048	-0.715935	2
92	-1567.661	-1565.444	-2.216757	1
93	-1567.382	-1565.308	-2.074404	1
94	-1566.186	-1565.624	-0.5614806	1
95	-1570.968	-1568.861	-2.107401	1
96	-1569.156	-1567.682	-1.473744	1
97	-1569.721	-1568.377	-1.343894	1
98	-1571.336	-1568.996	-2.339967	1
99	-1569.03	-1567.329	-1.701155	1
100	-1568.199	-1566.707	-1.49228	1
101	-1566.339	-1564.698	-1.641066	1
102	-1568.635	-1564.384	-4.251504	1
103	-1570.928	-1565.956	-4.971777	1
104	-1567.984	-1566.106	-1.878172	1
105	-1566.936	-1565.112	-1.823914	1
106	-1570.077	-1567.621	-2.455877	1
107	-1562.641	-1567.656	5.01538	2
108	-1569.635	-1569.848	0.2123988	1
109	-1563.688	-1569.105	5.416947	2
110	-1572.87	-1572.614	-0.2557724	1
111	-1570.23	-1568.801	-1.428899	1
112	-1567.727	-1568.387	0.660344	1
113	-1567.006	-1565.493	-1.513148	2
114	-1570.067	-1567.288	-2.779472	1
115	-1572.755	-1568.517	-4.237781	1
116	-1571.361	-1566.391	-4.969164	1
117	-1575.857	-1570.056	-5.800626	1
118	-1568.533	-1564.176	-4.356887	1
119	-1571.831	-1566.197	-5.634241	1
120	-1569.927	-1566.102	-3.825745	1
121	-1573.183	-1570.382	-2.800771	1
122	-1569.488	-1565.32	-4.168457	2
123	-1568.829	-1567.191	-1.638555	1
124	-1570.251	-1567.419	-2.832082	1
125	-1569.074	-1565.714	-3.359884	1
126	-1570.407	-1567.046	-3.360528	1
127	-1571.979	-1568.167	-3.812297	1
128	-1569.2	-1564.622	-4.577801	1
129	-1570.552	-1567.911	-2.640669	1
130	-1569.254	-1567.854	-1.3995	1
131	-1569.801	-1565.72	-4.081159	1
132	-1572.196	-1568.113	-4.083753	1
133	-1567.151	-1565.822	-1.328498	1
134	-1566.76	-1564.094	-2.666648	1
135	-1568.62	-1564.922	-3.698112	1
136	-1572.461	-1567.462	-4.998859	1
137	-1570.032	-1566.571	-3.460346	1
138	-1571.18	-1567.917	-3.263179	1
139	-1570.904	-1566.202	-4.701781	1
140	-1571.238	-1566.377	-4.861221	1
141	-1571.073	-1565.483	-5.590086	1
142	-1571.221	-1565.58	-5.640499	1
143	-1574.022	-1567.17	-6.852116	2
144	-1572.612	-1566.354	-6.258401	1
145	-1572.11	-1566.328	-5.782676	2
146	-1575.762	-1569.637	-6.124697	1
147	-1571.751	-1567.776	-3.974974	1
148	-1573.547	-1569.291	-4.255897	1
149	-1575.45	-1571.3	-4.149447	1
150	-1571.053	-1566.922	-4.130411	1
151	-1571.932	-1568.448	-3.483419	1
152	-1567.748	-1567.721	-0.02793214	2
153	-1568.525	-1567.858	-0.6668359	1
154	-1570.189	-1570.439	0.2500259	1
155	-1568.957	-1570.065	1.108453	1
156	-1567.485	-1568.419	0.9346981	1
157	-1567.994	-1568.585	0.5908494	1
158	-1568.834	-1568.261	-0.5733619	1
159	-1568.887	-1567.353	-1.534307	1
160	-1569.614	-1569.965	0.3503407	1
161	-1565.458	-1567.64	2.182087	1
162	-1566.61	-1568.995	2.385589	1
163	-1569.064	-1569.738	0.6739819	1
164	-1569.14	-1568.29	-0.8492762	1
165	-1570.085	-1569.243	-0.8414318	1
166	-1568.353	-1568.488	0.1345244	2
167	-1568.309	-1568.057	-0.2522917	1
168	-1568.13	-1569.149	1.01891	1
169	-1566.72	-1567.932	1.211805	1
170	-1565.93	-1567.871	1.941557	1
171	-1568.063	-1571.574	3.510149	1
172	-1565.92	-1569.383	3.462688	2
173	-1564.473	-1569.071	4.598237	1
174	-1564.41	-1569.849	5.438621	2
175	-1564.962	-1570.253	5.290795	1
176	-1570.579	-1572.84	2.261609	1
177	-1567.994	-1570.657	2.663428	1
178	-1564.421	-1568.064	3.642805	1
179	-1571.872	-1570.799	-1.0727	3
180	-1565.841	-1570.073	4.232189	1
181	-1568.829	-1570.347	1.517546	1
182	-1569.819	-1568.582	-1.237039	1
183	-1570.504	-1569.426	-1.077679	1
184	-1570.379	-1568.891	-1.487887	1
185	-1568.877	-1566.447	-2.42991	1
186	-1574.761	-1570.923	-3.838174	1
187	-1569.814	-1565.986	-3.827362	1
