Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	0	-3706.14	-3727.44	21.2991	4.67558e-05	4.44474e-05	3.78182e-05	3.91205e-05	3.83902e-05	3.94936e-05	3.81673e-05	3.7808e-05	3.88799e-05	3.77036e-05	3.95229e-05
1	0	-1554.15	-1577.21	23.053	0.0985095	0.0908564	0.0933043	0.0878412	0.0813785	0.081215	0.0858999	0.081725	0.0837973	0.0815397	0.0792474
2	0	-1549.61	-1569.28	19.6695	0.207258	0.224493	0.211484	0.228826	0.214515	0.209738	0.199124	0.197275	0.218538	0.210605	0.209521
3	0	-1546.56	-1570.29	23.736	0.189936	0.215827	0.232498	0.215908	0.216651	0.220063	0.211987	0.199644	0.202394	0.210339	0.21768
4	0	-1543.98	-1571.08	27.0992	0.139844	0.133979	0.132328	0.129019	0.130094	0.127531	0.125056	0.119372	0.129883	0.12379	0.124317
5	0	-1549.22	-1570.17	20.9512	0.17968	0.164962	0.173039	0.157987	0.157085	0.143302	0.136752	0.131038	0.133504	0.12384	0.130124
6	0	-1544.94	-1569.87	24.9368	0.182849	0.187408	0.197281	0.205547	0.200217	0.188745	0.174545	0.167515	0.16345	0.154581	0.140032
7	0	-1547.5	-1568.63	21.1322	0.209745	0.223253	0.234754	0.22677	0.239369	0.261569	0.245457	0.218692	0.191454	0.184914	0.185324
8	0	-1548.37	-1569.82	21.4495	0.180165	0.187152	0.202729	0.204028	0.200422	0.192728	0.16597	0.160579	0.144909	0.144893	0.153331
9	0	-1544.44	-1570.54	26.0987	0.206567	0.217505	0.215481	0.211132	0.20668	0.19982	0.196318	0.193703	0.188376	0.187387	0.17889
10	0	-1548.07	-1567.35	19.2884	0.136586	0.152551	0.163091	0.151905	0.157732	0.152445	0.130385	0.129335	0.136136	0.138547	0.138581
11	0	-1546.38	-1568.75	22.3735	0.211073	0.218377	0.206458	0.207144	0.200324	0.191947	0.20176	0.221217	0.210249	0.193885	0.180212
12	0	-1549.95	-1570.25	20.303	0.177127	0.174999	0.160291	0.144552	0.149744	0.14546	0.150056	0.148589	0.157193	0.152788	0.140201
13	0	-1552	-1569.95	17.9549	0.132358	0.131207	0.116377	0.110813	0.106353	0.102744	0.107762	0.111556	0.111436	0.105295	0.105061
14	0	-1543.85	-1569.92	26.0625	0.156368	0.151475	0.158886	0.158652	0.147721	0.146083	0.139092	0.144403	0.134798	0.137882	0.140789
15	0	-1554.81	-1567.86	13.0528	0.167007	0.160415	0.18029	0.196458	0.198356	0.192985	0.178143	0.18297	0.199048	0.166281	0.16183
16	0	-1551.67	-1569.22	17.5517	0.140022	0.153267	0.151113	0.129574	0.135292	0.138256	0.143526	0.154066	0.16528	0.165197	0.164208
17	0	-1543.88	-1570.4	26.5219	0.184908	0.176713	0.188901	0.186671	0.187651	0.192757	0.19587	0.197497	0.204733	0.207505	0.199984
18	0	-1547.7	-1570.57	22.8659	0.0945623	0.105746	0.1034	0.0977034	0.095889	0.0942752	0.0957252	0.10338	0.103467	0.107607	0.108081
19	0	-1551.5	-1568.63	17.1298	0.149249	0.155495	0.141474	0.15584	0.154831	0.153695	0.152069	0.164689	0.196472	0.219217	0.22651
20	0	-1555.05	-1569.59	14.5433	0.0825327	0.0804922	0.08183	0.0769177	0.0852979	0.0906094	0.0812471	0.0894926	0.0981111	0.107437	0.110368
21	0	-1551.7	-1567.39	15.6956	0.0983721	0.110927	0.120728	0.116958	0.131172	0.139932	0.133721	0.132815	0.136074	0.14174	0.15423
22	0	-1545.43	-1569.46	24.0227	0.120095	0.12123	0.12429	0.135803	0.148426	0.164485	0.157934	0.161253	0.153192	0.152028	0.161754
23	0	-1546.29	-1569.13	22.8434	0.205211	0.205665	0.226845	0.225719	0.233864	0.264956	0.277563	0.274992	0.271728	0.276587	0.274522
24	0	-1541.41	-1569.75	28.3372	0.219146	0.237225	0.235393	0.238128	0.244773	0.248765	0.249697	0.262413	0.261066	0.258757	0.265458
25	0	-1544.93	-1568.5	23.5636	0.18136	0.190468	0.193532	0.204059	0.191104	0.186095	0.189911	0.20265	0.20209	0.215519	0.195854
26	0	-1545.71	-1569.64	23.9282	0.221459	0.221964	0.219342	0.247918	0.235773	0.23323	0.229835	0.23073	0.208036	0.201869	0.192665
27	0	-1549.22	-1571.51	22.289	0.112426	0.120628	0.135747	0.135954	0.145219	0.150648	0.143802	0.126494	0.118705	0.126478	0.126851
28	0	-1546.79	-1567.39	20.6041	0.16825	0.182749	0.179215	0.1931	0.201201	0.221294	0.205746	0.189173	0.179801	0.169567	0.172716
29	0	-1548.89	-1567.37	18.4819	0.153953	0.161216	0.170249	0.161271	0.170645	0.162243	0.16595	0.159201	0.149737	0.137191	0.141454
30	0	-1549.45	-1573.25	23.7949	0.137711	0.141323	0.134595	0.137434	0.141366	0.128391	0.133001	0.140586	0.14696	0.131955	0.135788
31	0	-1555.74	-1575.33	19.5898	0.210681	0.193855	0.178373	0.163849	0.168352	0.179247	0.162641	0.177764	0.194463	0.18334	0.169619
32	0	-1544.63	-1571.55	26.9185	0.263944	0.270062	0.281833	0.282258	0.263453	0.260255	0.276166	0.280941	0.287478	0.28775	0.27067
