Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]
0	-2063.29	-2087.17	23.8848	0.117794	0.111131	0.117143	0.118099	0.125561	0.126099	0.138226	0.132488	0.139157	0.140959	0.136741
10	-1544.88	-1569.3	24.415	0.12579	0.131254	0.134711	0.144424	0.144307	0.135087	0.132338	0.136201	0.137512	0.138553	0.147662
20	-1547.6	-1569.8	22.2048	0.0785285	0.0791221	0.0844349	0.0896644	0.101106	0.100822	0.104615	0.104985	0.103907	0.0969918	0.0948438
30	-1551.31	-1569.24	17.9269	0.100152	0.0989463	0.106587	0.118757	0.122839	0.135274	0.133492	0.139453	0.138914	0.148775	0.131069
40	-1555.32	-1572.21	16.8953	0.130384	0.137644	0.143036	0.144706	0.15026	0.154608	0.158512	0.160008	0.162064	0.155894	0.148911
50	-1548.48	-1567.97	19.4907	0.171459	0.201616	0.212471	0.212511	0.230692	0.243049	0.231272	0.25796	0.255184	0.234561	0.247771
60	-1546.85	-1569.57	22.7191	0.218688	0.211662	0.223401	0.231404	0.242426	0.243079	0.277344	0.276894	0.253587	0.273198	0.272683
70	-1547.6	-1568.26	20.6607	0.205045	0.209191	0.238467	0.237097	0.218246	0.23494	0.227499	0.21845	0.202162	0.210616	0.213421
80	-1555.81	-1570.69	14.8818	0.180843	0.197075	0.203271	0.211049	0.222616	0.243324	0.251068	0.237664	0.241664	0.195098	0.18559
90	-1552.31	-1568.61	16.2969	0.207337	0.203566	0.231791	0.225818	0.261045	0.266327	0.250759	0.244567	0.23499	0.228875	0.213402
100	-1545.11	-1568.5	23.3911	0.189421	0.188707	0.182466	0.186212	0.202271	0.205654	0.186671	0.185512	0.180524	0.178699	0.179456
110	-1549.47	-1568.26	18.7884	0.176725	0.182459	0.181483	0.193446	0.211439	0.189176	0.207161	0.215835	0.196167	0.206584	0.226541
