Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]	extinction[11]	log_extinction[1]	log_extinction[2]	log_extinction[3]	log_extinction[4]	log_extinction[5]	log_extinction[6]	log_extinction[7]	log_extinction[8]	log_extinction[9]	log_extinction[10]	log_extinction[11]	log_speciation[1]	log_speciation[2]	log_speciation[3]	log_speciation[4]	log_speciation[5]	log_speciation[6]	log_speciation[7]	log_speciation[8]	log_speciation[9]	log_speciation[10]	log_speciation[11]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-13182.9	-3198.83	-9984.05	0.000157606	0.00015867	3.98692e-05	3.75685e-05	3.76516e-05	4.06991e-05	4.1767e-05	3.86928e-05	4.25386e-05	4.27567e-05	4.09959e-05	-8.75541	-8.74868	-10.1299	-10.1893	-10.1871	-10.1093	-10.0834	-10.1599	-10.0651	-10.06	-10.102	-7.63627	-7.62414	0.57035	0.436518	0.368184	0.473201	0.423153	0.423013	0.402856	0.40037	0.428913	0.000482625	0.000488514	1.76889	1.54731	1.44511	1.60512	1.52677	1.52655	1.49609	1.49238	1.53559
10	-1570.78	-1585.75	14.9713	6.62701e-05	7.40763e-05	7.39444e-05	6.1947e-05	6.32178e-05	6.38264e-05	6.40716e-05	6.06388e-05	6.48561e-05	6.47927e-05	6.26318e-05	-9.62177	-9.51042	-9.5122	-9.68923	-9.66892	-9.65934	-9.65551	-9.71058	-9.64334	-9.64432	-9.67824	-1.83748	-2.00839	-2.09133	-2.01511	-1.95001	-1.89932	-1.8637	-1.80004	-1.87626	-1.79305	-1.79037	0.159219	0.134205	0.123523	0.133306	0.142273	0.14967	0.155098	0.165293	0.153162	0.166452	0.166899
20	-1553.49	-1570.32	16.8259	0.12033	0.129917	0.142206	0.132051	0.121203	0.117297	0.134786	0.133985	0.123899	0.119188	0.12824	-2.11752	-2.04086	-1.95048	-2.02457	-2.11028	-2.14305	-2.00407	-2.01003	-2.08829	-2.12705	-2.05385	-1.3551	-1.45584	-1.55111	-1.56362	-1.53117	-1.56261	-1.46491	-1.43468	-1.42364	-1.38634	-1.50145	0.257921	0.233203	0.212012	0.209377	0.216283	0.209588	0.231099	0.238192	0.240835	0.24999	0.222806
30	-1551.06	-1571.35	20.2895	0.187774	0.184232	0.195746	0.192852	0.172597	0.167917	0.178804	0.178285	0.178977	0.180316	0.178839	-1.67251	-1.69156	-1.63094	-1.64583	-1.7568	-1.78429	-1.72146	-1.72437	-1.7205	-1.71304	-1.72127	-1.35533	-1.26345	-1.30771	-1.40143	-1.5471	-1.51758	-1.45845	-1.35219	-1.31738	-1.29974	-1.3632	0.257861	0.282677	0.270439	0.246246	0.212864	0.219242	0.232596	0.258672	0.267837	0.272603	0.255841
40	-1547.32	-1571.46	24.1409	0.107304	0.117185	0.122133	0.11406	0.111214	0.110893	0.107957	0.10738	0.108533	0.109087	0.115231	-2.23209	-2.144	-2.10264	-2.17103	-2.1963	-2.19919	-2.22603	-2.23139	-2.2207	-2.21561	-2.16082	-1.38965	-1.48846	-1.55378	-1.55198	-1.60013	-1.49853	-1.49729	-1.51709	-1.50584	-1.46432	-1.55842	0.249162	0.22572	0.211447	0.211828	0.201871	0.223459	0.223735	0.219349	0.221832	0.231235	0.210468
50	-1553.04	-1571.77	18.7375	0.10727	0.111377	0.118947	0.107843	0.112842	0.114785	0.11636	0.103127	0.112251	0.106718	0.103095	-2.2324	-2.19483	-2.12908	-2.22708	-2.18176	-2.16469	-2.15106	-2.27179	-2.18702	-2.23757	-2.27211	-1.49389	-1.51382	-1.61779	-1.67306	-1.52862	-1.6134	-1.6601	-1.5918	-1.59578	-1.56613	-1.58387	0.224497	0.220068	0.198336	0.187673	0.216834	0.199209	0.19012	0.203559	0.20275	0.208851	0.205179
60	-1548.9	-1567.76	18.8611	0.145511	0.159282	0.164732	0.163301	0.188843	0.171238	0.183277	0.16898	0.176348	0.160039	0.162688	-1.92751	-1.83708	-1.80344	-1.81216	-1.66684	-1.7647	-1.69676	-1.77797	-1.73529	-1.83234	-1.81592	-1.30934	-1.2806	-1.36554	-1.40282	-1.43557	-1.47294	-1.43533	-1.44227	-1.48738	-1.38896	-1.31819	0.269999	0.277871	0.255242	0.245902	0.23798	0.22925	0.238037	0.23639	0.225963	0.249334	0.26762
70	-1547.61	-1571.15	23.5374	0.257558	0.269443	0.273913	0.299435	0.287851	0.293592	0.28114	0.281388	0.26622	0.277182	0.259361	-1.35651	-1.3114	-1.29494	-1.20586	-1.24531	-1.22556	-1.2689	-1.26802	-1.32343	-1.28308	-1.34953	-1.0885	-1.10883	-1.10237	-1.21964	-1.19043	-1.22678	-1.12938	-1.12821	-1.06457	-1.13837	-1.1839	0.336722	0.329944	0.332085	0.295336	0.30409	0.293236	0.323233	0.323612	0.344877	0.32034	0.306084
80	-1550.5	-1568.48	17.9818	0.194906	0.194738	0.200162	0.210989	0.194142	0.209524	0.209181	0.195229	0.223011	0.218117	0.19598	-1.63524	-1.6361	-1.60863	-1.55595	-1.63917	-1.56292	-1.56455	-1.63358	-1.50053	-1.52272	-1.62974	-1.21432	-1.21013	-1.34177	-1.33238	-1.34527	-1.39073	-1.37123	-1.39761	-1.2405	-1.2607	-1.21125	0.296912	0.298158	0.261384	0.263849	0.26047	0.248894	0.253795	0.247188	0.28924	0.283456	0.297824
90	-1549.16	-1570.22	21.0529	0.198789	0.186777	0.192199	0.189542	0.168444	0.17361	0.187463	0.194558	0.208735	0.225383	0.216881	-1.61551	-1.67784	-1.64922	-1.66314	-1.78115	-1.75094	-1.67417	-1.63702	-1.56669	-1.48995	-1.52841	-1.20806	-1.30692	-1.38294	-1.39381	-1.43475	-1.38658	-1.3885	-1.36116	-1.36251	-1.26304	-1.17286	0.298776	0.270654	0.250839	0.248128	0.238176	0.249928	0.249449	0.256364	0.256018	0.282792	0.309482
