Iteration	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]	speciation[11]
0	-2918.44	-2937.8	19.3597	0.00209996	0.001949	0.00191117	0.00178351	0.00176022	0.00165686	0.00158002	0.0014536	0.00140009	0.00144303	0.00153909
10	-1559.62	-1579.33	19.7116	0.177295	0.168854	0.13777	0.138813	0.147686	0.136614	0.134695	0.126349	0.125235	0.122182	0.123462
20	-1567.46	-1578.76	11.2952	0.162454	0.142964	0.143595	0.126224	0.105537	0.109907	0.104655	0.1019	0.105407	0.0945181	0.0876459
30	-1557.09	-1577.4	20.3146	0.17985	0.159196	0.141272	0.143484	0.143619	0.131245	0.11478	0.105734	0.105548	0.104336	0.114924
40	-1556.67	-1574.03	17.3606	0.189222	0.161598	0.142058	0.138419	0.122652	0.120424	0.116097	0.0985301	0.0996034	0.102651	0.0986907
50	-1544.2	-1570.67	26.4684	0.242044	0.234154	0.215342	0.209923	0.210823	0.214499	0.213068	0.218529	0.217731	0.210786	0.205193
60	-1544.16	-1567.6	23.4347	0.304522	0.291566	0.263446	0.241535	0.236332	0.232766	0.23236	0.248842	0.244229	0.227943	0.221901
70	-1544.43	-1567.07	22.6322	0.276628	0.254293	0.229529	0.224009	0.215568	0.21512	0.229949	0.208911	0.220967	0.221976	0.221389
80	-1549.37	-1569.11	19.7427	0.308947	0.318581	0.307422	0.290725	0.303857	0.315076	0.299168	0.337374	0.306044	0.301532	0.297157
90	-1545.81	-1570.13	24.3189	0.274839	0.270004	0.255856	0.247235	0.244411	0.272955	0.249812	0.253174	0.239782	0.240049	0.242778
100	-1551.88	-1573.41	21.5352	0.223666	0.212901	0.200807	0.220246	0.219006	0.224698	0.217961	0.190264	0.188371	0.197834	0.212474
110	-1551.84	-1567.99	16.1472	0.257338	0.276153	0.256217	0.244046	0.235809	0.218989	0.210761	0.207095	0.207008	0.213555	0.193439
120	-1546.96	-1568.32	21.3636	0.298621	0.304562	0.286057	0.276406	0.257223	0.249137	0.250036	0.225121	0.239133	0.218767	0.220119
130	-1544.92	-1569.63	24.7079	0.250442	0.243708	0.240571	0.24878	0.227912	0.21938	0.215208	0.209364	0.21587	0.203755	0.214603
140	-1543.05	-1568.65	25.5985	0.281443	0.278832	0.265244	0.265365	0.257974	0.272474	0.282562	0.27806	0.262674	0.25881	0.245199
150	-1549.25	-1571.01	21.7648	0.296089	0.284695	0.286991	0.29488	0.291006	0.300922	0.283366	0.301233	0.290162	0.325037	0.321272
160	-1548.97	-1569.4	20.4318	0.330304	0.354367	0.354164	0.336409	0.322048	0.29589	0.29611	0.333464	0.326692	0.34371	0.314374
170	-1548.23	-1570.97	22.7365	0.255742	0.239471	0.237815	0.247176	0.230709	0.235999	0.233103	0.236694	0.236409	0.228388	0.23462
180	-1551.89	-1572.95	21.0688	0.217775	0.215593	0.213651	0.206667	0.209223	0.228067	0.228205	0.234381	0.223555	0.217314	0.218393
190	-1548.4	-1571.58	23.1811	0.322579	0.296943	0.27647	0.288646	0.303152	0.331013	0.319029	0.313611	0.30717	0.304819	0.314778
200	-1546.49	-1568.85	22.3554	0.285479	0.27448	0.257882	0.25645	0.254758	0.256767	0.264288	0.263215	0.292604	0.26328	0.284058
210	-1546.78	-1567.04	20.2556	0.287193	0.284961	0.258203	0.252657	0.218595	0.211555	0.212565	0.226483	0.226537	0.244349	0.230862
220	-1550.51	-1577.93	27.4219	0.180448	0.179202	0.175183	0.172664	0.159962	0.156402	0.161202	0.165006	0.163016	0.167569	0.174949
230	-1545.68	-1568.15	22.4729	0.304123	0.303598	0.263681	0.25715	0.270684	0.255757	0.251852	0.2452	0.253166	0.276505	0.268182
240	-1542.86	-1570.74	27.8741	0.295111	0.290356	0.303978	0.310318	0.32359	0.314163	0.299555	0.296787	0.28107	0.273914	0.280978
250	-1545.75	-1569.55	23.8024	0.258601	0.261749	0.259785	0.260483	0.240889	0.241025	0.230906	0.221711	0.224029	0.235089	0.238994
260	-1550.11	-1569.45	19.3367	0.268384	0.292801	0.278691	0.276577	0.274432	0.236156	0.218237	0.229526	0.222844	0.243807	0.235258
270	-1554	-1569.45	15.451	0.260755	0.236207	0.231785	0.244844	0.246525	0.262876	0.228684	0.232885	0.254729	0.274021	0.304416
280	-1552.51	-1570.61	18.0999	0.234704	0.212016	0.197875	0.20928	0.212799	0.225937	0.209895	0.207793	0.22136	0.231023	0.263919
290	-1548.12	-1569.39	21.2633	0.327329	0.310423	0.300222	0.288179	0.26919	0.294395	0.292422	0.290976	0.310419	0.318377	0.340036
300	-1547	-1570.11	23.1091	0.317558	0.303976	0.294191	0.276606	0.26911	0.246121	0.243615	0.250403	0.265791	0.272051	0.295643
310	-1549.01	-1567.2	18.1876	0.275587	0.245035	0.245922	0.216205	0.185769	0.170649	0.183355	0.191773	0.195379	0.198874	0.205235
320	-1546.1	-1567.34	21.2415	0.255786	0.23859	0.221548	0.206355	0.192152	0.193304	0.220429	0.223909	0.219622	0.220574	0.227465
330	-1547.54	-1568.33	20.7855	0.304597	0.267732	0.266363	0.240551	0.225194	0.230058	0.238537	0.248869	0.221968	0.233874	0.242762
340	-1544.34	-1569.94	25.6079	0.285527	0.270982	0.283559	0.275306	0.288305	0.273646	0.244578	0.245429	0.235695	0.230831	0.221861
350	-1548.3	-1569.1	20.7984	0.232068	0.229747	0.209157	0.180391	0.192394	0.178815	0.185027	0.202685	0.201447	0.198743	0.185158
360	-1552.63	-1569.12	16.4978	0.308713	0.303009	0.305778	0.283704	0.303037	0.301125	0.267366	0.264054	0.266571	0.283773	0.293048
370	-1552.98	-1568.04	15.0573	0.23348	0.223688	0.199937	0.204625	0.198702	0.181884	0.191515	0.196425	0.166741	0.170304	0.192512
380	-1548.98	-1569.27	20.294	0.286614	0.2715	0.245189	0.266402	0.26226	0.260258	0.248353	0.241874	0.220136	0.192482	0.169342
