Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
0	0	-1765.605	-1767.692	2.087323	0.03830377
1	1	-1674.725	-1677.017	2.291392	0.06359274
2	0	-1590.072	-1591.173	1.100788	0.1413963
3	1	-1588.105	-1588.722	0.6176893	0.1671214
4	0	-1588.009	-1588.833	0.824351	0.1561157
5	1	-1588.013	-1588.66	0.6474756	0.1655328
6	0	-1588.955	-1589.421	0.4665444	0.1752024
7	1	-1589.278	-1590.308	1.029691	0.1451885
8	0	-1587.897	-1588.652	0.7552817	0.1597905
9	1	-1588.381	-1589.295	0.9133663	0.1513809
10	0	-1588.291	-1589.187	0.8965012	0.152278
11	1	-1588.087	-1588.71	0.6227958	0.166849
12	0	-1588.303	-1588.873	0.5704208	0.1696448
13	1	-1587.958	-1588.761	0.8029215	0.1572556
14	0	-1587.948	-1588.746	0.7978879	0.1575234
15	1	-1587.924	-1588.706	0.7828127	0.1583255
16	0	-1587.991	-1588.808	0.8173949	0.1564857
17	1	-1588.004	-1588.654	0.6509371	0.1653482
18	0	-1589.29	-1590.32	1.030825	0.1451281
19	1	-1591.201	-1591.452	0.2512165	0.1867908
20	0	-1587.912	-1588.686	0.7739834	0.1587953
21	1	-1587.928	-1588.714	0.7859707	0.1581574
22	0	-1588.019	-1588.664	0.6449465	0.1656676
23	1	-1588.884	-1589.87	0.9859577	0.1475179
24	0	-1587.903	-1588.613	0.7106332	0.1621675
25	1	-1588.719	-1589.684	0.9648192	0.1486431
26	0	-1588.482	-1589.019	0.5367107	0.1714464
27	1	-1587.895	-1588.646	0.7511243	0.1600118
28	0	-1588.437	-1588.981	0.5447313	0.1710176
29	1	-1588.067	-1588.696	0.6290819	0.1665137
30	0	-1587.892	-1588.623	0.7303471	0.1611178
31	1	-1587.945	-1588.623	0.6778563	0.1639135
32	0	-1588.053	-1588.686	0.6334109	0.1662828
33	1	-1588.444	-1589.368	0.9240555	0.1508122
34	0	-1587.937	-1588.729	0.7917048	0.1578524
35	1	-1588.166	-1588.767	0.601357	0.167993
36	0	-1588.762	-1589.255	0.4928714	0.1737921
37	1	-1587.958	-1588.629	0.6709289	0.1642826
38	0	-1588.898	-1589.886	0.9876272	0.147429
39	1	-1587.895	-1588.617	0.7219003	0.1615675
40	0	-1587.939	-1588.62	0.6810616	0.1637427
41	1	-1587.972	-1588.781	0.8092127	0.1569209
42	0	-1587.96	-1588.764	0.8039571	0.1572005
43	1	-1589.445	-1590.491	1.046176	0.1443099
44	0	-1589.639	-1590.703	1.064127	0.1433527
45	1	-1587.984	-1588.798	0.8143577	0.1566473
46	0	-1588.711	-1589.675	0.963804	0.1486972
47	1	-1589.995	-1591.09	1.094582	0.1417276
48	0	-1588.573	-1589.095	0.5214922	0.1722604
49	1	-1587.946	-1588.742	0.7965363	0.1575953
50	0	-1587.952	-1588.752	0.7999362	0.1574144
51	1	-1587.989	-1588.646	0.6567634	0.1650376
52	0	-1590.041	-1591.139	1.098271	0.1415306
53	1	-1587.908	-1588.679	0.7703409	0.1589891
54	0	-1588.716	-1589.216	0.4995032	0.1734371
55	1	-1588.09	-1588.94	0.8500277	0.1547499
56	0	-1587.899	-1588.615	0.7158076	0.1618919
57	1	-1588.726	-1589.224	0.4980977	0.1735123
58	0	-1588.026	-1588.668	0.6427427	0.1657851
59	1	-1588.068	-1588.696	0.6287337	0.1665322
60	0	-1587.935	-1588.619	0.6837027	0.163602
61	1	-1588.172	-1588.772	0.5998069	0.1680757
62	0	-1588.507	-1589.442	0.9342645	0.1502691
63	1	-1588.808	-1589.785	0.9764698	0.148023
64	0	-1590.063	-1590.409	0.3465118	0.1816495
65	1	-1588.204	-1588.796	0.592115	0.1684863
66	0	-1587.938	-1588.73	0.7921343	0.1578295
67	1	-1587.937	-1588.729	0.7917745	0.1578487
68	0	-1587.913	-1588.687	0.7744128	0.1587724
69	1	-1587.904	-1588.613	0.709219	0.1622428
70	0	-1588.132	-1588.993	0.8613692	0.1541467
71	1	-1587.911	-1588.683	0.7724909	0.1588747
72	0	-1588.185	-1589.059	0.8741088	0.1534691
73	1	-1588.679	-1589.638	0.9593773	0.1489328
74	0	-1587.909	-1588.68	0.7707095	0.1589695
75	1	-1589.147	-1589.589	0.4424616	0.1764936
76	0	-1587.963	-1588.632	0.6682408	0.1644259
77	1	-1587.896	-1588.617	0.7205574	0.161639
78	0	-1588.177	-1588.776	0.5986303	0.1681385
79	1	-1588.102	-1588.956	0.8535242	0.154564
80	0	-1588.016	-1588.662	0.6461497	0.1656035
81	1	-1587.893	-1588.622	0.7293133	0.1611728
82	0	-1587.926	-1588.711	0.7846203	0.1582293
83	1	-1590.372	-1591.496	1.123807	0.1401665
84	0	-1588.038	-1588.873	0.8344176	0.1555802
85	1	-1587.947	-1588.744	0.7970533	0.1575678
86	0	-1587.986	-1588.644	0.6579597	0.1649738
87	1	-1588.421	-1589.342	0.9202845	0.1510129
88	0	-1588.011	-1588.836	0.8251412	0.1560736
89	1	-1587.935	-1588.726	0.7905027	0.1579163
90	0	-1589.516	-1590.569	1.052911	0.1439508
91	1	-1588.718	-1589.683	0.9647026	0.1486493
92	0	-1587.899	-1588.614	0.7153581	0.1619158
93	1	-1587.947	-1588.624	0.6767235	0.1639738
94	0	-1588.523	-1589.459	0.9366667	0.1501413
95	1	-1587.966	-1588.773	0.8066515	0.1570572
96	0	-1588.443	-1589.367	0.9239104	0.15082
97	1	-1588.268	-1589.16	0.8919563	0.1525198
98	0	-1587.898	-1588.615	0.7163258	0.1618643
99	1	-1588.287	-1589.183	0.8958842	0.1523109
100	0	-1588.806	-1589.292	0.4866337	0.1741262
101	1	-1588.93	-1589.922	0.9914679	0.1472245
102	0	-1587.95	-1588.625	0.6750188	0.1640647
103	1	-1588.067	-1588.91	0.8434197	0.1551014
104	0	-1588.044	-1588.88	0.8362134	0.1554847
105	1	-1588.649	-1589.605	0.9552974	0.1491499
106	0	-1588.332	-1589.236	0.904433	0.1518561
107	1	-1589.086	-1590.096	1.009341	0.1462727
108	0	-1588.277	-1589.171	0.8938167	0.1524208
109	1	-1587.919	-1588.614	0.694601	0.1630214
110	0	-1587.947	-1588.744	0.7971484	0.1575627
111	1	-1588.264	-1588.843	0.5785969	0.1692081
112	0	-1588.501	-1589.034	0.5334884	0.1716187
113	1	-1587.896	-1588.649	0.7532087	0.1599008
114	0	-1587.936	-1588.728	0.7912484	0.1578766
115	1	-1587.91	-1588.681	0.771522	0.1589262
116	0	-1588.615	-1589.13	0.5148208	0.1726173
117	1	-1588.136	-1588.998	0.8623688	0.1540935
118	0	-1587.892	-1588.632	0.7404705	0.1605788
119	1	-1588.018	-1588.663	0.6454878	0.1656388
120	0	-1588.339	-1589.244	0.9056872	0.1517894
121	1	-1588.195	-1589.071	0.8763515	0.1533498
122	0	-1587.977	-1588.788	0.8114422	0.1568023
123	1	-1590.367	-1590.686	0.319109	0.1831257
124	0	-1587.939	-1588.62	0.6812858	0.1637307
125	1	-1588.055	-1588.688	0.63262	0.166325
126	0	-1587.913	-1588.613	0.7000238	0.1627325
127	1	-1588.554	-1589.078	0.5247044	0.1720885
128	0	-1589.735	-1590.113	0.3780924	0.1799504
129	1	-1589.863	-1590.946	1.083621	0.1423127
130	0	-1590.206	-1590.539	0.3334249	0.1823543
131	1	-1587.975	-1588.638	0.6627456	0.1647187
132	0	-1588.084	-1588.708	0.6237234	0.1667995
133	1	-1588.644	-1589.155	0.5103294	0.1728576
134	0	-1587.966	-1588.773	0.8066645	0.1570565
135	1	-1588.259	-1589.149	0.8901422	0.1526163
136	0	-1588.552	-1589.493	0.9411235	0.1499041
137	1	-1589.414	-1589.826	0.4117738	0.1781405
138	0	-1588.385	-1589.299	0.913954	0.1513496
139	1	-1587.949	-1588.747	0.7983218	0.1575003
140	0	-1589.48	-1589.885	0.4045747	0.1785272
141	1	-1588.316	-1588.884	0.5676936	0.1697905
142	0	-1587.908	-1588.613	0.7044162	0.1624986
143	1	-1587.905	-1588.613	0.707415	0.1623389
144	0	-1587.974	-1588.784	0.8102635	0.156865
145	1	-1587.987	-1588.803	0.8159745	0.1565612
146	0	-1588.291	-1589.188	0.8966668	0.1522692
147	1	-1589.248	-1590.274	1.026541	0.1453563
148	0	-1588.119	-1588.977	0.8580798	0.1543216
149	1	-1588.115	-1588.73	0.6146908	0.1672814
150	0	-1587.981	-1588.795	0.8133793	0.1566993
151	1	-1588.004	-1588.655	0.6506148	0.1653654
152	0	-1588.072	-1588.699	0.6274478	0.1666008
153	1	-1587.961	-1588.631	0.6692376	0.1643727
154	0	-1587.941	-1588.734	0.7937158	0.1577454
155	1	-1587.937	-1588.729	0.7916632	0.1578546
156	0	-1588.244	-1588.827	0.5830673	0.1689694
157	1	-1588.681	-1589.64	0.9596428	0.1489186
158	0	-1591.568	-1592.77	1.20298	0.1359274
159	1	-1590.908	-1592.07	1.161495	0.1381506
160	0	-1588.618	-1589.569	0.9509053	0.1493836
161	1	-1587.954	-1588.755	0.8008306	0.1573669
162	0	-1588.686	-1589.19	0.5040257	0.173195
163	1	-1588.149	-1588.754	0.6058452	0.1677534
164	0	-1587.897	-1588.652	0.7553354	0.1597876
165	1	-1588.722	-1589.221	0.4986261	0.173484
166	0	-1588.788	-1589.278	0.4890713	0.1739956
167	1	-1588.955	-1589.422	0.466442	0.1752079
168	0	-1587.92	-1588.701	0.7803953	0.1584541
169	1	-1587.893	-1588.622	0.7298951	0.1611418
170	0	-1588.051	-1588.89	0.8386553	0.1553548
171	1	-1587.913	-1588.613	0.6994788	0.1627615
172	0	-1589.006	-1590.006	1.000319	0.1467532
173	1	-1588.129	-1588.99	0.8605911	0.1541881
174	0	-1588.373	-1589.285	0.9118614	0.151461
175	1	-1587.892	-1588.637	0.744244	0.160378
176	0	-1587.894	-1588.62	0.7260494	0.1613466
177	1	-1587.996	-1588.815	0.8192982	0.1563844
178	0	-1587.897	-1588.615	0.7179222	0.1617793
179	1	-1588.044	-1588.68	0.6365044	0.1661178
180	0	-1587.895	-1588.647	0.7522847	0.15995
181	1	-1588.453	-1589.378	0.9255117	0.1507348
182	0	-1587.961	-1588.63	0.6694705	0.1643603
183	1	-1588.128	-1588.74	0.6111811	0.1674687
184	0	-1587.895	-1588.645	0.7508404	0.1600269
185	1	-1588.856	-1589.335	0.479743	0.1744952
186	0	-1590.55	-1590.853	0.3033902	0.1839733
187	1	-1588.01	-1588.834	0.8245945	0.1561027
188	0	-1588.047	-1588.884	0.837258	0.1554291
