Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1614.71	-1616.56	1.85008	0.0996379
10	-1590.35	-1591.47	1.12198	0.1402639
20	-1587.89	-1588.62	0.731604	0.1610508
30	-1589.06	-1590.06	1.00612	0.1464441
40	-1587.9	-1588.67	0.763243	0.1593668
50	-1588.11	-1588.73	0.614922	0.1672691
60	-1588.02	-1588.85	0.829545	0.1558394
70	-1588.05	-1588.69	0.632837	0.1663134
80	-1588.23	-1589.12	0.884712	0.1529051
90	-1588.59	-1589.54	0.946607	0.1496124
100	-1587.97	-1588.77	0.8066	0.1570599
110	-1587.91	-1588.61	0.703801	0.1625313
120	-1588.03	-1588.67	0.641627	0.1658446
130	-1589.25	-1589.68	0.430542	0.1771331
140	-1589.73	-1590.11	0.379009	0.1799011
150	-1590.95	-1591.22	0.270578	0.1857444
160	-1588.14	-1588.75	0.608918	0.1675894
170	-1588.04	-1588.87	0.833752	0.1556156
180	-1587.89	-1588.63	0.738914	0.1606617
190	-1587.92	-1588.61	0.692583	0.1631288
200	-1587.93	-1588.71	0.78409	0.1582575
210	-1587.89	-1588.62	0.723223	0.1614971
220	-1588.21	-1589.09	0.879714	0.1531709
230	-1590.68	-1590.97	0.292406	0.1845659
240	-1591.39	-1591.62	0.237213	0.1875481
250	-1588.13	-1589	0.861834	0.154122
260	-1588.85	-1589.83	0.981388	0.1477612
270	-1588.31	-1588.88	0.569318	0.1697038
280	-1587.89	-1588.62	0.724309	0.1614392
290	-1589.12	-1590.13	1.01294	0.1460811
300	-1589.87	-1590.96	1.08455	0.142263
310	-1588.02	-1588.67	0.643167	0.1657625
320	-1589.53	-1589.93	0.398857	0.1788343
330	-1588.14	-1588.75	0.607415	0.1676697
340	-1587.94	-1588.62	0.677855	0.1639135
350	-1588.46	-1589.38	0.926108	0.1507031
360	-1587.93	-1588.72	0.787614	0.15807
370	-1588	-1588.65	0.651083	0.1653404
380	-1587.91	-1588.61	0.703414	0.1625519
390	-1588.5	-1589.03	0.533399	0.1716235
400	-1588.08	-1588.93	0.848039	0.1548557
410	-1587.96	-1588.77	0.805036	0.1571431
420	-1588.18	-1588.78	0.598356	0.1681531
430	-1587.92	-1588.7	0.77976	0.1584879
440	-1588.65	-1589.16	0.509009	0.1729283
450	-1588.1	-1588.95	0.851998	0.1546451
460	-1588.04	-1588.87	0.834556	0.1555728
470	-1587.99	-1588.81	0.816476	0.1565346
480	-1587.98	-1588.8	0.814404	0.1566448
490	-1587.9	-1588.61	0.71127	0.1621335
500	-1587.9	-1588.67	0.766475	0.1591948
510	-1588.48	-1589.02	0.53717	0.1714219
520	-1588.37	-1588.93	0.556918	0.1703663
530	-1588.93	-1589.92	0.991638	0.1472155
540	-1588.04	-1588.87	0.833704	0.1556182
550	-1588.85	-1589.33	0.480861	0.1744353
560	-1588.02	-1588.84	0.826628	0.1559945
570	-1588.98	-1589.97	0.996862	0.1469372
580	-1589.53	-1589.93	0.399727	0.1787876
590	-1587.9	-1588.61	0.716478	0.1618562
600	-1588.08	-1588.7	0.62645	0.166654
610	-1587.93	-1588.62	0.688936	0.1633231
620	-1588.09	-1588.71	0.622439	0.166868
630	-1589.23	-1590.26	1.0248	0.1454493
640	-1587.9	-1588.66	0.760064	0.159536
650	-1587.91	-1588.69	0.774063	0.158791
660	-1587.9	-1588.61	0.712228	0.1620825
670	-1588.54	-1589.47	0.93869	0.1500336
680	-1588.94	-1589.41	0.468123	0.1751178
690	-1589.65	-1590.04	0.386783	0.1794832
700	-1587.89	-1588.63	0.733029	0.160975
710	-1587.94	-1588.62	0.683704	0.1636019
720	-1587.95	-1588.63	0.674372	0.1640991
730	-1587.89	-1588.65	0.750917	0.1600228
740	-1590.58	-1590.88	0.300897	0.1841077
750	-1587.97	-1588.78	0.809316	0.1569154
760	-1589.3	-1589.72	0.424971	0.177432
770	-1590.07	-1590.42	0.345762	0.1816899
780	-1589.09	-1590.1	1.01013	0.1462308
790	-1587.99	-1588.65	0.656145	0.1650706
800	-1588.15	-1589.01	0.864709	0.1539691
810	-1588.01	-1588.84	0.825914	0.1560325
820	-1589	-1590	0.999628	0.1467899
830	-1588.08	-1588.93	0.847617	0.1548781
840	-1588.18	-1589.05	0.872064	0.1535778
850	-1588.21	-1588.8	0.590241	0.1685864
860	-1588.77	-1589.26	0.492315	0.1738219
870	-1588.01	-1588.66	0.647186	0.1655482
880	-1589.04	-1590.04	1.00377	0.1465696
890	-1588.57	-1589.09	0.522431	0.1722101
900	-1588.05	-1588.68	0.635337	0.1661801
910	-1587.9	-1588.66	0.759262	0.1595786
920	-1587.96	-1588.77	0.805643	0.1571108
930	-1588	-1588.65	0.653816	0.1651947
940	-1587.97	-1588.63	0.665495	0.1645722
950	-1588.12	-1588.73	0.61425	0.1673049
960	-1587.93	-1588.62	0.686489	0.1634535
970	-1588.86	-1589.34	0.479423	0.1745124
980	-1587.91	-1588.61	0.699236	0.1627745
