Iteration	Posterior	Likelihood	Prior	birth_rate
0	-1718.77	-1721.05	2.2805	0.04911798
10	-1667.39	-1669.66	2.27272	0.06663346
20	-1647.54	-1649.72	2.18375	0.0762165
30	-1639.8	-1641.93	2.13059	0.08065597
40	-1674.06	-1676.35	2.28997	0.06386048
50	-1600.96	-1602.52	1.56593	0.116128
60	-1588.37	-1589.29	0.911978	0.1514548
70	-1595.56	-1596.95	1.39152	0.1257425
80	-1588.55	-1589.07	0.525934	0.1720228
90	-1611.87	-1611.23	-0.6467	0.2366164
100	-1710.03	-1707.4	-2.62778	0.3592221
110	-1603.32	-1604.95	1.62696	0.1126949
120	-1822.05	-1823.71	1.65593	0.02895865
130	-1768.6	-1770.67	2.06959	0.03772223
140	-1829.34	-1830.93	1.58594	0.02796189
150	-1735.83	-1738.06	2.22929	0.04476
160	-1659.2	-1661.44	2.24336	0.07031809
170	-1611.94	-1613.74	1.8041	0.1024136
180	-1661.2	-1663.45	2.2514	0.06938857
190	-1731.33	-1733.58	2.24503	0.04585536
200	-1617.67	-1619.56	1.89493	0.09687131
210	-1639.19	-1641.31	2.12589	0.08102563
220	-1623.91	-1625.89	1.97713	0.09160629
230	-1592.34	-1593.58	1.24632	0.1335991
240	-1597.46	-1598.92	1.46	0.1219958
250	-1642.4	-1644.55	2.14985	0.07910655
260	-1812.4	-1814.15	1.7437	0.03034253
270	-1676.7	-1678.99	2.29526	0.06281368
280	-1625.77	-1627.77	1.9989	0.09015905
290	-1621.36	-1623.3	1.94536	0.09367566
300	-1697.65	-1699.96	2.3096	0.05537535
310	-1587.91	-1588.61	0.700173	0.1627246
320	-1600.15	-1601.69	1.54323	0.1173939
330	-1643.34	-1641.9	-1.44388	0.2835858
340	-1616.43	-1615.65	-0.782827	0.2444353
350	-1628.72	-1630.75	2.03099	0.08797385
360	-1670.58	-1672.86	2.2817	0.06528101
370	-1601.7	-1603.28	1.58578	0.1150161
380	-1587.9	-1588.61	0.710552	0.1621718
390	-1619.73	-1621.65	1.92376	0.09505669
400	-1638.72	-1640.84	2.12224	0.08131051
410	-1662.17	-1664.43	2.25514	0.06893999
420	-1709.67	-1711.97	2.29794	0.0516824
430	-1622.29	-1624.24	1.95719	0.09291021
