Iteration	Posterior	Likelihood	Prior	age_extant	age_Kretzoiarctos_beatrix	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	F[1]	F[2]	F[3]	F[4]	F[5]	F[6]	F[7]	F[8]	F[9]	F[10]	F[11]	F[12]	F[13]	F[14]	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	t[1]	t[2]	t[3]	t[4]	t[5]	t[6]	t[7]	t[8]	t[9]	t[10]	t[11]	t[12]	t[13]	t[14]	turnover
0	-8693.61	-8562.83	-130.783	44.19933	11.2	0.6287918	1.334629	0.0258954	0.0391696	0.0155719	0.00150121	0.00280347	0.0443829	0.0277875	0.0635167	0.193171	0.129283	0.183488	0.0872067	0.00783498	0.00513844	0.041334	0.0413007	0.0192208	0.124089	0.0172164	0.0736855	0.114264	0.00229578	0.180891	0.178868	0.0788002	0.0109481	0.0573552	0.0620532	0.110561	0.117364	0.0342742	0.0665709	0.00569979	0.0956924	0.0465129	0.0387163	0.00587668	0.0737455	0.0928682	0.0089543	0.0511635	0.0153954	0.05498745	0.07454092	-0.1265716	0.330233	0.0895622	0.444581	0.0888999	0.0220506	0.0246734	0.1389696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.80589	0.0227009	0.0590954	0.327903	0.895326	2.71768	0.198609	0.558497	1.03903	2.20386	0.0583066	0.711219	0.0248235	0.205651	0.01239795	15.97	33.9	7.75	4.9	4.9	13.7	11.2	4.9	0.012	5.8	13.65	20	0.027	1.8	11.20908
10	-4765.24	-4795.14	29.8979	33.68145	11.6169	0.214029	0.5985055	0.00291638	0.00737055	0.00208398	0.00142994	0.00128075	0.00542464	0.00294714	0.0374442	0.0124426	0.0109643	0.0059969	0.0103531	0.00121307	0.00255772	0.00136059	0.0032017	0.00193801	0.0202266	0.00201484	0.00402373	0.0240735	0.00231158	0.02408	0.00985214	0.00367051	0.00274958	0.0103717	0.00294424	0.00550683	0.00876492	0.00376198	0.0018185	0.000315965	0.0122405	0.00201164	0.0122469	0.000498924	0.00506985	0.00678556	0.000159339	0.00702159	0.00128351	0.01844295	0.0166411	0.02249593	0.0784711	0.261398	0.351335	0.125458	0.14128	0.0420576	0.03513001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	46.62723	0.05518028	0.00083517	0.0422405	0.419271	3.53765	0.0528	0.31144	0.880555	2.7552	0.224755	0.350601	0.140913	0.283732	0.05762593	16.54	36.5529	8.1881	6.62885	7.24345	15.5877	11.6169	9.68945	2.19739	6.97651	14.5714	21.8934	0.027	2.75148	0.6096215
20	-4352.1	-4385.16	33.0578	30.26206	11.73927	0.2112099	1.893614	0.00243091	0.0158641	0.00283143	0.00127662	0.00466873	0.0157329	0.00355533	0.0261932	0.0551337	0.0106049	0.00376824	0.0229916	0.00287893	0.00269612	0.000880045	0.00452907	0.00346736	0.0109041	0.00099173	0.0030283	0.0117917	0.0065587	0.0116791	0.00766022	0.00489276	0.00259683	0.00262305	0.015448	0.00600797	0.00289788	0.0222486	0.00267686	0.000414769	0.0266878	0.00441133	0.03008	0.000547132	0.00894247	0.00682928	0.000358871	0.00401831	0.00495574	0.006928892	0.01838592	0.05006216	0.0283869	0.744609	0.0761059	0.0441199	0.1029	0.00387834	0.04200209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	46.09039	0.04417722	0.000766277	0.0404824	0.412276	3.54648	0.280236	0.643202	1.06708	2.00948	0.228912	0.345664	0.115871	0.309553	0.09206425	16.7801	36.7848	8.60665	7.13614	7.30213	15.5877	11.7393	6.67045	1.73768	6.30361	15.092	22.5414	0.027	2.00451	0.4562259
30	-4149.43	-4181.78	32.355	34.54125	11.65727	0.2196828	2.142581	0.00562472	0.00150584	0.00397476	0.00213197	0.00856586	0.0325192	0.00580578	0.0276057	0.0342779	0.0132775	0.00783475	0.0131188	0.00990653	0.00205885	0.00201934	0.00297928	0.00310284	0.00683361	0.000893423	0.0023248	0.0169362	0.00841581	0.00557364	0.00784986	0.00403434	0.00785385	0.00230628	0.0133935	0.00598602	0.00176157	0.0173767	0.00433623	0.000661398	0.0167164	0.0159478	0.0185879	0.000339171	0.0051363	0.0194197	0.000666659	0.00725958	0.00525489	0.008121367	0.02070221	0.03388954	0.0081242	0.555119	0.0174163	0.00823934	0.410737	0.00036487	0.102856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	45.03991	0.03136582	0.000985957	0.0458459	0.433055	3.52011	0.309721	0.669367	1.07318	1.94773	0.274815	0.32654	0.1156	0.283044	0.1367455	16.7801	37.0011	8.63305	9.4247	7.53258	15.5877	11.6573	6.67045	1.75148	7.66011	15.092	22.4195	0.027	5.26623	0.7521707
40	-4123.44	-4165.31	41.8673	32.67555	11.78514	0.2224176	0.6712499	0.00377191	0.00142156	0.00490174	0.00324827	0.0259885	0.0179011	0.00811372	0.0168931	0.00763823	0.00640475	0.00716342	0.00670576	0.0217552	0.00666583	0.0022065	0.00338756	0.00263627	0.00643043	0.000742519	0.00325913	0.00891246	0.00707845	0.00309663	0.00615034	0.00372058	0.0102013	0.00596647	0.00694188	0.00145947	0.00174182	0.0229738	0.00906864	0.00287645	0.0120036	0.0286968	0.0155425	0.000342156	0.00654809	0.00804266	0.000492508	0.00970432	0.00465651	0.006904226	0.0144957	0.01775402	0.0144926	0.499543	0.0124834	0.00996124	0.463118	0.000401867	0.1268794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	42.08803	0.02406795	0.00106514	0.0476261	0.439605	3.5117	0.068061	0.349643	0.91373	2.66857	0.307098	0.280493	0.140382	0.272027	0.1446335	16.7801	37.1423	8.63305	9.49597	7.53258	22.0598	11.7851	7.01773	2.37105	6.64111	15.5098	22.4195	0.0760288	4.63174	0.8772481
50	-4122.19	-4159.35	37.1573	46.10514	11.79934	0.1737874	0.8630659	0.00265468	0.00205694	0.00449124	0.00597397	0.0278007	0.00287185	0.0271143	0.0193594	0.00755925	0.00911778	0.00842831	0.0217	0.0112338	0.00488069	0.00190214	0.00524463	0.00371159	0.00568464	0.00097747	0.00244982	0.0108849	0.00837911	0.00353131	0.00614614	0.00356445	0.00646456	0.00670572	0.00612714	0.00486387	0.00120895	0.00798646	0.00649771	0.00413615	0.01103	0.0596735	0.0124644	0.000969927	0.00269105	0.000650392	0.000177065	0.00380861	0.00658581	0.009973342	0.01371511	0.04110241	0.0163795	0.414292	0.00999637	0.0103669	0.54714	0.00182499	0.07519321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	46.48508	0.05107594	0.000187409	0.0201519	0.311898	3.66776	0.108891	0.431338	0.973007	2.48676	0.291215	0.312554	0.148142	0.248089	0.1162956	16.5933	34.6553	8.19589	5.4979	7.53258	22.0207	11.7993	5.11195	2.37105	6.64111	15.5098	20.6113	0.0760288	5.09929	0.6465695
60	-4122.19	-4147	24.817	46.57673	11.7996	0.1777118	1.108027	0.00142938	0.00608607	0.00439295	0.00730695	0.0245596	0.0115519	0.0212417	0.00662698	0.0178298	0.0120425	0.0148678	0.0434364	0.029794	0.00430383	0.00228155	0.00905579	0.00343431	0.00558572	0.00104362	0.00336166	0.0183855	0.0148807	0.00352318	0.00707685	0.00323555	0.00622236	0.00649963	0.00947057	0.00285272	0.00281812	0.00651731	0.021419	0.0128649	0.0235755	0.0345483	0.0121382	0.0139327	0.00949445	0.000342199	0.000422413	0.00254081	0.00620006	0.01009779	0.01435345	-0.002905237	0.0171102	0.555301	0.00624457	0.00241829	0.414993	0.00393289	0.1047996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	47.6735	0.03788505	0.000223383	0.0219872	0.323049	3.65474	0.15799	0.506976	1.01582	2.31921	0.294325	0.301173	0.127976	0.276526	0.1018944	16.8993	37.0676	8.2108	8.02059	7.39533	22.0207	11.7996	5.11195	2.37105	7.84999	15.5098	20.6113	0.0760288	3.66136	1.028512
70	-4130.02	-4149.93	19.9081	43.23584	11.7996	0.1892319	1.339674	0.00221362	0.0156696	0.0148958	0.00582383	0.0317693	0.0132883	0.0173533	0.00334884	0.0457797	0.0206197	0.0146852	0.0498842	0.0303446	0.00459299	0.00162449	0.0114273	0.00332386	0.00862666	0.00138423	0.00320507	0.0194662	0.0188282	0.00474546	0.0067943	0.000550834	0.00238899	0.00176243	0.011607	0.000930381	0.00520375	0.00436659	0.0336435	0.0312095	0.0052207	0.0446994	0.0172402	0.0143139	0.00536314	0.000340428	0.000597856	0.00887908	0.0143195	0.01389851	0.01598605	-0.00323968	0.0138977	0.441004	0.0104733	0.006518	0.52666	0.00144724	0.07776652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	50.49198	0.04291247	0.000358587	0.0278034	0.354975	3.61686	0.199459	0.559496	1.03943	2.20161	0.301274	0.298079	0.132059	0.268588	0.07452684	16.8993	36.8582	8.2108	8.51855	5.96883	22.0207	11.7996	5.7614	2.37105	7.9797	15.469	20.172	0.0760288	4.89679	1.04347
80	-4123.94	-4151.72	27.7841	33.31432	11.7996	0.1897493	1.320532	0.0033947	0.0395526	0.00484046	0.0031533	0.0271956	0.00952229	0.00948866	0.00299467	0.0738699	0.0234526	0.0213972	0.0306864	0.0163752	0.00507799	0.00167405	0.00919948	0.00226419	0.014759	0.00524176	0.00372656	0.0235512	0.00904235	0.00074928	0.00785536	0.000181261	0.00161639	0.00186927	0.00269325	0.00171853	0.00262961	0.00842643	0.0167375	0.00735952	0.00915776	0.0165525	0.0139834	0.0262137	0.00268071	0.00047305	0.00167429	0.00223199	0.0165759	0.01286811	0.01671468	0.06262626	0.0112683	0.577187	0.0103806	0.00357719	0.396455	0.00113187	0.08998305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	45.28416	0.04634658	0.000365796	0.028079	0.356379	3.61518	0.19622	0.555676	1.03788	2.21022	0.296761	0.315645	0.119688	0.267905	0.1526093	16.8993	36.8961	8.2108	9.60812	6.2168	19.4733	11.7996	7.52635	0.608494	7.90924	14.0926	20.172	0.175902	4.97559	0.5896301
90	-4140.25	-4155.49	15.2479	43.72735	11.7996	0.1514509	0.7677654	0.00811192	0.0424752	0.00816709	0.00171886	0.0166775	0.00386998	0.00778584	0.00156177	0.0176481	0.018419	0.0265299	0.0161734	0.024024	0.00547325	0.00181371	0.011558	0.00213908	0.00984379	0.0144643	0.00269063	0.0283294	0.0118867	0.00397076	0.00406848	0.000225988	0.00272734	0.00290124	0.00401222	0.00547493	0.00276068	0.0107713	0.0345036	0.0510888	0.00661681	0.00946179	0.00522053	0.050215	0.00445835	0.00400421	0.00117843	0.00646249	0.0166703	0.01100549	0.01655318	-0.03084678	0.00603794	0.406752	0.0108058	0.00360563	0.570104	0.00269435	0.2002091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	45.4988	0.02904832	5.79799e-05	0.0112464	0.246199	3.7425	0.0886835	0.393825	0.947607	2.56988	0.292214	0.303381	0.131345	0.27306	0.1693623	16.8993	37.0959	8.2108	9.6153	5.14071	19.3897	11.7996	7.52635	1.0933	6.84756	14.0926	20.1042	0.175902	5.27422	1.182135
