taxon	Late_Cre	Early_Cre	Jur	Tri
Neogaeornis_wetzeli 	1	0	0	0
Patagopteryx_deferrariisi 	1	0	0	0
Neuquenornis_volans 	2	0	0	0
Camarasaurus_lentus 	0	0	2	0
Emausaurus_ernsti 	0	0	1	0
Moabosaurus_utahensis 	0	2	0	0
Cetiosaurus_oxoniensis 	0	0	6	0
Epidendrosaurus_ningchengensis 	0	0	1	0
Dubreuillosaurus_valesdunensis 	0	0	1	0
Patagosaurus_fariasi 	0	0	3	0
Grallator_Anchisauripus_minusculus 	0	0	5	0
Traukutitan_eocaudata 	1	0	0	0
Charonosaurus_jiayinensis 	1	0	0	0
Olorotitan_arharensis 	1	0	0	0
Baryonyx_walkeri 	0	1	0	0
Ankylosaurus_magniventris 	4	0	0	0
Condorraptor_currumili 	0	0	1	0
Caenagnathasia_martinsoni 	1	0	0	0
Kerberosaurus_manakini 	1	0	0	0
Dysalotosaurus_lettowvorbecki 	0	0	1	0
Megaloolithus_mamillare 	17	0	0	0
Parksosaurus_warreni 	2	0	0	0
Niobrarasaurus_coleii 	2	0	0	0
Hypacrosaurus_altispinus 	6	0	0	0
Anabisetia_saldiviai 	2	0	0	0
Lourinhasaurus_alenquerensis 	0	0	2	0
Lufengosaurus_huenei 	0	0	7	0
Lectavis_bretincola 	1	0	0	0
Soroavisaurus_australis 	1	0	0	0
Yungavolucris_brevipedalis 	1	0	0	0
Lapparentosaurus_madagascariensis 	0	0	1	0
Hylaeosaurus_armatus 	0	3	0	0
Duriavenator_hesperis 	0	0	1	0
Irenesauripus_mclearni 	0	1	0	0
Magnosaurus_nethercombensis 	0	0	1	0
Eustreptospondylus_oxoniensis 	0	0	1	0
Hypselospinus_fittoni 	0	3	0	0
Talenkauen_santacrucensis 	1	0	0	0
Grallator_cuneatus 	0	0	4	0
Stenonyx_lateralis 	0	0	1	0
Anchisauripus_tuberosus 	0	0	8	0
Eubrontes_giganteus 	0	0	7	0
Eubrontes_tuberatus 	0	0	1	0
Kayentapus_minor 	0	0	1	0
Ferganasaurus_verzilini 	0	0	1	0
Erectopus_superbus 	0	3	0	0
Rhabdodon_priscus 	3	0	0	0
Jeholosaurus_shangyuanensis 	0	1	0	0
Sinovenator_changii 	0	2	0	0
Yimenosaurus_youngi 	0	0	1	0
Huehuecanauhtlus_tiquichensis 	2	0	0	0
Sarjeantopodus_semipalmatus 	1	0	0	0
Glyptodontopelta_mimus 	2	0	0	0
Apulosauripus_federicianus 	1	0	0	0
Magyarosaurus_dacus 	3	0	0	0
Zalmoxes_robustus 	3	0	0	0
Delapparentia_turolensis 	0	1	0	0
Scipionyx_samniticus 	0	1	0	0
Pachyrhinosaurus_perotorum 	1	0	0	0
Ugrunaaluk_kuukpikensis 	1	0	0	0
Leptoceratops_gracilis 	2	0	0	0
Anatotitan_copei 	1	0	0	0
Edmontonia_rugosidens 	4	0	0	0
Cardiodon_rugulosus 	0	0	1	0
Procompsognathus_triassicus 	0	0	0	1
Sahaliyania_elunchunorum 	1	0	0	0
Yamaceratops_dorngobiensis 	1	0	0	0
Noguerornis_gonzalezi 	0	1	0	0
Albertonykus_borealis 	1	0	0	0
Lamarqueavis_minima 	1	0	0	0
Lonchodytes_estesi 	1	0	0	0
Itsukisauropus_izumiensis 	0	1	0	0
Graculavus_velox 	1	0	0	0
Shanweiniao_cooperorum 	0	1	0	0
Graciliraptor_lujiatunensis 	0	1	0	0
Tianyuraptor_ostromi 	0	1	0	0
Sinornithosaurus_haoiana 	0	1	0	0
Sauropodichnus_giganteus 	0	1	0	0
Tarsoplectrus_angustus 	0	0	1	0
Platypterna_recta 	0	0	1	0
Cetiosaurus_brachyurus 	0	1	0	0
Orcauichnites_garumniensis 	1	0	0	0
Cruxicheiros_newmanorum 	0	0	1	0
Scansoriopteryx_heilmanni 	0	1	0	0
Concavenator_corcovatus 	0	1	0	0
Iguanacolossus_fortis 	0	1	0	0
Haya_griva 	1	0	0	0
Kileskus_aristotocus 	0	0	1	0
Paludititan_nalatzensis 	1	0	0	0
Jianchangornis_microdonta 	0	1	0	0
Ichthyornis_minusculus 	1	0	0	0
Martinavis_whetstonei 	1	0	0	0
Schizooura_lii 	0	1	0	0
Gryphoceratops_morrisoni 	1	0	0	0
Sciurumimus_albersdoerferi 	0	0	1	0
Jeholornis_palmapenis 	0	1	0	0
Ojoraptorsaurus_boerei 	1	0	0	0
Aorun_zhaoi 	0	0	1	0
Acrotholus_audeti 	1	0	0	0
Grallator_magnificus 	0	0	2	0
Anchisauripus_Otouphepus_minor 	0	0	1	0
Bueckeburgichnus_maximus 	0	1	0	0
Dilophosauripus_williamsi 	0	0	1	0
Acheroraptor_temertyorum 	1	0	0	0
Europelta_carbonensis 	0	1	0	0
Hongshanornis_longicresta 	0	1	0	0
Brontopodus_oncalensis 	0	1	0	0
Tianyuornis_cheni 	0	1	0	0
Jinfengopteryx_elegans 	0	1	0	0
Struthopus_schaumburgensis 	0	1	0	0
Kuszholia_mengi 	1	0	0	0
Padillasaurus_leivaensis 	0	1	0	0
Morrosaurus_antarcticus 	1	0	0	0
Wiehenvenator_albati 	0	0	1	0
Isaberrysaura_mollensis 	0	0	1	0
Mierasaurus_bobyoungi 	0	1	0	0
Megalosauropus_Eutynichnium_gomesi 	0	1	0	0
